longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"District of Minnesota, MN, USA",0.018652632784384098,0.0018993620695324947,0.05643846995301566,0.019676241392429104,0.0615269089308727,0.09153906639213434,0.1644553783232632,0.05793780350928328,0.014396776137541213,0.014962394175585704,0.13409882112545818,0.04269921386221807,0.03081382021902219,0.002119466226568642,0.06839499648771158,0.036770408403220115,0.10822518080891126,0.041121220564794864,0.006369974894919782,0.02790186373913352
"Southern District of New York, NY, USA",0.002546791347336255,0.00021684777781301036,0.060376101298434307,0.031050508572045228,0.04612167914365275,0.10965135128008442,0.17690063538899928,0.0754547631048711,0.02990701605456221,0.03489104145850669,0.03847622554192178,0.047792637863519116,0.039268851621103086,0.0014270611852838218,0.10755931955063487,0.039461113863343375,0.0884198573098527,0.044964690385890085,0.00534748180142839,0.020166025450717513
"District of South Carolina, SC, USA",0.008027690724431468,0.000737016694573233,0.08081208660943162,0.016886141780947352,0.06986578957412228,0.0892988457626216,0.13135289090876484,0.039034741927248054,0.01958217421434042,0.015072327705725554,0.13451503201562182,0.0502282675062961,0.04891760201443718,0.001064675729462682,0.057274572940725015,0.044789591215647594,0.11527607306142443,0.042016916279614756,0.01180783883999878,0.023439724494565137
"District of Oregon, OR, USA",0.028171154376475733,0.0007783529556197489,0.07346207343602057,0.020426527007885383,0.06622874542277238,0.08489839621735888,0.1489356540701389,0.0350808735593082,0.020055051138679298,0.015694266310613745,0.11035136510157639,0.04588552620936214,0.03910666533534781,0.001913060276462997,0.07422977097794736,0.04676079079358834,0.11634186380133753,0.03793083422106639,0.00790395956328133,0.02584506922515696
"Eastern District of Texas, TX, USA",0.009013956658300295,0.01402430179134249,0.06706271463396951,0.015569386766369849,0.07397742348085042,0.09262643244055321,0.12148308413674115,0.06375626561553728,0.020931886788469967,0.02122308728968897,0.09842424644504055,0.048476398725247234,0.03851135407935793,0.001985289310787245,0.08264546539471096,0.036144331460679614,0.11382193748556409,0.04507173158726023,0.008261925736290568,0.026988780173238323
"Southern District of Indiana, IN, USA",0.0093363360306295,0.0023801424708689532,0.06701940911088544,0.018024625759468057,0.06316837534047261,0.08808463832312433,0.1436204683313925,0.04172573985286121,0.015603763137835227,0.013689419464728653,0.16337818343434746,0.044364604257242105,0.03668041385577618,0.0012484202319558832,0.05632242414009718,0.03969122207628076,0.10925812354593059,0.052787219831706596,0.008412187243171306,0.025204283561225477
"Eastern District of North Carolina, NC, USA",0.013609225612154994,0.0016005645141196254,0.0748575065686628,0.015879733106806692,0.07384221589534315,0.09014893790012243,0.1350376195078337,0.04040482128657438,0.019683922437832083,0.018480645031817674,0.10409060602348044,0.04552902025712469,0.040777645934784584,0.0007450421833921246,0.08570542756840743,0.05660807158242644,0.11462457155494767,0.037682831251900015,0.008692030203440488,0.02199956157882848
"Western District of Pennsylvania, PA, USA",0.006711270621924392,0.008199078975813425,0.06354029846909821,0.016305291846942505,0.06264226403715098,0.09049672459130877,0.17339553355473034,0.051396040956490495,0.013965894740306494,0.013993285466870958,0.11742618247480074,0.049596643379794095,0.03432558403373519,0.0012510295112503954,0.06504794464082372,0.035562014166918406,0.11497246111261297,0.04611974177146989,0.01140842428683872,0.023644291361119018
"District of Connecticut, CT, USA",0.003458276691506707,0.000554074358918276,0.05679558909676966,0.02485198179450098,0.06234939291173426,0.10750526807453545,0.15704701312366098,0.07360485064129985,0.01672115580134616,0.019889057792334443,0.10569990915921745,0.04509507369306693,0.03893122258904447,0.0016835447124992971,0.07614681151638296,0.036477249149487155,0.10646643826388633,0.03708228152171436,0.007058367787043664,0.022582441321050667
"Western District of Michigan, MI, USA",0.01584842769709851,0.0016485030823377848,0.07269623482137155,0.017775052467269906,0.05980447833818696,0.09162341041835752,0.1412516620300067,0.03815254668180065,0.015013432589146707,0.011641500356797316,0.18774829507317983,0.04744078584315365,0.03470039955260652,0.0009897855222384905,0.04755125481495864,0.03829640320647488,0.1091904263812906,0.03468717418694073,0.008258373413293338,0.02568185352348982
"Southern District of California, CA, USA",0.009612550853861713,0.00034083146959678034,0.08047992310399744,0.02744994733955588,0.06403529614075167,0.08655871991860255,0.1282648612428168,0.036629944346572955,0.02477336081241337,0.019641512322150327,0.09415316852582882,0.049149001327088236,0.04627974387463829,0.0018598609330155245,0.10785292761487791,0.05222137354019398,0.10451636261497832,0.03711804359407683,0.007998452616098106,0.021064117808884578
"Eastern District of Wisconsin, WI, USA",0.01398205037263355,0.000972927679728922,0.06294429782286699,0.017590123109382426,0.05850450137611835,0.07979965339130321,0.1461785118298734,0.04876206949423141,0.0128494827127661,0.014400770974779655,0.19771716654722687,0.04250085499765531,0.03706514667420363,0.001846071712561976,0.050559450486400516,0.03130218809562292,0.1069079202673635,0.04158871508903898,0.007299453753004338,0.027228643613237815
"Northern District of New York, NY, USA",0.012460266925097456,0.001518208381175976,0.06498063198040764,0.020996355471861926,0.06083105581376225,0.13251746904377623,0.15920422341655938,0.0433271347348472,0.01473598058377686,0.016043019747276878,0.08837002823800826,0.04497054824185674,0.029331858580366525,0.0008404034083735707,0.06367747726905687,0.06810108387606154,0.1123683869692673,0.03664691576309942,0.009796396851158443,0.019282554704209608
"Middle District of Pennsylvania, PA, USA",0.013438619903983018,0.004068125102357486,0.06264083770482774,0.016549996768365022,0.06432000676906437,0.09285411423102605,0.1578980939572013,0.04041313643333152,0.011743382589901992,0.012414987144882747,0.12868100950215983,0.04656378752487591,0.03504749399678902,0.00121526425394808,0.047436469399590016,0.053492558766889096,0.11610872498230533,0.059321982828732064,0.008839626631819834,0.026951781507949517
"Western District of North Carolina, NC, USA",0.0077849863586500175,0.0010868080164635804,0.0739033872366057,0.02080975651063817,0.0732747370583729,0.07545014956033233,0.12754006685751285,0.06434370542243205,0.020754500949098666,0.01741685855170059,0.12843574908165717,0.05200423024802912,0.042534245108204104,0.001267942685874177,0.06636425071047648,0.028500738870757984,0.11886115680338975,0.04411834279428962,0.009130752710927552,0.026417634464587225
"District of Puerto Rico, PR, USA",0.01288504244109312,0.0003362542499994302,0.08233303134264511,0.012134248680567788,0.05783400665256031,0.09822329342644852,0.128626007719167,0.04202829674155385,0.01231889849679386,0.016082068591831283,0.08848814935640033,0.0569662367527054,0.06129833551972719,0.0003561453464782698,0.04322737613598583,0.0860517484322895,0.1342978026156024,0.02850557509603217,0.009315060122546908,0.02869242227957177
"District of Utah, UT, USA",0.007238342715089146,0.007258466691360463,0.06329870961290902,0.020859759153736487,0.0759950520173343,0.10838396295175969,0.11355016498516171,0.05267325014165393,0.01953597883963895,0.018933517300016415,0.1021241485828633,0.04416898354424728,0.045178326729105496,0.0012024075822111597,0.08143481435317453,0.046980051479646796,0.1150582054569935,0.045557537906968114,0.006698139727055994,0.023870180229073737
"Western District of Missouri, MO, USA",0.01733481438039245,0.0014313593586389084,0.07074180540703244,0.01735072439225964,0.06846487499897874,0.08988340341678605,0.14593269245407253,0.0514229413450933,0.015596768238178522,0.015448641173926289,0.10967437017554675,0.04817787993536565,0.035485107099293915,0.0009972961907878056,0.057973240415946974,0.04891747113958139,0.11799650770621559,0.05269736676766334,0.009424227308205727,0.02504850809603412
