longname,"Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services % [StatCan],"Arts, entertainment, and recreation % [StatCan]",Construction % [StatCan],Educational services % [StatCan],Health care and social assistance % [StatCan],Finance and insurance % [StatCan],Real estate and rental and leasing % [StatCan],Information % [StatCan],Manufacturing % [StatCan],"Other services, except public administration % [StatCan]",Administrative and support and waste management services % [StatCan],Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services % [StatCan]",Public administration % [StatCan],Retail trade % [StatCan],Transportation and warehousing % [StatCan],Utilities % [StatCan],Wholesale trade % [StatCan]
"Moncton CMA, NB, Canada",0.008024384175167959,0.004043294351828812,0.0663722318984822,0.019781040059716322,0.06183130131873596,0.07253048021895994,0.13865389400348355,0.06587459567056497,0.01138342871361035,0.021149539686489142,0.05337148544414028,0.0418636476735506,0.06649664095546153,0.0006220452848967402,0.05660612092560334,0.08223438666334905,0.13224682756904704,0.06400845981587452,0.0016795222692211995,0.031226673301816294
"Brantford CMA, ON, Canada",0.01965241622057637,0.0005133093788956517,0.05653736158979254,0.011366136246975161,0.08660262521082351,0.07171665322284956,0.12781403534501692,0.023758891251741607,0.012099435359683228,0.007259661215809934,0.18061157145999845,0.04187137933563104,0.04693114321331673,0.0001466598225416148,0.049644349930336645,0.03813155386081982,0.11769450758964597,0.06717019872405951,0.0025665468944782595,0.03791156412700742
"Saint John CMA, NB, Canada",0.010034022692915976,0.0018212760215083146,0.06345430654891872,0.010265373939410499,0.0778791357037473,0.07092825930083022,0.1725029633225469,0.03342384755480686,0.008774835182118445,0.015294276444032027,0.073423456571212,0.042698884798054663,0.05817704822318233,0.000993423284459081,0.06689197241946081,0.06304038018039411,0.13734224034235082,0.04547239338247133,0.0179245845710451,0.029657319516534546
"Peterborough CMA, ON, Canada",0.01878549584971602,0.0012232415902140666,0.06063783311489733,0.019746614242027068,0.0938401048492789,0.0941896024464834,0.17702053298383608,0.024901703800786348,0.012931411096548686,0.01135867190913061,0.06963739624290076,0.04307557885539533,0.052599388379204866,0.00017474879860200954,0.05880297072957625,0.04927916120576673,0.1366535605067715,0.03460026212319786,0.013280908693752723,0.027260812581913502
"Lethbridge CMA, AB, Canada",0.05190660171342177,0.010918864438098442,0.06752897698639347,0.011590794557366025,0.08861078447841435,0.0929783302536538,0.166722660843272,0.027213169830337634,0.00957500419956324,0.00671930119267596,0.08667898538551977,0.051990592978330266,0.03200067193011929,0.0003359650596337978,0.04661515202418952,0.04720309087854857,0.12447505459432254,0.04392743154711904,0.0036116243910633275,0.02939694271795735
"Thunder Bay CMA, ON, Canada",0.01614668856048167,0.011311804415252695,0.07015143222039778,0.00912242291552637,0.0776318190111294,0.09268381682174796,0.2168399927020612,0.015051997810618502,0.006294471811713194,0.010946907498631647,0.03557744937055285,0.04588578726509759,0.03357051632913704,0.0,0.05893085203430033,0.07872650976099253,0.13510308337894558,0.06093778507571616,0.008392629082284256,0.01669403393541324
"Nanaimo CMA, BC, Canada",0.01927431451023843,0.0025262451057108614,0.07936278778130862,0.013212591865102041,0.10382311420707095,0.07539944414471615,0.17057149097367955,0.029659988833716407,0.01824826756266933,0.014408953565906404,0.037315474270539405,0.046073756774621874,0.04919818273073487,0.0,0.06535123530628452,0.051687634787312725,0.14820954355646135,0.055841271712419066,0.0023391158386211674,0.017496586472886332
"Kamloops CMA, BC, Canada",0.012598567932565929,0.03253874739418108,0.0764071422097344,0.024200126892051123,0.0990664370524789,0.06888425632194332,0.15888697543732408,0.018852533309163422,0.013686214085017665,0.0075228858877911696,0.04812834224598933,0.043868394815553304,0.04015227046134323,0.0009970089730807576,0.06471494607087834,0.0631741140215717,0.1383123357201124,0.058823529411764774,0.00271911538112934,0.026466056376325563
"Chilliwack CMA, BC, Canada",0.04935891256145764,0.003566952665574089,0.0666152511327485,0.01224332401426782,0.12513255567338277,0.07558083485973201,0.1231080690253544,0.02226935312831391,0.01243613226646101,0.006362672322375406,0.08608888460426098,0.04945531668755424,0.04627398052636655,0.0,0.04897329605707114,0.07037501205051576,0.1255181721777692,0.048973296057071236,0.0024101031524149255,0.02525788103730842
"Belleville - Quinte West CMA, ON, Canada",0.015695527287648756,0.00020517029134181373,0.06247435371358235,0.010053344275748879,0.08022158391464915,0.06473122691834224,0.14823553549446014,0.0166187935986869,0.009437833401723439,0.005026672137874439,0.12679524004924084,0.03682806729585555,0.05467788264259335,0.00020517029134181373,0.04226508001641364,0.11192039392695932,0.1335658596635209,0.05026672137874442,0.004308576118178087,0.026466967583094008
"Fredericton CMA, NB, Canada",0.012005777216103995,0.0018956490341216824,0.06616717819100915,0.011644701209604617,0.0689655172413793,0.10371908286694356,0.1411807185412529,0.0238310164289583,0.00830474814948546,0.021484022386712386,0.03132334356382019,0.044412348799422255,0.0373713666726846,0.0005416140097490521,0.09180357465246428,0.14370825058674846,0.12448095324065722,0.03348979960281639,0.01651922729734609,0.017151110308719977
"Chatham-Kent CMA, ON, Canada",0.07519666820916233,0.0006941230911614992,0.058653401203146785,0.007403979639055996,0.08769088385006939,0.062239703840814425,0.15316982878297064,0.018162887552059224,0.005205923183711246,0.011915779731605732,0.1412540490513652,0.03968070337806571,0.04141601110596938,0.0,0.03227672373900965,0.04153169828782972,0.13419713095789015,0.04534937528921787,0.014576584914391497,0.029384544192503467
"Drummondville CMA, QC, Canada",0.02453355324193383,0.001030821564787136,0.06019997938356873,0.0076280795794248036,0.08040408205339661,0.06700340171116377,0.13514070714359336,0.02164725286052984,0.0069065044840738105,0.003917121946191118,0.21647252860529825,0.048757860014431456,0.026492114215029432,0.0,0.04844861354499531,0.026389032058550713,0.12658488815586033,0.052571899804143896,0.0019585609730955597,0.04391299865993193
"Red Deer CMA, AB, Canada",0.005699745547073794,0.0566921119592875,0.07541984732824426,0.015368956743002546,0.09353689567430022,0.061170483460559824,0.17231552162849864,0.02340966921119594,0.010381679389312984,0.003867684478371502,0.08223918575063612,0.052111959287531824,0.03816793893129771,0.0,0.051094147582697244,0.04223918575063614,0.14910941475826978,0.04010178117048345,0.002035623409669211,0.025038167938931283
"Cape Breton CMA, NS, Canada",0.030189687416510815,0.007881378573336888,0.0794816991717873,0.01576275714667379,0.0801496126102057,0.08522575474218541,0.2230830884317393,0.011488111140796143,0.004141063318193959,0.004007480630510284,0.028720277851990366,0.036468073737643616,0.0686615014694095,0.0,0.03059043547956186,0.09885118888592041,0.14587229495057438,0.038071065989847774,0.004408228693561313,0.006946299759551158
"Sarnia CMA, ON, Canada",0.024161073825503372,0.008907870652837093,0.07345942647956066,0.011348383160463691,0.11702257474069568,0.07028676021964617,0.16973764490543006,0.01696156192800487,0.012812690665039653,0.002318486882245271,0.11824283099450898,0.039902379499694905,0.04966442953020132,0.0,0.05369127516778519,0.039170225747406945,0.12312385600976199,0.041366687004270875,0.007565588773642463,0.020256253813300783
"Granby CMA, QC, Canada",0.022271455223880614,0.00034981343283582093,0.057369402985074605,0.019939365671641788,0.06984608208955233,0.06284981343283583,0.1349113805970149,0.0326492537313433,0.00687966417910448,0.005946828358208957,0.21443563432835808,0.04314365671641787,0.03882929104477618,0.0,0.05165578358208966,0.03463152985074629,0.1324626865671641,0.03171641791044781,0.0017490671641791048,0.038362873134328346
"Prince George CMA, BC, Canada",0.038296430185268904,0.008472661545413464,0.0694758246723904,0.010845006778129234,0.09783099864437418,0.07953004970628107,0.15578400361500222,0.019430637144148197,0.007907817442385898,0.007794848621780385,0.0814505196565748,0.05128784455490283,0.027225485765928596,0.0,0.04643018526886584,0.06732941708088572,0.12211929507455946,0.06710347943967467,0.004179846362403974,0.037505648441030284
"Kawartha Lakes CMA, ON, Canada",0.035040831477357044,0.002672605790645879,0.05122494432071274,0.018856718634001502,0.14253897550111375,0.06622123236822568,0.14031180400890872,0.02271714922048993,0.011581291759465472,0.006087602078693396,0.07572383073496661,0.04498886414253889,0.05181885671863394,0.0,0.05048255382331109,0.06443949517446185,0.1325909428359317,0.04142538975501111,0.013511507052709718,0.027765404602821047
"Charlottetown CMA, PE, Canada",0.03661075058160884,0.0002448879637565812,0.0748132729276356,0.019958369046161363,0.07701726460144484,0.0891392188073955,0.14203501897881743,0.02767233990449368,0.011632178278437613,0.007836414840210599,0.05558956777274402,0.042855393657401736,0.04187584180237537,0.0003673319456348718,0.07199706134443495,0.12819884902657022,0.1286886249540836,0.028407003795763417,0.0028162115832006847,0.012244398187829067
"Sault Ste. Marie CMA, ON, Canada",0.007106759317751106,0.00505369551484523,0.06901452937460516,0.029374605180037896,0.0720151610865445,0.09080859128237527,0.19740998104864188,0.02274162981680354,0.006001263423878713,0.005053695514845231,0.10865445356917247,0.03995578016424513,0.040113708149083965,0.0,0.037113076437144635,0.06948831332912202,0.1527163613392292,0.032533164876816144,0.004264055590650665,0.010581174984207195
"Medicine Hat CMA, AB, Canada",0.036528387370805576,0.05167775732691488,0.07220727736089494,0.020387937137193817,0.09755061588560099,0.06909245363160134,0.16437774316862533,0.01500778705932324,0.007220727736089484,0.003681155316437775,0.04205012034546229,0.05493416395299448,0.03383831233187035,0.0,0.04304120062296473,0.07064986549624803,0.14809571003822725,0.04898768228797966,0.002690075038935299,0.017981027891830675
"Wood Buffalo CMA, AB, Canada",0.0004964010920824025,0.3153387937453461,0.051749813849590445,0.008811119384462641,0.08538098783817327,0.057954827500620504,0.06949615289153638,0.00955572102258625,0.02109704641350212,0.0016133035492678085,0.018490940680069505,0.042318193100024826,0.06229833705634166,0.0004964010920824025,0.03375527426160337,0.051749813849590494,0.08786299329858524,0.05137751303052862,0.0019856043683296096,0.028170761975676348
"North Bay CMA, ON, Canada",0.007970667941973543,0.025506137414315327,0.06456241032998566,0.010680695042244543,0.07715606567830384,0.08895265423242471,0.1938466443487963,0.018332536266539134,0.01163717519528136,0.007970667941973538,0.04941814124023597,0.03778096604495456,0.04957755459907541,0.0003188267176789415,0.04909931452255696,0.08401084010840103,0.14379084967320255,0.05898294277060418,0.005579467559381475,0.014825442372070776
"Vernon CMA, BC, Canada",0.02677058624195187,0.008302270416807861,0.07573703829210442,0.02355133852931209,0.10911555404947483,0.0655709928837682,0.15926804473059963,0.020162656726533366,0.016265672653337847,0.005930193154862759,0.07675364283293801,0.047102677058624205,0.03710606574042698,0.00033886818027787193,0.06997627922738053,0.03337851575737041,0.15808200609962722,0.03320908166723144,0.007285665875974249,0.02609284988139616
"Norfolk CMA, ON, Canada",0.08726499677003413,0.002103660024707693,0.0445274705229795,0.008553050845554463,0.10237353806513227,0.05742625216467311,0.1281802676231368,0.015251535179130764,0.007745731208621427,0.0031185957817262506,0.19423335914403475,0.04396466126146735,0.03340946688259353,0.00035061000411794877,0.03506100041179484,0.034285991892888404,0.11594122859703522,0.053638747492737456,0.002629575030884615,0.029940261096749323
