longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"SC-SD040, USA",0.9246216951629245,4.933745678433525e-05,0.012557627626173344,0.00885155053285474,0.04352165153302464,0.2588564896048606,0.2764643041742744,0.32010740339601174,0.14457180282485343
"SC-SD041, USA",0.898094439281603,0.00416553244593765,0.007016524679916811,0.0013998001658021432,0.08206749812330906,0.13015443191408493,0.3466088052686371,0.4283071030634432,0.09492965975383476
"SC-SD031, USA",0.917445583957989,0.0029976817773826364,0.005422687177930276,0.0007912987589852464,0.06898603583693852,0.31400624590035875,0.4058963654869042,0.22195792361291544,0.05813946499982167
"SC-SD038, USA",0.9068398889725889,0.0036330425561142687,0.003824999677400039,0.001970463759248417,0.06706476573767226,0.16407505800099484,0.3204634697143146,0.4078978228570761,0.1075636494276145
"WV-SD005, USA",0.8866264114412817,0.00483046694953794,0.031626668222980894,0.013946136465518982,0.05418882868590558,0.34073808525209937,0.45425496521096426,0.16216946848085462,0.0428374810560819
"SC-SD044, USA",0.8714202197004457,0.0061054138487894516,0.008569285185699738,0.006567278672487351,0.09808993658957346,0.19409223920308075,0.46868439354125535,0.2870413914071354,0.05018197584852855
"SC-SD039, USA",0.9260975105467031,0.0010494234970048154,0.011437368193304463,0.0018939065704719237,0.05433562046128392,0.1969314855897076,0.3029152323567803,0.3964654570776229,0.10368782497588913
"SC-SD028, USA",0.8859684454202776,0.0037982734349677207,0.007244064270550536,7.610661483824178e-05,0.08926190258494265,0.21821175430446121,0.498936815659318,0.23563644517837787,0.04721498485784284
"SC-SD042, USA",0.8722522381785864,0.01106893801159285,0.018052705214767623,0.02602138252211968,0.0659698350505567,0.2341346628211011,0.48884362512628216,0.238005855457513,0.03901585659510398
"SC-SD036, USA",0.9438147164724471,0.0022928286319214945,0.012285754298629617,0.0024637175238345146,0.03427480400820705,0.3006462684563174,0.35621630378697444,0.22499360336604907,0.11814382439065906
"SC-SD032, USA",0.932826297715349,0.002700737930418373,0.012045071697158264,0.009526768164178533,0.03375579300277321,0.21928800049624433,0.2891422837217627,0.3353774126774836,0.15619230310450938
"WV-SD003, USA",0.917479646670818,0.0018450610023293896,0.01884268548628889,0.005927258469983164,0.05120044281464056,0.33340625683657843,0.42733172901626193,0.18690293881718079,0.052359075329978855
