longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Historical Congressional District CA-6, 53rd-57th Congress, USA",0.058082452974458174,0.20518409665748144,0.19662641632680347,0.22476613402667545,0.19997618457435168,0.11536471544022982
"Historical Congressional District FL-4, 69th-72nd Congress, USA",0.07918839419348836,0.2354115913951211,0.19852873808648122,0.19919574370429174,0.1774022855448818,0.11027324707573578
"Historical Congressional District FL-4, 73rd-74th Congress, USA",0.07918839419348836,0.2354115913951211,0.19852873808648122,0.19919574370429174,0.1774022855448818,0.11027324707573578
"Historical Congressional District FL-4, 64th-68th Congress, USA",0.07918839419348836,0.2354115913951211,0.19852873808648122,0.19919574370429174,0.1774022855448818,0.11027324707573578
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",0.056577484468315634,0.20208466530373823,0.19178924820466642,0.21785033397549033,0.2069201817200917,0.12477808632769767
"Historical Congressional District IL-3, 23rd-27th Congress, USA",0.062473121061023526,0.22117625148088704,0.1933137561852256,0.2069251978436059,0.19630916155222009,0.1198025118770379
"Historical Congressional District CA-7, 58th-62nd Congress, USA",0.056720893128798806,0.2017200240438762,0.20034785446503142,0.2320587766029663,0.19436916694802966,0.11478328481129757
"Historical Congressional District TX-2, 41st-42nd Congress, USA",0.047099980035130266,0.19259860779699953,0.19527789476562554,0.214306591291311,0.2141040740568519,0.13661285205408186
"Historical Congressional District TX-2, 43rd Congress, USA",0.047099980035130266,0.19259860779699953,0.19527789476562554,0.214306591291311,0.2141040740568519,0.13661285205408186
"Historical Congressional District TX-4, 43rd Congress, USA",0.050060321921814005,0.18391269414903216,0.18477352902705316,0.2203865111790094,0.22002298864513883,0.14084395507795236
"Historical Congressional District TX-4, 41st-42nd Congress, USA",0.050060321921814005,0.18391269414903216,0.18477352902705316,0.2203865111790094,0.22002298864513883,0.14084395507795236
"Historical Congressional District IL-4, 28th-32nd Congress, USA",0.059060973109801136,0.21521267117764972,0.19417302414591595,0.21133418287567798,0.2007272617857248,0.11949188690523038
"Historical Congressional District TX-3, 47th Congress, USA",0.04575791710102263,0.1902090746920171,0.19626101692911133,0.21588252997075275,0.21492981879794829,0.13695964250914802
"Historical Congressional District TX-3, 44th-46th Congress, USA",0.04572445661178132,0.19023559446179644,0.19621155248286073,0.215847391126531,0.21495663199783135,0.13702437331919912
"Historical Congressional District NY-1, 17th Congress, USA",0.0666678087170449,0.22342174809404342,0.19536926013924502,0.21808331062194525,0.17830409239155534,0.11815378003616599
"Historical Congressional District NY-1, 13th-16th Congress, USA",0.0666678087170449,0.22342174809404342,0.19536926013924502,0.21808331062194525,0.17830409239155534,0.11815378003616599
"Historical Congressional District NY-1, 6th-7th Congress, USA",0.06681645827763245,0.22388484727693608,0.19525191168692377,0.21727391383956965,0.17842757222700695,0.11834529669193102
"Historical Congressional District NY-1, 1st-2nd Congress, USA",0.06681645827763245,0.22388484727693608,0.19525191168692377,0.21727391383956965,0.17842757222700695,0.11834529669193102
"Historical Congressional District FL-1, 44th-47th Congress, USA",0.10286939444409257,0.2702170599388119,0.17835641979764053,0.17997776579894342,0.16793246265167028,0.10064689736884125
"Historical Congressional District FL-1, 48th-57th Congress, USA",0.09979015253138103,0.2668601315523951,0.17953932890118773,0.18224089160410453,0.16976858525691982,0.1018009101540118
"Historical Congressional District NY-2, 3rd-5th Congress, USA",0.0669396476046456,0.22301737340813893,0.19480586603363145,0.21876921616240602,0.17791255308432927,0.11855534370684873
"Historical Congressional District NY-1, 11th-12th Congress, USA",0.0669396476046456,0.22301737340813893,0.19480586603363145,0.21876921616240602,0.17791255308432927,0.11855534370684873
"Historical Congressional District TX-3, 41st-42nd Congress, USA",0.04282476953473482,0.18711452002857268,0.19410708423563744,0.21779468430978002,0.21730756803962722,0.14085137385164784
"Historical Congressional District TX-3, 43rd Congress, USA",0.04282476953473482,0.18711452002857268,0.19410708423563744,0.21779468430978002,0.21730756803962722,0.14085137385164784
"Historical Congressional District CA-19, 73rd-77th Congress, USA",0.05628779598428419,0.20198388927332273,0.19380982800884375,0.2109795970665627,0.21002702094245992,0.1269118687245268
"Historical Congressional District NY-1, 33rd Congress, USA",0.0693648199799222,0.2317339923111442,0.19634986049228745,0.20619263088135192,0.179983116333854,0.11637558000144003
