longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"Wickliffe, Cherokee OTSA, USA",0.00947867298578199,0.022116903633491312,0.08372827804107424,0.007898894154818327,0.06003159557661927,0.044233807266982623,0.2037914691943128,0.025276461295418638,0.007898894154818327,0.012638230647709319,0.1674565560821485,0.04897314375987362,0.014218009478672987,0.0,0.014218009478672987,0.036334913112164295,0.09162717219589256,0.13270142180094788,0.00947867298578199,0.007898894154818327
"Mazie, Cherokee OTSA, USA",0.0,0.053571428571428575,0.20089285714285712,0.0,0.18303571428571427,0.0,0.11607142857142858,0.0,0.0,0.0,0.11607142857142858,0.0,0.0,0.0,0.0,0.0,0.21875,0.049107142857142856,0.0,0.0625
"Cayuga, Cherokee OTSA, USA",0.059490084985835696,0.005665722379603399,0.056657223796033995,0.0,0.09065155807365438,0.06232294617563739,0.16997167138810199,0.005665722379603399,0.014164305949008499,0.0,0.09915014164305949,0.08781869688385269,0.059490084985835696,0.0,0.028328611898016998,0.036827195467422094,0.15297450424929177,0.0538243626062323,0.0028328611898016994,0.014164305949008499
"Sour John, Cherokee OTSA, USA",0.007371007371007372,0.01965601965601966,0.07616707616707617,0.12530712530712532,0.11302211302211301,0.049140049140049144,0.07616707616707617,0.0,0.00982800982800983,0.0024570024570024574,0.1154791154791155,0.04422604422604423,0.04422604422604423,0.0,0.04422604422604423,0.07862407862407864,0.1326781326781327,0.04176904176904177,0.0024570024570024574,0.017199017199017202
"Hardrock District, Hopi Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.040258806613946804,0.0381020848310568,0.05176132278936019,0.2552120776419843,0.24227174694464418,0.007907979870596694,0.02947519769949677,0.0,0.02947519769949677,0.008626887131560032,0.0,0.0,0.007907979870596694,0.15528396836808056,0.09273903666427033,0.03522645578720346,0.005751258087706687,0.0
"Indian Point Segment, Bois Forte Reservation and Off-Reservation Trust Land, USA",0.021276595744680847,0.009118541033434648,0.09118541033434649,0.045592705167173245,0.08206686930091184,0.1732522796352583,0.09118541033434649,0.03343465045592704,0.0030395136778115497,0.0030395136778115497,0.06686930091185408,0.006079027355623099,0.0030395136778115497,0.0,0.012158054711246199,0.20972644376899693,0.11854103343465043,0.024316109422492398,0.0030395136778115497,0.0030395136778115497
"Dodson District, Fort Belknap Reservation and Off-Reservation Trust Land, USA",0.4293177498523862,0.0383449752877602,0.012243927304289116,0.000611771685502727,0.019442428916069076,0.06636188991604335,0.07762666737988597,0.016112168492833583,0.0032324741895610348,0.0033734838657721797,0.00015294292137568174,0.07232065137480445,0.0049884836760455175,0.0,0.0032402698097706802,0.1220392458610606,0.0744825200200348,0.04915970725184793,0.006642756352205559,0.0003058858427513635
"Iron Post, Cherokee OTSA, USA",0.0,0.0,0.056042031523642746,0.0035026269702276716,0.12959719789842383,0.09281961471103331,0.17513134851138357,0.04378283712784589,0.014010507880910687,0.0,0.18914185639229428,0.026269702276707538,0.033274956217162886,0.0,0.0,0.026269702276707538,0.08406304728546413,0.04203152364273206,0.04203152364273206,0.04203152364273206
"Bull Hollow, Cherokee OTSA, USA",0.07443820224719101,0.001404494382022472,0.018258426966292134,0.02387640449438202,0.07443820224719101,0.11938202247191011,0.18117977528089887,0.02106741573033708,0.011235955056179777,0.014044943820224719,0.16713483146067415,0.019662921348314606,0.0351123595505618,0.0,0.005617977528089888,0.07303370786516854,0.10393258426966293,0.03089887640449438,0.008426966292134831,0.016853932584269662
"Ketchum Community, Cherokee OTSA, USA",0.025193798449612403,0.021317829457364344,0.1298449612403101,0.009689922480620157,0.06395348837209301,0.029069767441860465,0.1492248062015504,0.03294573643410852,0.009689922480620157,0.011627906976744188,0.04651162790697675,0.054263565891472874,0.1065891472868217,0.0,0.013565891472868219,0.03875968992248063,0.1414728682170543,0.07751937984496125,0.03294573643410852,0.005813953488372094
"Shongopovi District, Hopi Reservation and Off-Reservation Trust Land, USA",0.019823788546255505,0.009911894273127752,0.020925110132158586,0.009911894273127752,0.09911894273127751,0.17180616740088103,0.15638766519823788,0.0066079295154185015,0.0,0.0,0.04405286343612334,0.01762114537444934,0.05396475770925109,0.0,0.007709251101321585,0.2654185022026432,0.10462555066079293,0.0066079295154185015,0.005506607929515418,0.0
"Rocky Ford, Cherokee OTSA, USA",0.058064516129032254,0.03225806451612903,0.051612903225806445,0.11290322580645161,0.05483870967741935,0.08709677419354839,0.12580645161290324,0.003225806451612903,0.0,0.00967741935483871,0.0935483870967742,0.01935483870967742,0.00967741935483871,0.0,0.04516129032258064,0.03225806451612903,0.12903225806451613,0.06451612903225806,0.006451612903225806,0.06451612903225806
"Sycamore Springs, Cherokee OTSA, USA",0.09814323607427056,0.0,0.03183023872679045,0.03978779840848806,0.13527851458885942,0.13527851458885942,0.0,0.03978779840848806,0.0,0.0,0.05039787798408488,0.16445623342175064,0.0,0.0,0.05835543766578249,0.013262599469496022,0.14854111405835543,0.08488063660477452,0.0,0.0
