longname,Population (2000),Population Change (2000-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density (2000),White % (2000),Hispanic % (2000),Black % (2000),Asian % (2000),Native % (2000),Hawaiian / PI % (2000),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Segregation (2000) %,Segregation Change (2000-2020) %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Housing Units per Adult (2000),Vacancy % (2000),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Wakpamni District, Pine Ridge Reservation, USA",5465.0,0.07758462946020128,331.2307047751137,-0.12041978600175439,5.043501468158501,0.06093321134492223,0.015919487648673375,0.0012808783165599268,0.00036596523330283625,0.909423604757548,0.00036596523330283625,0.01171088746569076,0.8724878305710219,-0.015423177255326381,0.2404139655046539,-0.06163603440742585,0.06932041080629978,-0.023393280314524575,0.4513245033112583,0.08657373440939105,1208.9881263185005,-0.22518587423200775,590.7495995358086,-0.1690260684582895,174.81308109145942,-0.17213488305046437,57.92038985824821,-0.07776666551478331
"Kayenta Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",6315.0,-0.09073634204275534,442.0368633353812,-0.19154495887325568,4.443871538992513,0.05178147268408551,0.008392715756136183,0.0014251781472684087,0.0009501187648456057,0.9273159144893112,0.00015835312747426763,0.009976247030878859,0.8789525790303367,0.03102313370191101,0.11846335404765257,-0.04986197177270778,0.015846460730879003,-0.009075470592909547,0.5808349677780891,0.21948866377231066,2292.9530023486154,-0.4557143870452519,772.602360609688,-0.08756388726873585,224.82788020857697,-0.005901360716276675,76.74376062875754,-0.0013981361432302357
"Ronan District, Flathead Reservation, USA",4822.0,0.13625051845707176,184.0230514770144,-0.057318894459695416,10.926150035806684,0.5839900456242223,0.03318125259228536,0.00041476565740356696,0.0010369141435089175,0.3434259643301535,0.00020738282870178348,0.03774367482372459,0.5949556467029249,-0.05947819712829916,0.24712471610845546,-0.032617603423000935,0.11644680273919296,0.01836467365779855,0.5348281016442451,0.07322526551145891,636.9471919104001,-0.1836328603782453,327.9201778615557,-0.13286465382912604,83.76080080449408,0.0809339009000335,38.11250944315354,0.17645674092912872
"Wagoner Non-Community, Cherokee OTSA, USA",5664.0,-0.05014124293785311,100.8299391339737,-0.060844399659703285,22.138433636493943,0.7609463276836158,0.019067796610169493,0.009887005649717515,0.001059322033898305,0.15148305084745764,0.00035310734463276836,0.05720338983050847,0.6399629780080995,-0.0969009287541659,0.08588012249153286,-0.0016961446735088287,0.04860275298660449,-0.0027945633162232628,0.7283223907629612,0.26577556729872553,671.9485730121042,-0.20209061530434058,228.21739822814467,-0.14460085092067712,47.442686376149446,-0.04027085469688417,27.536348149663063,0.06609147711772674
"Fort Defiance Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",5754.0,-0.08237747653806048,270.5951567971796,-0.2796043768755032,16.344724333567864,0.03267292318387209,0.01129648939867918,0.0012165450121654502,0.0020855057351407717,0.9402155022592978,0.0001737921445950643,0.012339242266249566,0.9077967597199952,-0.02614803457114978,0.18933113734621493,-0.004748845182999367,0.01934581539133915,0.0027858936549847134,0.575270388775212,0.1991869918699187,885.2099465602402,-0.11374909032369876,476.07386928642575,-0.254673143496708,156.80552680952584,-0.29677172378354055,72.7749115730161,-0.1497393365189381
"St. Michaels Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",6147.0,-0.15064258988124288,346.5555258677963,-0.3053379617239544,20.4457676388642,0.03530177322271027,0.014803969415975272,0.0016268098259313486,0.0021148527737107534,0.9389946315275745,0.0,0.007157963234097934,0.8988305022360263,0.013813782347655401,0.14024390598418576,-0.048417816005691616,0.023352516965083527,-0.005921212223424649,0.5055176037834997,0.1366943866943867,1250.9281292803564,-0.308493876960106,674.3059644104889,-0.34000971390280404,136.75927675294727,-0.1510121788539677,62.40958033545705,-0.10801795452519825
"Wolf Point District, Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",4477.0,0.015858834040652223,436.315971071911,0.04957171591313108,2.8105954769515766,0.4643734643734644,0.01652892561983471,0.00044672771945499217,0.00625418807236989,0.48737994192539646,0.0008934554389099843,0.024123296850569576,0.6559660992972073,-0.08272526783531087,0.3694972824405006,-0.11166756190903449,0.18712674891395709,-0.06074596036989269,0.5870077415011781,0.10321100917431193,1044.6024664250479,0.0411269855826015,738.1794672752742,0.041726690916238665,222.15753112562925,0.04945982726669776,62.891047151822114,0.045222999794804715
"Mission District, Flathead Reservation, USA",3621.0,0.11737089201877934,87.17313131551319,-0.1296528740008312,7.939428733453345,0.636012151339409,0.026512013256006627,0.0019331676332504833,0.0011046672190002762,0.3128969897818282,0.0005523336095001381,0.020988677161005248,0.6570720575773427,-0.0367137617697777,0.30941967056546793,-0.01126887690589401,0.1554272874422355,0.0047887583190566185,0.5857487922705314,0.07216494845360824,386.5992681177911,-0.059767461092818164,190.44337202578774,-0.15251251283276404,39.46778868806443,0.002895368948205745,19.26981879245311,0.07406823306828433
"Pablo District, Flathead Reservation, USA",3431.0,0.1565141358204605,149.26581289720315,-0.08417192174738633,14.085354375313049,0.5561060915185078,0.0288545613523754,0.001457301078402798,0.0026231419411250363,0.35529000291460217,0.0002914602156805596,0.055377440979306324,0.5601455920131053,-0.015102599348897683,0.213993437979342,0.048648582750871416,0.1095051585875893,0.01692563411223527,0.5509751773049646,0.06838294448913917,655.7595574912368,-0.025910706443865932,289.6770259234787,-0.09696395022293537,72.0273530892311,0.20562995182610533,38.07615019071052,0.129785318132174
"Antelope Segment, Rosebud Indian Reservation and Off-Reservation Trust Land, USA",3108.0,0.21653796653796653,165.79674310119557,0.10235550969651777,2.7879828920709433,0.1994851994851995,0.01833976833976834,0.001287001287001287,0.00032175032175032174,0.7557915057915058,0.0,0.024774774774774775,0.742189691283511,0.027915164694455874,0.34029741263956925,-0.08223827027518144,0.07824674964703063,-0.0007183629819010051,0.57088948787062,0.09537299338999056,580.203953775378,0.07588525560085412,305.5971546676319,0.17271061551683659,76.23685640195059,0.021066628979279352,33.88914034887507,0.04740550602249057
"Long Hollow District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",3199.0,0.14379493591747422,438.50445542908915,-0.1722977381366182,21.743120411166107,0.5739293529227883,0.009065332916536417,0.0009377930603313535,0.0025007814942169426,0.39012191309784305,0.0,0.023444826508283837,0.5986859772000777,-0.04861802335576759,0.22464706876146381,-0.0034971455656186146,0.12780659742022055,0.02031902184427206,0.5846702317290553,0.08384146341463415,994.4482438582666,-0.09596323378297067,647.9444003032954,-0.15791857473226573,172.45000275584528,-0.06121105190520453,49.96491328118014,0.09384125584672044
"Park Hill, Cherokee OTSA, USA",3940.0,-0.07766497461928934,132.050290758167,-0.11044709036364583,43.5861307544741,0.4309644670050761,0.048223350253807105,0.007614213197969543,0.0007614213197969543,0.4398477157360406,0.0,0.07258883248730964,0.46590554562089403,-0.06661717542833906,0.12914690561257328,-0.02325128378081992,0.0635994190012203,-0.009340219872330614,0.5351118085523735,0.07917888563049853,884.6261536183201,-0.3868770128266382,267.5056894053885,-0.1717016796371649,105.02654891961977,0.04093055224610609,72.94886509011633,0.14797021637455007
"Shell Creek Segment, Fort Berthold Reservation, USA",2159.0,0.6405743399722094,332.6090621593845,0.4629531646259854,3.8642214801120676,0.2978230662343678,0.019916628068550254,0.0013895321908290875,0.0018527095877721167,0.6368689207966651,0.0009263547938860583,0.041222788327929596,0.6103043057587638,-0.09628926713793917,0.2264437640316483,-0.03891128061299168,0.1176177932733846,0.0029472985489207293,0.6515463917525773,0.20991561181434598,861.0071590730896,0.7367097795364568,615.6092558042285,0.5055923073663354,120.63944686365666,0.43650208057400897,33.44763867834979,0.5440932557298754
"District 3, Gila River Indian Reservation, USA",3014.0,0.10816191108161911,319.97113850949444,0.06603816655981146,19.935307124358175,0.0776376907763769,0.05938951559389516,0.004976775049767751,0.00033178500331785003,0.8443928334439283,0.0,0.013271400132714,0.8297002163722842,-0.022633033381497136,0.38520904861664707,-0.3489977491245274,0.14529175965776375,-0.05209511988104075,0.3724719101123595,0.027149321266968326,1133.5464947507483,0.14843084279988897,614.2734467413702,-0.13877073602155787,143.3013629070506,0.24215204497762471,55.31777505528278,0.16726636186061464
"Church Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",2800.0,0.1767857142857143,102.18327125220942,0.012522733267452334,12.438928363748417,0.014285714285714285,0.017857142857142856,0.00035714285714285714,0.0,0.9610714285714286,0.0,0.0064285714285714285,0.9401894759624148,-0.021891284476316053,0.21322055673424148,-0.024186720079992174,0.12867120772903776,-0.03430430045001348,0.5534097767048883,0.21046892039258452,442.7854219043708,0.09371096063366391,200.07095059036877,0.0441844753378191,62.690819458116486,-0.04571215092551846,42.25783287649708,-0.054096253231231226
