longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"Western District of Pennsylvania, PA, USA",0.8333650882119169,0.0031877594089484177,0.031070537532525307,0.03324092691734125,0.0907066205416518,0.28959929740336665,0.3573304666947248,0.28080348588472154,0.07226675001718698
"District of Connecticut, CT, USA",0.8196728569773033,0.0029799287885532892,0.026500533143640297,0.03848692849801673,0.10400951039698038,0.2630855597882383,0.382719880179517,0.2644506863883259,0.08974387364391871
"Western District of Michigan, MI, USA",0.8769611541961778,0.005814188029187213,0.025948063252468703,0.010317930529508124,0.07451005891684968,0.3404582177425426,0.407049026924564,0.2043408500308331,0.04815190530206018
"Southern District of California, CA, USA",0.8040110711769073,0.009612609329293977,0.029324302303713103,0.023735367881496328,0.12241984727048046,0.21133156580803716,0.41321137999995244,0.30486572325546485,0.07059133093654561
"Eastern District of Wisconsin, WI, USA",0.8706989490041649,0.004584857158033045,0.022512487739895004,0.014216933981099944,0.08140204830592877,0.3232357223127528,0.4008329078538145,0.23091818985499674,0.04501317997843609
"Northern District of New York, NY, USA",0.8464146937528287,0.0036767699519622055,0.039023873225716155,0.02028988432168081,0.08243483740052052,0.33730980932086346,0.3903896235974874,0.22184889677090786,0.0504516703107413
"Middle District of Pennsylvania, PA, USA",0.872505002747851,0.003652648739910674,0.030147230852446534,0.010083570761269905,0.07582691419906593,0.30643540487511606,0.3711866255576132,0.24198782185188877,0.08039014771538185
"Western District of North Carolina, NC, USA",0.8477272392607913,0.0020019024636989944,0.015110006107480844,0.01047452366293856,0.1150203266188792,0.25623382836134156,0.4024882948652982,0.2787923110121963,0.062485565761163826
"District of Puerto Rico, PR, USA",0.904224536890377,0.0020737580704958606,0.025179453008986753,0.013321784964759928,0.04176895758098514,0.2037930545099936,0.36026836099082515,0.317106134223023,0.11883245027615835
"District of Utah, UT, USA",0.8263782892242119,0.007703774326827909,0.021610463571178656,0.01961760269096763,0.11799686572119959,0.32818912794663396,0.4018947188919847,0.22193833312137992,0.04797782004000139
"Western District of Missouri, MO, USA",0.8832238310079944,0.003058761153073321,0.021994546835962338,0.00690021113499395,0.0764891604556836,0.31438583676328474,0.38886068996769424,0.2485915173300009,0.048161955939020104
"District of Nevada, NV, USA",0.8596050677005469,0.00529869593598378,0.01588258160688028,0.026534709135820032,0.07411076255881134,0.23239536788480722,0.4317302875340444,0.2820029787517487,0.05387136582939981
"Middle District of North Carolina, NC, USA",0.8717579624982496,0.0035020532789026364,0.014790092915853722,0.011366782710344907,0.08941055034252046,0.26460089096638584,0.4087147379252784,0.2666811756837674,0.06000319542456838
"Northern District of Alabama, AL, USA",0.9178831564389123,0.001681720848027741,0.00959820773039505,0.0034577223087753598,0.06063544608275562,0.2519566225468122,0.38880796032739195,0.28905005161208,0.07018536551371594
"District of Kansas, KS, USA",0.8807752026186052,0.004216798091826016,0.022103154065068287,0.004057922349307399,0.08094615014243314,0.40042454767253666,0.38274814600091794,0.18220598714882721,0.03462131917771819
"Eastern District of Missouri, MO, USA",0.8670646397196101,0.00296296402350327,0.016223641861477317,0.014295818204725853,0.09184615781094299,0.26195027474931243,0.3892871810192407,0.28918242077358625,0.0595801234578606
"Western District of New York, NY, USA",0.8622381471791832,0.0048394872459164105,0.02944758348269895,0.0191743998451149,0.07601976975043255,0.3275738994872182,0.42027917044537055,0.21343250263674146,0.03871442743066969
"Eastern District of Tennessee, TN, USA",0.902777531587434,0.0019560519799125533,0.01374397452149193,0.0038492307230299496,0.07080032113647529,0.267054914988059,0.40913301894600373,0.2674580036899509,0.05635406237598646
"Middle District of Tennessee, TN, USA",0.8696740656187817,0.0018394545650866124,0.01183498125838745,0.006744666738650912,0.10100803652686298,0.22458787850190673,0.360160945080494,0.32437983382163066,0.09087134259596866
"Northern District of Indiana, IN, USA",0.8978108044857297,0.0064229522756535625,0.022331067754827964,0.009667920053388155,0.05592111519718306,0.32166175849703144,0.3844139189968063,0.2309952226370273,0.06292909986913495
"Western District of Wisconsin, WI, USA",0.8439278300233457,0.009270549993465237,0.036526654695100635,0.012709871139437176,0.08981314853506779,0.36529258983456964,0.36042002858298755,0.2227638527418564,0.05152352884058641
"Western District of Virginia, VA, USA",0.8778624406446014,0.0036115538027545737,0.024288028598459736,0.009607117323178522,0.07521801034893809,0.29085883807117896,0.36893837530492474,0.25667282409229475,0.08352996253160162
"Western District of Kentucky, KY, USA",0.8915472790326241,0.002292566863905445,0.02041655986409181,0.010093781662809997,0.06477819211054908,0.3101403734675945,0.4049037379873094,0.2331408841665172,0.05181500437857895
"Eastern District of Kentucky, KY, USA",0.8929007106509668,0.0023525877294699967,0.021503776333890202,0.00652549431960992,0.06881010357065251,0.2989243630814037,0.38148898433787654,0.2508833977646325,0.06870325481608727
"Central District of Illinois, IL, USA",0.8798835187725755,0.005710239348575411,0.0303904800468987,0.010469611534502175,0.06629679545678893,0.3984389833434021,0.3715866919823941,0.1836335979977561,0.046340726676447744
"Western District of Oklahoma, OK, USA",0.8987455224112788,0.004130070627720552,0.018279702634914803,0.003654334667200615,0.06539261766184809,0.3340088080180671,0.38990782831130255,0.2286927470771491,0.047390616593481295
"Western District of Louisiana, LA, USA",0.9169063123922798,0.002763949168166755,0.017299629785137764,0.006307652257831436,0.043386575712394265,0.3258717180764862,0.3851542907138218,0.21857171353389507,0.0704022776757969
"District of New Mexico, NM, USA",0.8752348546240015,0.0069968926493179495,0.01897884589591897,0.008047328208139522,0.08218869294032917,0.3327193308846916,0.3816590100561321,0.22338391485505243,0.06223774420412389
"Middle District of Georgia, GA, USA",0.9067987997094313,0.0037749951994166106,0.017769731626869834,0.005775568692194999,0.05551401371870536,0.31577863949039453,0.39563837750065284,0.21921936435330833,0.06936361865564436
"District of Nebraska, NE, USA",0.8819667672840018,0.003842389060139438,0.025105008303679715,0.0058580685670978315,0.07626887324915338,0.41372345699323937,0.3882244192415016,0.1638214136498542,0.03423071011540485
"Northern District of Florida, FL, USA",0.8656031012912094,0.009707488481403797,0.021365391094817037,0.009914656902978559,0.08415505467038219,0.26515345942168944,0.39851177625683853,0.2732199449802606,0.06311481934121148
"Southern District of Mississippi, MS, USA",0.9267469630361213,0.0018438949904408038,0.014444060055125538,0.0027107718341547165,0.03743897256416454,0.27183312336643417,0.3831403034645484,0.26478560369044235,0.08024096947857508
