longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness
"Cleveland OH HRR, USA",2068100.0,2068500.0,-0.00019337684312303603,2147496.0,-0.03697143091302615,1337.8239114053729,1384.5395597912598,-0.03374092712304296,1649.2394092420159,-0.18882370630457368,273.59574163194264,273.64865894573444,284.09929924647275,7558.96267852784,0.1024149431483279
"Oklahoma City OK HRR, USA",2039930.0,1878299.0,0.08605179473555595,1702349.0,0.1983030506670489,870.022534991337,833.9905318283511,0.04320433120984387,818.9445379398136,0.0623705204506502,21.720714164463487,19.99970376159849,18.126227878976366,93916.34108133789,0.11352358899622719
"San Jose CA HRR, USA",1914363.0,1761797.0,0.08659680996164712,1667304.0,0.14817873645118107,3294.225893644856,3114.8575144623633,0.057584778228115044,3060.39063553698,0.07640699699986081,277.3755694487779,255.27000162881785,241.5787373890037,6901.700116576126,0.18671086065119433
"Richmond VA HRR, USA",1911073.0,1733891.0,0.10218750774991046,1484789.0,0.2871007260964353,847.9161243201912,782.3363953786055,0.08382548649018036,739.6452394702044,0.14638218306865527,72.63030048814205,65.89650125541259,56.42938350941484,26312.33778678928,0.038622244615622046
"Jacksonville FL HRR, USA",1891874.0,1626034.0,0.16348981632610388,1366768.0,0.3841954157545392,890.056296090916,809.5550209324501,0.099438917772067,859.0512955910604,0.036092141015308096,80.13634701565108,68.87584737844445,57.893810442919246,23608.188674116955,0.05618283147018156
"Albany NY HRR, USA",1863868.0,1842691.0,0.011492431449439977,1775328.0,0.04987247426954343,830.6185806505224,824.968081541849,0.006849354823659084,801.7936593028186,0.03595054789129647,59.83763162132653,59.1577650616534,56.995142827188616,31148.759559790215,0.11219009185680617
"Louisville KY HRR, USA",1856424.0,1758727.0,0.055549838036261456,1605823.0,0.15605767260775316,817.9595167862415,799.2841430971905,0.023365124718582198,824.166349209041,-0.007531043252076769,60.71226817876065,57.517197190527156,52.51664308564313,30577.41138140255,0.10163423610947675
"Memphis TN HRR, USA",1789508.0,1816203.0,-0.014698246836944989,1738852.0,0.02913186401142823,811.4743311723869,828.8137662670662,-0.020920785585856274,903.3114044086757,-0.10166712474576477,43.371934178147754,44.01893535550245,42.14419521429386,41259.584888460304,0.044368816122412245
"Albuquerque NM HRR, USA",1755033.0,1725843.0,0.01691347358942847,1523872.0,0.15169318682934,961.9762235179231,948.1135766654822,0.01462129347540392,844.1728263525732,0.139548909284778,6.608234704234825,6.4983254483880035,5.73784301218936,265582.7279977365,0.15979350859344738
"Cincinnati OH HRR, USA",1744758.0,1673852.0,0.04236097337160036,1616403.0,0.07940779619933891,1081.858839060166,1036.7504378523388,0.04350941129214346,1129.193249433798,-0.04191878617532159,145.22735760596635,139.32539812596474,134.54355074821655,12013.976076972433,0.17184411676132894
"Spokane WA HRR, USA",1714620.0,1515313.0,0.13152860168163277,1319216.0,0.29972650422675284,967.5435106609331,902.7792769189068,0.071738724401229,836.7120222844615,0.15636382039696822,11.759874785968359,10.392909881810589,9.047961050055426,145802.5728340109,0.2137255134705071
"Alameda Co. CA HRR, USA",1710484.0,1536767.0,0.11304055852318537,1468145.0,0.16506475858992128,3880.531656600829,3563.865416548506,0.08885471336316755,3604.748024331624,0.0765056615352025,823.2808762040595,739.6683525139574,706.639583880708,2077.6433042956255,0.1630262542985783
"Newark NJ HRR, USA",1702239.0,1533226.0,0.11023358591623153,1521180.0,0.11902536189011162,6343.500451535977,5565.27024670277,0.13983691183627267,5681.163916147545,0.11658465503976675,3016.6394216699746,2717.121387730729,2695.773951516757,564.2832178655483,0.10134436586439649
"Detroit MI HRR, USA",1695867.0,1734457.0,-0.02224903817160068,1935177.0,-0.12366310678558086,1766.8287618634004,1797.2394066456743,-0.016920753389795557,2253.23845260215,-0.2158713784495467,396.87944769016104,405.9105673984656,452.8845593096055,4273.002822065865,0.18298797783140405
"Tampa FL HRR, USA",1680112.0,1384583.0,0.21344260329644377,1064346.0,0.5785393095854168,1356.6305072565328,1219.9404530839752,0.11204649688188391,1204.1642481383897,0.126615832810061,458.1219561220831,377.5390404766957,290.21890892435425,3667.3902604927184,0.1539411177601439
"Mesa AZ HRR, USA",1630801.0,1384064.0,0.17826993549431241,1046947.0,0.5576729290021367,1866.0773505371205,1743.1064261955244,0.07054699729952262,1847.1610032711355,0.010240767985295302,263.87299641347676,223.94952842684194,169.4020557849181,6180.249673765824,0.2840920130405122
"Little Rock AR HRR, USA",1566327.0,1557326.0,0.005779778928753517,1460719.0,0.07229864197015305,459.30073030782495,457.0279351299503,0.0049729896209263135,461.0335401938288,-0.003758533240933702,20.423971363060843,20.30660368297941,19.046905930548906,76690.61869293876,0.21784634368957423
"Lexington KY HRR, USA",1556604.0,1514461.0,0.02782706190519267,1423268.0,0.09368298872735142,579.9166025026396,529.0399429030681,0.09616789862857915,502.1931982875973,0.15476793489053098,35.91045620751635,34.93822797480375,32.83442878571517,43346.81773477972,0.1434955438559096
"San Francisco CA HRR, USA",1549413.0,1437089.0,0.07816078196966228,1385709.0,0.11813735784352992,6682.0258615232915,6159.9666180897175,0.08475033645482175,6163.520764999922,0.08412482350473205,1026.5804800694928,952.1589889348982,918.1166096170723,1509.2952087839376,0.04667400841395876
"Hartford CT HRR, USA",1503119.0,1510085.0,-0.004612985361751159,1428469.0,0.05225874695215647,1035.3126900021432,1060.5576494619506,-0.02380347685259248,1047.1789377255188,-0.011331633301515043,174.9985698565699,175.80957686108576,166.30754589919,8589.321622639358,0.1873357369569719
"New Haven CT HRR, USA",1485462.0,1481410.0,0.002735231974942791,1412288.0,0.051812378211809486,1200.8215635834267,1159.2419334649428,0.03586794862932842,1130.2353745526407,0.06245264536931063,325.6552168035014,324.766903983323,309.6134097196585,4561.45617619975,0.07871278481722106
"Bronx NY HRR, USA",1479150.0,1386227.0,0.06703303282939951,1327357.0,0.11435732813402875,20164.377127757758,18984.71461570307,0.06213748986666038,18211.456698833284,0.10723581650937276,11030.226818211011,10337.287111873844,9898.285352222638,134.09969027635125,0.09697297045858401
"Ann Arbor MI HRR, USA",1477632.0,1401260.0,0.054502376432639194,1336883.0,0.10528146442134427,1079.1022020704181,1026.3962584097944,0.051350483040810684,1092.85184271417,-0.01258143154117195,182.20091273195334,172.78378579698932,164.84571450525704,8109.904488644537,0.20956811872203915
"Knoxville TN HRR, USA",1456914.0,1379106.0,0.056419158498331526,1239021.0,0.17585900481105646,430.9764238783646,394.65446485647936,0.09203483618282164,377.68391708147016,0.1411034581739913,61.91026919892315,58.60388719845517,52.651099277732904,23532.671055246214,0.056213735892104134
"Durham NC HRR, USA",1446551.0,1366642.0,0.05847105533124256,1222566.0,0.18320892287205762,539.9901862993942,472.8128099060477,0.14208027994566236,465.6449603898886,0.15966075493924745,61.51803579423743,58.11971473795823,51.99253876898752,23514.258563754447,0.062219641900565434
