longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Çanakkale Urban Center, Turkey",,,,,,,,,,,,,,
"Muş Urban Center, Turkey",,,,,,,,,,,,,,
"Hansi Urban Center, India",,,,,,,,,,,,,,
"Wuwei (Anhui Sheng) Urban Center, China",,,,,,,,,,,,,,
"Arad Urban Center, Romania",,,,,,,,,,,,,,
"Cartagena Urban Center, Spain",,,,,,,,,,,,,,
"Al Madhatiyah Urban Center, Iraq",,,,,,,,,,,,,,
"Fangcheng (Guangxi Zhuangzu Zizhiqu) Urban Center, China",,,,,,,,,,,,,,
"Biswan Urban Center, India",,,,,,,,,,,,,,
"Likuni Urban Center, Malawi",,,,,,,,,,,,,,
"Al Zawiyah Urban Center, Libya",,,,,,,,,,,,,,
"Uduagba Urban Center, Nigeria",,,,,,,,,,,,,,
"Turkestan Urban Center, Kazakhstan",,,,,,,,,,,,,,
"Zhenxiong Urban Center, China",,,,,,,,,,,,,,
"Sohar Urban Center, Oman",,,,,,,,,,,,,,
"Jahrom Urban Center, Iran",,,,,,,,,,,,,,
"Yambio Urban Center, South Sudan",,,,,,,,,,,,,,
"Léogâne Urban Center, Haiti",,,,,,,,,,,,,,
"Anyue Urban Center, China",,,,,,,,,,,,,,
"Shenqiu Urban Center, China",,,,,,,,,,,,,,
"Al Majar al Kabir Urban Center, Iraq",,,,,,,,,,,,,,
"Fresnillo Urban Center, Mexico",,,,,,,,,,,,,,
"Shangzhi Urban Center, China",,,,,,,,,,,,,,
"Zipaquirá Urban Center, Colombia",,,,,,,,,,,,,,
"Sangyuan Wangjia Urban Center, China",,,,,,,,,,,,,,
"Annecy Urban Center, France",,,,,,,,,,,,,,
"Balanga Urban Center, Philippines",,,,,,,,,,,,,,
"Khambhat Urban Center, India",,,,,,,,,,,,,,
"Rawang Urban Center, Malaysia",,,,,,,,,,,,,,
"Doba Urban Center, Chad",,,,,,,,,,,,,,
"Visalia Urban Center, USA",0.1366911928630548,,0.3612334612829565,0.33785517001970317,0.30091136869734025,,,,0.6855258264338244,0.21704980641741908,0.09742436714875666,,,
"Osnabrück Urban Center, Germany",,,,,,,,,,,,,,
"Dazu Urban Center, China",,,,,,,,,,,,,,
"San Francisco del Rincón Urban Center, Mexico",,,,,,,,,,,,,,
"Anxiang Urban Center, China",,,,,,,,,,,,,,
"Shrirampur Urban Center, India",,,,,,,,,,,,,,
"Barreiro Urban Center, Portugal",,,,,,,,,,,,,,
"Shariatpur Urban Center, Bangladesh",,,,,,,,,,,,,,
"Racine Urban Center, USA",0.15163089216388306,,0.4455135850364196,0.3130565062831562,0.2414299086804242,,,,0.6918271775924565,0.2381758119644593,0.06999701044308433,,,
"Zalantun Urban Center, China",,,,,,,,,,,,,,
"Saveh Urban Center, Iran",,,,,,,,,,,,,,
"Rubtsovsk Urban Center, Russia",,,,,,,,,,,,,,
"Visnagar Urban Center, India",,,,,,,,,,,,,,
"Basankusu Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Farah Urban Center, Afghanistan",,,,,,,,,,,,,,
"Tanuku Urban Center, India",,,,,,,,,,,,,,
"Elbistan Urban Center, Turkey",,,,,,,,,,,,,,
"Jajpur Urban Center, India",,,,,,,,,,,,,,
"Topi Urban Center, Pakistan",,,,,,,,,,,,,,
"Jaú Urban Center, Brazil",,,,,,,,,,,,,,
"Palakollu Urban Center, India",,,,,,,,,,,,,,
"Lvsigang Urban Center, China",,,,,,,,,,,,,,
"David Urban Center, Panama",,,,,,,,,,,,,,
"Faya-Largeau Urban Center, Chad",,,,,,,,,,,,,,
"Miskolc Urban Center, Hungary",,,,,,,,,,,,,,
"Banfora Urban Center, Burkina Faso",,,,,,,,,,,,,,
"Zamora Urban Center, Mexico",,,,,,,,,,,,,,
"Boende Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Banja Luka Urban Center, Bosnia and Herzegovina",,,,,,,,,,,,,,
"Yala Urban Center, Thailand",,,,,,,,,,,,,,
"Tshela Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"KwaNobuhle 1 Urban Center, South Africa",,,,,,,,,,,,,,
"Doncaster Urban Center, United Kingdom",,,,,,,,,,,,,,
"Yuanling Urban Center, China",,,,,,,,,,,,,,
"New Halfa Urban Center, Sudan",,,,,,,,,,,,,,
"Ozu Urban Center, Nigeria",,,,,,,,,,,,,,
"Sujangarh Urban Center, India",,,,,,,,,,,,,,
"Cipeuyeum Urban Center, Indonesia",,,,,,,,,,,,,,
"Fengdu Urban Center, China",,,,,,,,,,,,,,
"Kennewick Urban Center, USA",0.1671411703054755,,0.40308038974358723,0.32273040695838345,0.2741892032980293,,,,0.6918271705469639,0.21849462955744062,0.08967819989559551,,,
"Suichuan Urban Center, China",,,,,,,,,,,,,,
"Pyapon Urban Center, Myanmar",,,,,,,,,,,,,,
"Kahror Pakka Urban Center, Pakistan",,,,,,,,,,,,,,
"Trà Vinh City Urban Center, Vietnam",,,,,,,,,,,,,,
"Huyi Urban Center, China",,,,,,,,,,,,,,
"Tuni Urban Center, India",,,,,,,,,,,,,,
"Khairthal Urban Center, India",,,,,,,,,,,,,,
"Mogi Guaçu Urban Center, Brazil",,,,,,,,,,,,,,
"Linhares Urban Center, Brazil",,,,,,,,,,,,,,
"Sabzevar Urban Center, Iran",,,,,,,,,,,,,,
"Zhanaozen Urban Center, Kazakhstan",,,,,,,,,,,,,,
"Garhwa Urban Center, India",,,,,,,,,,,,,,
"Tarn Taran Sahib Urban Center, India",,,,,,,,,,,,,,
"Jiangyuan Urban Center, China",,,,,,,,,,,,,,
"Tarim Urban Center, Yemen",,,,,,,,,,,,,,
"Günyurdu Urban Center, Turkey",,,,,,,,,,,,,,
"Ghardaia Urban Center, Algeria",,,,,,,,,,,,,,
"Suiling Urban Center, China",,,,,,,,,,,,,,
"Sandoa Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Arauca Urban Center, Colombia-Venezuela",,,,,,,,,,,,,,
"Bangkinang Urban Center, Indonesia",,,,,,,,,,,,,,
"Bari Urban Center, India",,,,,,,,,,,,,,
"大英县 Urban Center, China",,,,,,,,,,,,,,
"Acilia Urban Center, Italy",,,,,,,,,,,,,,
"Esmeraldas Urban Center, Ecuador",,,,,,,,,,,,,,
"Prizren Urban Center, Serbia",,,,,,,,,,,,,,
"Kadirli Urban Center, Turkey",,,,,,,,,,,,,,
"Tizi Ouzou Urban Center, Algeria",,,,,,,,,,,,,,
"Ar Ramtha Urban Center, Jordan",,,,,,,,,,,,,,
"Khushab Urban Center, Pakistan",,,,,,,,,,,,,,
"Guangning Urban Center, China",,,,,,,,,,,,,,
"Yicheng (Hubei Sheng) Urban Center, China",,,,,,,,,,,,,,
"Yiyang (Henan Sheng) Urban Center, China",,,,,,,,,,,,,,
"Ilawe-Ekiti Urban Center, Nigeria",,,,,,,,,,,,,,
"Abbotsford Urban Center, Canada",,0.03706525885692943,,,,0.24068042021653802,0.3439541572175804,0.41536542256588155,,,,0.6584934052286426,0.27538740190333383,0.06611919286802355
"Kaizhou Urban Center, China",,,,,,,,,,,,,,
"Sa'dah Urban Center, Yemen",,,,,,,,,,,,,,
"Kayan Urban Center, Myanmar",,,,,,,,,,,,,,
"Bishwanath Charaili Urban Center, India",,,,,,,,,,,,,,
"Đại Nghĩa Urban Center, Vietnam",,,,,,,,,,,,,,
"Unchahar Urban Center, India",,,,,,,,,,,,,,
"Petropavlovsk-Kamchatsky Urban Center, Russia",,,,,,,,,,,,,,
"Shenxian Urban Center, China",,,,,,,,,,,,,,
"Sangatta Urban Center, Indonesia",,,,,,,,,,,,,,
"Paderborn Urban Center, Germany",,,,,,,,,,,,,,
"Cuauhtémoc Urban Center, Mexico",,,,,,,,,,,,,,
"Allahabad Urban Center, Pakistan",,,,,,,,,,,,,,
"Lowell Urban Center, USA",0.17315975230293498,,0.38155655252792703,0.29939640729186795,0.319047040180205,,,,0.6696158164662184,0.2513447274202224,0.07903945611355921,,,
"Seiyun Urban Center, Yemen",,,,,,,,,,,,,,
"Zaheerabad Urban Center, India",,,,,,,,,,,,,,
"Fengxin Urban Center, China",,,,,,,,,,,,,,
"Warisaliganj Urban Center, India",,,,,,,,,,,,,,
"Shimen Urban Center, China",,,,,,,,,,,,,,
"Neyveli Urban Center, India",,,,,,,,,,,,,,
"Biliri Urban Center, Nigeria",,,,,,,,,,,,,,
"Piedecuesta Urban Center, Colombia",,,,,,,,,,,,,,
"Wishaw Urban Center, United Kingdom",,,,,,,,,,,,,,
"Runcorn Urban Center, United Kingdom",,,,,,,,,,,,,,
"Khanna Urban Center, India",,,,,,,,,,,,,,
"Palghar Urban Center, India",,,,,,,,,,,,,,
"Kamensk-Uralsky Urban Center, Russia",,,,,,,,,,,,,,
"Keotiranway Urban Center, India",,,,,,,,,,,,,,
"Dhenkanal Urban Center, India",,,,,,,,,,,,,,
"Jinyun Urban Center, China",,,,,,,,,,,,,,
"Bandırma Urban Center, Turkey",,,,,,,,,,,,,,
"Bratsk Urban Center, Russia",,,,,,,,,,,,,,
"Lawmu Umunze Urban Center, Nigeria",,,,,,,,,,,,,,
"Thới Lai Urban Center, Vietnam",,,,,,,,,,,,,,
"威远县 Urban Center, China",,,,,,,,,,,,,,
"Munchon Urban Center, North Korea",,,,,,,,,,,,,,
"Helsingborg Urban Center, Sweden",,,,,,,,,,,,,,
"Zhecheng Urban Center, China",,,,,,,,,,,,,,
"Zhangpu (Fujian Sheng) Urban Center, China",,,,,,,,,,,,,,
"Nazlet Abu Haseiba Urban Center, Egypt",,,,,,,,,,,,,,
"Deeg Urban Center, India",,,,,,,,,,,,,,
"Guangshui Urban Center, China",,,,,,,,,,,,,,
"Ningi Urban Center, Nigeria",,,,,,,,,,,,,,
"Kasenga Urban Center, Democratic Republic of the Congo-Zambia",,,,,,,,,,,,,,
"Zwolle Urban Center, Netherlands",,,,,,,,,,,,,,
"Salihli Urban Center, Turkey",,,,,,,,,,,,,,
"Poipet Urban Center, Cambodia-Thailand",,,,,,,,,,,,,,
"Jiaganj Urban Center, India",,,,,,,,,,,,,,
"Bhatpara Urban Center, India",,,,,,,,,,,,,,
"Chintamani Urban Center, India",,,,,,,,,,,,,,
"Debark Urban Center, Ethiopia",,,,,,,,,,,,,,
"Rana Khemraj Urban Center, Pakistan",,,,,,,,,,,,,,
"Yasuj Urban Center, Iran",,,,,,,,,,,,,,
"宁河区 Urban Center, China",,,,,,,,,,,,,,
"Kusong Urban Center, North Korea",,,,,,,,,,,,,,
"Somanya Urban Center, Ghana",,,,,,,,,,,,,,
"Mubarakpur Urban Center, India",,,,,,,,,,,,,,
"Mannarkkad Urban Center, India",,,,,,,,,,,,,,
"Langley Urban Center, Canada",,0.043123360514767985,,,,0.17380515172406227,0.3156603761184655,0.5105344721574723,,,,0.5540656191209317,0.3389386493827523,0.10699573149631608
"Cambridge Urban Center, Canada",,0.04598426463219976,,,,0.21160257763722423,0.3366859652514615,0.4517114571113142,,,,0.597338639696622,0.31519724926117815,0.08746411104219992
"Butusande Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Gijduvan Urban Center, Uzbekistan",,,,,,,,,,,,,,
"Kahalgaon Urban Center, India",,,,,,,,,,,,,,
"Tampere Urban Center, Finland",,,,,,,,,,,,,,
"Akhisar Urban Center, Turkey",,,,,,,,,,,,,,
"Cubal Urban Center, Angola",,,,,,,,,,,,,,
"Río Gallegos Urban Center, Argentina",,,,,,,,,,,,,,
"Mile Urban Center, China",,,,,,,,,,,,,,
"Shahdol Urban Center, India",,,,,,,,,,,,,,
"Ozamiz Urban Center, Philippines",,,,,,,,,,,,,,
"Yendi Urban Center, Ghana",,,,,,,,,,,,,,
"Anchorage Urban Center, USA",0.12940268067532293,,0.3055068605589439,0.3511567775827665,0.34333636185828975,,,,0.6243024460993758,0.2665807982238414,0.1091167556767829,,,
"Panyabungan Urban Center, Indonesia",,,,,,,,,,,,,,
"Citeko Kaler Urban Center, Indonesia",,,,,,,,,,,,,,
"Wanqingsha Urban Center, China",,,,,,,,,,,,,,
"Saga Urban Center, Japan",,,,,,,,,,,,,,
"Shahdadpur Urban Center, Pakistan",,,,,,,,,,,,,,
"Jishui Urban Center, China",,,,,,,,,,,,,,
"Tanjungsari Urban Center, Indonesia",,,,,,,,,,,,,,
"Kuhdasht Urban Center, Iran",,,,,,,,,,,,,,
"Qafsa Urban Center, Tunisia",,,,,,,,,,,,,,
"Weixin Urban Center, China",,,,,,,,,,,,,,
"Ji'an (Southern Jiangxi Sheng) Urban Center, China",,,,,,,,,,,,,,
"Çorlu Urban Center, Turkey",,,,,,,,,,,,,,
"Karanja Urban Center, India",,,,,,,,,,,,,,
"Alesa Urban Center, Nigeria",,,,,,,,,,,,,,
"Tan An Urban Center, Vietnam",,,,,,,,,,,,,,
"Bukoba Urban Center, Tanzania",,,,,,,,,,,,,,
"Guaymas Urban Center, Mexico",,,,,,,,,,,,,,
"Sennar Urban Center, Sudan",,,,,,,,,,,,,,
"Samarlakota Urban Center, India",,,,,,,,,,,,,,
"Jiagedaqi Urban Center, China",,,,,,,,,,,,,,
"Xinxing (Guangdong Sheng) Urban Center, China",,,,,,,,,,,,,,
"Wani Urban Center, India",,,,,,,,,,,,,,
"Yunan Urban Center, China",,,,,,,,,,,,,,
"张家庄 Urban Center, China",,,,,,,,,,,,,,
"Morocho Urban Center, Ethiopia",,,,,,,,,,,,,,
"Chiplun Urban Center, India",,,,,,,,,,,,,,
"Syzran Urban Center, Russia",,,,,,,,,,,,,,
"Alipurduar Urban Center, India",,,,,,,,,,,,,,
"Uruguaiana Urban Center, Brazil",,,,,,,,,,,,,,
"Manzanillo Urban Center, Cuba",,,,,,,,,,,,,,
"Xuanhan Urban Center, China",,,,,,,,,,,,,,
"Lubuk Pakam Urban Center, Indonesia",,,,,,,,,,,,,,
"Linjiang Urban Center, China",,,,,,,,,,,,,,
"Arica Urban Center, Chile",,,,,,,,,,,,,,
"Bongor Urban Center, Cameroon-Chad",,,,,,,,,,,,,,
"Renhuai Urban Center, China",,,,,,,,,,,,,,
"Kortrijk Urban Center, Belgium",,,,,,,,,,,,,,
"Ciudad Acuña Urban Center, Mexico",,,,,,,,,,,,,,
"Durame Urban Center, Ethiopia",,,,,,,,,,,,,,
"Youngstown Urban Center, USA",0.2456081744948609,,0.592715279312957,0.2748870264430214,0.1323976942440217,,,,0.8091408310879024,0.1579471898990907,0.03291197901300708,,,
"Sakaka Urban Center, Saudi Arabia",,,,,,,,,,,,,,
"Eruwa Titun Urban Center, Nigeria",,,,,,,,,,,,,,
"Fik' Urban Center, Ethiopia",,,,,,,,,,,,,,
"Corumbá Urban Center, Brazil",,,,,,,,,,,,,,
"Sangareddy Urban Center, India",,,,,,,,,,,,,,
"Lancaster Urban Center, USA",0.13206231026821988,,0.37403554354213553,0.3365900531759253,0.2893744032819391,,,,0.700431284363114,0.21870599916329947,0.08086271647358656,,,
"Sindhanur Urban Center, India",,,,,,,,,,,,,,
"Meru Urban Center, Malaysia",,,,,,,,,,,,,,
"Santa Barbara Urban Center, USA",0.12510557029979044,,0.2751599184165075,0.26140908575592214,0.46343099582757036,,,,0.5710613212056256,0.23654319682708994,0.19239548196728445,,,
"Gapan Urban Center, Philippines",,,,,,,,,,,,,,
"Panskura Urban Center, India",,,,,,,,,,,,,,
"Shifang Urban Center, China",,,,,,,,,,,,,,
"Gokak Urban Center, India",,,,,,,,,,,,,,
"Yumurtalık Urban Center, Turkey",,,,,,,,,,,,,,
"Suifenhe Urban Center, China",,,,,,,,,,,,,,
"Hassi Bahbah Urban Center, Algeria",,,,,,,,,,,,,,
"Vasco da Gama Urban Center, India",,,,,,,,,,,,,,
"Yangcheng Urban Center, China",,,,,,,,,,,,,,
"Dinhata Urban Center, India",,,,,,,,,,,,,,
"Orekhovo-Zouïevo Urban Center, Russia",,,,,,,,,,,,,,
"Klaipėda Urban Center, Lithuania",,,,,,,,,,,,,,
"Hubballi Urban Center, India",,,,,,,,,,,,,,
"Salempur Urban Center, India",,,,,,,,,,,,,,
"Fengquan Urban Center, China",,,,,,,,,,,,,,
"Honglai Urban Center, China",,,,,,,,,,,,,,
"Punta Arenas Urban Center, Chile",,,,,,,,,,,,,,
"Tagbilaran Urban Center, Philippines",,,,,,,,,,,,,,
"Ulm Urban Center, Germany",,,,,,,,,,,,,,
"Baubau Urban Center, Indonesia",,,,,,,,,,,,,,
"Bireuen Urban Center, Indonesia",,,,,,,,,,,,,,
"Bouaflé Urban Center, Ivory Coast",,,,,,,,,,,,,,
"Rooh Abad Urban Center, Iran",,,,,,,,,,,,,,
"Longnan (Gansu Sheng) Urban Center, China",,,,,,,,,,,,,,
"Dogondoutchi Urban Center, Niger",,,,,,,,,,,,,,
"Ebolowa Urban Center, Cameroon",,,,,,,,,,,,,,
"Zabol Urban Center, Iran",,,,,,,,,,,,,,
"Thaton Urban Center, Myanmar",,,,,,,,,,,,,,
"Beppu Urban Center, Japan",,,,,,,,,,,,,,
"Gumla Urban Center, India",,,,,,,,,,,,,,
"Bagaha Urban Center, India",,,,,,,,,,,,,,
"Talagang Urban Center, Pakistan",,,,,,,,,,,,,,
"Hidalgo del Parral Urban Center, Mexico",,,,,,,,,,,,,,
"Thoubal Urban Center, India",,,,,,,,,,,,,,
"Twante Urban Center, Myanmar",,,,,,,,,,,,,,
"Alipur Urban Center, Pakistan",,,,,,,,,,,,,,
"Lahad Datu Urban Center, Malaysia",,,,,,,,,,,,,,
"Pangkalan Kerinci Urban Center, Indonesia",,,,,,,,,,,,,,
"Dakhla Urban Center, Morocco",,,,,,,,,,,,,,
"Tychy Urban Center, Poland",,,,,,,,,,,,,,
"Rajsamand Urban Center, India",,,,,,,,,,,,,,
"Yangling Urban Center, China",,,,,,,,,,,,,,
"Kayanza Urban Center, Burundi",,,,,,,,,,,,,,
"Tianchang Urban Center, China",,,,,,,,,,,,,,
"Dawu Urban Center, China",,,,,,,,,,,,,,
"Berbera Urban Center, Somalia",,,,,,,,,,,,,,
"Santa Cruz do Capibaribe Urban Center, Brazil",,,,,,,,,,,,,,
"Onne Urban Center, Nigeria",,,,,,,,,,,,,,
"Fall River Urban Center, USA",0.16703236723899784,,0.46412245047341355,0.2914960888705491,0.2443814606560373,,,,0.6984449861119649,0.24287331344497085,0.05868170044306415,,,
"Apizaco Urban Center, Mexico",,,,,,,,,,,,,,
"Dapaong Urban Center, Togo",,,,,,,,,,,,,,
"Tottori Urban Center, Japan",,,,,,,,,,,,,,
"Abiriba Urban Center, Nigeria",,,,,,,,,,,,,,
"Fazilka Urban Center, India",,,,,,,,,,,,,,
"Amuntai Urban Center, Indonesia",,,,,,,,,,,,,,
"Botshabelo Urban Center, South Africa",,,,,,,,,,,,,,
"Qingxu Urban Center, China",,,,,,,,,,,,,,
"Wanzai Urban Center, China",,,,,,,,,,,,,,
"Dehua Urban Center, China",,,,,,,,,,,,,,
"Troyes Urban Center, France",,,,,,,,,,,,,,
"Gaya Urban Center, Benin-Niger",,,,,,,,,,,,,,
"San Rafael Urban Center, Argentina",,,,,,,,,,,,,,
"Sunamganj District Urban Center, Bangladesh",,,,,,,,,,,,,,
"马口镇 Urban Center, China",,,,,,,,,,,,,,
"Xingxian Urban Center, China",,,,,,,,,,,,,,
"Surat Thani Urban Center, Thailand",,,,,,,,,,,,,,
"Torrevieja Urban Center, Spain",,,,,,,,,,,,,,
"Morshi Urban Center, India",,,,,,,,,,,,,,
"Bei'an Urban Center, China",,,,,,,,,,,,,,
"Katsiro Urban Center, Nigeria",,,,,,,,,,,,,,
"Dongping Urban Center, China",,,,,,,,,,,,,,
"Ramnagar (Bihār) Urban Center, India",,,,,,,,,,,,,,
"Hunyuan Urban Center, China",,,,,,,,,,,,,,
"Capulhuac de Mirafuentes Urban Center, Mexico",,,,,,,,,,,,,,
"Turku Urban Center, Finland",,,,,,,,,,,,,,
"Sumuradem Urban Center, Indonesia",,,,,,,,,,,,,,
"Buurhakaba Urban Center, Somalia",,,,,,,,,,,,,,
"Bodo Urban Center, Nigeria",,,,,,,,,,,,,,
"Guelmim Urban Center, Morocco",,,,,,,,,,,,,,
"Zhijin Urban Center, China",,,,,,,,,,,,,,
"Berekum Urban Center, Ghana",,,,,,,,,,,,,,
"San José del Cabo Urban Center, Mexico",,,,,,,,,,,,,,
"Marvdasht Urban Center, Iran",,,,,,,,,,,,,,
"Mihtarlam Urban Center, Afghanistan",,,,,,,,,,,,,,
"Eastbourne Urban Center, United Kingdom",,,,,,,,,,,,,,
"Sirsilla Urban Center, India",,,,,,,,,,,,,,
"Whydah Urban Center, Benin",,,,,,,,,,,,,,
"Laiji Urban Center, China",,,,,,,,,,,,,,
"Tulancingo Urban Center, Mexico",,,,,,,,,,,,,,
"Pécs Urban Center, Hungary",,,,,,,,,,,,,,
"Duliajan Urban Center, India",,,,,,,,,,,,,,
"Abengourou Urban Center, Ivory Coast",,,,,,,,,,,,,,
"Kamareddy Urban Center, India",,,,,,,,,,,,,,
"Qichun Urban Center, China",,,,,,,,,,,,,,
"Nova Friburgo Urban Center, Brazil",,,,,,,,,,,,,,
"Calabozo Urban Center, Venezuela",,,,,,,,,,,,,,
"Port St. Lucie Urban Center, USA",0.08917791018885568,,0.324341697965323,0.39649502171407897,0.2791632803205981,,,,0.7232042925250903,0.2120588202310289,0.06473688724388078,,,
"Kabba Urban Center, Nigeria",,,,,,,,,,,,,,
"Jaysingpur Urban Center, India",,,,,,,,,,,,,,
"Ed Dueim Urban Center, Sudan",,,,,,,,,,,,,,
"Ouanaminthe Urban Center, Dominican Republic-Haiti",,,,,,,,,,,,,,
"Angul Urban Center, India",,,,,,,,,,,,,,
"Kosi Kalan Urban Center, India",,,,,,,,,,,,,,
"Xinqiao Urban Center, China",,,,,,,,,,,,,,
"Jinqing Urban Center, China",,,,,,,,,,,,,,
"Zahlé Urban Center, Lebanon",,,,,,,,,,,,,,
"Fkih Ben Salah Urban Center, Morocco",,,,,,,,,,,,,,
"Qadiyah Urban Center, Iraq",,,,,,,,,,,,,,
"Tod Urban Center, Egypt",,,,,,,,,,,,,,
"Alamdanga Urban Center, Bangladesh",,,,,,,,,,,,,,
"Kenge Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Shahganj Urban Center, India",,,,,,,,,,,,,,
"Enwan Urban Center, Nigeria",,,,,,,,,,,,,,
"Tilhar Urban Center, India",,,,,,,,,,,,,,
"Kırşehir Urban Center, Turkey",,,,,,,,,,,,,,
"Jia Urban Center, China",,,,,,,,,,,,,,
"Yangxin Urban Center, China",,,,,,,,,,,,,,
"Comitán Urban Center, Mexico",,,,,,,,,,,,,,
"Longjiang (Heilongjiang Sheng) Urban Center, China",,,,,,,,,,,,,,
"Lubao Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Masaka Urban Center, Uganda",,,,,,,,,,,,,,
"Lwebo Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Igboho Urban Center, Nigeria",,,,,,,,,,,,,,
"Bundi Urban Center, India",,,,,,,,,,,,,,
"Changting Urban Center, China",,,,,,,,,,,,,,
"Xunxian Urban Center, China",,,,,,,,,,,,,,
"Apatzingán Urban Center, Mexico",,,,,,,,,,,,,,
"Thika Urban Center, Kenya",,,,,,,,,,,,,,
"Newport Urban Center, United Kingdom",,,,,,,,,,,,,,
"Ciudad Valles Urban Center, Mexico",,,,,,,,,,,,,,
"Labutta Urban Center, Myanmar",,,,,,,,,,,,,,
"Sinpho Urban Center, North Korea",,,,,,,,,,,,,,
"Al Mutadarririn Urban Center, Yemen",,,,,,,,,,,,,,
"Yagoua Urban Center, Cameroon",,,,,,,,,,,,,,
"Zawa Urban Center, Iraq",,,,,,,,,,,,,,
"Guelph Urban Center, Canada",,0.044381095586503015,,,,0.21863532345155165,0.3436875396744871,0.4376771368739613,,,,0.5724093248649028,0.3245559954374122,0.1030346796976849
"Tegalsari Urban Center, Indonesia",,,,,,,,,,,,,,
"Qinyang Urban Center, China",,,,,,,,,,,,,,
"Embu Urban Center, Kenya",,,,,,,,,,,,,,
"Tobruk Urban Center, Libya",,,,,,,,,,,,,,
"Penrith Urban Center, Australia",,,,,,,,,,,,,,
"Udhagamandalam Urban Center, India",,,,,,,,,,,,,,
"Baní Urban Center, Dominican Republic",,,,,,,,,,,,,,
"Rayachoti Urban Center, India",,,,,,,,,,,,,,
"Caxias Urban Center, Brazil",,,,,,,,,,,,,,
"Anqiu Urban Center, China",,,,,,,,,,,,,,
"Jacmel Urban Center, Haiti",,,,,,,,,,,,,,
"Luchuan Urban Center, China",,,,,,,,,,,,,,
"Yessentuki Urban Center, Russia",,,,,,,,,,,,,,
"Huarong (Hunan Sheng) Urban Center, China",,,,,,,,,,,,,,
"Sherbrooke Urban Center, Canada",,0.07167233038990385,,,,0.45457690338731016,0.3395995862894742,0.2058235103232157,,,,0.702090050937924,0.25247034708279886,0.04543960197927712
"Lincoln Urban Center, United Kingdom",,,,,,,,,,,,,,
"Ciénaga Urban Center, Colombia",,,,,,,,,,,,,,
"Chinandega Urban Center, Nicaragua",,,,,,,,,,,,,,
"Girishk Urban Center, Afghanistan",,,,,,,,,,,,,,
"Sengkang Urban Center, Indonesia",,,,,,,,,,,,,,
"Patnos Urban Center, Turkey",,,,,,,,,,,,,,
"El Khroub Urban Center, Algeria",,,,,,,,,,,,,,
"Socoura Urban Center, Mali",,,,,,,,,,,,,,
"Fayetteville Urban Center, USA",0.21418925520493218,,0.5359308526491473,0.30284031458632266,0.16122883276452998,,,,0.7487782131723579,0.1971752784231846,0.054046508404457495,,,
"Kluang Urban Center, Malaysia",,,,,,,,,,,,,,
"Fatehpur Shekhawati Urban Center, India",,,,,,,,,,,,,,
"Lafayette (Indiana) Urban Center, USA",0.2272970824157898,,0.5473530073839674,0.2720932879746909,0.18055370464134177,,,,0.7863358189219438,0.16211347206536686,0.0515507090126894,,,
"Pala Urban Center, Chad",,,,,,,,,,,,,,
"长安镇 Urban Center, China",,,,,,,,,,,,,,
"Jagtial Urban Center, India",,,,,,,,,,,,,,
"Egbe Urban Center, Nigeria",,,,,,,,,,,,,,
"Itapetininga Urban Center, Brazil",,,,,,,,,,,,,,
"Yucheng (Shandong Sheng) Urban Center, China",,,,,,,,,,,,,,
"Ōmuta Urban Center, Japan",,,,,,,,,,,,,,
"Marand Urban Center, Iran",,,,,,,,,,,,,,
"Rafsanjan Urban Center, Iran",,,,,,,,,,,,,,
"Srivilliputtur Urban Center, India",,,,,,,,,,,,,,
"Ba Ria Urban Center, Vietnam",,,,,,,,,,,,,,
"Jinhu Urban Center, China",,,,,,,,,,,,,,
"Ciego de Ávila Urban Center, Cuba",,,,,,,,,,,,,,
"Kızıltepe Urban Center, Turkey",,,,,,,,,,,,,,
"Colchester Urban Center, United Kingdom",,,,,,,,,,,,,,
"Columbia (Maryland) Urban Center, USA",0.08335845910693236,,0.19404292776322044,0.24428485241739986,0.5616722198193798,,,,0.458703102704851,0.30316564095095555,0.23813125634419355,,,
"Gwangju-si Urban Center, South Korea",,,,,,,,,,,,,,
"Khaga Urban Center, India",,,,,,,,,,,,,,
"Orsk Urban Center, Russia",,,,,,,,,,,,,,
"Ekogboro Urban Center, Nigeria",,,,,,,,,,,,,,
"Hongwon Urban Center, North Korea",,,,,,,,,,,,,,
"Penglai Urban Center, China",,,,,,,,,,,,,,
"Lalsot Urban Center, India",,,,,,,,,,,,,,
