longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Laguna Pueblo and Off-Reservation Trust Land, USA",0.0660615500376237,0.2172402416128449,0.15837544751694363,0.22148957857264415,0.23823613318428122,0.09859704907566252
"Kickapoo (KS) Reservation, USA",0.10438247202959533,0.23233523046114796,0.1552596858679718,0.16984234432772738,0.19905544742958914,0.13912481988396835
"Spirit Lake Reservation, USA",0.028133909518967076,0.17071947382173527,0.1252756445315825,0.18077215862220694,0.2803912251741796,0.21470758833132866
"San Felipe Pueblo, USA",0.038440111420612814,0.24011142061281338,0.1916434540389972,0.17214484679665737,0.20167130919220055,0.15598885793871867
"St. Regis Mohawk Reservation, USA",0.04669149240905185,0.2646806072758522,0.13176740189057576,0.2443425952449155,0.2185620166141507,0.09395588656545402
"Menominee Reservation and Off-Reservation Trust Land, USA",0.042439343481809985,0.22357762067024742,0.151639608348595,0.1509937395750846,0.2633088432357232,0.1680408446885397
"Rocky Boy's Reservation and Off-Reservation Trust Land, USA",0.028028641069232085,0.1462368709567182,0.18236129272901913,0.1830598553932164,0.26136107604522973,0.19895226380658437
"Waimanalo Hawaiian Home Land, USA",0.10220153665682986,0.24886180929394114,0.17965277684085013,0.1723538725591597,0.1910419162102003,0.10588808843901887
"Pueblo of Pojoaque and Off-Reservation Trust Land, USA",0.07503206605216742,0.26293086368831203,0.18377662121934923,0.15595255441088787,0.2056874615261974,0.1166204331030859
"Lac du Flambeau Reservation, USA",0.10996841372372532,0.3492546462362151,0.15809528509173826,0.1431651198613144,0.12389676100282984,0.115619774084177
"Jicarilla Apache Nation Reservation and Off-Reservation Trust Land, USA",0.05849293714387808,0.2600444846595938,0.18896682679883256,0.17357655695639693,0.18956234299235902,0.12935685144893946
"Pascua Pueblo Yaqui Reservation and Off-Reservation Trust Land, USA",0.01870860277283631,0.18263602775308324,0.1186127142895356,0.23632337395988198,0.269123948048752,0.17459533317591078
"Torres-Martinez Reservation, USA",0.023850194581420636,0.19487517754737083,0.2748175228987892,0.20976368955099484,0.16575506934463927,0.13093834607678526
"L'Anse Reservation and Off-Reservation Trust Land, USA",0.08174494048028669,0.26013365979842057,0.1859660885939658,0.2219736277070721,0.16118592132897705,0.0889957620912778
"Warm Springs Reservation and Off-Reservation Trust Land, USA",0.01556846352551691,0.20103137520375816,0.11549950529968425,0.2672375839688694,0.22634235786636622,0.17432071413580508
"Fort Belknap Reservation and Off-Reservation Trust Land, USA",0.03056760527545743,0.1702160278220611,0.12991184628519484,0.19208523207144004,0.26686463145003975,0.21035465709580686
"Isleta Pueblo, USA",0.06734158995878162,0.24190053813499854,0.13443805639783754,0.21706390386693716,0.20323633317536022,0.13601957846608478
"Acoma Pueblo and Off-Reservation Trust Land, USA",0.045488039925997106,0.24286010559740434,0.16884296527666498,0.21266521867205465,0.23203724585237553,0.09810642467550333
"Washoe Ranches Trust Land, USA",0.11045243174340243,0.38252872794263054,0.14286000155221956,0.12568425150106868,0.14351287207718327,0.09496171518349562
"Swinomish Reservation and Off-Reservation Trust Land, USA",0.1453218565707494,0.4033950827573502,0.1476876140295095,0.10121909059021547,0.12429374253997812,0.0780826135121972
"Hoopa Valley Reservation, USA",0.07570125042244001,0.19026698208854342,0.1307874281851977,0.1666103413315309,0.27407908077053056,0.16255491720175735
"Santo Domingo Pueblo, USA",0.028905501393405073,0.1450599919149486,0.21587696359835437,0.19963312716772824,0.2821535473724064,0.1283708685531573
"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, USA",0.05747122771211247,0.25012953486591566,0.14217706286017015,0.17773288281261723,0.24124497546347765,0.13124431628570682
"Umatilla Reservation and Off-Reservation Trust Land, USA",0.0590809909829064,0.26416835342486694,0.1518593393225713,0.15891879630275899,0.25318697590013056,0.1127855440667657
"Winnebago Reservation and Off-Reservation Trust Land, USA",0.033156378715351216,0.17631741901369252,0.16630893075809863,0.17345959033730377,0.2930761577424023,0.1576815234331515
"Cattaraugus Reservation, USA",0.019859220733484013,0.2367907776920195,0.167347448962214,0.16132098328270308,0.26149687703439406,0.15318469229518533
"Spokane Reservation and Off-Reservation Trust Land, USA",0.07216959855660803,0.21515561569688768,0.15336039693279205,0.18538565629228687,0.1980153360396933,0.17591339648173207
"Waianae Hawaiian Home Land, USA",0.046099144883434195,0.16782393340740118,0.22271783094275466,0.17940465153088409,0.20767038062543994,0.1762840586100861
"Crow Creek Reservation, USA",0.026973077124932576,0.17801195161735361,0.16309459082560962,0.16477986555704938,0.25679860411605687,0.2103419107589978
"Jemez Pueblo, USA",0.03281096963761019,0.2355533790401567,0.1821743388834476,0.1694417238001959,0.2497551420176298,0.13026444662095985
"Pyramid Lake Paiute Reservation, USA",0.07005690919869602,0.32833156172922323,0.11891247587694405,0.23656934884088934,0.10359125366504185,0.14253845068920562
"Bishop Reservation, USA",0.05168884339815762,0.2113613101330604,0.17093142272262027,0.19140225179119755,0.26100307062436023,0.11361310133060389
"Fort Yuma Indian Reservation, USA",0.015752295814333895,0.22743099890564364,0.15876201409310037,0.150744150635533,0.28031894799831564,0.16699159255307336
"Nambe Pueblo and Off-Reservation Trust Land, USA",0.10609973236601714,0.2850163676981266,0.18421125389838758,0.14085620756010706,0.19507973723208957,0.08873670124527216
"San Ildefonso Pueblo and Off-Reservation Trust Land, USA",0.06501547987616099,0.24148606811145512,0.17779743476337903,0.2034498009730208,0.18752764263600177,0.12472357363998231
"Anahola (Residential) Hawaiian Home Land, USA",0.08892890488792117,0.25320059565424075,0.16648910583969795,0.14646540768217695,0.21166371191582703,0.1332522740201362
"Fort Mojave Reservation and Off-Reservation Trust Land, USA",0.14917906628377695,0.3528134018951555,0.10548885835967778,0.17781777915827393,0.10887283656221647,0.10582805774089944
"Makah Indian Reservation, USA",0.020061320970575086,0.23724034511526718,0.17165506778044134,0.13995543493183232,0.25563311614022854,0.17545471506165536
"Ute Mountain Reservation and Off-Reservation Trust Land, USA",0.012811302565639109,0.2294987062777108,0.13141428481267134,0.1252395704879022,0.2573449311189755,0.2436912047371011
"Lower Brule Reservation and Off-Reservation Trust Land, USA",0.050033342420265345,0.1184861280521544,0.1309421571004476,0.17605252618129952,0.29135372280068117,0.23313212344515194
"Sault Ste. Marie Reservation and Off-Reservation Trust Land, USA",0.04333108416713572,0.2434515721507885,0.156080738810432,0.2508180989371667,0.17100382535210418,0.13531468058237295
"Picuris Pueblo, USA",0.11282051282051282,0.22692307692307692,0.18504273504273505,0.19615384615384615,0.14914529914529914,0.12991452991452992
"Keaukaha Hawaiian Home Land, USA",0.030549898167006113,0.2459266802443992,0.18380855397148677,0.1588594704684318,0.25000000000000006,0.13085539714867617
"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, USA",0.04778688085123474,0.24090601640890716,0.211508534136927,0.2132980784358974,0.17181188674322584,0.11468860342380796
"Kanehili Hawaiian Home Land, USA",0.04083665338645418,0.18227091633466136,0.23207171314741032,0.18227091633466136,0.1897410358565737,0.17280876494023906
"Annette Island Reserve, USA",0.035988063931544745,0.26641686310310525,0.17438650515730814,0.20071125887370386,0.19654726056328434,0.12595004837105367
"Bad River Reservation, USA",0.034564393939393936,0.24952651515151514,0.2002840909090909,0.1803977272727273,0.1955492424242424,0.1396780303030303
