longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
North Macedonia,,,,,,,,,,,,,,,1907.6248,,,,,,,1162.5088,,,,
Latvia,,,,,,,,,,,,,,,1705.7809,,,,,,,1258.6871,,,,
Guinea-Bissau,,,,,,,,,,,,,,,1366.3159,,,,,,,824.73376,,,,
Equatorial Guinea,,,,,,,,,,,,,,,9311.539,,,,,,,6750.2183,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,1581.5549,,,,,,,1150.4336,,,,
Bahrain,,,,,,,,,,,,,,,8915.843,,,,,,,6310.6255,,,,
Estonia,,,,,,,,,,,,,,,2011.3029,,,,,,,1325.2041,,,,
East Timor,,,,,,,,,,,,,,,1811.6215,,,,,,,1098.8456,,,,
Mauritius,,,,,,,,,,,,,,,2137.3706,,,,,,,1501.5015,,,,
Cyprus,,,,,,,,,,,,,,,1636.9556,,,,,,,1202.2434,,,,
Eswatini,,,,,,,,,,,,,,,372.68878,,,,,,,270.9237,,,,
Djibouti,,,,,,,,,,,,,,,8754.83,,,,,,,4866.963,,,,
Fiji,,,,,,,,,,,,,,,1099.6449,,,,,,,744.9677,,,,
Bhutan,,,,,,,,,,,,,,,2232.9219,,,,,,,808.9674,,,,
Comoros,,,,,,,,,,,,,,,4283.845,,,,,,,1757.121,,,,
Guyana,,,,,,,,,,,,,,,1022.40765,,,,,,,641.05927,,,,
Solomon Islands,,,,,,,,,,,,,,,473.9288,,,,,,,263.12744,,,,
Montenegro,,,,,,,,,,,,,,,1786.2251,,,,,,,1014.38617,,,,
Luxembourg,,,,,,,,,,,,,,,1342.4222,,,,,,,911.1932,,,,
Suriname,,,,,,,,,,,,,,,1261.6223,,,,,,,1053.5298,,,,
Cape Verde,,,,,,,,,,,,,,,2436.0486,,,,,,,1191.9745,,,,
Malta,,,,,,,,,,,,,,,2933.3843,,,,,,,2331.9565,,,,
Maldives,,,,,,,,,,,,,,,7129.118,,,,,,,1992.3596,,,,
Brunei,,,,,,,,,,,,,,,942.2783,,,,,,,691.3648,,,,
Belize,,,,,,,,,,,,,,,921.59845,,,,,,,430.7034,,,,
The Bahamas,,,,,,,,,,,,,,,1668.4415,,,,,,,1352.6099,,,,
Iceland,,,,,,,,,,,,,,,1525.4833,,,,,,,1067.5859,,,,
Vanuatu,,,,,,,,,,,,,,,557.696,,,,,,,287.838,,,,
Barbados,,,,,,,,,,,,,,,1203.442,,,,,,,873.85205,,,,
São Tomé and Príncipe,,,,,,,,,,,,,,,3383.82,,,,,,,1762.8901,,,,
Samoa,,,,,,,,,,,,,,,543.6223,,,,,,,364.29022,,,,
Saint Lucia,,,,,,,,,,,,,,,902.8161,,,,,,,528.3203,,,,
Grenada,,,,,,,,,,,,,,,644.5154,,,,,,,359.16632,,,,
Jersey,,,,,,,,,,,,,,,1794.8109,,,,,,,922.872,,,,
Aruba,,,,,,,,,,,,,,,952.61646,,,,,,,687.42096,,,,
Seychelles,,,,,,,,,,,,,,,668.55835,,,,,,,413.3798,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,594.2212,,,,,,,370.8376,,,,
Kiribati,,,,,,,,,,,,,,,355.36096,,,,,,,194.31412,,,,
Micronesia,,,,,,,,,,,,,,,221.68356,,,,,,,128.74182,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,792.41077,,,,,,,574.31946,,,,
Tonga,,,,,,,,,,,,,,,1063.0242,,,,,,,588.86957,,,,
Isle of Man,,,,,,,,,,,,,,,775.03687,,,,,,,383.91574,,,,
Andorra,,,,,,,,,,,,,,,1044.7411,,,,,,,487.12808,,,,
Dominica,,,,,,,,,,,,,,,513.10834,,,,,,,231.80154,,,,
Cayman Islands,,,,,,,,,,,,,,,780.30585,,,,,,,421.66196,,,,
Bermuda,,,,,,,,,,,,,,,550.50824,,,,,,,343.96033,,,,
Guernsey,,,,,,,,,,,,,,,967.5954,,,,,,,645.7964,,,,
Faroe Islands,,,,,,,,,,,,,,,454.12152,,,,,,,173.12686,,,,
Greenland,,,,,,,,,,,,,,,384.43234,,,,,,,135.1486,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,260.99466,,,,,,,148.77301,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,450.93942,,,,,,,244.06528,,,,
Marshall Islands,,,,,,,,,,,,,,,274.8198,,,,,,,113.66116,,,,
Liechtenstein,,,,,,,,,,,,,,,492.87314,,,,,,,391.25314,,,,
Monaco,,,,,,,,,,,,,,,3633.2195,,,,,,,1239.3671,,,,
San Marino,,,,,,,,,,,,,,,613.2731,,,,,,,385.94086,,,,
Gibraltar,,,,,,,,,,,,,,,2515.675,,,,,,,1380.7334,,,,
British Virgin Islands,,,,,,,,,,,,,,,438.0638,,,,,,,210.62561,,,,
Palau,,,,,,,,,,,,,,,169.26706,,,,,,,81.52371,,,,
Anguilla,,,,,,,,,,,,,,,176.91214,,,,,,,109.377464,,,,
Cook Islands,,,,,,,,,,,,,,,103.95985,,,,,,,53.822605,,,,
Nauru,,,,,,,,,,,,,,,321.4459,,,,,,,171.23393,,,,
Tuvalu,,,,,,,,,,,,,,,331.37192,,,,,,,106.41844,,,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,90.82892,,,,,,,41.36802,,,,
Montserrat,,,,,,,,,,,,,,,134.04886,,,,,,,66.29401,,,,
Falkland Islands,,,,,,,,,,,,,,,153.34953,,,,,,,54.977863,,,,
Vatican City,,,,,,,,,,,,,,,9566.499,,,,,,,8382.56,,,,
Christmas Island,,,,,,,,,,,,,,,113.168945,,,,,,,32.946514,,,,
Norfolk Island,,,,,,,,,,,,,,,77.32795,,,,,,,37.550198,,,,
Niue,,,,,,,,,,,,,,,18.649298,,,,,,,9.823604,,,,
Tokelau,,,,,,,,,,,,,,,38.351627,,,,,,,11.540897,,,,
Cocos (Keeling) Islands,,,,,,,,,,,,,,,26.123444,,,,,,,6.6518593,,,,
Pitcairn Islands,,,,,,,,,,,,,,,5.0883126,,,,,,,1.3318766,,,,
