longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"Vernon [Urban Area], TX, USA",0.1679074918261894,0.5540959770929276,0.30216326236743785,0.14374076053963467,0.8527002348270866,0.11674883865040946,0.03055092652250399
"Merrill [Urban Area], WI, USA",0.12701106867685497,0.5007035279735488,0.321326040534829,0.17797043149162234,0.7511165468026623,0.2126289642127703,0.03625448898456749
"Roxboro [Urban Area], NC, USA",0.3090733739359321,0.5680447333690577,0.2846108808807697,0.1473443857501727,0.7807380310823323,0.17790916782609556,0.04135280109157209
"Franklin [Urban Area], LA, USA",0.2006465017588155,0.6289795831955822,0.26676638656539187,0.10425403023902595,0.8511325550345564,0.1168854445559073,0.031982000409536325
"Grinnell [Urban Area], IA, USA",0.12189929957324039,0.5092442223975292,0.2339755944190266,0.2567801831834443,0.7406939247826314,0.18209332410218232,0.07721275111518615
"New Richmond [Urban Area], WI, USA",0.05422107643245436,0.29533514826469087,0.37659198623083073,0.3280728655044784,0.6438624721144414,0.2797645881951822,0.07637293969037648
"Lexington [Urban Area], VA, USA",0.19801447793486582,0.428260522764384,0.31323489409309985,0.2585045831425162,0.7781130789829795,0.1525492822241996,0.0693376387928208
"St. Marys [Urban Area], OH, USA",0.06694897613277907,0.37057086790600663,0.38717341016989026,0.24225572192410305,0.6969503073766161,0.267513553282147,0.03553613934123683
"Cloverdale [Urban Area], CA, USA",0.09154883364600498,0.28485990882810136,0.25305517421998275,0.46208491695191595,0.5818550308487649,0.2528792523203982,0.16526571683083693
"Pryor Creek [Urban Area], OK, USA",0.18802593680269383,0.5370575320053534,0.29750585777485505,0.1654366102197915,0.755535013322395,0.185574315909482,0.05889067076812292
"Parsons [Urban Area], KS, USA",0.18521720476705703,0.48923209948827967,0.32126235900088895,0.1895055415108314,0.7690063344709248,0.17989824859476025,0.051095416934314984
"Sturgeon Bay [Urban Area], WI, USA",0.11221112896514798,0.4630719035041973,0.2827309952067234,0.25419710128907924,0.695420352930032,0.2252341158794016,0.07934553119056639
"Harrisonville [Urban Area], MO, USA",0.1017559940141721,0.44816578735436063,0.297759224793604,0.25407498785203536,0.722629402091663,0.20528645047013333,0.07208414743820372
"Orland [Urban Area], CA, USA",0.12882946373368676,0.4728959497195746,0.31671797239298666,0.21038607788743868,0.7666527748290132,0.20380405127351803,0.02954317389746882
"Claremont [Urban Area], NH, USA",0.16893557150463817,0.5377116569893408,0.3044238429609662,0.15786450004969313,0.7580772733533242,0.19922793091349597,0.0426947957331799
"Little Falls [Urban Area], MN, USA",0.1540695331319458,0.5367439704689946,0.28253243934306566,0.18072359018793982,0.7767483991587115,0.1752085839969524,0.04804301684433602
"St. Marys [Urban Area], PA, USA",0.0886049595272819,0.4223611154006229,0.3751904800459912,0.2024484045533859,0.7337356650745915,0.22141061265777326,0.044853722267635315
"Warrenton [Urban Area], MO, USA",0.18549802944972735,0.4751667800064522,0.34012060091416735,0.18471261907938058,0.7660607221005051,0.18076295063459893,0.053176327264895934
"Pinetop-Lakeside [Urban Area], AZ, USA",0.12678578845541993,0.46347191414077277,0.30267440707719784,0.23385367878202934,0.737778171446974,0.1743615421539843,0.08786028639904168
"Coffeyville [Urban Area], KS-OK, USA",0.24458379027206698,0.6093673691880427,0.2636681093933743,0.12696452141858305,0.8097903545957186,0.15175282772589024,0.03845681767839122
"Monett [Urban Area], MO, USA",0.15957423352806502,0.591844486494978,0.28536715420859465,0.12278835929642738,0.8373262230982879,0.1370922742431677,0.02558150265854454
"Oakland [Urban Area], TN, USA",0.07038854424125186,0.2986316893856517,0.3466199479399968,0.3547483626743516,0.6478055800491321,0.27921146841326216,0.07298295153760574
"Ipswich [Urban Area], MA, USA",0.07475167782934634,0.27549795759976065,0.21458834471859928,0.5099136976816401,0.5314855516072118,0.24137161605116708,0.2271428323416211
"Philipsburg [Urban Area], PA, USA",0.16472767332792937,0.5273152423089777,0.29337090914279174,0.1793138485482306,0.7554706106533833,0.21288161284735407,0.03164777649926266
"Crozet [Urban Area], VA, USA",0.05048624499760358,0.2666172232007894,0.23578403412314639,0.49759874267606424,0.48358863808795305,0.2583601465983981,0.25805121531364894
"Jennings [Urban Area], LA, USA",0.18922579199976702,0.590243755158552,0.18434913251705484,0.2254071123243931,0.7619551282129632,0.1614185873369379,0.07662628445009897
"Harvard [Urban Area], IL, USA",0.16160277214244403,0.3860056583636211,0.3733352031598254,0.24065913847655346,0.7547679274004848,0.1980647008206687,0.047167371778846404
"Morehead [Urban Area], KY, USA",0.32443213870819704,0.5935686383724902,0.2261638962496416,0.18026746537786825,0.8396901189615378,0.12129440768133183,0.03901547335713034
"Franklin [Urban Area], NC, USA",0.17600875595735485,0.5400890322242631,0.2895989850793134,0.17031198269642356,0.7715192222301518,0.18048729734376462,0.04799348042608351
"Livingston [Urban Area], MT, USA",0.14856544307755698,0.4553646852211314,0.34651876751347566,0.19811654726539288,0.7541442290585371,0.1989530788403958,0.0469026921010672
"Ravena-Bethlehem [Urban Area], NY, USA",0.08531593683621035,0.3151810617072349,0.28655036506631976,0.39826857322644527,0.6106734154431737,0.28030445281812927,0.10902213173869707
"Indianola [Urban Area], MS, USA",0.3051022611148135,0.6476463285322385,0.2685291601520618,0.08382451131569962,0.857717589430518,0.1297400646839877,0.012542345885494263
"Shelby [Urban Area], OH, USA",0.1412976927536177,0.4273882194792663,0.3848956555990912,0.18771612492164255,0.7326231943247016,0.24018632979705182,0.02719047587824669
"Clinton [Urban Area], NC, USA",0.24304056651434255,0.5713624590898626,0.27302849497924664,0.1556090459308908,0.801449802098446,0.1553877458577026,0.043162452043851426
"Guthrie [Urban Area], OK, USA",0.25924132287952073,0.6026305970238468,0.2709025282295184,0.12646687474663482,0.8398546147645769,0.12069966795191434,0.03944571728350888
"Mount Pleasant [Urban Area], IA, USA",0.11775067912869902,0.4124262974659742,0.3540330994298409,0.2335406031041849,0.7440513753986783,0.20243464346865533,0.053513981132666415
"Rathdrum [Urban Area], ID, USA",0.05119898296362781,0.26451266495945375,0.39626408363080773,0.3392232514097385,0.6816750920020133,0.25858008462441,0.0597448233735767
"Bryan [Urban Area], OH, USA",0.1399747264008198,0.5314402458742014,0.3361675135501032,0.1323922405756955,0.7696500662982639,0.19635569187751645,0.03399424182421969
"Silsbee [Urban Area], TX, USA",0.08678409658030219,0.4292053135930658,0.340194482375233,0.2306002040317013,0.7378002947837321,0.19287708305353818,0.0693226221627298
"Augusta [Urban Area], KS, USA",0.11741293199325514,0.48269157430514403,0.2659818869527513,0.25132653874210464,0.7153522673905373,0.22013212627033618,0.06451560633912654
"Walterboro [Urban Area], SC, USA",0.18131995817832064,0.6456390809533046,0.2035013267341692,0.15085959231252616,0.8092384849755365,0.1495932421125632,0.04116827291190027
"Miles City [Urban Area], MT, USA",0.13792937051483597,0.4891151591934867,0.2667408915922648,0.2441439492142485,0.734294205549997,0.2231633075341059,0.04254248691589705
"Fairfield [Urban Area], IA, USA",0.15939321846488377,0.5624916505027446,0.2717959263380069,0.1657124231592485,0.7419317964424451,0.1886415418283584,0.06942666172919658
"Waseca [Urban Area], MN, USA",0.08951995819586829,0.4152549286644755,0.3560337620277085,0.22871130930781594,0.6838838410239118,0.26767172952880386,0.04844442944728441
"Elwood [Urban Area], IN, USA",0.15709733193082556,0.4749543091093103,0.35367187931842636,0.17137381157226325,0.7952864382135532,0.16845913671428658,0.03625442507216019
"Sedona [Urban Area], AZ, USA",0.12587476115538304,0.41972810493495843,0.3363390199541231,0.2439328751109184,0.6948985199221507,0.20396641083352848,0.10113506924432084
"Monmouth [Urban Area], IL, USA",0.157169361306425,0.4190750553668183,0.4043083839709247,0.17661656066225695,0.7493309368674111,0.19776876691242723,0.05290029622016166
"Eufaula [Urban Area], AL-GA, USA",0.31469420380229246,0.6742306115455956,0.20360013393693122,0.1221692545174732,0.8329842889194272,0.12595960863897243,0.04105610244160037
"Seaside [Urban Area], OR, USA",0.08858982788039431,0.509336905317451,0.27759812190139266,0.21306497278115633,0.746084044995868,0.19460411487422938,0.05931184012990263
"Monahans [Urban Area], TX, USA",0.14865672474321792,0.39746630852296533,0.3149394826211655,0.28759420885586906,0.6431402862253358,0.27323252358215494,0.08362719019250935
"Columbiana [Urban Area], OH, USA",0.0840800641469767,0.4729600416229767,0.28393244016235186,0.2431075182146713,0.7264765622437394,0.20976854002406548,0.06375489773219524
"Waverly [Urban Area], IA, USA",0.10574954230195321,0.3326169291555102,0.35167876836306367,0.315704302481426,0.7049920913502704,0.24187297209058925,0.05313493655914044
"Lindstrom-Chisago City [Urban Area], MN, USA",0.07495868336990151,0.2527153007261233,0.29142360191855954,0.4558610973553172,0.5606095081634173,0.31913335720288305,0.12025713463369961
"Clinton [Urban Area], SC, USA",0.18569919722330816,0.569041669394964,0.2684627384677999,0.16249559213723602,0.8342269758967662,0.12989036347215044,0.03588266063108336
"Whitehouse [Urban Area], TX, USA",0.08630952997983372,0.25783630633189847,0.3134921849900381,0.4286715086780634,0.6085648022153299,0.29212525371193687,0.09930994407273319
"Cullowhee [Urban Area], NC, USA",0.2880071196441998,0.5117721836426751,0.30367237174341966,0.18455544461390522,0.8525844079463968,0.12812625852816573,0.019289333525437418
"Chillicothe [Urban Area], MO, USA",0.12594039523938896,0.515982229057076,0.34768759600941734,0.13633017493350658,0.7667106676047789,0.1911773019822653,0.04211203041295581
"Roxborough Park [Urban Area], CO, USA",0.0366748802100157,0.08516869905698085,0.22961443499293088,0.6852168659500882,0.3966755135715532,0.31597548946144166,0.28734899696700517
"Live Oak (Sutter County) [Urban Area], CA, USA",0.16935071172866537,0.3852355625678299,0.35173314595453137,0.2630312914776386,0.7693322868279557,0.17002779563953624,0.06063991753250806
"Greenwood [Urban Area], AR, USA",0.1141784228934599,0.4331871444809532,0.31865686803599813,0.24815598748304854,0.7040781775437045,0.2556604835991376,0.0402613388571579
"Bennettsville [Urban Area], SC, USA",0.2995460690114939,0.6613028652912801,0.2738752346802936,0.06482190002842626,0.922227510233935,0.06581615916881475,0.011956330597250134
"Pearsall [Urban Area], TX, USA",0.2709235931733779,0.46521531064977983,0.37881017960353014,0.15597450974669,0.789053511335281,0.15752651599606388,0.0534199726686551
"Diamondhead [Urban Area], MS, USA",0.054713682494805536,0.37196647276595435,0.3234651773512532,0.30456834988279247,0.6496824998280782,0.24793828028457693,0.10237921988734479
"Sonterra [Urban Area], TX, USA",0.08947753493302579,0.27487425399965065,0.3892599949426385,0.3358657510577109,0.6221129697974734,0.31329352088391216,0.06459350931861428
"Plymouth [Urban Area], WI, USA",0.06267471765525182,0.39403526157813323,0.3389349337298364,0.2670298046920303,0.6703243586729483,0.2661580508987068,0.06351759042834504
"Tuskegee [Urban Area], AL, USA",0.2883388580298779,0.6131678772402939,0.26609743063666397,0.1207346921230421,0.8523174973514419,0.12373970734364276,0.023942795304915367
"Susanville [Urban Area], CA, USA",0.16722581703807382,0.46478155768097057,0.2978583959913255,0.23736004632770402,0.6718233035934075,0.24194134466394987,0.08623535174264269
"Lakeport [Urban Area], CA, USA",0.10700688720517479,0.3547574712197443,0.32435554789547205,0.32088698088478357,0.6789323422439948,0.18731651848917502,0.13375113926683008
"Holly [Urban Area], MI, USA",0.11859730056928092,0.405087370424895,0.3381339052986662,0.2567787242764388,0.6547788733318999,0.2559380980631599,0.08928302860494006
"Oxford [Urban Area], NC, USA",0.19672184321307845,0.5160336626129571,0.29736102740168413,0.18660530998535893,0.7711935837167974,0.16487480384244715,0.06393161244075547
"Alexander City [Urban Area], AL, USA",0.16833774414891778,0.5452378608492358,0.2953498199624309,0.15941231918833323,0.8059607921270123,0.16581258143374047,0.028226626439247157
"Wendell [Urban Area], NC, USA",0.09462831683320408,0.3086621272799042,0.4030332651134643,0.28830460760663146,0.637895963240546,0.26803856116030433,0.09406547559914963
"Wise-Norton [Urban Area], VA, USA",0.233015382173749,0.572065454061357,0.2764621567347842,0.1514723892038588,0.8058355038242659,0.16069219067394871,0.033472305501785427
"Thief River Falls [Urban Area], MN, USA",0.1259385832713482,0.4302903474863856,0.33501603153790693,0.23469362097570748,0.6985082891874516,0.2643053976153565,0.03718631319719193
"Oak Ridge [Urban Area], NJ, USA",0.0649543947839876,0.23950655985084465,0.18985657030457573,0.5706368698445795,0.45232724147835646,0.3071651219799548,0.2405076365416887
"Napoleon [Urban Area], OH, USA",0.1470102935065993,0.4747153729385822,0.33477301427067685,0.19051161279074094,0.7560032998993391,0.1950583869890656,0.048938313111595313
"Clinton [Urban Area], MO, USA",0.17328625617385632,0.5542496025953633,0.33137593259973946,0.11437446480489728,0.8037336243927277,0.1664225677578281,0.029843807849444248
"Hope [Urban Area], AR, USA",0.2885871471119368,0.5522508537993873,0.2765134477102281,0.17123569849038459,0.7974202759923704,0.16281389387490852,0.03976583013272094
"Gypsum [Urban Area], CO, USA",0.08302750098547752,0.25091708591910794,0.4659189009925221,0.2831640130883699,0.5814050053269587,0.3237106333698051,0.09488436130323621
"Malvern [Urban Area], AR, USA",0.2715901796395778,0.6162527388360102,0.24711701737161446,0.13663024379237543,0.8392035641552303,0.13610130440092258,0.024695131443847072
"Savannah [Urban Area], TN, USA",0.2096011099748215,0.5360100014055016,0.309139445219647,0.1548505533748514,0.7881704588515029,0.16226081175856952,0.049568729389927464
"West Jefferson-Lake Darby [Urban Area], OH, USA",0.06142891519014941,0.3336654463769292,0.30212801356061286,0.36420654006245795,0.6085916904681803,0.30534147948462714,0.08606683004719265
"Logan [Urban Area], WV, USA",0.25673178418346776,0.6140989826839622,0.23115706239490605,0.15474395492113177,0.8211106285958675,0.12538380090313508,0.053505570500997475
"Canton [Urban Area], NC, USA",0.12098970212486618,0.4970292595188861,0.2736588853562335,0.2293118551248804,0.7134722945857778,0.23344821167757893,0.053079493736643314
"Laurel [Urban Area], MT, USA",0.07197327060676598,0.326535402546924,0.3733308977733589,0.3001336996797172,0.6722983546606555,0.21854020861105428,0.1091614367282903
"Thomson [Urban Area], GA, USA",0.16122193842357235,0.5195810855131037,0.3154042007087159,0.16501471377818053,0.751782577921578,0.2136180419275109,0.03459938015091116
"East Aurora [Urban Area], NY, USA",0.02570103663324202,0.2050698163218355,0.3337374764481611,0.46119270723000344,0.5432726910943407,0.30354031142217874,0.1531869974834807
"Waynesburg [Urban Area], PA, USA",0.11950303728769282,0.5138229460619261,0.23189017145781798,0.2542868824802559,0.7819772515915671,0.1623659865134519,0.055656761894980915
"Franklin [Urban Area], VA, USA",0.18901357704596983,0.4951894062641344,0.3022083591508889,0.20260223458497667,0.7073495623745536,0.25620225259378177,0.03644818503166474
"Richlands [Urban Area], VA, USA",0.2533037452985074,0.6635937636588964,0.22409767562212196,0.11230856071898151,0.8159301619350314,0.15388736095832553,0.030182477106643003
"Pleasant Hill [Urban Area], MO, USA",0.1487493865276283,0.34947873554739783,0.27433862117872815,0.37618264327387396,0.6413357152913758,0.26291202036028716,0.095752264348337
"Lamesa [Urban Area], TX, USA",0.24606165911510652,0.5782236664780519,0.26621498874382615,0.15556134477812195,0.796331922059446,0.15658489947119772,0.04708317846935615
"Breckenridge [Urban Area], CO, USA",0.031027994067485163,0.21527576633337558,0.2646831473518888,0.5200410863147358,0.6262595547511338,0.2501856275953546,0.12355481765351159
