longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Pittsburgh-New Castle-Weirton CSA, PA-OH-WV, USA",0.962099883467211,0.019409478771120276,0.01849063776166869,0.03790011653278893,0.1664966717563619,0.7956032117108492,0.9486166977415142,0.011975086129188248,0.03940821612929737
"Columbus-Marion-Zanesville CSA, OH, USA",0.924665889313877,0.03779604262277912,0.037538068063343734,0.07533411068612074,0.20450893632578657,0.7201569529880927,0.9024899220259166,0.02689600933778807,0.07061406863629544
"Las Vegas-Henderson CSA, NV-AZ, USA",0.7957883537002951,0.1071607535675791,0.09705089273212572,0.20421164629970523,0.5497350670025524,0.24605328669774243,0.6874150068761862,0.2128342920770831,0.09975070104673092
"Kansas City-Overland Park-Kansas City CSA, MO-KS, USA",0.9354044126129641,0.02922832976767518,0.03536725761936058,0.06459558738703607,0.38410903996111334,0.5512953726518507,0.9025469384984758,0.0540045135618967,0.043448547939627435
"Indianapolis-Carmel-Muncie CSA, IN, USA",0.9317251605164704,0.02610228862937185,0.04217255085415777,0.06827483948353084,0.2461144614149445,0.6856106991015247,0.9056415340256939,0.04741151314424792,0.04694695283005817
"San Juan-Carolina CSA, PR, USA",0.9653407689459621,0.017500530901718585,0.017158700152319267,0.03465923105403798,0.052839136864774795,0.9125016320811872,0.05286328520328328,0.9451894815394787,0.0019472332572380172
"Raleigh-Durham-Chapel Hill CSA, NC, USA",0.8853742589804674,0.04846331444755746,0.06616242657197503,0.11462574101953209,0.3974563070200727,0.48791795196039517,0.8426411835689042,0.08939677834866874,0.067962038082427
"Cincinnati-Wilmington-Maysville CSA, OH-KY-IN, USA",0.9491583538276916,0.023087118961691053,0.02775452721061732,0.05084164617230925,0.27304930177413994,0.6761090520535508,0.9343302890689026,0.02316334179438037,0.042506369136716994
"Nashville-Davidson--Murfreesboro CSA, TN, USA",0.9185337716000701,0.03387640367034935,0.04758982472958069,0.08146622839993015,0.3875963637172301,0.5309374078828397,0.8890421714225751,0.059246166142567495,0.05171166243485737
"Milwaukee-Racine-Waukesha CSA, WI, USA",0.9324973425541236,0.03193637800043147,0.03556627944544478,0.06750265744587658,0.2157395671550376,0.7167577753990859,0.8814535256436686,0.07266405402370522,0.04588242033262618
"Virginia Beach-Norfolk CSA, VA-NC, USA",0.9343909241096784,0.039053209578330965,0.02655586631199065,0.06560907589032187,0.45261095018165765,0.48177997392802047,0.9093619182547447,0.04169458749567145,0.048943494249583816
"Jacksonville-St. Marys-Palatka CSA, FL-GA, USA",0.9065188759118192,0.05450525223175276,0.03897587185642795,0.09348112408818161,0.4510594277750136,0.45545944813680483,0.875101685899265,0.06310194003615227,0.06179637406458282
"Greensboro--Winston-Salem--High Point CSA, NC, USA",0.9196890906949078,0.032360864674650366,0.04795004463044186,0.08031090930509154,0.29929372740209054,0.6203953632928179,0.87638049789084,0.08220446800072442,0.04141503410843557
"Louisville/Jefferson County--Elizabethtown--Madison CSA, KY-IN, USA",0.9427902273387939,0.025784168786200736,0.03142560387500541,0.057209772661206845,0.296680309937471,0.6461099174013221,0.9258609992189649,0.0367889625481199,0.03735003823291518
"Greenville-Spartanburg-Anderson CSA, SC, USA",0.9413239500269701,0.025126608098199586,0.03354944187483035,0.05867604997302872,0.34126754239200097,0.6000564076349703,0.9151395757009151,0.05333146094147243,0.031528963357612474
"New Orleans-Metairie-Hammond CSA, LA-MS, USA",0.9327902784994899,0.029843793368866296,0.03736592813164393,0.06720972150051002,0.21111755015697223,0.7216727283425178,0.8986464163194702,0.06059589252440906,0.04075769115612073
"Oklahoma City-Shawnee CSA, OK, USA",0.9238320635871808,0.030863079507542888,0.04530485690527624,0.07616793641281826,0.3185465979443874,0.6052854656427944,0.8702593186450636,0.09201682759633836,0.03772385375859807
"Grand Rapids-Wyoming-Muskegon CSA, MI, USA",0.9456620013375888,0.024973948137012942,0.029364050525398207,0.05433799866241232,0.15610492696349174,0.789557074374096,0.9156182334458491,0.05068423683713834,0.03369752971701253
"Hartford-West Hartford CSA, CT, USA",0.874734889259713,0.07384248260826223,0.051422628132024736,0.12526511074028607,0.3068933841297433,0.5678415051299707,0.8028487540889492,0.09960211826967331,0.09754912764137746
"Birmingham-Hoover-Talladega CSA, AL, USA",0.966063967797221,0.013163036073640251,0.020772996129138695,0.03393603220277836,0.21632540363150823,0.7497385641657133,0.9464667301415175,0.035269544450281104,0.018263725408201505
"Memphis-Forrest City CSA, TN-MS-AR, USA",0.9456834877188,0.021900320576378893,0.03241619170482106,0.05431651228120017,0.3549280294687333,0.5907554582500665,0.9219487619067027,0.04644367954605416,0.03160755854724305
"Harrisburg-York-Lebanon CSA, PA, USA",0.9459391977931356,0.02887859123026672,0.025182210976597563,0.054060802206864746,0.26038435958433803,0.6855548382087973,0.9033870663050256,0.0498766566068012,0.046736277088173205
"Buffalo-Cheektowaga CSA, NY, USA",0.9372768674570507,0.035843172809651436,0.026879959733297893,0.06272313254294884,0.12275133214060525,0.8145255353164458,0.9065212184850673,0.029899607344457152,0.06357917417047564
"Albany-Schenectady CSA, NY, USA",0.9281657583906259,0.04162634834499846,0.030207893264375674,0.07183424160937488,0.16970982074132626,0.758455937649299,0.9116050728025792,0.027462953846356802,0.06093197335106403
"Albuquerque-Santa Fe-Las Vegas CSA, NM, USA",0.9109498407097325,0.04121482216467168,0.047835337125595956,0.08905015929026631,0.35661547761258133,0.5543343630971524,0.7006828660191333,0.2356794146301388,0.0636377193507278
"Rochester-Batavia-Seneca Falls CSA, NY, USA",0.9347486113412314,0.03875972838793296,0.02649166027083567,0.06525138865876845,0.1661929852068965,0.7685556261343351,0.8907797760028655,0.047941440490408105,0.061278783506726504
