longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"Madison WI Media Market, USA",0.021352681023538694,0.04952693595186945,0.022522192070286037,0.01980109591892164,0.017175056089067806,0.06899081172448206,0.007770477241082615,0.048328702754838374,0.019887182053058648,0.058271397655038165,0.11291938249277675,0.04123438517905157,0.008611660986869246,0.030188616030246217,0.03770793099956985,0.07159166928896997,0.03021551915563295,0.10581797771041748,0.080714645829584,0.028360763730528298,0.05098880282194086,0.03178143484478706,0.021191225087552352,0.007151633964547896,0.007897819395342141
"Colorado Springs-Pueblo CO Media Market, USA",0.021718569299945353,0.04281391199777052,0.006486823365730858,0.02041725459903936,0.023397331097910125,0.06372711452666562,0.007439218947844278,0.04501056632425765,0.02060597814756882,0.054253631282464417,0.10730689301788685,0.053654543738876764,0.004191418345245602,0.03198425255599708,0.030349379955364755,0.0379378221741394,0.03681425872242979,0.10995780053676434,0.09743621253782715,0.034496909103277754,0.056384451812952804,0.037975127991871825,0.026324740559982365,0.014553657835428698,0.014762131522757713
"Portland-Auburn ME Media Market, USA",0.01946787332199188,0.02458712794189305,0.00959591799198732,0.0209336715672538,0.021181992606497852,0.07016196817190797,0.010010273695286516,0.04718907969052447,0.020489479193047184,0.05302306477937863,0.11222464015360502,0.05955975482378066,0.009821467473402937,0.032297819886589876,0.031243182859520578,0.05374036838200812,0.03337931060629788,0.10820436775337001,0.09583571514823727,0.035304223563050054,0.05284514635188719,0.03749864726458448,0.025041574664849103,0.007839119329058177,0.008524212779989923
"Syracuse NY Media Market, USA",0.022072786133938156,0.02613410082080755,0.013172537202691787,0.017196404166602338,0.023626682521843738,0.09003699613039318,0.009876285270058304,0.04760359519764839,0.023777209815916786,0.04504623053615856,0.09706320942133573,0.04354310044695915,0.004579834967968359,0.03182006950171717,0.03025988570043506,0.049958180016547005,0.03631123900229506,0.11995068667748586,0.09143844334145215,0.03509434013522917,0.05609825245476132,0.03266485603537896,0.02714068156058613,0.012843928928079519,0.01269046401371051
"Chattanooga TN Media Market, USA",0.01618401473451882,0.018089278507347418,0.005281543185702981,0.013828058520864916,0.017353008123374414,0.057498009486992206,0.006206534159427543,0.04321504592350505,0.020367085001548713,0.04380286992359418,0.09141831954719053,0.054086383204542225,0.006006895819774764,0.036859372304319626,0.05188822267953176,0.10767097586651607,0.03979457570412105,0.11534858342231041,0.09624951683000575,0.03605024773374443,0.05357627575148401,0.02694895764935156,0.02248984825686721,0.011037781979024852,0.008748595684339626
"Savannah GA Media Market, USA",0.016519303541465306,0.014203352403912673,0.006350611807567572,0.01636567197174422,0.01724860468814583,0.06564012308240844,0.008267744338114393,0.04292007351097655,0.023143615107901538,0.03768192776185514,0.09926764539448218,0.053865676307847374,0.008942309349440644,0.04045307539591485,0.05073401499150105,0.0518331682047594,0.04704741769889101,0.10519002945206415,0.10498371564971844,0.04566996339106407,0.06434281069104245,0.02671020637593972,0.02470826913111638,0.014249469933521821,0.01366119981860472
"Shreveport LA Media Market, USA",0.012374315385654975,0.011993905303577563,0.0058321378922300045,0.011125689157297067,0.020801011837969473,0.06271406401290265,0.00730307163089213,0.046419653449776006,0.026740119510416643,0.029717782264232072,0.08425030005506177,0.0639042461856233,0.009304308675556023,0.04241901396003158,0.044724899951418234,0.07763463688418147,0.04727780338121721,0.10977781655950358,0.09709764177125012,0.04347117707777506,0.055597830136103185,0.036453903348716316,0.025780269513941436,0.012445879167476479,0.014838522887195579
"Paducah KY-Cape Girardeau MO-Harrisburg IL Media Market, USA",0.009148798370470659,0.011376052445530008,0.006029159477324562,0.010580074851557575,0.02016146974049137,0.06426159482268412,0.005739937804980551,0.04364775272288656,0.02881834406996687,0.03126066041420528,0.08740180059030807,0.054425585982883835,0.011981687571378397,0.040369907102987664,0.047269203577450104,0.08614603469671223,0.047106052890486784,0.10903904245378661,0.09864189413003685,0.03906964556749236,0.05866997582403424,0.04175915992228106,0.02396584712286249,0.008745865613273509,0.01438445223392832
"Baton Rouge LA Media Market, USA",0.024248652143825253,0.01997594744300263,0.012293970699957352,0.014720473862472699,0.019711535815843312,0.06568815838476819,0.013711965797820665,0.03935732274888833,0.020511896234396424,0.05085828952485211,0.09705093204600271,0.06739202506909467,0.004071471073073037,0.03475257952717257,0.03458651088758598,0.056378174732540906,0.040188557900324655,0.11123773755334394,0.10650896828510487,0.032162281551372934,0.053457947204268066,0.03353821086264465,0.021155283318571673,0.013639372711933004,0.01280173462113935
"Champaign & Springfield-Decatur IL Media Market, USA",0.014755603885482445,0.024174609121563096,0.01252821361015408,0.014239306242175523,0.019639870971278946,0.07791068507671405,0.00795920791717309,0.04448383942686368,0.02512724680854939,0.044639185620425036,0.09632606252227399,0.042430071367869054,0.00746803980517765,0.03356163131779203,0.04468716018020158,0.06945574004185268,0.042345544762548634,0.11615097822411997,0.0863884751400382,0.03585755667851613,0.05927371085504433,0.034511984501932574,0.02587199473650548,0.009366461670611238,0.010846819515137147
