longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Navasota [Urban Area], TX, USA",0.016076958823892457,1.0,1.6430892969076802,0.775006704210244,1.3620818307612463,0.0,34.866316239604764,0.0,20.502798941671728,0.2985623630185995,0.5361011584425643,0.9416060429585075,1.0
"Fort Scott [Urban Area], KS, USA",0.024400764758364085,1.0,3.0526058034493637,0.966931039118161,0.8162976737151814,0.0,77.72441332020901,0.0,61.93714855599249,0.23124925308986333,0.757592561250995,1.0,1.0
"Robertsdale [Urban Area], AL, USA",0.011836562859320823,0.08116839413110782,13.684639746749621,0.8838336249831741,1.1498311002291726,0.0,50.147258288829,0.0,44.586379245236394,0.07827815006699113,0.2623894035756261,1.0,1.0
"Forsyth [Urban Area], MO, USA",4.725341414836565e-05,0.6772194530513269,9.269052177415716,0.3064798598949212,3.072232070387538,0.0,48.95485661630275,0.0,28.962508069705958,0.10502126008152202,0.16064351975402757,0.9911231936382547,1.0
"Eagle [Urban Area], CO, USA",0.019081076283701443,0.0,37.86557515223156,0.9737161342498989,0.7405158248424234,1.0,8.145036811869584,0.0,39.15861820717528,0.09937624990860483,0.4359845620393741,0.999704670786312,1.0
"South Boston [Urban Area], VA, USA",0.004434991619501968,1.0,1.9415196724202088,0.8850667745851882,1.2561643195751404,0.0,73.11665624046111,0.0,39.73518621806396,0.19138410140939477,0.6333269561437438,0.99473028094401,1.0
"Freeland [Urban Area], MI, USA",0.0048212733241189245,0.5086346465191581,9.764477030048505,0.7477064220183486,1.3538279376572995,1.0,3.9572152612501257,0.0,40.720855759174896,0.07582261100768994,0.4073506210296529,1.0,1.0
"Wellington [Urban Area], KS, USA",0.0,1.0,1.4921893355751588,0.9991889699918897,0.5748408726026769,0.0,42.3593103486395,0.0,34.33160867056571,0.2737780754449206,0.7977109491655432,1.0,1.0
"McCook [Urban Area], NE, USA",0.028010976756054438,1.0,1.7427595874381239,1.0,0.6157517932448905,0.0,102.36081554834962,0.0,96.69313846216541,0.08070565630253257,0.3798243814762047,1.0,1.0
"Syracuse [Urban Area], IN, USA",0.005643863634807142,0.0,18.445019452908888,0.5602597051264709,1.9815913614793446,0.0,58.47324428381991,0.0,32.58337220800246,0.16570192984397047,0.3988143904394912,1.0,1.0
"Chestertown [Urban Area], MD, USA",0.01291607321087288,1.0,1.3940716519902285,0.739448051948052,1.2398866871264052,0.0,52.31062305392739,0.0,27.947605767670275,0.3754046382027961,0.7308446928468272,0.9999993349420231,1.0
"Buies Creek-Lillington [Urban Area], NC, USA",0.005441067451165332,0.02881883371668245,13.549052223021008,0.7936679745636585,1.3450333323481187,0.0,47.45725333501943,0.0,39.02732915662027,0.09724627576030043,0.21125823581424918,1.0,1.0
"Carbondale [Urban Area], CO, USA",0.011793300026511851,0.0,17.2985257940799,0.9731014807770684,0.5627530996851265,0.0,35.66014913310839,0.0,59.201025025363016,0.34507076640197853,0.6250636187330472,1.0,1.0
"Geneva [Urban Area], OH, USA",0.018279419203849644,1.0,2.0775862366174187,0.9343303874915024,1.1317860778699378,0.0,70.73387817400142,0.001495581237253569,16.562976542932052,0.1445198598845301,0.4754220731533275,1.0,1.0
"Spring Hill [Urban Area], KS, USA",6.6122852425346335e-06,0.15345860566448802,12.113317897577168,0.829520697167756,1.1406703342123283,0.0,62.502463854928756,0.0,15.258273301495253,0.07424258358661273,0.196749722616963,1.0,1.0
"Skiatook [Urban Area], OK, USA",0.022310191250341102,0.0,15.965320624139562,0.9332606919095614,0.85421989109836,1.0,21.65832604697949,0.0,15.049862016796682,0.14823242236496414,0.43439175235492167,1.0,1.0
"Plumas Lake [Urban Area], CA, USA",0.01885426470175554,0.0,14.972991904039636,1.0,0.599563524517386,0.0,34.71912365734694,0.0,40.64460210500191,5.916846235187734e-09,5.916846235187734e-09,1.0,1.0
"Rochester [Urban Area], IN, USA",0.03472818955100985,1.0,1.7893822382091946,0.8989499522705577,0.9751384789553743,0.0,72.70444287599483,0.0,26.393468333553834,0.14888341298655117,0.6601725538030224,0.9990100247776242,1.0
"Bremen [Urban Area], GA, USA",0.007997597136804521,1.0,1.7800630041287615,0.8330831172376143,1.3371630911921326,0.0,66.8632334983579,0.0,35.43293036831701,0.1838932444739153,0.39184927099861866,1.0,1.0
"Purcell [Urban Area], OK, USA",0.004574908518951934,1.0,2.380297598920911,0.8808516446021564,1.2648952389869847,0.0,47.45850141598652,0.0,20.817061818300683,0.16161513032638564,0.4128613580392382,0.9962252980707035,1.0
"Clinton [Urban Area], IL, USA",0.013763738864687519,1.0,1.0707347129857832,1.0,0.5439605641981925,0.0,35.748711085557254,0.0,73.73260631043775,0.569517129936509,0.8754399324680899,0.9987976876916929,1.0
"Covington [Urban Area], TN, USA",0.0005044701033047991,0.9989071038251366,3.882814146568958,0.6943989071038251,1.63105576478407,0.0,64.4626506737032,0.0,29.197490980257115,0.2670325804059789,0.7288474787792738,1.0,1.0
"Summit Park [Urban Area], UT, USA",5.7281791045262364e-05,0.03881372147054804,11.92190210346079,0.8914855815224819,1.1667719801415228,0.0,33.647041834715154,0.0,22.335468560414434,0.15967160887017573,0.44931047620319853,1.0,1.0
"Lake Holiday [Urban Area], IL, USA",0.0001174688279878647,1.0,5.836781799919276,0.38602488718720085,2.1349169765656058,0.0,72.9484567857449,0.0,33.012587078546645,0.0,0.0009939597098646002,1.0,1.0
"Junction City [Urban Area], OR, USA",0.017758390573849616,1.0,5.916795481323918,0.9853665207877462,0.7149628096317158,1.0,10.372382387251408,0.0,32.449833903612756,0.15113621836905844,0.5498947672043085,1.0,1.0
