longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Fruitland Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0008693165837970663,0.3651031894934334,11.338862203194191,0.4165103189493433,2.986093814883104,0.0,204.2274420956031,0.0,22.23316352900649
"Many Farms Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,23.09618305839292,0.42566510172143973,3.8400014744192146,0.0,230.86580317499482,0.0,127.43025179626058
"District 5, Gila River Indian Reservation, USA",0.0,0.04480570975416336,15.078269206958687,0.2168913560666138,3.504982723164758,0.3009516256938937,31.30826232456878,0.0,31.65118652679925
"Medicine Root District, Pine Ridge Reservation, USA",0.0,0.0,45.78225032207283,0.38408444985789686,6.264353728310188,0.0,99.58371208939349,0.0,109.83710710771717
"Tonalea Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,38.84755667389114,0.09302325581395349,9.840429895295824,0.0,118.83521353883692,0.0,216.70354974400706
"Tsaile-Wheatfields Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,38.990742452734544,0.5538775510204081,4.561284447155247,0.0,256.22881672980157,0.0,95.38592114925264
"Sells District, Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.8686041751944331,3.5758101166438334,0.7261563651248465,2.670893134318396,0.0,92.64031478661248,0.0,92.83349865181538
"Wolftown Community, Eastern Cherokee Reservation, USA",0.0,0.8242574257425742,7.969977888374055,0.0,6.618828970308949,0.0,63.07108942886691,0.0,16.151181252816777
"Oljato Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,87.6734549676464,0.02301255230125523,14.036088310752913,0.0,213.27104532668426,0.0,116.91937233445454
"Fort Yates District, Standing Rock Reservation, USA",0.0,0.8903821923561529,4.1845915227565875,0.30533389332213356,4.121026409044825,0.0,75.09931995489839,0.0,289.1612448784215
"Huerfano Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.3364132717345653,25.74135684901365,0.07979840403191936,8.520176118232108,0.0,200.33484716886315,0.028559428811423773,23.994983181092646
"Red Lake District, Red Lake Reservation, USA",0.002022948381823316,1.0,2.3132430171690657,0.7119428090832632,1.6645336173043626,0.0,142.53587136329637,0.0,62.864266539232524
"LaCreek District, Pine Ridge Reservation, USA",0.0,0.7824529991047449,6.310964160422938,0.5877350044762757,5.189588021285939,0.0,145.9465683052788,0.0,156.44333862894717
"San Xavier District, Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.0003695832298391317,1.0,3.1807424417986767,0.37104072398190047,2.497362723246537,1.0,6.367614684698899,0.869683257918552,6.76512886035919
"Ganado Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0075502804149141555,0.8531150522964984,5.414555525350238,0.5025011368804002,3.037525317542073,0.0,201.70129987174693,0.0,96.72675426296017
"Alamo Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,55.43288197741133,0.12722298221614228,5.4701585177137755,0.0,126.10360272533707,0.0,58.15779011236162
"Red Lake Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.03209536909674461,15.739496836559077,0.9018798716185236,0.9767066281463065,0.0,239.33820469124734,0.0,55.856446765804044
"Red Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.45135640785781106,10.923827862231104,0.01216089803554724,6.164484028316805,0.0,204.00540336743904,0.0,35.529560757141745
"Dilcon Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,44.55093239532775,0.4056206088992974,6.5031918424956805,0.0,122.21264803657735,0.0,170.1729810928324
"Twin Lakes Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,20.905220150721018,0.27607361963190186,3.896717488932327,0.0,209.13715964070468,0.0,25.23584949236175
"White Clay District, Pine Ridge Reservation, USA",0.0,0.0,27.082435241373428,0.1215443279313632,6.097374435082526,0.0,94.61034487909204,0.0,106.43690040871938
"Grandview, Cherokee OTSA, USA",0.0,0.9746168582375478,6.77632597258349,0.2543103448275862,2.5301970592179424,0.0,71.44395464734473,0.0,88.0029963658659
"Lame Deer District, Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, USA",0.0,0.0,61.768327460804095,0.6376323387872955,2.4432106224315566,0.0,97.14581767034295,0.0,141.25023249055826
"Lake Traverse District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",1.0947057708460739e-05,0.02330193356470005,19.059226498033336,0.21219633118492812,8.316456589917287,0.0,99.3172043446558,0.0,132.1541970144628
"Porcupine District, Pine Ridge Reservation, USA",0.0,0.0,35.64398072912564,0.2053388090349076,6.653074762112887,0.0,98.81559521733374,0.0,110.04672840209827
"Aneth Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,44.49249244296995,0.16805845511482254,7.22075075820013,0.0,179.45601592330968,0.0,68.01901722341876
"Kaibeto Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,49.260033824984625,0.6724683544303798,3.2716360391085324,0.0,118.65664888620441,0.0,209.208587292506
"Shonto Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,69.20986097483107,0.23832528180354268,9.613747853710043,0.0,149.65077297014676,0.0,186.61939589382192
