longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %
"Manchester NH HRR, USA",0.06454497754720698,0.07995434241125307,0.12822021785571508,0.7918254397330318
"Evanston IL HRR, USA",0.06470646876197375,0.09410784682916695,0.0904117721408554,0.8154803810299778
"Colorado Springs CO HRR, USA",0.07386035028286862,0.11092516881544419,0.21826755756195,0.6708072736226058
"Tacoma WA HRR, USA",0.06018750303565097,0.08407712567738124,0.19083927602943515,0.7250835982931837
"Fort Wayne IN HRR, USA",0.12797816112012567,0.11061856509148815,0.16427348017760193,0.72510795473091
"Springfield MO HRR, USA",0.1452852281053285,0.1689157177760367,0.17068583455707348,0.6603984476668899
"Ventura CA HRR, USA",0.06817107126563585,0.11740791446646597,0.17045747359963948,0.7121346119338946
"Pensacola FL HRR, USA",0.10446260081462068,0.17446544723137583,0.16124627447036766,0.6642882782982564
"Worcester MA HRR, USA",0.08175522773187015,0.03228279475501835,0.23642316292953938,0.7312940423154421
"Mobile AL HRR, USA",0.1531415945127371,0.16546377456768077,0.16750340441069558,0.6670328210216236
"Tallahassee FL HRR, USA",0.16603583404190533,0.18136041433180958,0.15186031384722687,0.6667792718209635
"San Mateo Co. CA HRR, USA",0.04911725944725215,0.04661036027339807,0.1151130938850903,0.8382765458415116
"Wilmington DE HRR, USA",0.07133316542396353,0.06977745482012265,0.1953044365504724,0.7349181086294049
"Greenville NC HRR, USA",0.15100386607298827,0.16096797569166313,0.19476511649345124,0.6442669078148856
"Blue Island IL HRR, USA",0.10998663198111214,0.104314697666029,0.1980215735379378,0.6976637287960332
"Reno NV HRR, USA",0.09190783108418396,0.12424931979496008,0.1546160597974483,0.7211346204075916
"Sioux Falls SD HRR, USA",0.11312671412933,0.0996589884467826,0.11431128623847209,0.7860297253147452
"Elgin IL HRR, USA",0.04922279097438293,0.08964530442575543,0.0969654230809311,0.8133892724933134
"Springfield IL HRR, USA",0.14699623611187954,0.06959952871226512,0.21129363096308404,0.7191068403246508
"Eugene OR HRR, USA",0.08423850518241158,0.08997003962991719,0.2553713140181197,0.654658646351963
"Charleston WV HRR, USA",0.16933626056365125,0.09035057179265484,0.3284577024592438,0.5811917257481013
"Mcallen TX HRR, USA",0.21949238009149372,0.4441878803767593,0.11380958868387796,0.44200253093936276
"Provo UT HRR, USA",0.03800240098037148,0.09665920944484326,0.07631776822826966,0.8270230223268871
"Everett WA HRR, USA",0.060637401368982165,0.08512712642405819,0.16691142244161408,0.7479614511343278
"Springfield MA HRR, USA",0.1096190046625965,0.034832817447734664,0.290357648477194,0.6748095340750714
"Lubbock TX HRR, USA",0.13908208514273193,0.20633429631695768,0.1524746238436934,0.6411910798393489
"Chattanooga TN HRR, USA",0.13050168013691618,0.151008253789294,0.16242337269558363,0.6865683735151223
"Macon GA HRR, USA",0.18679226276084593,0.1797995544158484,0.18539964488373503,0.6348008007004166
"Joliet IL HRR, USA",0.08127642429867514,0.07351082745122435,0.13650348386617575,0.7899856886826
"Anchorage AK HRR, USA",0.09280348713307035,0.1573482489969003,0.19309012802064404,0.6495616229824557
"Columbia MO HRR, USA",0.144187165805391,0.12965172294229646,0.13181364869527393,0.7385346283624296
"Lancaster PA HRR, USA",0.12118912767716929,0.11153450818997909,0.14612542529844474,0.7423400665115761
"Roanoke VA HRR, USA",0.15498295625607567,0.09824130404645066,0.19231568628559256,0.7094430096679568
"Bridgeport CT HRR, USA",0.06845864970003863,0.10289825810124532,0.17390056938713294,0.7232011725116216
"Lansing MI HRR, USA",0.10725816978207268,0.06601118993291108,0.20849496423792688,0.725493845829162
"Augusta GA HRR, USA",0.15329152101210874,0.1666270554847606,0.16962879304115075,0.6637441514740886
"South Bend IN HRR, USA",0.13120002410669077,0.12699287827136413,0.16507687798546927,0.7079302437431666
