longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Williamsburg Neighborhood, New York City, New York, USA",0.5836514492840886,0.23962259606700304,0.06022326320733132,0.0675991377753158,0.0009633795354102191,0.0003311617152972628,0.047609012415553764
"Washington Heights Neighborhood, New York City, New York, USA",0.2054322952940006,0.634968328192883,0.09353629821244984,0.0340330978675422,0.000862269094285809,0.00028521208503299835,0.030882499253805592
"Southeast Dallas Neighborhood, Dallas City, Texas, USA",0.07100320659642693,0.7058149874700224,0.20463609172482553,0.00256662445097141,0.002034437228853979,0.0002559887903856,0.013688663738514188
"Alhambra Neighborhood, Phoenix City, Arizona, USA",0.31608218860250714,0.4755119727584772,0.09492224019216465,0.04956974498604486,0.024518735370988323,0.0015558785595840073,0.037839239530233854
"Camelback East Neighborhood, Phoenix City, Arizona, USA",0.5438948537068068,0.29302771399215266,0.06324086141624775,0.02955515560244661,0.02286628464249019,0.002392822910417399,0.04502230772943862
"Hollywood Neighborhood, Los Angeles City, California, USA",0.36369847575578285,0.41368016228552107,0.05234835037894796,0.12147465697461471,0.0019229143774828839,0.0011481137125630406,0.04572732651508748
"East Side Neighborhood, El Paso City, Texas, USA",0.08965224766751484,0.8614362454057111,0.024971727452643484,0.010277070964093865,0.0018871925360474978,0.0009754028837998304,0.010800113090189425
"Jamaica Neighborhood, New York City, New York, USA",0.02092128313374113,0.24141322764998133,0.39186841273943884,0.22244478906407053,0.01145142299187272,0.0012636052956549208,0.11063725912524051
"Roosevelt Neighborhood, Fresno City, California, USA",0.10098675180952656,0.6290723377205022,0.05143245156536689,0.19036508372220698,0.005446638831500932,0.000946299319531329,0.021750437031365123
"Crown Heights Neighborhood, New York City, New York, USA",0.2595415393367418,0.12417676189364821,0.5101560049886589,0.034059995186381836,0.0014951389749910656,0.0002552676298765234,0.07031529198970177
"Flatbush Neighborhood, New York City, New York, USA",0.14172789196585264,0.1681712721972694,0.5528123977512716,0.06857729260239745,0.0020226657544840715,0.00025283321931050893,0.06643564650941432
"North Scottsdale Neighborhood, Scottsdale City, Arizona, USA",0.8083209622201352,0.06569061108249766,0.015534583573181446,0.06542551579967885,0.0023631350925561244,0.0005832096222013512,0.04208198260974945
"Harlem Neighborhood, New York City, New York, USA",0.1589039169264668,0.23269496730034459,0.5136619707304877,0.039302094809466885,0.0021018416508442527,0.000586015330161037,0.05274919325222881
"South Mountain Neighborhood, Phoenix City, Arizona, USA",0.17208131471454355,0.6076675849403123,0.14214242740888508,0.0260678889205535,0.016821823248155537,0.004575535923498306,0.030643424844051803
"East Harlem Neighborhood, New York City, New York, USA",0.1501980412793547,0.4521366766022062,0.2787039343129615,0.07883087355084399,0.0018799861812981546,0.00021692148245747937,0.038033566590878046
"Williamsbridge Neighborhood, New York City, New York, USA",0.05705062669553947,0.36430451687690685,0.5096238216755351,0.029994445473060544,0.0023586614395079814,0.0002576012493660594,0.03641032659008396
"South Side Neighborhood, Corpus Christi City, Texas, USA",0.29439898582459373,0.5896952534615322,0.04400796852104908,0.04179357579150134,0.0027659329261265414,0.0010783845634600505,0.026259898911737103
"Bushwick Neighborhood, New York City, New York, USA",0.23096677366907076,0.5117271855588443,0.14923083336807438,0.06110810022095302,0.0020260974694626256,0.0007420686205027723,0.04419894109309209
"Corona Neighborhood, New York City, New York, USA",0.03784143449405422,0.7592769522119667,0.0697114974493713,0.11177554467438965,0.0015525566000716565,0.0001876716769317387,0.019654342893214816
