longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"CA-HD052, USA",0.45759750078457107,0.45139148061147577,0.4523550711056802,0.0473162190667685,0.05520610423016233,0.04329836540108163,0.23253159257414177,0.39015476670859633,0.3773136407172618,0.10092558317580701,0.4980510953458418,0.4010233214783512,0.03597333426435333,0.3373359733963618,0.6266906923392849,0.7088076621875423,0.10081817745152137,0.08443424638885469,0.044937516358696174,0.02638103724120179,0.03462136037218355,0.6547799317986356
"CA-HD010, USA",0.44037873224854757,0.48575962353971164,0.5027024248678441,0.03050943329523091,0.07142276041177759,0.041338954256590954,0.1931089758062057,0.4103306897055069,0.39656033448828737,0.19176069332680426,0.6206810737957954,0.1875582328774003,0.07948796409869067,0.5477441627064864,0.372767873194823,0.24747955031919786,0.13033037896348393,0.19528258813715552,0.18117539920801967,0.1918470225378223,0.05388506083432072,0.38577965806722603
"CA-HD040, USA",0.4322067702126402,0.45257842403917026,0.46919974803839676,0.0298291489349581,0.04412209858455726,0.031257068227088,0.14777188041621772,0.39696474050248776,0.4552633790812945,0.08192279810070477,0.2964546196568582,0.6216225822424369,0.01815088717153532,0.12326604827967148,0.8585830645487932,0.3193650460955508,0.16058266086350131,0.1910963541049291,0.13390906548681264,0.14191179638342963,0.05313507706577669,0.3247679174896476
"CA-HD033, USA",0.4239563626320514,0.4276365518722114,0.4378656919558293,0.04278064415259537,0.05991911744477152,0.05618265571800521,0.2533620431384173,0.38507055490441316,0.3615674019571696,0.5841023035875588,0.3688172419076633,0.047080454504778026,0.27634672498651297,0.672472772938162,0.05118050207532495,0.30269645554802493,0.16401856917092553,0.1431766608714518,0.1659412411875572,0.15155690119259185,0.07261017202944862,0.4488478989408457
"CA-HD080, USA",0.4071333292603454,0.42347962194071576,0.4396208469102495,0.03528933629286898,0.0546985330387248,0.032428430404738404,0.16442172480379777,0.4070127254997978,0.4285655496964044,0.13272003762194867,0.5912263997516787,0.27605356262637276,0.051423253848206764,0.29772927038677993,0.6508474757650132,0.34976842239393496,0.17439363016628226,0.13497448739426532,0.11505307101075053,0.16587771567656956,0.0599326733581972,0.47866335670473636
"CA-HD044, USA",0.5228944546676219,0.538848329667136,0.5497594997594998,0.043837812183786594,0.05730505818846274,0.031798805235963463,0.19059105057380693,0.3878022914990469,0.4216066579271462,0.07887438927982034,0.32005554807009773,0.601070062650082,0.008444207001479543,0.1227703103692965,0.868785482629224,0.5796816622322553,0.13924378988517117,0.13223117090525605,0.06519017680152533,0.05208816385402224,0.031565036321770004,0.5680526546014926
"CA-HD001, USA",0.6595192685590836,0.6595865951968518,0.6390473726494097,0.23469369102588006,0.22756527064445956,0.191890221815005,0.23641498613851614,0.37947911693860403,0.38410589692287983,0.4469872032084729,0.4832749803406427,0.06973781645088438,0.15152589800135893,0.672017192750177,0.1764569092484639,0.28710494641905143,0.2241620482553588,0.19479457136038936,0.14411834239978727,0.11826793405663504,0.031552157508778114,0.3016519861006575
"CA-HD078, USA",0.5091864131439794,0.5315157984079423,0.5270282884262013,0.047975433047699606,0.051501045215236914,0.030954284615462468,0.22507634614947505,0.4276517145262433,0.3472719393242816,0.05275499853509851,0.3611012316970419,0.5861437697678596,0.010698269881598117,0.12469294393246849,0.8646087861859334,0.4108731071628038,0.23866456810160655,0.15269163719499504,0.08801025260919697,0.06658284793889449,0.043177586992503104,0.536263762116039
"CA-HD015, USA",0.4554905124613393,0.4930838245114834,0.49900536239404947,0.031248088355513043,0.0615935415108672,0.02615877925696801,0.197946184976925,0.3968872071139346,0.4051666079091404,0.12225590521108297,0.2794058182467737,0.5983382765421433,0.05113769710900272,0.1899839270370235,0.7588783758539738,0.33301406666349265,0.19101598352245325,0.16193524986771585,0.14013840144669149,0.1284255670556607,0.04547073144398619,0.3504426536241789
"CA-HD074, USA",0.4699741781852213,0.4850736384827294,0.4880614165771634,0.07098808872207887,0.07403139931740614,0.04843146418366925,0.15773371241159234,0.41429737487134116,0.4279689127170666,0.0746205902782795,0.25229223128284783,0.6730871784388727,0.01685876956623982,0.1305609580808811,0.852580272352879,0.18505867433050432,0.22621472176243104,0.27570020785812194,0.1672141792499054,0.1024436687232937,0.043368548075743654,0.41921083499346073
