longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"NJ-SD008, USA",1837.0752530871987,958.4753336962295,522.5987062309081,404.63313440381097
"AZ-SD019, USA",1410.579662079285,828.3165661411434,378.92109340428254,229.63433313344154
"NJ-SD009, USA",1703.9820740280009,1095.4328049361213,641.1404766370252,477.1952440303838
"NJ-SD040, USA",2246.8061484916775,1688.9847020726172,1402.7148174499466,1451.297515151986
"NJ-SD007, USA",2127.6632215377936,1504.4032883721977,948.354974069642,863.3357502033945
"NJ-SD013, USA",1830.174060849869,1273.2510198499438,904.3560156696203,764.2391507615422
"NJ-SD021, USA",1896.7538449716174,1394.4588649671625,1117.979468622563,1021.2378323457955
"NJ-SD037, USA",5311.91577041759,4571.82599117452,3306.859003271697,3578.1431394904425
"NJ-SD011, USA",2397.9649225838875,1860.5912560193456,1196.173029817125,837.7978485498153
"AZ-SD028, USA",2050.814969698255,1428.8365311231817,1012.5072481768087,939.7890606661729
"NJ-SD028, USA",8128.876918785114,7288.7182062955,6068.096062948987,5284.230566673187
"NJ-SD020, USA",7282.875749977221,6605.126246268155,4502.45285443637,3452.101573785596
"NJ-SD016, USA",2045.8475060640626,1119.7286113793964,611.6916659136551,433.781841416404
"NJ-SD030, USA",4610.268796970159,3095.295883327552,1865.6990386645493,1350.9684657431835
"NJ-SD026, USA",2184.271981304488,1278.7454870236954,766.6487311530072,687.971970106203
"NJ-SD014, USA",2661.9503978104926,1748.4057761345728,1123.2944103790858,896.5376253517279
"AZ-SD006, USA",1099.1613153078677,587.6737820716438,266.38100315029595,153.5285965226778
"NJ-SD010, USA",2049.500374752341,1390.25232423186,1008.72361351023,867.2349438442868
"NJ-SD012, USA",1985.1992112145426,1140.1250090437177,708.6689633763002,611.8003935517636
"NJ-SD038, USA",3380.288362765198,3002.373763262058,2647.7997079701736,2625.7416512062655
"VA-SD032, USA",3442.0645273959885,2249.3817669084756,1502.507933459376,1121.8642387946006
"VA-SD039, USA",7725.123768796727,5924.207335455178,3737.5280230643248,3070.9043477857763
"VA-SD017, USA",1911.115169766706,832.6784334008478,402.5482800817475,282.93751325207364
"VA-SD004, USA",1857.549420948636,1090.3333431089943,756.849651181101,660.8980137712887
"VA-SD031, USA",2640.558755789122,1465.8230563173859,877.6431790832428,628.8116469507856
"VA-SD035, USA",4127.5143201211995,2359.5855267080497,1863.8027256321034,1851.4344133295585
"VA-SD005, USA",2286.028005328914,1084.0376634800825,401.6431812008723,246.4641018442702
"VA-SD001, USA",1630.5362249810405,769.0261092943961,413.88421935476214,270.2968540261488
"NC-SD005, USA",1739.6108932631078,868.3443437855123,509.02898245948063,411.43900989738825
"VA-SD012, USA",2487.724279093552,1036.6577985843844,628.0154848200368,550.0826224049606
"NC-SD029, USA",835.2399289449827,365.65463898931824,188.44821109838264,140.06130308372417
"NC-SD040, USA",3082.4366813807032,1642.3713247391859,1198.1626031126505,1062.2458290064233
"VA-SD016, USA",2312.77056618384,1519.694061455453,1150.634183969522,1030.171470909976
"NC-SD045, USA",924.6560557400383,456.96621213841996,302.4708368794821,257.276974616996
"VA-SD014, USA",3356.815565526549,2655.5942669151723,1711.736816344193,1441.7722258006272
"VA-SD015, USA",2508.3455773640226,1251.439530666855,864.0929550981328,770.1741318544915
"NC-SD021, USA",1496.1342832086395,776.8017911969597,444.58266066375654,363.50189412858356
"VA-SD033, USA",3945.3185875953545,2307.254405860976,1607.249404629833,1266.2855833932495
"NC-SD039, USA",3171.611341543246,1893.421929676597,1245.844366525656,1092.1627865810499
"IL-SD008, USA",6075.677570700892,5288.977980262124,4456.961872672554,4199.600697834152
"NC-SD034, USA",1986.269163214581,994.5228711201271,589.980569303347,486.54736914940145
"VA-SD010, USA",891.2136660493377,299.75107104733206,102.96408283828409,72.72028258617303
"IL-SD006, USA",17587.632310201534,15086.128481678646,9182.0862338261,6747.855076873526
"IL-SD025, USA",2649.385315757822,2069.1516259766327,1413.9247613961409,1149.4229277990405
"IL-SD003, USA",10414.443179451244,8525.10167996765,5424.23589901203,4663.481393644071
"IL-SD005, USA",8353.513971565448,7074.161671347304,6397.685536233141,6331.737457998701
"IL-SD018, USA",2927.921052572518,2494.0832942873362,2054.5911816440225,1985.434736344936
"IL-SD040, USA",1720.3636260427652,1284.6428713939008,777.3845627447063,590.0261921262063
"IL-SD036, USA",1611.0734840721218,1174.3512831923276,812.5877912100284,577.0277572935432
"IL-SD011, USA",5602.89740471018,5057.071683983018,3765.959223855897,3142.9809999282766
"IL-SD050, USA",935.091957234158,623.4673858283211,334.1568459159175,202.81002436588238
"IL-SD047, USA",890.0657189955682,587.6413431055347,283.54817466559876,155.17282114249164
"IL-SD038, USA",1674.335064012995,1160.7600312302877,585.7830146638678,345.4974155643237
"IL-SD021, USA",2303.619441444297,1828.9069840835214,1414.8314263907282,1288.1457052636895
"IL-SD030, USA",3028.561875014282,2261.741922229874,1569.0336246269808,1198.4579012450263
"IL-SD056, USA",1635.1179434750482,1036.057360371943,643.8511602566839,462.82909921993524
"IL-SD013, USA",12477.87111815749,9413.272655121234,5047.870451328916,3304.7063402082645
"IL-SD007, USA",13771.632947367514,11687.905618075116,7892.127600132238,6107.263422809355
"IL-SD049, USA",2270.3669211263655,1699.2963192291554,1169.1154550330843,941.0245325940382
"IL-SD031, USA",2113.624935663196,1523.7474043746051,982.5429807300492,779.0404062185595
"IL-SD024, USA",2145.396644357833,1735.7232251577361,1286.6594118750897,1161.507475571546
"IL-SD033, USA",1704.3109327031998,1256.5847563803454,828.7480048319683,700.5259713428526
"IL-SD019, USA",1698.1739210842743,1259.6032486425859,807.8308537298471,713.0141571435263
"IL-SD016, USA",4721.0587522504575,4081.9965472363515,3418.657827720696,3216.7504463772407
"IL-SD002, USA",9178.397718264823,8509.244031069422,7008.036518606598,6392.655535839299
"IL-SD010, USA",4944.507789965091,4505.16041162812,4006.7399589662036,3856.040701095559
"IL-SD051, USA",878.1383559939326,571.8776207943218,244.80848762126365,108.17371192546976
"IL-SD058, USA",858.1088101937607,458.87335441240924,195.19367947064052,92.84223476674225
"IL-SD052, USA",3544.3083460340345,2665.8637315436613,1338.6954297326365,895.5347658494908
"IL-SD044, USA",1222.96861902646,745.9845254342601,362.54741130805803,240.23824064531516
"IL-SD014, USA",2836.1184602475937,2448.50526418747,1939.6131523978318,1750.717763192884
"IL-SD042, USA",2275.234775872097,1691.961904076466,1244.4981711095788,1091.5277845320572
"IL-SD048, USA",1517.2921887819914,1186.345947157775,795.0887667134699,641.8352604343563
"IL-SD027, USA",3373.9799567377468,2595.1130089622106,1878.8457030714724,1666.7330990435169
"IL-SD041, USA",2045.2285271977469,1578.1606208260912,1235.9680765415883,1121.4327540332215
"IL-SD054, USA",860.9601379893545,519.9791084742316,200.23988999684627,88.70929148922161
"IL-SD023, USA",2719.946046701571,2154.1967925907015,1581.324056929322,1435.694178090577
"IL-SD004, USA",4554.114952389786,4042.196370330557,3250.335869370672,3137.505977125023
"IL-SD026, USA",1511.9882137942764,1077.9068277758477,770.8121012305439,676.6578748102118
"IL-SD022, USA",3362.5236581542754,2607.0905716763195,1845.3359962254156,1422.7720456693196
"NC-SD042, USA",2806.6201107269026,1424.4060767511924,1119.4353598831633,1034.3961740388431
"NC-SD025, USA",1225.8066130980494,662.3362733320948,428.0756632699354,356.7447093896294
"IL-SD035, USA",1416.5323591355823,943.2799861327541,498.59034359004886,349.9935934231468
"IL-SD039, USA",4515.904875481727,4045.5404770332007,3339.9987474188656,3185.1146075648658
"IL-SD012, USA",10525.328153854667,8812.026211135237,5175.294280333315,4791.767177188715
"IL-SD055, USA",874.7696607956183,512.7705317269797,206.5749326786241,109.07689645498935
"IL-SD032, USA",1370.3635174041183,879.4557900148745,538.6552344317803,427.2458391302653
"IL-SD028, USA",4118.531092330761,3098.3464980964673,1993.9236789336844,1799.7400622680163
"IL-SD020, USA",9350.795693655991,8827.938737401983,7451.557289101485,7074.98782589118
"IL-SD045, USA",927.7947374382823,613.2176915870879,313.49326022586513,211.78885796915588
"IL-SD017, USA",3456.2188542873855,2871.9947548766863,2125.791140537771,1911.956799026236
"IL-SD053, USA",990.5129530694417,670.6912254460714,298.16702109645325,164.17502934478344
"IL-SD001, USA",6865.302650749278,6150.093048866197,4558.573511652477,3997.554765182188
"IL-SD015, USA",2159.455190808769,1751.780613254302,1163.5425422869416,1022.0637255844207
"IL-SD059, USA",864.8489991300953,515.5020305662961,247.84518532856896,131.46293373195724
"IL-SD037, USA",1076.6272446293951,673.1440164365907,322.3014644218081,172.88598825037963
"IL-SD046, USA",2213.341458092387,1672.6910242621668,1172.6582665435078,897.3034821869577
"VA-SD007, USA",638.0513908047044,218.75826023023478,93.52082810223332,72.06117923930863
"NC-SD041, USA",2051.478650483626,1120.6663879464813,733.5391828113819,657.5960328498187
"IL-SD043, USA",2609.479692955104,1884.0017255055552,1216.719354704524,933.3244207838048
"NC-SD026, USA",1138.497532881074,472.8649989052285,234.99769902847237,195.1400363347024
"VA-SD020, USA",2296.1765284778676,1486.4487309795695,973.1560270759312,806.1479825931124
"IL-SD034, USA",1749.8075157872654,1422.6606047314842,1070.592801158719,905.9028701243676
"IL-SD057, USA",1410.3345256423263,946.8825471930562,590.5117858288472,454.21023909629184
"NC-SD035, USA",1901.3160722856574,847.9414972254101,461.6847728880263,385.7060777131344
"IL-SD029, USA",2661.591125496928,1843.426414979873,1069.9180985407506,945.2383934480052
"IL-SD009, USA",4029.263398934529,3443.3167172923445,2722.9857788866243,2312.27801246655
"VA-SD026, USA",2071.7820417437406,727.4175194504608,332.4051552802644,269.33174217766884
"NC-SD019, USA",1656.587087938529,923.0577690577605,645.8734829996578,563.1307468573065
"NC-SD004, USA",1114.4210781569939,529.1651228895477,292.53805062270857,217.09950453764012
"VA-SD034, USA",4202.831686704046,2704.620704114378,1710.6367945377215,1453.8817459142308
"NC-SD038, USA",2896.8815362494406,1824.7977305262725,1299.65281518936,1205.9263552181626
"VA-SD009, USA",742.0341991140938,333.41784094802796,164.09105932678574,114.32678227912506
"TN-SD022, USA",1859.0823883043092,933.324417007988,560.0767209260354,458.77483606927444
"TN-SD021, USA",3595.37649447293,2163.8504250264095,1581.5433291391994,1338.7380635959269
"TN-SD017, USA",2123.659595278574,991.2038867920286,529.8573756436059,409.00782509743135
"TN-SD023, USA",897.2020257315205,345.4586103553697,152.63800586372176,105.99498742443365
"TN-SD020, USA",2229.576981629131,1105.0694061718734,764.916576493587,671.5265202515614
"NC-SD031, USA",1427.4886514913646,649.6654324605385,409.70335168091236,369.2566492718042
"NC-SD010, USA",2014.4988714632755,677.9421926925118,258.2884009700958,204.55021925205438
"TN-SD027, USA",1778.318057224692,881.50945325011,466.68848439284227,401.1729674065094
"TN-SD026, USA",658.8211702539967,277.8014583163006,113.38353579116549,67.45735751006899
"VA-SD038, USA",3773.282984921008,2285.213615443687,1584.8912501013099,1370.12382601955
"TN-SD019, USA",3285.7103622620957,1636.8822245985593,1097.98477958995,983.3201408900927
"NC-SD037, USA",1588.1550438067243,690.7628262405971,384.4232599152108,324.2896814704089
"VA-SD030, USA",4144.292780371874,2441.86309222617,1434.0282774727573,1038.8319586185048
"VA-SD019, USA",2685.533633097206,1335.5764540449043,819.6775486778077,651.7445788936576
"VA-SD006, USA",753.9725164092325,283.83044915208757,121.61735952356115,90.35661096937886
"TN-SD004, USA",1015.1697378526922,484.2085004196113,294.891592521479,237.0973034811916
"VA-SD002, USA",1499.31313104106,791.2898824131261,421.64213142237475,295.55348669684764
"TN-SD012, USA",663.5015270139058,250.05104489064266,100.42785123976219,68.92643325863772
"VA-SD023, USA",2691.414549313564,1788.4886685362578,1232.9601156286408,1025.0329751811148
"VA-SD011, USA",2102.6397433535067,1137.2618388577264,700.704417130134,497.09966568091363
"VA-SD008, USA",1915.8128610093513,771.7810222542656,379.42714333106585,308.976837355915
"VA-SD013, USA",1929.692628911779,906.8693912733096,481.733473170873,384.9373485387376
"NC-SD050, USA",907.8485507091289,307.14844389915595,122.02254557264986,86.60047860420637
"TN-SD011, USA",1676.0393735858117,749.8467307853252,444.7638789754355,375.84546263397044
"VA-SD037, USA",4058.7559142223354,2874.135269124483,1984.401981316938,1817.9927442593087
"VA-SD027, USA",2641.2166035616688,1174.4901568816067,703.7039922177349,576.0880833481224
"VA-SD022, USA",3523.5119876035697,2540.236920578241,1989.2858382657078,1710.6247900749163
"TN-SD024, USA",528.1720204827335,290.89352463467134,137.28691606628567,76.38436770606468
"VA-SD021, USA",4619.203263383362,2683.061899933959,1647.3352695938895,1395.757348682745
"VA-SD036, USA",4001.5515490206585,2442.3893423772993,1686.9354653545627,1357.9756601835925
"VA-SD003, USA",1316.4868981414245,630.7724408960917,340.27754946576937,227.48712754684743
"TN-SD008, USA",848.7238373314651,315.31516743224677,141.13843255590876,107.11788738734222
"NC-SD028, USA",2193.2185240544754,1617.621123755275,1218.694230105192,1054.4571933934283
"VA-SD028, USA",1343.061597095493,556.7439449226889,214.6120193145314,137.4383318325494
"TN-SD010, USA",1587.3907930976604,841.4262129222521,563.4038153303195,488.0297882059187
