longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Fort Lauderdale FL HRR, USA",0.4714035257873669,0.235837739412923,0.21554952719159834,0.028840233067620607,0.001192533406885245,0.00034960787529599865,0.046826833258309955
"Indianapolis IN HRR, USA",0.735824515594401,0.07533580373348343,0.11053705144191367,0.032514882988246056,0.001830649900258897,0.0003270413700818385,0.04363005497161516
"Portland OR HRR, USA",0.6929303494314337,0.14032180685803614,0.025137732231453318,0.0604329567937539,0.008109836031237149,0.00562099773624099,0.06744632091784473
"Camden NJ HRR, USA",0.6676488132214659,0.13924389930829884,0.10532260511256189,0.0452660307253424,0.0013179182657293888,0.0002474528827059608,0.040953280483895654
"Pittsburgh PA HRR, USA",0.8376474784517836,0.020932849905288275,0.0726693469912145,0.024547825093239974,0.0010672816868729893,0.0002718417015559042,0.04286337617004477
"Washington DC HRR, USA",0.46593170998578826,0.11302996409917819,0.29978852465048594,0.06768565015478802,0.001989784477042844,0.0004998760723903866,0.05107449056032636
"Sacramento CA HRR, USA",0.49183644223899786,0.23316740183490461,0.0589267764066957,0.13548434110829968,0.005495369503540906,0.0075340361799703,0.06755563272759096
"Charlotte NC HRR, USA",0.5908672600454488,0.11216135791038757,0.20926579318072563,0.0409210185723326,0.003320400122517811,0.0004095555519894841,0.0430546146165981
"Milwaukee WI HRR, USA",0.6461498642353405,0.14932328807116624,0.12108882565298633,0.041661676434174615,0.0027942875094693074,0.00030760460467711893,0.038674453492185935
"Kansas City MO HRR, USA",0.7125584224727763,0.09434702346535608,0.10260823214801966,0.027820691192059363,0.004624108605570011,0.0019612183193601232,0.05608030379685844
"Chicago IL HRR, USA",0.3167095524036344,0.2883650634583499,0.2895347781095389,0.07362551878060858,0.0012187377798451096,0.00019723258738372682,0.03034911688063932
"Baltimore MD HRR, USA",0.5248076460253436,0.07215407936424051,0.2893284368314376,0.06183386137130695,0.002047390726935868,0.0004026344995032654,0.04942595118123229
"Arlington VA HRR, USA",0.48034253031391755,0.18551553662091924,0.11366928512265392,0.16124992475336247,0.001321292855341292,0.0006842681569183854,0.057217162176887125
"Fort Worth TX HRR, USA",0.47879488295731176,0.28013134237450926,0.1449334210510904,0.04897540063523794,0.0037731650037384165,0.0020294817559429108,0.0413623062221693
"Las Vegas NV HRR, USA",0.40978555263175515,0.3036197932359775,0.11607459708468085,0.09790951060937804,0.004581969079136787,0.008052866105564818,0.05997571125350688
"Birmingham AL HRR, USA",0.6555035731550692,0.0571692111797719,0.23246165451345235,0.014423846206597023,0.0032345075090863375,0.0004326222581188636,0.036774585177904266
"Raleigh NC HRR, USA",0.5334755727946239,0.11806089632295132,0.24478905433478831,0.04954846044431183,0.0060162405055802625,0.00097569925827994,0.04713407633946447
"Salt Lake City UT HRR, USA",0.7387612378991406,0.15952250686484834,0.012409367605509829,0.026819939903452012,0.010958300037452472,0.011630114549336297,0.03989853314026037
"Austin TX HRR, USA",0.5031085210667209,0.3163902562249362,0.06352645225122183,0.06870278889773808,0.0024318212916150626,0.000646877620402564,0.0451932826473653
