longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Villas de Esperanza Neighborhood, San Antonio City, Texas, USA",0.0056401887389039155,1.0,4.2778580726845705,1.0,0.30826186949972223,1.0,17.23479153145096,0.0,13.717062289166016,0.46316479851747405,0.9345455440952769,1.0,1.0
"Vinnings Glen Neighborhood, Smyrna City, Georgia, USA",0.0021204319713926992,1.0,0.8401737909251026,1.0,1.4565388838201525,1.0,25.940940193290214,0.0,72.99831528945278,0.08764234038093266,0.5283898573320747,1.0,1.0
"Old Commons Neighborhood, Beaufort City, South Carolina, USA",0.018189825804007697,1.0,2.5698260376195354,1.0,0.47015980064942725,0.0,60.539253861930455,1.0,7.677889013057926,0.2871265452312569,0.852833085582302,1.0,1.0
"Springfield Glen Neighborhood, Fort Wayne City, Indiana, USA",0.0,1.0,6.6187848679446795,1.0,0.8484557424122205,1.0,21.17499235349829,1.0,6.709935978514208,0.54067453840912,1.0,1.0,1.0
"Brittany Place Neighborhood, Fort Worth City, Texas, USA",0.005143154187390712,1.0,2.2520526065515707,1.0,0.4586127597948244,1.0,25.12972229874408,0.0,17.420962014547275,0.00877007951778197,0.397742955353075,1.0,1.0
"Mantz Neighborhood, Fort Collins City, Colorado, USA",0.058287026103312274,1.0,3.2524207731785326,1.0,0.20613057536164842,0.0,68.27224716255327,0.0,67.02577602837607,0.699506617327929,1.0,1.0,1.0
"Thunder Mountain Neighborhood, Mesa City, Arizona, USA",0.0,1.0,7.178160341808522,0.4460093896713615,2.006224486053963,1.0,17.965441772738057,0.0,18.04936537488775,0.0,0.07353152833910803,1.0,1.0
"Breckinridge Farms Neighborhood, Richardson City, Texas, USA",0.08705045276377661,1.0,3.0359498976642776,1.0,0.7941563943280983,1.0,26.931171551844834,0.0,33.41504666955862,0.345371990197195,0.9548253516826978,1.0,1.0
"Compton Road Neighborhood, Nashville City, Tennessee, USA",0.00412420037848241,1.0,1.8271460355018174,1.0,0.9536095904684524,1.0,12.418452968265816,0.0,54.31802957546845,0.29831224558178515,1.0,1.0,1.0
"Legacy Heights Neighborhood, Pittsfield Township City, Michigan, USA",0.06582783238135724,1.0,3.5844176872226057,1.0,1.6963877394878857,0.0,34.363227925869765,0.0,28.789466236737947,0.0,0.12347723606806094,1.0,1.0
"Pine Canyon Neighborhood, Flagstaff City, Arizona, USA",0.0,1.0,5.581491018058734,0.7594339622641509,1.4284805513695618,1.0,3.6855642978940657,0.0,91.04432015951105,0.0006372930161568924,0.38904882387197304,1.0,1.0
"Prospect Towers Homeowners Association Neighborhood, Clearwater City, Florida, USA",0.008416346652001567,1.0,1.1782658813209828,1.0,1.2067221601040774,1.0,11.952284662511271,0.0,23.035431235006083,0.9262963870494656,1.0,1.0,1.0
"South Pointe Neighborhood, Iowa City City, Iowa, USA",0.0378765430298992,1.0,4.063280909002844,1.0,0.7383763241040411,0.0,32.81309617918798,0.0,42.78616671162684,0.467794154541159,0.9396827490159892,1.0,1.0
"Wellman Creek Neighborhood, Boulder City, Colorado, USA",0.013464818530018727,1.0,1.3200337903385977,1.0,0.2812471083804107,0.0,51.37099749066182,1.0,7.3710889731460965,0.825566464540095,1.0,1.0,1.0
"Autumn Wood Neighborhood, Lincoln City, Nebraska, USA",0.01339404976974747,1.0,8.138742840329606,1.0,0.6566641925493143,1.0,6.6126712156173415,0.0,39.41573632554758,0.18702450571468598,0.865718619046688,1.0,1.0
"Cimarron Neighborhood, Vancouver City, Washington, USA",0.06219468634336036,1.0,5.867179249343244,1.0,1.1092125507383506,1.0,8.940358054836436,1.0,9.145968747209553,0.07527410399820711,0.668698344138404,1.0,1.0
"Fox Chase Neighborhood, Loveland City, Ohio, USA",0.020867680718497265,1.0,5.020781690358617,1.0,0.5219989357167012,0.0,40.52752721014984,1.0,9.066363048948672,0.17224027175911205,0.731445860380437,1.0,1.0
"JSH Neighborhood Club Neighborhood, Nashville City, Tennessee, USA",0.023748465218437466,1.0,0.6761403365279471,1.0,0.6169857224554175,1.0,13.102507635728243,0.0,56.94684258856065,0.17648651805690785,0.7596374626430482,1.0,1.0
"The Crossing at Quail Creek Neighborhood, San Antonio City, Texas, USA",0.00029847138168168005,1.0,3.9678531918578774,1.0,0.6542684002685732,1.0,17.16666307109762,1.0,2.6855267002958514,0.39344551874606903,0.9420070710716252,1.0,1.0
"Harborview Neighborhood, Norwalk City, Connecticut, USA",0.01162583671988181,1.0,3.4134157332911865,1.0,1.5662564219479145,1.0,25.044854699513213,1.0,5.66029550111423,0.12976871880630692,0.818860918258954,1.0,1.0
"Mount Elden Foothills Neighborhood, Flagstaff City, Arizona, USA",0.01081133361505945,1.0,2.1188075813543845,1.0,0.6780050115392944,1.0,11.703506774006767,0.0,99.19127437062467,0.33442664995164095,0.9843298379120818,1.0,1.0
"Pioneer Neighborhood, Boise City, Idaho, USA",0.0,1.0,2.3582179376387993,1.0,1.3019779136143819,1.0,5.386193578428769,0.0,68.76100550915903,0.30935337876031,0.9462243705349866,1.0,1.0
"Point Lakeview Neighborhood, Chesterfield City, Michigan, USA",0.0,0.41904761904761906,10.158743826580306,1.0,0.8924479381906851,0.0,44.772535818594086,0.0,11.125645576551108,0.22881389539189,0.5447187283541249,1.0,1.0
"Ridgewood by Shea Homes Neighborhood, Gilbert City, Arizona, USA",0.10891060646464942,1.0,4.866065591250386,1.0,0.4761645280625203,1.0,14.003293778651978,0.0,14.306227036425941,0.17208814410459505,0.757795632723634,1.0,1.0
"South Fork Neighborhood, North Bend City, Washington, USA",0.03113338583915752,1.0,4.2101574819144485,1.0,1.1367793989167017,0.0,38.854548940383694,0.0,19.44733291439016,0.41766628258031013,0.696565658521775,1.0,1.0
"Brentwood Chase Neighborhood, Nashville City, Tennessee, USA",0.024213244142236297,1.0,4.9827142431275435,1.0,0.7295415868653797,1.0,11.61665548620944,0.0,55.94951897563277,0.46525660916546596,0.9896616216399374,1.0,1.0
"Cedar View Neighborhood, Winston-Salem City, North Carolina, USA",0.0,1.0,3.4202447882931812,1.0,1.39913086061254,0.0,36.78949303627293,0.0,30.28199990179527,0.24267669897394994,0.736946804284762,1.0,1.0
"Edgemeade Farms Neighborhood, Nashville City, Tennessee, USA",0.0,1.0,3.774114780671866,1.0,1.0220369029204528,1.0,17.796014348386933,0.0,65.64101730781411,,,,
"Hilltop Paris Neighborhood, Milwaukee City, Wisconsin, USA",0.13457685417034126,1.0,4.349799489707486,0.0,2.090147166931225,1.0,27.897937571564402,1.0,1.766031384949744,0.23382270884148104,0.722000476836807,1.0,1.0
"Le Clair Neighborhood, New Port Richey City, Florida, USA",0.012313075442192083,1.0,0.7686337745796794,1.0,0.4275578262751209,0.0,34.31563208219487,0.3684210526315789,10.088821352133488,0.006124125615513121,0.6168559857899448,1.0,1.0
"Sandhill-Texas Alley Neighborhood, Covington City, Georgia, USA",0.001791477658260975,1.0,2.080421534398684,1.0,1.5116513382212045,0.0,52.12063026356463,0.0,93.02371941454906,0.01788324283179188,0.18151369343724288,1.0,1.0
"Sedamsville Neighborhood, Cincinnati City, Ohio, USA",0.3161583643658263,1.0,5.013979863535076,1.0,0.820407626358959,1.0,9.590498878965256,0.0,19.858180365365477,0.0,0.20634992026504184,1.0,1.0
"Stone Valley Neighborhood, San Antonio City, Texas, USA",0.0036342959372985904,1.0,2.2528501199236817,1.0,0.8473520695426784,1.0,11.681420568278915,0.0,18.268555894795547,0.0007775294997829363,0.45467439307658797,1.0,1.0
"Devonwood Neighborhood, Valdosta City, Georgia, USA",0.023790903978385396,1.0,3.709815112948259,1.0,0.5901867525450247,1.0,5.401824283608751,0.0,38.624102406213964,0.282775115916279,0.707679488923662,1.0,1.0
"Fircrest Neighborhood, Shoreline City, Washington, USA",0.1184868785554979,1.0,3.881383146574797,1.0,0.3816311075880972,1.0,18.26375240783063,0.0,17.96974698938116,,,,
"Gatewood Neighborhood, Muncie City, Indiana, USA",0.003225201198556641,1.0,0.933207112898645,1.0,0.35065039264878306,0.0,88.9338765290904,0.0,41.6249998068865,0.16117684904586393,0.6127194198359903,1.0,1.0
"Sheridan Heights Neighborhood, Tulsa City, Oklahoma, USA",0.0,1.0,3.9196714322535664,0.4375,1.956350404353097,1.0,20.72726410228658,0.0,37.43795566205494,0.36851753765707196,1.0,1.0,1.0
"Stone Creek Neighborhood, Midwest City City, Oklahoma, USA",0.0,1.0,4.902278465242609,1.0,1.814133616257781,1.0,25.587281795701116,1.0,8.48086408323515,0.0,0.026803986825013837,1.0,1.0
