longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Las Vegas-Henderson CSA, NV-AZ, USA",0.43088638230989845,0.29382421742080744,0.11008928123291964,0.09311078958819026,0.005200925258831001,0.007690334696929518,0.05919806949242368
"Kansas City-Overland Park-Kansas City CSA, MO-KS, USA",0.7016124057004466,0.0981850351413643,0.10749595435340048,0.029083572064711363,0.004648736635129342,0.002041805805799472,0.05693249029914848
"Indianapolis-Carmel-Muncie CSA, IN, USA",0.7076634273669075,0.08006334167029754,0.13056857453960138,0.035729388079665754,0.001682237291345204,0.0003670992419701554,0.0439259318102125
"San Juan-Carolina CSA, PR, USA",0.007609330855554604,0.9882554306016982,0.0014974389595364937,0.0009601251216059534,9.796329641827528e-05,3.0534014468033857e-05,0.00154917715071844
"Raleigh-Durham-Chapel Hill CSA, NC, USA",0.5626970502911851,0.1259241989696728,0.2052114619340733,0.05761661513294138,0.002976973498553843,0.0004415315805788622,0.04513216859299471
"Cincinnati-Wilmington-Maysville CSA, OH-KY-IN, USA",0.7605432844490124,0.04185132195233201,0.11887912152123832,0.029435684144290365,0.001454712269163632,0.0008546870646165224,0.046981188599346684
"Nashville-Davidson--Murfreesboro CSA, TN, USA",0.6936352802733163,0.09591966621219714,0.13483513581359843,0.028806555559599434,0.0021589635481845016,0.0004320726703304189,0.04421232592277378
"Milwaukee-Racine-Waukesha CSA, WI, USA",0.6742084048478567,0.11484193423326365,0.1351458896276829,0.03421543778577398,0.003150210695910181,0.00024936732781478244,0.0381887554816978
"Virginia Beach-Norfolk CSA, VA-NC, USA",0.5315364531030328,0.07479627769967195,0.29001593358773514,0.03925232643770503,0.0029794470107786034,0.0014021557206935797,0.06001740644038294
"Jacksonville-St. Marys-Palatka CSA, FL-GA, USA",0.600482601155636,0.10111440035018573,0.20441688481184725,0.03885723645092065,0.0024949003337491503,0.0009475546112690369,0.051686422286392184
"Greensboro--Winston-Salem--High Point CSA, NC, USA",0.6080684910982571,0.11106385589216215,0.2095640499597118,0.027574698310491565,0.003256087763362642,0.0003798769057256416,0.040092940070289025
"Louisville/Jefferson County--Elizabethtown--Madison CSA, KY-IN, USA",0.7342972036433474,0.06070722439333323,0.131380749367975,0.022369952166906088,0.002065344434318314,0.0008553576669395573,0.04832416832718042
"Greenville-Spartanburg-Anderson CSA, SC, USA",0.6887077923752944,0.07858914042652264,0.1700580924280095,0.018673180320669145,0.001986902581584376,0.0005132611196103448,0.041471630748309576
"New Orleans-Metairie-Hammond CSA, LA-MS, USA",0.5099730587033531,0.10478830273813577,0.31710815480327015,0.025357607713746566,0.0030333019383264005,0.00028607289615288373,0.039453501207015226
"Oklahoma City-Shawnee CSA, OK, USA",0.5973210942302801,0.14473460249948436,0.09711383847668022,0.03109170049174014,0.039126281831780414,0.0011187138261948579,0.08949376864383983
"Grand Rapids-Wyoming-Muskegon CSA, MI, USA",0.7732129699102658,0.08984256975683942,0.06654733505825827,0.02194871656836389,0.0034184468273381536,0.00025436474423894134,0.044775597134695554
"Hartford-West Hartford CSA, CT, USA",0.6544576241793968,0.1476488691886377,0.09827940693217022,0.05217042771572528,0.00238800692852646,0.00031984043066446514,0.04473582462487913
"Birmingham-Hoover-Talladega CSA, AL, USA",0.6300101543692311,0.05294533754720641,0.26470172966559036,0.014702442753317285,0.0021677866897897246,0.00038506737252843795,0.03508748160233664
"Memphis-Forrest City CSA, TN-MS-AR, USA",0.41399911582993243,0.06998754123995718,0.456282905192855,0.02356861269332086,0.0017566486300844347,0.0003565909032783711,0.03404858551057168
"Harrisburg-York-Lebanon CSA, PA, USA",0.7715133828967583,0.086188634380959,0.06876346202839474,0.03154380032579074,0.001289266662034571,0.0003041742903243239,0.04039727941573832
