longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"MI-08, USA",1443.5655561380247,1517.8644215682514,-0.04894960602176931,1623.3913601967147,-0.11077168972791598,823.1891471702126,903.8595088998661,-0.08925099634991018,1047.413368299996,-0.21407424032949898,527.1645580970144,591.5812272057202,-0.10888896764519063,699.8453393580045,-0.24674134633717348,429.55458795070854,483.1323856364438,-0.11089672164112067,568.1493686490755,-0.2439407457723882
"MI-10, USA",2355.1487603729183,2313.171889349632,0.01814688792327003,2482.013084237741,-0.05111347908296162,1846.0856252162375,1801.0785009151732,0.024988985365265906,1867.2899048711415,-0.01135564413409457,1481.0019957365355,1445.5243614122521,0.024543089878902035,1469.1255817154783,0.008084001918467183,1376.6398949310467,1345.7733479338171,0.022935917882917902,1371.116238009927,0.004028583987260545
"MI-02, USA",1065.7653336710666,994.689375090704,0.07145543157519038,964.1310398186001,0.10541543592620858,442.5903164975444,453.27459905581486,-0.023571324271261088,459.67688932905844,-0.03717083287883692,171.7059967977997,185.0477925900113,-0.07209918910933161,179.4993141597717,-0.043416975705183936,104.22435945501041,109.40920217997028,-0.047389457391629364,98.51788172388238,0.057923268662248215
"MI-09, USA",1221.3913651107773,1214.194496125381,0.005927278544221948,1250.2846098576706,-0.023109334082087457,682.3493137461917,660.7670354022077,0.032662462241093565,623.1339684778945,0.09502827363582858,394.9480958885519,365.39410862398256,0.08088249527575873,300.9829852786519,0.3121940947024183,304.2446825055217,273.49795833328363,0.11242030602206632,216.1729739468667,0.40741313287526043
"WA-05, USA",1946.4979466778505,1757.0239571395189,0.10783802279326926,1862.380320816066,0.045166728257161504,1346.9588378018207,1263.49014401284,0.06606200624872666,1246.6054737321924,0.08050130228385881,912.5026430341137,841.6684943196193,0.0841592018621948,813.6487831544341,0.12149450957996048,710.1098747658414,646.4980728631214,0.09839441844119479,619.5319496797977,0.14620379971179615
"NJ-12, USA",3356.3726728696083,3294.362533333578,0.018823107326102918,3508.9203242593835,-0.04347424201544756,2429.2044210508893,2284.138828787268,0.0635099716511724,2323.1859038979696,0.04563496919253684,1566.2503667424667,1468.1353155303975,0.06682970580039677,1464.4186495798772,0.06953729877163453,1147.2346485929177,1083.401747047298,0.058918957551609884,1072.5312526605987,0.06965148637580888
"MD-05, USA",2772.55555569608,2578.707319721336,0.07517263959823559,3190.608523968472,-0.1310260927130035,1198.7153347282062,1116.3705272157656,0.07376118009654828,1188.7127356948529,0.008414647822803396,608.4742894351004,548.8115525024045,0.10871261120625646,481.82112210603674,0.2628634601477486,463.09693288405094,400.5602317694042,0.15612308999922908,351.079850825285,0.31906440029368494
"MI-04, USA",1498.6763403476361,1524.8926302127006,-0.01719222019022263,1823.3840841111678,-0.1780797291108388,875.2144499699855,894.3791045691986,-0.02142788723630153,964.3023406147616,-0.09238584922233092,544.8956354255096,537.0359661200615,0.014635275477417312,554.141265917662,-0.01668460925183338,436.4553749607806,426.90091123282,0.02238098696104642,437.0638051024891,-0.0013920853994436992
"MI-05, USA",1051.1990114729692,1120.5598817560394,-0.06189840579904945,1131.9521672528492,-0.07133972451844937,580.9530255118012,600.2715029503496,-0.03218289947731579,643.3871712687203,-0.09703977409714704,312.5671352874805,316.85975235725135,-0.01354737241898445,333.32091141260196,-0.06226364867768939,216.32687714429733,217.57292557410304,-0.005727038079383274,222.2558340580355,-0.02667627123880134
"NJ-07, USA",1763.9934374552686,1726.6897645193185,0.021604154783609785,1822.6024217585223,-0.03215675761404142,1177.6858154650195,1120.7722475629287,0.050780672010613134,1112.942406958199,0.058173188569363425,782.7791658704974,731.8945964107743,0.06952445025453403,718.8438859116861,0.08894181506145006,691.3213005787337,645.0582040523454,0.07171925918584875,628.8478335431886,0.09934592075088149
"NJ-06, USA",3925.342747411512,3809.344408927205,0.030450997870516618,3650.8622090481244,0.07518238778859632,3008.411277633033,2893.1963848577725,0.03982270038019711,2704.7123941988025,0.11228509326374905,1901.8723906094551,1805.8822480231975,0.05315415370594231,1706.3098847784595,0.11461136548264601,1434.7161769990423,1361.224837308983,0.05398912631901788,1293.6883699803736,0.10901219357858817
"NV-01, USA",4084.019967029972,3894.8818567633484,0.048560679687418735,4689.043431571039,-0.12902918758812967,3109.46347651397,2972.6021617560446,0.046040912073170084,3104.015075630639,0.0017552752646422273,2332.4872849013473,2223.111169072744,0.04919957101120767,2271.531827045109,0.02683451630767218,2027.8186547802898,1943.2185940841425,0.0435360493943915,1942.4361115114696,0.04395642294890276
"NJ-10, USA",8129.238215563392,7248.280926970435,0.12154016896819854,7595.73226204286,0.07023759331098992,7102.490338299562,6402.587477639951,0.1093156263938467,6690.204543443185,0.06162528995626039,5560.806556308592,4918.452172584347,0.13060092101835505,5143.709035613814,0.08108886365984042,4632.703539014027,4092.751122683358,0.1319289641967422,4208.1682432891375,0.10088363182767368
"WA-06, USA",2065.7221483122216,1964.1443775120413,0.05171604081816416,2087.1016696863417,-0.010243641545901802,1183.3398012303492,1100.175218639366,0.07559212494700289,1134.565721937791,0.042989205781093054,724.8274564019133,654.036536565656,0.10823694989270821,660.5894357902039,0.09724348760568241,558.8896819679493,498.4802570039946,0.12118719671473485,502.39207082570346,0.11245721105707246
"NJ-11, USA",2706.466103874129,2623.2920104654363,0.03170599882776137,2652.924711717033,0.020182024736933826,2124.3254165933727,1983.8726274281469,0.07079728165174899,1973.7733288541624,0.07627628032982414,1751.52502608325,1609.3376362251265,0.08835149732261227,1622.009671565855,0.07984869436220043,1678.2177359501918,1535.4094300644454,0.09300991845526987,1545.3439968035314,0.08598327584117407
"NJ-05, USA",2988.5270493694065,2883.604519379273,0.0363858945583562,2816.8676764956886,0.06093980711485534,2467.601483229604,2329.564827007978,0.05925426698638665,2269.4922571820166,0.08729231193481833,1903.5671036067383,1767.322463625623,0.07709099091153547,1742.4186898970927,0.09248547128426582,1906.1507300607066,1770.440986431077,0.07665307382156723,1759.4046940980968,0.08340664115246918
"NJ-04, USA",2687.447942364257,2303.9689024968943,0.16644280200647352,2175.064660121375,0.2355715173149334,1762.3040069764074,1485.963282723598,0.18596739735473744,1366.8827511968204,0.2892868868477289,1140.8369666911847,964.2557011234093,0.18312701222512745,872.6239247970603,0.30736384171050624,908.1585047764045,766.7951662663635,0.1843560636908544,696.4257019781703,0.3040278412999625
"MD-01, USA",1859.8896722640063,1693.012006009681,0.09856850728876108,1679.649214751334,0.10730839268683623,875.0634858851192,817.7528248458884,0.07008310983215671,780.565165717579,0.12106397302609224,462.4401402065054,426.6971144280569,0.08376673891117896,372.33567402206097,0.2419979402218272,335.7554390347546,305.5195067853826,0.09896563583618169,257.8947977703442,0.3019085376578454
"NJ-08, USA",15113.65375133667,13796.916751464936,0.09543704753686535,13754.264071771564,0.09883405411381013,13055.418103190119,11923.751126396302,0.09490863779340206,11829.446868514126,0.10363724088732353,7992.6765511858375,7132.9803862396175,0.120524117324741,6853.707946056463,0.16618283330627226,6936.790906276046,6038.653043669061,0.14873148964049118,5619.414901697068,0.23443294855859995
"NJ-09, USA",6961.9362720582785,6715.78447752538,0.0366527239456023,6565.2860339735835,0.06041629199887669,5950.460161340965,5652.014723019977,0.05280337241611478,5611.782177736507,0.06035123475534871,4524.125913556895,4229.4852307554775,0.06966348544236166,4171.928519631315,0.08442076422649376,4109.338749130879,3831.3052919014085,0.07256885996977991,3729.0571564968977,0.10197794688435938
"WA-01, USA",3176.995420848076,2531.0732440544266,0.2551969518507382,2893.0237177440736,0.09815740581810305,2179.923967761596,1769.8242819543168,0.23171774169265513,1621.4274300177212,0.3444474463699993,1505.8748775222962,1227.2607656995133,0.22702111858352989,1078.2555436318094,0.3965844056318671,1276.600509292158,1045.5865905034127,0.2209419295225662,914.0651812328841,0.39661868267456485
"NJ-01, USA",2657.075091928103,2628.51601181657,0.010865096496709541,2801.3581769776315,-0.0515046902018058,1942.339005483677,1948.880158543728,-0.0033563649521367463,2003.841944061713,-0.030692509836066147,1366.3556302240222,1357.999937381829,0.006152940520971263,1381.0576321790156,-0.01064546591860673,1266.3037394926237,1249.2822631398665,0.013625004416517126,1256.850384470444,0.0075214640811545426
"MD-03, USA",3365.4891063330497,3159.8485044755107,0.06507925983358887,3205.7998808329503,0.04981259948721689,1696.068488856538,1600.1155742685514,0.05996624002103641,1531.7452112754424,0.10727846666108912,1083.9453202954749,1006.0558720020039,0.07742059905527379,942.7370177543121,0.14978546496194048,889.812720277735,813.5372187979559,0.09375785116811272,754.0493639384232,0.18004571428880414
"MD-08, USA",4088.6475628765284,3647.5821765281426,0.1209199313415339,3719.728806581315,0.09917893897062752,2874.3201001247858,2584.8850354906544,0.1119721228063018,2378.5467467746967,0.20843540452688455,2109.8684903986777,1913.8799934329159,0.10240375448735342,1799.5956619336364,0.17241252300622809,1906.2990239632877,1726.938102640113,0.10386065432743129,1616.9043080328263,0.17898073157003805
"MD-02, USA",3165.2656861652176,3005.2811640704335,0.053234460724498986,3142.8142297938666,0.007143742750847726,1948.2036127502834,1850.8861755126345,0.05257883414181054,1807.2358471009,0.07800186449129959,1297.3166833794405,1225.5642043671915,0.05854648720692506,1175.7194284952766,0.10342370121397755,1115.2827116691976,1069.480787165821,0.042826318203204,1034.7168766730545,0.0778626857379461
"MD-04, USA",4735.20621571887,4309.274841966796,0.09884061457488168,5156.44180419178,-0.0816911359555107,2975.9247311947565,2811.0707512273516,0.05864455026449528,2775.056985009583,0.0723832869992325,2079.4149202801855,1897.230369077364,0.0960265838941947,1834.5645707281772,0.13346510308700776,1861.638015561684,1690.6541251808283,0.10113475478762851,1643.199966746413,0.13293455041128374
