longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.5353020717761957,0.5821375115627976,0.5590619104150342,0.09820929269479685,0.14415305742938525,0.10199474844573846,0.24712939627802094,0.43074231578516875,0.3221282879368102,0.1608463055725047,0.7152800442735314,0.12387365015396389,0.07685683629816292,0.6606740745175131,0.26246908918432393,0.13814182919284845,0.15441445804707937,0.16790375818057524,0.19370156774004657,0.24497922296747404,0.10085916387197617,0.3501520218483919
"San Francisco-Oakland-Hayward MSA, CA, USA",0.4832883598319768,0.509705375814443,0.5031255247848851,0.05568978812072484,0.06501103118608233,0.033754330991090174,0.29178713572618115,0.392336632025681,0.3158762322481378,0.10430855706189117,0.21332640386864668,0.6823650390694621,0.04874863895397997,0.1435016756699433,0.8077496853760767,0.5407034355450776,0.14673553404992382,0.1085949185018275,0.08105819256966787,0.07623054836181385,0.04667737097168931,0.4481573633349953
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.45732392387666526,0.49680863610013437,0.5291338272524466,0.09399557676815273,0.13212760394551282,0.1246206033126364,0.1927742392413179,0.4022135124487762,0.40501224830990595,0.2011260772391707,0.5489553755288404,0.24991854723198884,0.07267289463864647,0.5162058227634505,0.411121282597903,0.2251232290660765,0.15321238418100683,0.21492621849850818,0.14353361841092516,0.1995386819236424,0.0636658679198409,0.3544848575273456
"Detroit-Warren-Dearborn MSA, MI, USA",0.5523468599556067,0.579554870405483,0.5491968037258474,0.07365118048343157,0.10763200153634196,0.05526951641817635,0.2775344792416881,0.38275392665797964,0.3397115941003323,0.4111193724109698,0.5249078190674153,0.06397280852161498,0.15502219040047935,0.7028697478770405,0.1421080617224801,0.5302924229422363,0.14592215107844375,0.0910934942503464,0.11481399269950662,0.08500141633915488,0.03287652269031186,0.2986248996967667
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.5217325313502571,0.5508889797410211,0.5465183273547893,0.051938331224211744,0.07153576343574128,0.0466336561079627,0.2532966823351902,0.43873608311869844,0.3079672345461114,0.10826989254761638,0.4075212449143809,0.4842088625380028,0.04529499268592065,0.2965365860028813,0.658168421311198,0.3181381835952841,0.13426995213585563,0.14077934390175445,0.15153597075136807,0.14721833099411993,0.10805821862161778,0.39416498500516084
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.5317791707508988,0.5518999226357826,0.5387784722709928,0.04626470050575833,0.06237667692329891,0.030185163522117683,0.26785964525944816,0.43274293321588997,0.2993974215246619,0.2044832710656799,0.6299981944695204,0.16551853446479964,0.08495038367281328,0.6080243193657691,0.30702529696141756,0.36962427405640597,0.1425135562947205,0.1418370784714276,0.13894199403202054,0.13530960224173677,0.07177349490368846,0.2912143570689978
"San Diego-Carlsbad MSA, CA, USA",0.47082238589814457,0.49091484972799165,0.49744371924257924,0.05662322182272941,0.06629684740101306,0.04334490685081704,0.18954671182143945,0.41461127109413193,0.3958420170844287,0.08307261562748665,0.40505052317100204,0.5118768612015112,0.03437976078200678,0.19845247061010776,0.7671677686078854,0.2993507602854867,0.22209301646107898,0.186006933739184,0.12178057846046599,0.11820733398968937,0.052561377064094854,0.4594344351065271
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.573198513702393,0.6162865712906221,0.6107527985538466,0.10742432961765286,0.14833317797732395,0.11680568249065933,0.20097078568377716,0.43093799635321656,0.36809121796300637,0.20019770109991483,0.664648792871993,0.13515350602809217,0.07778977098339096,0.6750727855378598,0.24713744347874922,0.21937508222107258,0.19908044892676005,0.19926228291834852,0.1396541562956523,0.15752827660927532,0.08509975302889122,0.3368945252603194
"Denver-Aurora-Lakewood MSA, CO, USA",0.5376442632169761,0.5643520271887766,0.5504462763478796,0.06014643467086018,0.06744721592855134,0.04190308730596831,0.2203299758943413,0.44445475437940496,0.33521526972625376,0.1014005561565661,0.5433417313458853,0.3552577124975487,0.05148478645380051,0.3575807172093189,0.5909344963368806,0.27091848461810375,0.17182088458729763,0.1384521706357417,0.1482484231674466,0.16021079342166705,0.11034924356974338,0.356131415153065
"Baltimore-Columbia-Towson MSA, MD, USA",0.534893672105918,0.5420335636155117,0.5493005902048543,0.07505546032066149,0.0819240946669,0.07010998599518663,0.24773630312451617,0.406608915100427,0.34565478177505676,0.23076693083869848,0.542766905726344,0.2264661634349575,0.07536944552739572,0.4831139267131413,0.44151662775946304,0.44792202702720857,0.12889444057688515,0.13366391196890798,0.134465502560858,0.09403679624371222,0.06101732162242794,0.33003690744287223
"St. Louis MSA, MO-IL, USA",0.5712592779663034,0.5759599984926422,0.5683121282869426,0.08639022578929248,0.09245966155700788,0.07313583961865577,0.3019721480339135,0.38680591613318255,0.31122193583290403,0.45789069845352615,0.48633460495174546,0.055774696594728335,0.18797913424404694,0.7249409187849468,0.08707994697100613,0.4692969230487661,0.13022521981348753,0.11129711240940729,0.12052406749831765,0.11392270107832307,0.054733976151698324,0.30216070401046796
"Orlando-Kissimmee-Sanford MSA, FL, USA",0.5186628450430171,0.5713736979564874,0.5522737453929143,0.09041766240357942,0.14527445094823563,0.08453894437229406,0.1923145742967698,0.4223282101275344,0.3853572155756958,0.1123119761166603,0.749239292685728,0.1384487311976116,0.06110326428123065,0.6089296924042673,0.32996704331450205,0.13571765232933067,0.125573407874414,0.19399875868569935,0.1937803620344485,0.22154006971893153,0.129389749357176,0.37380458924168586
"Charlotte-Concord-Gastonia MSA, NC-SC, USA",0.54382792900135,0.5673769702526265,0.5521222042245711,0.06631122200417974,0.09298679479999829,0.06814108594020751,0.2880653990671646,0.4157224634152239,0.2962121375176115,0.19150712709488843,0.6833959563428175,0.1250969165622941,0.18106726151232536,0.6554858285397551,0.16344690994791952,0.20841733261399598,0.10672928019316016,0.12871619469341114,0.1899545362256858,0.22682607023142473,0.13935658604232223,0.3403007584670969
"San Antonio-New Braunfels MSA, TX, USA",0.5257430110210324,0.5339956450040079,0.528532780460671,0.08859987847381229,0.0880993669456472,0.0721562781625372,0.23629468606699228,0.4297097884899181,0.3339955254430896,0.1974847427624604,0.756048864326366,0.046466392911173604,0.11397763055848865,0.721054746264751,0.16496762317676036,0.23302143983015447,0.12420083153729741,0.14526671116543993,0.1388170698362664,0.1920396789654833,0.1666542686653584,0.3705715547140477
"Portland-Vancouver-Hillsboro MSA, OR-WA, USA",0.5206154497439826,0.5438665581179872,0.5510262995133646,0.0521806808347515,0.06073440212661867,0.05659257572018804,0.2356600966795999,0.42365138238124034,0.3406885209391597,0.13161745813644357,0.5916753242400877,0.2767072176234686,0.045549174945159344,0.5315001886238822,0.42295063643095854,0.31262160437521236,0.16739025755659906,0.11287234917142656,0.17293071927152742,0.14000700754387613,0.09417806208135843,0.3761908435817102
"Sacramento--Roseville--Arden-Arcade MSA, CA, USA",0.5031133935531202,0.5390467847741793,0.5444167647413499,0.06896555421410298,0.09476071061626125,0.06730743618824381,0.21365029695382923,0.41236669008238097,0.37398301296378983,0.15522455971307803,0.6213666291954374,0.2234088110914845,0.05945379328004118,0.5018844371894285,0.4386617695305303,0.27970947570117244,0.17979104000966756,0.16717122894540246,0.1494407018846104,0.16884135526219368,0.05504619819695364,0.3843326858851644
"Pittsburgh MSA, PA, USA",0.5827077417093119,0.5851569700751709,0.5703873179989637,0.0888976896514898,0.09014465002034766,0.0762923387545744,0.31936927567913337,0.3900542238910639,0.29057650042980265,0.5094169012405041,0.42973604377865254,0.06084705498084337,0.2745485875017686,0.6126098213591117,0.11284159113911975,0.6242390346239736,0.12011948883516894,0.07682211872858187,0.07613626776427905,0.06218116936858813,0.040501920679408415,0.2980613060341524
"Austin-Round Rock MSA, TX, USA",0.5372230819825449,0.550952456754749,0.5314787277497183,0.0698018593969689,0.07875098610460003,0.0481651376146789,0.2571210796907613,0.4305961430366597,0.3122827772725789,0.06152289313677573,0.7313197320915549,0.20715737477166932,0.04483197428126539,0.4990707097768053,0.45609731594192937,0.11448966761099302,0.10611126252661689,0.15524372406858547,0.1667482862600027,0.22783593701645716,0.22957112251734482,0.4096301869992124
"Las Vegas-Henderson-Paradise MSA, NV, USA",0.5240274508079762,0.5741285906495438,0.5460941520427862,0.07824192922737634,0.14811180667110438,0.08392506218293853,0.23062647187011795,0.4035242010333164,0.3658493270965656,0.17686974994066654,0.7582635234251601,0.0648667266341732,0.06863800290122193,0.7422317151013674,0.18913028199741058,0.0815465433342769,0.10618683985950064,0.14242362059325864,0.27586751562517314,0.2905894454398325,0.10338603514795815,0.44553805860703255
