longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Cleveland-Akron (Canton) OH Media Market, USA",0.9538251869760472,0.027718698283623822,0.018456114740328947,0.04617481302395307,0.17624590861304987,0.777579278362997,0.9131918849189948,0.026981995414553376,0.059826119666451794
"Portland OR Media Market, USA",0.88685371407431,0.05681271031915707,0.05633357560653295,0.11314628592569059,0.43320848400437234,0.453645230069937,0.827825003482327,0.09160509098323982,0.08056990553443315
"Salt Lake City UT Media Market, USA",0.9172600721558402,0.03537325237037188,0.04736667547378797,0.08273992784416015,0.31198412724013497,0.6052759449157049,0.8483274882143457,0.10284026157290588,0.048832250212748535
"Charlotte NC Media Market, USA",0.9085477532876528,0.03703557298909106,0.05441667372325609,0.09145224671234797,0.3848670089039547,0.5236807443836974,0.8713865906026895,0.07909937808233045,0.04951403131497997
"Raleigh-Durham (Fayetteville) NC Media Market, USA",0.9029106510086525,0.0409977634265622,0.0560915855647852,0.09708934899134729,0.3793182208782161,0.5235924301304367,0.8594220148491813,0.08535671849871597,0.05522126665210265
"San Diego CA Media Market, USA",0.7727109047120968,0.13072672772120966,0.09656236756669344,0.22728909528790125,0.26609748559409485,0.506613419118004,0.6327307696430156,0.24086907369689595,0.12640015666008855
"St. Louis MO Media Market, USA",0.9555166988984507,0.02433715936650905,0.02014614173504026,0.044483301101549674,0.2551441396864197,0.7003725592120306,0.9398689006728171,0.019528199029960863,0.0406029002972221
"Indianapolis IN Media Market, USA",0.9379082344336115,0.02365534673428629,0.03843641883210211,0.06209176556638959,0.2460666120789822,0.6918416223546283,0.9124853908963355,0.04392852721267744,0.04358608189098716
"Nashville TN Media Market, USA",0.9329707976260878,0.028549106632121242,0.03848009574179097,0.06702920237391267,0.3915574654688563,0.541413332157231,0.9049445405101186,0.05150732645790169,0.04354813303197961
"Baltimore MD Media Market, USA",0.8986897549119354,0.0581597590379742,0.043150486050090385,0.10131024508806445,0.31059329851695733,0.5880964563949782,0.8716145866424236,0.043307527865074365,0.08507788549250195
"San Antonio TX Media Market, USA",0.8803697524221492,0.052586534904333744,0.06704371267351694,0.11963024757785233,0.23874544721865523,0.6416243052034923,0.6402340771893277,0.3277355353738632,0.03203038743680908
"Pittsburgh PA Media Market, USA",0.9624269680142709,0.018820744886727577,0.01875228709900162,0.03757303198572995,0.17021275089182974,0.7922142171224402,0.9482692819387829,0.012106362380866752,0.03962435568035048
"Hartford & New Haven CT Media Market, USA",0.8789401086909564,0.06863326377709827,0.05242662753194524,0.12105989130904313,0.29366751060330304,0.5852725980876538,0.8040589981048163,0.10599423016656181,0.08994677172862185
"Columbus OH Media Market, USA",0.9257715424058779,0.03679873219494943,0.03742972539917264,0.07422845759411995,0.2054597085884031,0.7203118338174769,0.9028142916800956,0.026197673221621587,0.07098803509828273
"Kansas City MO Media Market, USA",0.9364437720831141,0.028664641281875455,0.03489158663501044,0.06355622791688674,0.3793551244275441,0.5570886476555692,0.9033932878073843,0.05318391311146691,0.04342279908114891
