longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Cleveland MSA, MS, USA",0.9445087820884002,0.0,0.015055008685581855,0.0,0.028083381586566217,0.49170886704398725,0.27286267500744776,0.18995134544732373,0.045477112501241285,0.106084243369735,0.8939157566302649,0.5319812792511683,0.00023559786993706627,5.809262546393417e-05,73.0,18.0
"Wabash MSA, IN, USA",0.9089056020243198,0.00168693329584593,0.029591621564630705,0.0030927110423842035,0.04526604343853251,0.42391224324523274,0.2880806890966654,0.2428035043804752,0.04520356327762651,0.04897112777157417,0.9510288722284259,0.6513000478545232,0.0002162964876033058,1.2913223140495867e-05,67.0,4.0
"Central City MSA, KY, USA",0.9636553343187548,0.0005216937657595001,0.006782018954873505,0.00017389792191983334,0.01652030258238416,0.3698169923083725,0.327468835646716,0.209088497922376,0.09362567412253547,0.050890363128491684,0.9491096368715083,0.6887220670391061,0.00021339886187273665,1.2933264355923434e-05,66.0,4.0
"Sheridan MSA, WY, USA",0.8874533830580714,0.0030633990410229048,0.025039957378795955,0.0,0.08024773574853487,0.5704148866845262,0.2731156324668743,0.11961479979726343,0.03685468105133607,0.03860647542874698,0.961393524571253,0.6850726755364154,0.00010672358591248666,9.702144173862423e-06,33.0,3.0
"Albert Lea MSA, MN, USA",0.9041780821917806,0.006849315068493169,0.026575342465753375,0.0017808219178082243,0.05534246575342497,0.4665023201856148,0.3299738979118329,0.15044953596287694,0.053074245939675205,0.057536592961694326,0.9424634070383056,0.6459825599501701,8.739278200356044e-05,9.710309111506718e-06,27.0,3.0
"Iron Mountain MSA, MI-WI, USA",0.8960072870806133,0.004174889934719907,0.020343100045544238,0.0019735843327766786,0.06315469864885381,0.5520985253605578,0.28593420839410083,0.13117809107113937,0.030789175174201863,0.06726057906458781,0.9327394209354123,0.6106904231625844,0.00015735125389280448,0.0,48.0,0.0
"Hailey MSA, ID, USA",0.7970001922953652,0.02852381257611702,0.018460355105442,0.019485930389077685,0.12499198769309686,0.49359021317119606,0.23924987180426371,0.1991795472859131,0.06798036773862703,0.025247888358428255,0.9747521116415717,0.7122658832170395,0.00021984512403202516,9.843811523822024e-06,67.0,3.0
"Miami MSA, OK, USA",0.9452539721741994,0.002552070470074915,0.015971021651436584,0.0020581213468346083,0.026673252654976533,0.4359299670134474,0.29341114776283594,0.22160196227691797,0.049056922946798545,0.05746930422919512,0.9425306957708048,0.5980559345156874,0.0003434043255737164,5.613339937262671e-05,104.0,17.0
"McPherson MSA, KS, USA",0.8873455759599339,0.009749582637729539,0.04761268781302148,0.00026711185308848033,0.05215358931552537,0.6287163590249392,0.2195293786106812,0.13329575877131222,0.018458503593067544,0.04178981937602646,0.9582101806239736,0.6976190476190491,0.00018198061079310461,3.3087383780564474e-06,55.0,1.0
"Jesup MSA, GA, USA",0.934136172216402,0.006180721523273412,0.0022139897993815215,0.00904045834747454,0.04409292808967969,0.2954702927122665,0.38982041443077825,0.18709876015485352,0.12761053270210176,0.0784724475846818,0.9215275524153184,0.5952935694473211,0.00017585772114937955,2.322649147255956e-05,53.0,7.0
"Bainbridge MSA, GA, USA",0.9625288581069081,0.0,0.009057005860415569,0.0006215592257147936,0.01793642337062689,0.3991862567811935,0.36835443037974663,0.1633815551537073,0.0690777576853526,0.06951767232962308,0.9304823276703769,0.5839679750048822,0.0002996560765485069,1.021554806415364e-05,88.0,3.0
"Kirksville MSA, MO, USA",0.9027708644433379,0.0018251202920192605,0.03293512526962013,0.002239920358387268,0.05118632818981278,0.5609862726239405,0.23861152400104932,0.1440937308734801,0.05630847250153014,0.06941281314981664,0.9305871868501834,0.6250123774631176,0.00012948953860832823,3.4076194370612687e-06,38.0,1.0
"Fort Morgan MSA, CO, USA",0.9124356709424687,0.003302865043398108,0.016667946846916058,0.0007681081496274675,0.05906751670635223,0.5822857142857152,0.22857142857142818,0.08546938775510197,0.1036734693877547,0.04801433826997471,0.9519856617300252,0.6664465616451277,0.0002576345711243173,2.4045893304936276e-05,75.0,7.0
"Ludington MSA, MI, USA",0.9101068999028181,0.0013767411726595378,0.02397149335924839,0.000485908649173955,0.06025267249757061,0.48560841089279566,0.3341089279558772,0.14003791795932433,0.040244743192002747,0.06641944787803872,0.9335805521219613,0.6111248454882562,0.00019619991738950847,2.7536830510808205e-05,57.0,8.0
"Washington Court House MSA, OH, USA",0.9516417425227567,0.0,0.004957737321196364,0.006501950585175552,0.0347041612483746,0.39563862928348886,0.23153995116611914,0.2500631472594093,0.12275827229098263,0.07584343126144191,0.9241565687385581,0.6001220469008806,0.00022797139995164246,1.7270560602397155e-05,66.0,5.0
"Hays MSA, KS, USA",0.8972142768312397,0.0036065166024126533,0.04203457281432684,0.0,0.05534137545081446,0.7087282780410751,0.20925487098472806,0.05154028436018949,0.030476566614007362,0.05151693419615109,0.9484830658038488,0.6606437515757627,0.00011059653003387018,6.9122831271168865e-06,32.0,2.0
"Van Wert MSA, OH, USA",0.9268612182519467,0.0018193726802998302,0.02270577105014188,0.0009460737937559117,0.03194818426606509,0.4768455871297549,0.26770410464591776,0.20635994587280107,0.049090362351526265,0.046308318185752546,0.9536916818142475,0.7162641738076697,0.00016936849745947255,1.0369499844457503e-05,49.0,3.0
"Alpena MSA, MI, USA",0.879682051145773,0.012028171123692286,0.02154069665611351,0.0075387833099198115,0.06531860717094132,0.5029864224155343,0.3207682925844255,0.13487718788113734,0.04136809711890279,0.07987070476353468,0.9201292952364652,0.5672278250523715,6.239816965369017e-05,0.0,18.0,0.0
"Mountain Home MSA, ID, USA",0.9310182644822449,0.005957513521987939,0.025632985811711285,0.006427843536881727,0.02328133573724233,0.4445425361155701,0.3214285714285714,0.154414125200642,0.07961476725521657,0.054687500000000076,0.9453125,0.6878765060240974,0.0003104723365659666,1.744226609921161e-05,89.0,5.0
"Weatherford MSA, OK, USA",0.9443828785150296,0.0009004017176894298,0.021678902895137894,0.00034630835295747307,0.029643995013159792,0.6262669521770177,0.18022840827979938,0.11306209850107024,0.0804425410421127,0.024627825767322396,0.9753721742326777,0.6383017827605177,0.0002139375021919826,2.8057377336653455e-05,61.0,8.0
"Merrill MSA, WI, USA",0.8930316469969182,0.0026309854919942827,0.02029617379538445,0.003082011576336161,0.07389310681801085,0.4090909090909082,0.2801948051948049,0.25405844155844265,0.05665584415584421,0.05085026959767735,0.9491497304023226,0.6404811281625892,0.00017244413162062288,7.038535984515221e-06,49.0,2.0
"Mineral Wells MSA, TX, USA",0.8884192730346582,0.004902789518174109,0.010989010989010948,0.004480135249365994,0.07168216398985588,0.3985612820979786,0.20916044436350367,0.2726279366235661,0.11965033691495182,0.04921506308388716,0.950784936916113,0.6368101704709623,0.00029216093491499175,2.112006758421627e-05,83.0,6.0
