longname,White %,White % (2010),White % (2000),Hispanic %,Hispanic % (2010),Hispanic % (2000),Black %,Black % (2010),Black % (2000),Asian %,Asian % (2010),Asian % (2000),Native %,Native % (2010),Native % (2000),Hawaiian / PI %,Hawaiian / PI % (2010),Hawaiian / PI % (2000),Other / Mixed %,Other / Mixed % (2010),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Racial Homogeneity %,Segregation (2000) %,Segregation Change (2000-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Segregation %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Mean Local Segregation %
"KS-04 in Chautauqua County, USA",0.8351583308671204,0.8969746524938675,0.9300298233539803,0.040840485350695475,0.023712183156173343,0.013535214498738242,0.006806747558449245,0.0035431997819569366,0.0029823353980270705,0.005327019828351583,0.0008176614881439084,0.0006882312456985547,0.0547499260136135,0.04033796674843282,0.035329203945859144,0.0,0.0002725538293813028,0.0004588208304657031,0.057117490381769755,0.03434178250204415,0.016976370727231016,0.8818931353654715,-0.12456070231188421,0.8354583130013716,-0.0781258799477843,0.7573324330535873,0.11279861109444635,0.0585564542913168,0.13597901519085814,0.035376050194905,0.17135506538576314,0.014922726011737135,0.03623633843778599,0.02580944419769083,0.025349620251832294,0.051159064449523124
"TX-23 in Sutton County, USA",0.35587188612099646,0.39704457364341084,0.4743684081432426,0.6206998813760379,0.595687984496124,0.5165562913907285,0.0017793594306049821,0.0014534883720930232,0.0017169487368162864,0.0017793594306049821,0.0012112403100775194,0.0017169487368162864,0.0014827995255041518,0.00048449612403100775,0.002698062300711307,0.0,0.0,0.0,0.018386714116251483,0.004118217054263566,0.0029433406916850625,0.6756634553721435,-0.024473725159046222,0.6835621172751091,-0.03237238706201184,0.6511897302130972,0.3611868784857176,-0.07745244513528254,0.3501457448594515,-0.06641131150901641,0.2837344333504351,0.1597483067380965,-0.05672402990247484,0.14238300571709464,-0.039358728881472974,0.10302427683562167
"MN-07 in Traverse County, USA",0.8485119047619047,0.9342327150084317,0.9545234639574263,0.05863095238095238,0.014052838673412029,0.012094823415578132,0.00625,0.003372681281618887,0.00024189646831156264,0.0,0.0011242270938729624,0.002660861151427189,0.054464285714285715,0.03625632377740304,0.026608611514271893,0.0,0.0002810567734682406,0.0004837929366231253,0.03214285714285714,0.010680157391793142,0.003386550556361877,0.9364267153190884,-0.1521588994224502,0.9052537844068357,-0.1209859685101975,0.7842678158966382,0.2558892658834776,-0.042632433638116585,0.23804710957945927,-0.02479027733409825,0.21325683224536102,0.03486497131210988,0.02678845553320268,0.04826746301576218,0.01338596382955038,0.06165342684531256
"AK-00 in Aleutians East Borough, USA",0.18725811253349212,0.13211772232885477,0.18899700598802396,0.19976183387913068,0.12316058861164428,0.12687125748502995,0.08782375707055672,0.06781829814459372,0.015718562874251496,0.22387615361714797,0.3560460652591171,0.2660928143712575,0.23637987496278653,0.27735124760076774,0.3712574850299401,0.009526644834772254,0.006078055022392835,0.0029940119760479044,0.055373623102113724,0.037428023032629563,0.0280688622754491,0.4634837360621015,-0.11510370120567553,0.34574924853555183,0.0026307863208741566,0.348380034856426,0.27359759276002543,-0.07988943947066551,0.13629513665141532,0.0574130166379446,0.19370815328935992,0.15678018603046046,-0.11214780565450108,0.042460527828771404,0.0021718525471879704,0.044632380375959374
"TX-13 in Knox County, USA",0.5770951386817775,0.631083624630277,0.6651775217493534,0.33701163137488815,0.29604732454961014,0.250881730543146,0.04354309573516254,0.056197902662005916,0.06865741829296967,0.007157769161944528,0.0018822264049475664,0.0023512814483893723,0.0023859230539815092,0.003764452809895133,0.0023512814483893723,0.000894721145243066,0.00026888948642108095,0.0007053844345168116,0.03191172084700268,0.010755579456843238,0.009875382083235363,0.6153966244032811,-0.0687651291986886,0.5793472549099153,-0.03271575970532281,0.5466314952045925,0.21340786697190778,-0.03632902659954307,0.17689945154694303,0.000179388825421678,0.1770788403723647,0.10024138227428746,-0.011425034180236757,0.08468667842961708,0.004129669664433622,0.0888163480940507
"MT-01 in Granite County, USA",0.9265639165911151,0.9639493341994154,0.9526501766784452,0.025687518887881535,0.014290354011042547,0.012720848056537103,0.0,0.000974342318934719,0.0,0.0009066183136899365,0.0006495615459564793,0.0014134275618374558,0.007252946509519492,0.004222150048717116,0.012720848056537103,0.0,0.0003247807729782397,0.00035335689045936394,0.03958899969779389,0.015589477102955504,0.020141342756183744,0.9124325965024643,-0.02786527608132383,0.9391545988300071,-0.05458727840886657,0.8845673204211405,0.06861428348967392,0.1072942445343844,0.1299657798835193,0.04594274814053903,0.17590852802405832,0.005039444678811725,0.020135536549365805,0.008279968562075338,0.016895012666102195,0.02517498122817753
"TX-23 in Upton County, USA",0.3984280532043531,0.48017883755588675,0.5446533490011751,0.5432285368802902,0.49001490312965723,0.42567567567567566,0.017835550181378477,0.014605067064083458,0.01527614571092832,0.0012091898428053204,0.0,0.0,0.003325272067714631,0.00834575260804769,0.008225616921269096,0.0,0.0,0.0005875440658049354,0.035973397823458285,0.006855439642324888,0.005581668625146886,0.5995147922718193,-0.043563916163064875,0.5834240532274985,-0.027473177118744085,0.5559508761087544,0.2332710837266726,-0.0485206709866611,0.21242313337003763,-0.027672720630026126,0.1847504127400115,0.10001734855150035,-0.039368593068956445,0.0776713471467233,-0.017022591664179396,0.060648755482543906
"TX-11 in Concho County, USA",0.6348773841961853,0.4428676290677759,0.5711043872919819,0.31274598849530727,0.5316858331294348,0.41326273323247603,0.02089009990917348,0.013946660141913383,0.009581442259203227,0.005752346351801393,0.0034254954734524103,0.0007564296520423601,0.0027247956403269754,0.0031808172253486667,0.0010085728693898135,0.0003027550711474417,0.001223391240518718,0.0010085728693898135,0.022706630336058128,0.003670173721556154,0.0032778618255168935,0.6351809679192281,-0.04789623363743545,0.7316020065239354,-0.14431727224214275,0.5872847342817926,0.2747747977852741,-0.10339510779758815,0.4847891155456824,-0.31340942555799645,0.17137968998768593,0.10163290059026536,-0.04325122774199177,0.160119043838936,-0.1017373709906624,0.05838167284827359
"ND-00 in Emmons County, USA",0.9578915480157528,0.9769014084507043,0.98291387670284,0.010602847621932747,0.009577464788732394,0.011544677903486492,0.0,0.0005633802816901409,0.0004617871161394597,0.0036352620418055137,0.0016901408450704226,0.0016162549064881089,0.003938200545289306,0.003943661971830986,0.0009235742322789194,0.0,0.0,0.0016162549064881089,0.023932141775219632,0.007323943661971831,0.0009235742322789194,0.9711139592576138,-0.04692980308244643,0.9688310038880473,-0.04464684771287997,0.9241841561751674,0.13953612276586855,-0.06528735482745826,0.32263058080274243,-0.24838181286433214,0.07424876793841029,0.008698784120786542,0.007555191378272159,0.02245040955053472,-0.0061964340514760186,0.0162539754990587
"KS-01 in Pawnee County, USA",0.8263381995133819,0.8828856021732568,0.9264657171248758,0.07572992700729927,0.051916691820102626,0.03212984431931103,0.0535279805352798,0.04889827950498038,0.02119907254057635,0.003953771289537713,0.0024147298520977964,0.0029811195760185492,0.0036496350364963502,0.00392393600965892,0.00728718118582312,0.0,0.0,0.0,0.03680048661800487,0.00996076063990341,0.009937065253395164,0.8684490443113225,-0.14158232936280624,0.8155098293727495,-0.08864311442423323,0.7268667149485163,0.07139958113356096,0.04311088714105539,0.14094712116422292,-0.026436652889606574,0.11451046827461635,0.019283610376872182,0.012557027039585483,0.026832561976849075,0.00500807543960859,0.031840637416457665
