longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Division No. 15, Manitoba, Canada",0.0352283770651117,0.32215909090909045,0.3534090909090907,0.32443181818181893,0.6550331698875108,0.2921834438996253,0.05278338621286403
"Division No. 12, Saskatchewan, Canada",0.026497377863648894,0.23016905071521446,0.35045513654096205,0.4193758127438234,0.5708039017827118,0.32458795829128734,0.10460813992600095
"Le Haut-Saint-François CRM, Quebec, Canada",0.021500559910414302,0.3492227979274613,0.3844559585492227,0.26632124352331593,0.6921360847741218,0.27021751254880066,0.03764640267707752
"Division No. 2, Saskatchewan, Canada",0.028357410379882278,0.2540296582849775,0.3533204384268215,0.39264990328820104,0.5716258198136005,0.3210217466344492,0.10735243355195034
"Montmagny CRM, Quebec, Canada",0.023304107060452238,0.41151284490960993,0.3477640342530923,0.24072312083729772,0.6977248104008668,0.2667930660888406,0.035482123510292535
"Sudbury District, Ontario, Canada",0.027490601503759413,0.26979936642027463,0.36536430834213307,0.3648363252375923,0.6142465753424657,0.29534246575342477,0.09041095890410948
"Le Haut-Saint-Laurent CRM, Quebec, Canada",0.031036056595162006,0.36556359875904887,0.3748707342295757,0.25956566701137546,0.7035803497085764,0.2522897585345543,0.044129891756869245
"Division No. 13, Saskatchewan, Canada",0.030671120558760968,0.2484121383203944,0.33803810868031037,0.4135497529992952,0.571534195933456,0.3201478743068399,0.10831792975970413
"Division No. 17, Manitoba, Canada",0.04414784394250483,0.39053905390539057,0.3591859185918587,0.25027502750275066,0.6975535168195722,0.2507645259938837,0.05168195718654409
"Le Granit CRM, Quebec, Canada",0.02269536733738888,0.39739086803813345,0.3647767185148018,0.23783241344706482,0.7039954980303884,0.2613956105796284,0.03460889138998312
"Division No. 21, Manitoba, Canada",0.03166496424923396,0.24932065217391303,0.33152173913043465,0.4191576086956524,0.6020338983050848,0.2837288135593221,0.11423728813559306
