longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"Oak Springs Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.012117026799810903,0.0015933427759812413,0.0,0.0,0.03170887168928836,0.0117728477408636,0.0,0.009323820881485026,0.011477784263830039,0.015146283499763628,0.08517326377111659,0.109397605250021,0.024234053599621806,0.03433493663488707,0.010858150962059556,0.03253504942498234,0.05849036830489178,0.17471346700232993,0.14449952193241977,0.06903366156293182,0.0734497166049423,0.06760764475245332,0.021204796899669077,0.0002655571293302069,0.0010622285173208276
"Marble City Community, Cherokee OTSA, USA",0.0,0.0,0.0,0.0,0.011719182267911264,0.08293313353486655,0.019490954962431247,0.026663045789347795,0.01984041350225762,0.019096562124043332,0.055890466100290734,0.08782245429949531,0.012993969974954167,0.050631469302994996,0.06022512333908018,0.10222150175719913,0.07429128017372673,0.11118177320175973,0.07085144832162747,0.049563739434427365,0.07149602246619118,0.03703962829129843,0.01919807490688222,0.008121231234346354,0.008728525014868089
"Remy, Cherokee OTSA, USA",0.012931034482758624,0.011494252873563218,0.0,0.0,0.004310344827586208,0.037356321839080456,0.0,0.05028735632183908,0.014367816091954026,0.03879310344827586,0.11350574712643678,0.08189655172413793,0.014367816091954026,0.0617816091954023,0.018678160919540228,0.11637931034482758,0.10201149425287356,0.08045977011494254,0.06465517241379311,0.03591954022988506,0.04022988505747127,0.05028735632183908,0.004310344827586208,0.020114942528735635,0.025862068965517248
"Aspen, Tulalip Reservation and Off-Reservation Trust Land, USA",0.029579077154147065,0.026029258525764133,0.01404769863838599,0.01900384816858933,0.004916694523435098,0.04081723606485586,0.005658534462122638,0.027744985329803237,0.023413871755964526,0.07636892669728967,0.12280368117951813,0.09111901026759497,0.0,0.04620270755556442,0.01802840026525596,0.05268043093192928,0.03726585639849112,0.11586030291184342,0.11297185317062974,0.04394085480869717,0.04269078289596793,0.023218157760105124,0.0199792960719227,0.0,0.005658534462122638
"Bunch, Cherokee OTSA, USA",0.0049180327868852455,0.0049180327868852455,0.0049180327868852455,0.008196721311475409,0.05737704918032786,0.1180327868852459,0.0,0.009836065573770491,0.022950819672131147,0.0360655737704918,0.06065573770491803,0.07868852459016393,0.008196721311475409,0.03770491803278688,0.05901639344262295,0.10491803278688523,0.029508196721311476,0.09672131147540983,0.06065573770491803,0.05081967213114754,0.039344262295081964,0.06393442622950819,0.016393442622950817,0.019672131147540982,0.006557377049180327
"Becenti Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.014967923371611746,0.027821644563876355,0.08980754022967047,0.0,0.021599973216571602,0.047072913602440765,0.00029312749832507105,0.0009966334943052415,0.00035175299799008526,0.015319676369601833,0.04677978610411569,0.11158338994523714,0.0,0.06685549632939693,0.009039379522632063,0.027938895563206383,0.06961457900505921,0.10964506426488503,0.028583776059521542,0.1778526312779839,0.019364835846487814,0.014901929489133485,0.0,0.03375018841285605,0.0658588628350917
"South Oraibi District, Hopi Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.009911894273127756,0.05286343612334803,0.018722466960352426,0.08480176211453747,0.0,0.009911894273127756,0.008810572687224672,0.03744493392070485,0.08370044052863439,0.08810572687224671,0.0,0.03964757709251102,0.018722466960352426,0.056167400881057275,0.02202643171806168,0.16079295154185028,0.04845814977973569,0.07158590308370047,0.05947136563876654,0.041850220264317194,0.03854625550660794,0.041850220264317194,0.006607929515418504
"Lowrey, Cherokee OTSA, USA",0.013884504991044152,0.01118023357072864,0.0,0.0,0.01619858915621818,0.038363962670104716,0.0016951924300826256,0.02020786575147483,0.00593317350528919,0.011570420825870129,0.13555549760741378,0.13571698038260535,0.010951529090778728,0.03956813528790835,0.1167805089536925,0.035982656800172354,0.03917794803276686,0.07630412723268877,0.0497392898684041,0.09256336660696103,0.04002554424780817,0.09595375146712627,0.010527730983258071,0.0,0.0021189905376032816
"Peavine, Cherokee OTSA, USA",0.006726457399103138,0.0,0.011210762331838563,0.0,0.013452914798206275,0.03811659192825111,0.0,0.022421524663677125,0.01569506726457399,0.05605381165919283,0.04484304932735425,0.06502242152466367,0.029147982062780266,0.04484304932735425,0.07623318385650223,0.14573991031390132,0.051569506726457395,0.16591928251121077,0.020179372197309416,0.02690582959641255,0.11883408071748877,0.011210762331838563,0.0,0.02690582959641255,0.00896860986547085
"Carlisle, Cherokee OTSA, USA",0.025987209289984395,0.013775070307964746,0.006236273113246218,0.0,0.04759433985464228,0.062346303223711264,0.0,0.02051621786051399,0.014377536481556527,0.055947214600281,0.047512688169996084,0.14954010716611862,0.04075560056780428,0.017601478726843842,0.006122253470206554,0.07848244235889874,0.06224871148942251,0.11918924705955865,0.07805921960424192,0.01585930398196379,0.06874539184714153,0.05280443618053153,0.0050313407660626565,0.008532118164573674,0.002735495714735199
