longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Umatilla Reservation and Off-Reservation Trust Land, USA",414.6220270119221,510.5284352296706,-0.1878571331185563,537.910857904024,-0.2291993721273787,141.21762227588528,173.7411884467923,-0.18719548577778533,160.61197488965885,-0.12075284316189738,40.21420002994979,44.002392383465946,-0.08609059981337709,39.78421373507411,0.010807962619017295,24.818158246180076,26.980269853507103,-0.08013676731428167,27.22824923480202,-0.08851435756440289
"Winnebago Reservation and Off-Reservation Trust Land, USA",632.7400435392686,689.7954696149852,-0.08271354131618538,727.1181756809287,-0.12979751476199483,330.35658375429205,330.9435772302339,-0.001773696534178441,334.95400018608444,-0.013725515829750626,70.77135353193047,61.49738736348279,0.1508026042412751,52.86914428947426,0.33861356152156175,27.358419256931864,26.102834855869837,0.048101457485169634,20.690373216720957,0.3222777071426684
"Cattaraugus Reservation, USA",490.6673146595837,777.8380626327063,-0.36919091745285815,442.5679305097855,0.1086824887975806,136.20760751527644,194.46709099642902,-0.2995853086639857,114.0335929404329,0.19445159977048568,44.69684583415304,27.744239310775466,0.6110315850971421,67.95127553618481,-0.3422221219327742,56.32325270625469,50.43591010665806,0.1167291833764181,63.20697192811051,-0.1089075937648956
"Spokane Reservation and Off-Reservation Trust Land, USA",409.2144795433988,341.46146324912786,0.19842068164757679,353.9250138882189,0.1562180221391249,106.1228374419187,89.28956784424244,0.1885244828045352,91.3314294190018,0.1619530989168939,12.14760594472373,10.203494778361152,0.19053385223320848,9.39228594554731,0.29335989291112463,7.061404491279357,6.120042887431468,0.15381617762534527,5.2234827043755505,0.3518575423566036
"Waianae Hawaiian Home Land, USA",3115.6207797026427,3837.1795397499313,-0.18804404447916778,3337.2658039617686,-0.066415154584332,2145.419474085847,2034.4534040749968,0.054543431561807174,1343.106302743649,0.5973564189991974,535.1058711203765,496.2245905239719,0.07835419956787947,357.01068617749394,0.4988511320200077,377.8291953905247,339.5766197818436,0.11264784846864892,294.16631204165344,0.28440674517830156
"Crow Creek Reservation, USA",507.17829779434976,545.6458567174893,-0.07049913134968845,588.3911751404895,-0.13802531509203658,211.42719131455237,225.51162730542137,-0.06245547584024907,229.61630561878522,-0.07921525544632214,38.21493049101693,43.79041364062468,-0.1273220023762309,50.77282311174992,-0.24733492941870366,14.559422907509276,17.545229049215994,-0.17017766672246082,17.548871089759274,-0.17034988558292527
"Jemez Pueblo, USA",887.1083895019783,924.3901487218949,-0.04033119486557065,1379.7026592724662,-0.35702929646467363,658.5513395130823,675.3227469805753,-0.024834655048240763,854.533614980554,-0.22934413817288105,141.51180628769146,132.97855860865724,0.06417010206996396,143.45070705497133,-0.013516146466513232,39.60469038768946,36.09135379991495,0.09734565811113437,38.86224550957787,0.019104528530874798
"Pyramid Lake Paiute Reservation, USA",404.72023430361844,376.44324255401216,0.07511621554887944,372.17884078516516,0.0874348295830104,202.79946054360346,196.12797864274688,0.034015962164219746,165.5365340397735,0.22510394288475793,49.28064436297021,41.38953728341589,0.19065463393610235,43.36216281994212,0.13648953737856903,22.030403421216896,18.94839069348446,0.16265300719138165,19.45844414663223,0.13217702583018723
"Bishop Reservation, USA",723.1920494145347,600.8856791498504,0.2035434933941624,643.3868863492881,0.12403915087246768,624.1183894438158,527.2735112643747,0.18367104758820899,500.38754675408416,0.2472700279860067,462.00009314564664,419.5688612382298,0.10113055526140335,409.83592885009114,0.12728060334270008,223.99515305202405,214.09987981835081,0.04621802329860579,209.22433096353032,0.07059801324478088
"Fort Yuma Indian Reservation, USA",482.81136203202936,579.8160185137984,-0.16730247765560924,501.2019584312364,-0.03669298591084849,174.07022656799734,162.46003418139222,0.07146491409476094,210.262435457418,-0.1721287438276166,100.37939156577681,101.54016549419525,-0.0114316726072777,133.52627485364232,-0.24824240265968395,185.0537414664237,192.21130524288026,-0.03723799579536793,227.38035842362538,-0.1861489587343523
"Nambe Pueblo and Off-Reservation Trust Land, USA",373.8981322088878,502.0468091390614,-0.25525244777460154,599.8113121502831,-0.37664041235153073,162.96638946051505,181.31057571607957,-0.10117548953289031,185.01022298529574,-0.11914927277576816,83.31640633654263,86.5567763936634,-0.03743635324845566,88.00948058170036,-0.053324644278534165,60.39083475656388,60.35391803435949,0.0006116706819825497,54.58920940765471,0.1062778782082096
"San Ildefonso Pueblo and Off-Reservation Trust Land, USA",425.88217849494475,397.11120485657796,0.07245067196922288,397.63839094211966,0.07102882467134887,177.15948820991505,184.03398565722836,-0.03735449962007217,132.0827290449149,0.3412767096118352,74.88966287991907,79.98721376673302,-0.06372957184982031,71.34574604935713,0.04967243356191484,37.92532581288809,37.945247791656776,-0.0005250190716389546,35.93891450599522,0.05527187824667052
