longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"District of Massachusetts, MA, USA",0.914080970759741,0.439650511378662,0.19844736106840424,0.21750041672842851,0.14418051393606474,0.07796958071416879,0.0071829512380516825,0.01562269457112786,0.014052529479719134
"Southern District of Florida, FL, USA",0.8724016117338845,0.3222997790846648,0.12255970721798301,0.1377332799992285,0.10028854330363285,0.08427795578180192,0.006872787113625378,0.005946898411707313,-0.0036990943855680636
"Eastern District of Michigan, MI, USA",0.9152823801537664,0.29819011724633404,0.12101151696534912,0.13828516837122393,0.09643901593729891,0.06346593293781048,0.011532088581579614,0.00966088743233079,0.001154740890534911
"Eastern District of Virginia, VA, USA",0.9214811723855871,0.439797586130209,0.19443961463079373,0.21559992285060944,0.1390549034587324,0.08514275982086822,0.007408221537036019,0.003980385243357754,-0.010661387488480167
"District of Maryland, MD, USA",0.9104536544071785,0.4032865215779275,0.18956528982359866,0.20342247997106422,0.12769580015434245,0.07216824145251764,0.017536257043155312,0.021931309417309253,0.015303500962697614
"Southern District of Ohio, OH, USA",0.9157617853081678,0.30931964663375405,0.1190132121302654,0.13578849652110836,0.1081251109536256,0.06540603915901726,0.009900067727615758,0.009979481777754262,0.006289854412134949
"Western District of Washington, WA, USA",0.9334015143241342,0.38547449155652386,0.14772653587233514,0.1989731153963437,0.12316056483972594,0.06334081132045023,0.008054573553839539,0.008092698548239241,0.0033755053458546513
"Eastern District of Pennsylvania, PA, USA",0.9086570031715071,0.37208010289037863,0.15417067777530388,0.16743187411862162,0.12855051938575576,0.07609770938600634,0.007998450494877685,0.006621626320623741,0.012378476322620485
"District of Colorado, CO, USA",0.926510169328275,0.4122023627633271,0.15526835204518466,0.19644754333925185,0.1343935927780411,0.08136122664603952,0.009597999256470646,0.020403170433005158,0.008292258302374983
"Northern District of Ohio, OH, USA",0.9135840642008041,0.26201100944898914,0.09901030245540901,0.10776518347852375,0.09772576841369651,0.056520057556768415,0.012501399197055618,0.019629427429387614,0.014103035619863882
"District of Minnesota, MN, USA",0.9375496154205778,0.3645679980048069,0.12628720618509892,0.16125063902405992,0.13094196796503763,0.07237539101571469,0.009334753760922632,0.028643948307612077,0.01227651361542717
