longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Historical Congressional District CO-1, 63rd Congress, USA",0.9065574803871567,1.0
"Historical Congressional District CO-1, 58th-62nd Congress, USA",0.9065574803871567,1.0
"Historical Congressional District CO-1, 53rd-57th Congress, USA",0.9065574803871567,1.0
"Historical Congressional District CA-5, 49th-52nd Congress, USA",0.9675376434491118,1.0
"Historical Congressional District CO-2, 68th-88th Congress, USA",0.8876951129802544,1.0
"Historical Congressional District CA-2, 53rd-57th Congress, USA",0.8427173631399495,1.0
"Historical Congressional District NJ-5, 28th Congress, USA",0.990790049801566,1.0
"Historical Congressional District NJ-5, 29th Congress, USA",0.990790049801566,1.0
"Historical Congressional District CA-3, 53rd-57th Congress, USA",0.9498960432600921,1.0
"Historical Congressional District NJ-5, 30th-32nd Congress, USA",0.9907545749099338,1.0
"Historical Congressional District GA-4, 34th-35th Congress, USA",0.8602839916758296,1.0
"Historical Congressional District GA-4, 36th Congress, USA",0.8602839916758296,1.0
"Historical Congressional District GA-4, 33rd Congress, USA",0.8602839916758296,1.0
"Historical Congressional District IL-3, 43rd-47th Congress, USA",0.9422707963410198,1.0
"Historical Congressional District FL-4, 90th Congress, USA",0.8052192727071794,1.0
"Historical Congressional District NY-2, 18th-22nd Congress, USA",1.0,1.0
"Historical Congressional District NY-2, 23rd-27th Congress, USA",1.0,1.0
"Historical Congressional District NY-1, 73rd-78th Congress, USA",0.9333969394382091,1.0
"Historical Congressional District NY-1, 66th-67th Congress, USA",0.9333969394382091,1.0
"Historical Congressional District NY-1, 65th Congress, USA",0.9333969394382091,1.0
"Historical Congressional District NY-1, 63rd-64th Congress, USA",0.9333969394382091,1.0
"Historical Congressional District NY-1, 68th-72nd Congress, USA",0.9333969394382091,1.0
"Historical Congressional District FL-9, 90th Congress, USA",0.880266826968382,1.0
"Historical Congressional District GA-5, 32nd Congress, USA",0.743904569628817,1.0
"Historical Congressional District CA-7, 63rd-72nd Congress, USA",0.7809311581857268,1.0
"Historical Congressional District CA-20, 73rd-77th Congress, USA",0.9289683047874491,1.0
"Historical Congressional District CA-8, 73rd-77th Congress, USA",0.9237176352619472,1.0
"Historical Congressional District CA-35, 88th-90th Congress, USA",0.9381873274019608,1.0
"Historical Congressional District CA-5, 58th-62nd Congress, USA",0.9747509152597811,1.0
"Historical Congressional District CA-5, 53rd-57th Congress, USA",0.9747355958032236,1.0
"Historical Congressional District MD-6, 33rd-37th Congress, USA",0.8483060380365206,1.0
"Historical Congressional District CA-3, 58th-62nd Congress, USA",0.9702372888957985,1.0
"Historical Congressional District CA-23, 78th-82nd Congress, USA",0.9472072733165752,1.0
"Historical Congressional District CA-2, 58th-62nd Congress, USA",0.8849955524014602,1.0
"Historical Congressional District NY-2, 8th Congress, USA",1.0,1.0
"Historical Congressional District CA-21, 78th-82nd Congress, USA",0.8859988245221909,1.0
"Historical Congressional District TX-6, 55th-57th Congress, USA",0.8859203396620491,1.0
"Historical Congressional District TX-6, 53rd-54th Congress, USA",0.8859203396620491,1.0
"Historical Congressional District NY-2, 28th-32nd Congress, USA",1.0,1.0
"Historical Congressional District GA-7, 40th-42nd Congress, USA",0.828419422016229,1.0
"Historical Congressional District CA-35, 91st-92nd Congress, USA",0.9446274694801657,1.0
"Historical Congressional District FL-5, 88th-89th Congress, USA",0.826933833428009,1.0
"Historical Congressional District MI-6, 64th-72nd Congress, USA",0.8444972012270524,1.0
"Historical Congressional District FL-10, 93rd-97th Congress, USA",0.8346927443469387,1.0
"Historical Congressional District PA-2, 8th-12th Congress, USA",0.849127475400674,1.0
"Historical Congressional District TX-11, 51st-52nd Congress, USA",0.757179939588868,1.0
"Historical Congressional District TX-11, 50th Congress, USA",0.7572592886828955,1.0
"Historical Congressional District VA-8, 74th-82nd Congress, USA",0.8677218250164452,1.0
"Historical Congressional District CA-3, 73rd-77th Congress, USA",0.9181506874158847,1.0
"Historical Congressional District CA-3, 78th-82nd Congress, USA",0.9181506874158847,1.0
"Historical Congressional District FL-1, 83rd-87th Congress, USA",0.9700714541900091,1.0
"Historical Congressional District FL-4, 79th-82nd Congress, USA",0.9596912466958085,1.0
"Historical Congressional District TX-11, 48th-49th Congress, USA",0.7546197631615912,1.0
"Historical Congressional District TX-5, 47th Congress, USA",0.7892304285055981,1.0
"Historical Congressional District TX-5, 44th-46th Congress, USA",0.7892304285055981,1.0
"Historical Congressional District AZ-1, 90th-91st Congress, USA",0.9399995229641205,1.0
"Historical Congressional District VA-7, 41st-42nd Congress, USA",0.8940719094576379,1.0
"Historical Congressional District PA-8, 2nd Congress, USA",0.8205400776266298,1.0
"Historical Congressional District IL-1, 43rd-47th Congress, USA",0.9980438643672296,1.0
"Historical Congressional District WA-2, 64th-72nd Congress, USA",0.8241275557098664,1.0
"Historical Congressional District TX-12, 55th-57th Congress, USA",0.8491576696208163,1.0
"Historical Congressional District TX-12, 53rd-54th Congress, USA",0.8491576696208163,1.0
"Historical Congressional District CA-8, 78th-82nd Congress, USA",0.9577636236173448,1.0
"Historical Congressional District MI-6, 53rd-62nd Congress, USA",0.8350479227522136,1.0
"Historical Congressional District MI-6, 63rd Congress, USA",0.8350479227522136,1.0
"Historical Congressional District FL-9, 91st-92nd Congress, USA",0.9229766572171607,1.0
"Historical Congressional District CA-10, 63rd-72nd Congress, USA",0.9949804931555951,1.0
"Historical Congressional District FL-4, 91st-92nd Congress, USA",0.7770813995923938,1.0
"Historical Congressional District TN-3, 9th Congress, USA",0.6916503010625226,1.0
"Historical Congressional District TN-3, 10th Congress, USA",0.6916503010625226,1.0
"Historical Congressional District MD-1, 28th Congress, USA",0.8369084816874406,1.0
"Historical Congressional District MD-1, 29th-32nd Congress, USA",0.8369084816874406,1.0
"Historical Congressional District NY-3, 3rd-5th Congress, USA",0.9983193046101854,1.0
"Historical Congressional District TX-5, 64th-65th Congress, USA",0.9375269572296594,1.0
"Historical Congressional District TX-5, 58th-61st Congress, USA",0.9375269572296594,1.0
"Historical Congressional District TX-5, 63rd Congress, USA",0.9375269572296594,1.0
"Historical Congressional District TX-5, 62nd Congress, USA",0.9375269572296594,1.0
"Historical Congressional District KY-1, 2nd-6th Congress, USA",0.6539539144475972,1.0
"Historical Congressional District CA-10, 73rd-77th Congress, USA",0.8379032143507004,1.0
"Historical Congressional District TN-3, 11th Congress, USA",0.6933418145496604,1.0
"Historical Congressional District TX-14, 73rd Congress, USA",0.8608561176474994,1.0
"Historical Congressional District TX-14, 66th-72nd Congress, USA",0.8608561176474994,1.0
"Historical Congressional District VA-8, 53rd-60th Congress, USA",0.9000556653371298,1.0
"Historical Congressional District VA-8, 49th-52nd Congress, USA",0.9000556653371298,1.0
"Historical Congressional District VA-8, 61st-62nd Congress, USA",0.9000556653371298,1.0
"Historical Congressional District NY-9, 33rd Congress, USA",0.9900159933149998,1.0
"Historical Congressional District NY-10, 38th-42nd Congress, USA",0.9900159933149998,1.0
"Historical Congressional District NY-9, 34th-37th Congress, USA",0.9900159933149998,1.0
"Historical Congressional District NY-11, 43rd Congress, USA",0.9900159933149998,1.0
"Historical Congressional District KY-1, 7th Congress, USA",0.6549141593539092,1.0
"Historical Congressional District NY-17, 8th Congress, USA",0.7195197037994963,1.0
"Historical Congressional District NY-17, 9th-10th Congress, USA",0.7195197037994963,1.0
"Historical Congressional District TX-5, 66th-72nd Congress, USA",0.9464043067661327,1.0
"Historical Congressional District TX-5, 73rd Congress, USA",0.9464043067661327,1.0
"Historical Congressional District TN-3, 12th Congress, USA",0.6953483758118706,1.0
"Historical Congressional District IL-4, 53rd Congress, USA",0.9993837951243134,1.0
"Historical Congressional District IL-4, 48th-52nd Congress, USA",0.9993837951243134,1.0
"Historical Congressional District NY-3, 11th-12th Congress, USA",0.9480762986816103,1.0
"Historical Congressional District CA-2, 49th-52nd Congress, USA",0.7827809152886046,1.0
"Historical Congressional District OR-1, 63rd-77th Congress, USA",0.7855936915178908,1.0
"Historical Congressional District MN-4, 48th-52nd Congress, USA",0.813390637668818,1.0
"Historical Congressional District VA-9, 32nd Congress, USA",0.9297741790778856,1.0
"Historical Congressional District VA-9, 30th-31st Congress, USA",0.9297741790778856,1.0
"Historical Congressional District OR-1, 53rd-62nd Congress, USA",0.7954804986437475,1.0
"Historical Congressional District NJ-2, 13th Congress, USA",0.9021721479305816,1.0
"Historical Congressional District CA-11, 73rd-77th Congress, USA",0.9560016961430414,1.0
"Historical Congressional District NY-7, 28th-32nd Congress, USA",0.9982251881552126,1.0
"Historical Congressional District NY-4, 8th Congress, USA",0.9982251881552126,1.0
"Historical Congressional District NY-3, 17th Congress, USA",0.9982251881552126,1.0
"Historical Congressional District NY-4, 9th-10th Congress, USA",0.9982251881552126,1.0
"Historical Congressional District NY-3, 13th-16th Congress, USA",0.9982251881552126,1.0
"Historical Congressional District GA-4, 32nd Congress, USA",0.8374102717978763,1.0
"Historical Congressional District VA-4, 1st-2nd Congress, USA",0.9282504245573898,1.0
"Historical Congressional District AZ-3, 92nd Congress, USA",0.8072107596198317,1.0
"Historical Congressional District TX-11, 55th-57th Congress, USA",0.7445380293967131,1.0
"Historical Congressional District TX-11, 53rd-54th Congress, USA",0.7445380293967131,1.0
"Historical Congressional District FL-4, 83rd-87th Congress, USA",0.9867573514702941,1.0
"Historical Congressional District NJ-4, 38th-42nd Congress, USA",0.9619792643861532,1.0
"Historical Congressional District TX-15, 63rd Congress, USA",0.7407192295369527,1.0
"Historical Congressional District TX-15, 62nd Congress, USA",0.7407192295369527,1.0
"Historical Congressional District TX-15, 64th-65th Congress, USA",0.7407192295369527,1.0
"Historical Congressional District CA-38, 91st-92nd Congress, USA",0.8862222680702001,1.0
"Historical Congressional District AZ-2, 81st-87th Congress, USA",0.696030369097166,1.0
"Historical Congressional District GA-5, 49th-52nd Congress, USA",0.8497770550126663,1.0
"Historical Congressional District CA-3, 43rd-47th Congress, USA",0.8122512772400056,1.0
"Historical Congressional District CA-3, 40th-42nd Congress, USA",0.8122512772400056,1.0
"Historical Congressional District CA-3, 48th Congress, USA",0.8122512772400056,1.0
"Historical Congressional District CA-3, 39th Congress, USA",0.8122512772400056,1.0
"Historical Congressional District GA-5, 43rd-47th Congress, USA",0.8893707960294565,1.0
"Historical Congressional District GA-5, 48th Congress, USA",0.8893707960294565,1.0
"Historical Congressional District TX-15, 58th-61st Congress, USA",0.7460654616752521,1.0
"Historical Congressional District FL-5, 93rd-97th Congress, USA",0.8876361933978033,1.0
"Historical Congressional District TX-6, 91st-92nd Congress, USA",0.8197627367104834,1.0
"Historical Congressional District VA-8, 63rd-72nd Congress, USA",0.8896393971810331,1.0
"Historical Congressional District VA-7, 33rd-35th Congress, USA",0.9043767120263637,1.0
"Historical Congressional District VA-7, 37th Congress, USA",0.9043767120263637,1.0
"Historical Congressional District VA-7, 36th Congress, USA",0.9043767120263637,1.0
"Historical Congressional District MI-5, 38th-41st Congress, USA",0.7984731522641231,1.0
"Historical Congressional District MI-5, 42nd Congress, USA",0.7984731522641231,1.0
"Historical Congressional District MI-2, 28th-32nd Congress, USA",0.6388741004098376,1.0
"Historical Congressional District TX-5, 86th-87th Congress, USA",0.9751341786993181,1.0
"Historical Congressional District TX-5, 74th-82nd Congress, USA",0.9751341786993181,1.0
"Historical Congressional District TX-5, 88th-89th Congress, USA",0.9751341786993181,1.0
"Historical Congressional District TX-5, 83rd-85th Congress, USA",0.9751341786993181,1.0
"Historical Congressional District IN-2, 19th-20th Congress, USA",0.8743904373676551,1.0
"Historical Congressional District IN-2, 18th Congress, USA",0.8743904373676551,1.0
"Historical Congressional District CA-38, 88th-90th Congress, USA",0.8802768677545374,1.0
"Historical Congressional District CA-29, 83rd-87th Congress, USA",0.8802768677545374,1.0
"Historical Congressional District TX-10, 90th Congress, USA",0.7731504681422559,1.0
"Historical Congressional District TX-26, 98th Congress, USA",0.9546548973740018,1.0
"Historical Congressional District NY-4, 23rd-27th Congress, USA",0.9887103601121335,1.0
"Historical Congressional District NY-4, 18th-22nd Congress, USA",0.9887103601121335,1.0
"Historical Congressional District NY-21, 13th-16th Congress, USA",0.7412240329315081,1.0
"Historical Congressional District NY-15, 11th-12th Congress, USA",0.7412240329315081,1.0
"Historical Congressional District NC-6, 40th-42nd Congress, USA",0.7611240244596298,1.0
"Historical Congressional District TX-12, 63rd Congress, USA",0.8935151346046154,1.0
"Historical Congressional District TX-12, 64th-65th Congress, USA",0.8935151346046154,1.0
"Historical Congressional District TX-12, 62nd Congress, USA",0.8935151346046154,1.0
"Historical Congressional District TX-12, 58th-61st Congress, USA",0.8935151346046154,1.0
"Historical Congressional District PA-4, 4th-6th Congress, USA",0.864790464411688,1.0
"Historical Congressional District PA-4, 7th Congress, USA",0.864790464411688,1.0
"Historical Congressional District TX-8, 55th-57th Congress, USA",0.8990760424896024,1.0
"Historical Congressional District TX-8, 53rd-54th Congress, USA",0.8990760424896024,1.0
"Historical Congressional District NC-1, 1st Congress, USA",0.6299178916715338,1.0
"Historical Congressional District FL-5, 91st-92nd Congress, USA",0.9245826886295221,1.0
"Historical Congressional District TX-22, 88th-89th Congress, USA",0.9857896195654517,1.0
"Historical Congressional District TX-22, 86th-87th Congress, USA",0.9857896195654517,1.0
"Historical Congressional District TX-7, 90th Congress, USA",0.9853356681249966,1.0
"Historical Congressional District TX-7, 91st-92nd Congress, USA",0.9853356681249966,1.0
"Historical Congressional District TX-12, 73rd Congress, USA",0.896658219922155,1.0
"Historical Congressional District TX-12, 66th-72nd Congress, USA",0.896658219922155,1.0
"Historical Congressional District VA-9, 28th-29th Congress, USA",0.9214002332250756,1.0
"Historical Congressional District GA-6, 40th-42nd Congress, USA",0.708874506228391,1.0
"Historical Congressional District FL-11, 88th-89th Congress, USA",0.9230038463412614,1.0
"Historical Congressional District MI-1, 33rd-37th Congress, USA",0.8919889842581239,1.0
"Historical Congressional District NY-2, 11th-12th Congress, USA",1.0,1.0
"Historical Congressional District TX-5, 48th-49th Congress, USA",0.8506064348603427,1.0
"Historical Congressional District TX-5, 51st-52nd Congress, USA",0.8506064348603427,1.0
"Historical Congressional District TX-5, 50th Congress, USA",0.8506064348603427,1.0
"Historical Congressional District IN-6, 23rd-27th Congress, USA",0.8891168142431364,1.0
"Historical Congressional District CA-6, 73rd-77th Congress, USA",0.9788688918575094,1.0
"Historical Congressional District CA-6, 78th-82nd Congress, USA",0.9788631587334787,1.0
"Historical Congressional District TX-12, 74th-82nd Congress, USA",0.9008927666589795,1.0
"Historical Congressional District TX-12, 83rd-85th Congress, USA",0.9008927666589795,1.0
"Historical Congressional District NY-2, 38th-42nd Congress, USA",1.0,1.0
"Historical Congressional District OH-15, 23rd-27th Congress, USA",0.8902976577488382,1.0
"Historical Congressional District PA-12, 4th-6th Congress, USA",0.8468781050674701,1.0
"Historical Congressional District PA-12, 7th Congress, USA",0.8468781050674701,1.0
"Historical Congressional District TX-14, 58th-61st Congress, USA",0.8524064510837313,1.0
"Historical Congressional District NY-14, 49th-52nd Congress, USA",0.9979850210106513,1.0
"Historical Congressional District NY-16, 53rd-57th Congress, USA",0.9979850210106513,1.0
"Historical Congressional District AZ-1, 92nd Congress, USA",0.950078755240624,1.0
"Historical Congressional District NY-12, 48th Congress, USA",0.9979839650967165,1.0
"Historical Congressional District NY-12, 44th-47th Congress, USA",0.9979839650967165,1.0
"Historical Congressional District MD-5, 43rd-51st Congress, USA",0.8039705180678504,1.0
"Historical Congressional District MI-1, 28th-32nd Congress, USA",0.9041288729095566,1.0
"Historical Congressional District TX-14, 63rd Congress, USA",0.8598943820498156,1.0
"Historical Congressional District TX-14, 64th-65th Congress, USA",0.8598943820498156,1.0
"Historical Congressional District TX-14, 62nd Congress, USA",0.8598943820498156,1.0
"Historical Congressional District MD-5, 56th-57th Congress, USA",0.8024897208242814,1.0
"Historical Congressional District NC-2, 28th-29th Congress, USA",0.7770400330584685,1.0
"Historical Congressional District MD-5, 52nd-54th Congress, USA",0.8023308596100455,1.0
"Historical Congressional District MD-5, 55th Congress, USA",0.8023308596100455,1.0
"Historical Congressional District GA-9, 70th-72nd Congress, USA",0.6766668186199172,1.0
"Historical Congressional District GA-9, 65th-69th Congress, USA",0.6766668186199172,1.0
"Historical Congressional District TX-13, 53rd-54th Congress, USA",0.7634968869385753,1.0
"Historical Congressional District IL-11, 63rd-77th Congress, USA",0.9070598748882931,1.0
"Historical Congressional District IL-11, 58th-62nd Congress, USA",0.9070598748882931,1.0
"Historical Congressional District IL-11, 78th-80th Congress, USA",0.9070598748882931,1.0
"Historical Congressional District GA-9, 60th Congress, USA",0.6765561096101005,1.0
"Historical Congressional District GA-9, 63rd-64th Congress, USA",0.6765561096101005,1.0
"Historical Congressional District GA-9, 61st-62nd Congress, USA",0.6765561096101005,1.0
