longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %,geoid
"Humphreys County, Mississippi, USA",0.0,0.6536929993577393,7.455737937336402,0.4873474630700064,6.007003968059116,0.0,56.51030208125944,0.0,77.01536349723243,0.20549693623426668,0.4317543981483887,0.8668949647543447,1.0,28053
"Major County, Oklahoma, USA",0.00011881887510060389,0.4519403752248779,11.558390277408584,0.455538421999486,5.499857609854545,0.0,126.52747734014625,0.0,135.88582565474763,0.17838725785881338,0.3729289079560014,0.8918904814617414,0.9943396652809514,40093
"Greene County, Alabama, USA",0.0002040691677074122,0.4591203104786546,10.923577241166171,0.3407503234152652,8.74720758139119,0.0,88.11930217362504,0.0,88.15217946498016,0.1109912305225157,0.2047287349597553,0.6715247088831886,1.0,01063
"Ballard County, Kentucky, USA",0.0010081791294834443,0.0,25.558849718460028,0.13625776397515527,7.0884939312589115,0.995212215320911,19.370743912160826,0.15307971014492755,18.14242114071161,0.13249844203875194,0.22039696168217626,0.9997636878616627,1.0,21007
"Yoakum County, Texas, USA",0.0023538044994415325,0.7332986742916558,7.814127098446703,0.7858071224330647,2.352985626435539,0.0,52.28516250222074,0.0,75.84507773887941,0.26325822299369506,0.6958734535858198,0.969183704692168,1.0,48501
"Lincoln County, Georgia, USA",0.0010579119883328666,0.0,26.3219523346103,0.16059817945383614,7.872007961267266,0.0,62.96525473272853,0.06618985695708712,18.54885757552529,0.06819538103356237,0.18210168799684012,0.9440578419821992,1.0,13181
"Washakie County, Wyoming, USA",0.00720955362573298,0.8408588158750814,6.948384578917787,0.7281717631750163,2.586741801065497,0.0,100.8168524225388,0.0,186.39282617422657,0.41857864326567573,0.6637354926892306,0.8943036533462241,0.9144418891529685,56043
"Coleman County, Texas, USA",0.0010816741197522814,0.5720978656949506,9.584218599359257,0.48932847475273294,5.825281028854661,0.0,71.64742731378367,0.0,193.736819740857,0.21544947455356267,0.4523582655953665,0.822335818073387,0.9830401525811959,48083
"Franklin County, Mississippi, USA",0.0,0.3706840390879479,12.418228504476994,0.15843648208469055,10.001735474828495,0.0,106.6909050769998,0.0,102.82126064885409,0.04463907787493926,0.138162245527774,0.6761263494598367,1.0,28037
"Merrick County, Nebraska, USA",0.00507268216268084,0.5658581116327596,8.446373889915524,0.5542514345331246,3.744767945204025,0.4658320292123109,30.423326916574556,0.06403234220135628,31.860774260560696,0.15311882937426258,0.334655685848674,0.7677906301280499,1.0,31121
"Kane County, Utah, USA",0.003003594962463458,0.6387113603756358,12.325916526591092,0.5423242467718795,4.616153678185027,0.0,86.52535477304085,0.0,277.84393751850627,0.14765145920368572,0.3732563097173115,0.8218589828728314,0.9500298362077157,49025
"Pleasants County, West Virginia, USA",0.0001245159468706999,0.0,20.38425811647393,0.5587044534412956,3.0972846702768067,0.8982630272952854,21.888502447447276,0.0,19.44797396495281,0.02758022694113549,0.10891027834843914,0.9999638685247924,1.0,54073
"Benton County, Mississippi, USA",0.0,0.0,20.489327475267032,0.2135757258697358,6.434365257722788,0.0,66.40459863693508,0.0,42.12271832640457,0.028152664042596975,0.07089527647350968,0.6426249811372864,1.0,28009
"Decatur County, Iowa, USA",0.01030094055524533,0.3746239372138653,12.75444251577624,0.5323741007194245,5.04549033857427,0.0,92.66571118760949,0.0,97.14203049778672,0.12234483439758104,0.4585305082439787,0.9014720859100543,1.0,19053
