longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"CA-SD017, USA",0.4734823946406416,0.09778390660672168,0.4240916559357634,0.21214709273347057,0.40320320699854806,0.38464970026798145,0.1431794818853054,0.45106088108538833,0.4057596370293062,0.06010414329440875,0.2719689958799369,0.6679268608256543,0.3777699738250392,0.19498442671788602,0.16431668583456333,0.1199791211574872,0.10044679583538882,0.04250299662963547
"CA-SD002, USA",0.5427206894908333,0.09582792200289324,0.3748826405252058,0.22000135846260155,0.40641387480010766,0.3735847667372908,0.23658269594416656,0.36389226383549095,0.3995250402203426,0.07753858113065043,0.32110613345914424,0.6013552854102053,0.419231898770963,0.18870228947282816,0.14832534994257668,0.1182408760747303,0.09104242501562423,0.03445716072327774
"CA-SD027, USA",0.48738525432065727,0.038472293542532045,0.4340752988423984,0.1749449207127174,0.3912824772795325,0.4337726020077501,0.07428749544084641,0.29179374169758787,0.6339187628615657,0.015200181713996494,0.11969649317297458,0.8651033251130289,0.4415974202649595,0.2009390794752719,0.15791930932538184,0.08285731183759468,0.07577769854997679,0.040909180546815214
"CA-SD009, USA",0.47038752132585915,0.03574302722963289,0.34092775084770255,0.22724904286444952,0.406240648712167,0.3665103084233834,0.10072288954173746,0.23144835069805786,0.6678287597602046,0.036247887487656505,0.14422021207817845,0.819531900434165,0.40459308406040817,0.19925248215072572,0.15578923788223367,0.11998775743457105,0.0849191637482669,0.03545827472379433
"CA-SD030, USA",0.38979267777336696,0.028259519765566225,0.37477819870716483,0.1866079255580432,0.43703139556589354,0.3763606788760633,0.10100990330107805,0.5649034806292917,0.3340866160696302,0.025238536195425525,0.27738050096029077,0.6973809628442836,0.613934697553466,0.16642463713800748,0.11969988595219803,0.05012611315224743,0.03050813358211273,0.019306532621968235
"CA-SD036, USA",0.46482109270292493,0.059869857500154805,0.4033947492062707,0.2190061280826595,0.39537742564406964,0.385616446273271,0.09486158311594177,0.22308750474035877,0.6820509121436995,0.034534735373995096,0.11819441492632546,0.8472708496996795,0.46299521020642165,0.2563927221584382,0.11635976079078288,0.07129361594647422,0.06022630413779607,0.03273238676008708
"CA-SD028, USA",0.4829646366722137,0.06758408497007502,0.6686274150559118,0.20079770843496994,0.3871757701399519,0.4120265214250781,0.11656361169605346,0.4264054901661288,0.4570308981378178,0.05472869009043661,0.27901470874154194,0.6662566011680214,0.6633032967017887,0.10197450226823149,0.07435340213428251,0.050205701628500875,0.051141636237784074,0.059021461029412366
"CA-SD038, USA",0.48469720829797724,0.06997107008795862,0.38812995671654976,0.18478842425100928,0.4268422598950255,0.38836931585396517,0.05508660525530894,0.24054011623181157,0.7043732785128795,0.018112606208810143,0.10694552246626321,0.8749418713249266,0.19333615241363397,0.2363016760705404,0.22191163841865563,0.17363965615886137,0.11974188884191769,0.05506898809639086
"CA-SD018, USA",0.42707711638134127,0.07533225884851043,0.4289328803753559,0.179532487452324,0.4097880210192767,0.4106794915283992,0.21967297901075233,0.5402345357564786,0.2400924852327692,0.12521636038619058,0.38803341462513274,0.48675022498867676,0.2919701423017102,0.157304680285219,0.14712196253041437,0.14151086545162955,0.20239597328216932,0.05969637614885743
"CA-SD006, USA",0.49911044752977096,0.03558124151376945,0.3521762423462936,0.20648814918739092,0.4313687994231872,0.3621430513894218,0.10934815766962516,0.6389379843049598,0.25171385802541507,0.036920862035324443,0.5120102521975063,0.4510688857671692,0.23376281598048004,0.19153908946845835,0.16749490584370313,0.16932319335086193,0.17589241136250186,0.06198758399399464
"TX-SD030, USA",0.5361786101222721,0.08615295003041268,0.3380795042398071,0.25714237519326555,0.4388955076234045,0.30396211718332994,0.19426955344470292,0.6993016945128666,0.10642875204243055,0.12740167284506893,0.5933719410394832,0.2792263861154479,0.18607004963865947,0.10083058919686562,0.11738543873995162,0.13611264949896784,0.2364132275540462,0.2231880453715092
"TX-SD009, USA",0.51006435006435,0.05998701567938548,0.3638278230466794,0.24185251681239706,0.4432808051035477,0.3148666780840552,0.10950649254202047,0.782131785925869,0.10836172153211061,0.07376615618190481,0.6709731420063424,0.25526070181175287,0.25417688643543335,0.11385103541644027,0.13684836826964325,0.14189447330495544,0.21360904142319131,0.13962019515033636
"CA-SD016, USA",0.41893437068041567,0.042116515232495995,0.4693685319661352,0.22265975247348077,0.4034040448038108,0.37393620272270844,0.5451762097354294,0.4143023118795763,0.04052147838499431,0.24227818462277886,0.7095865492323016,0.048135266144919635,0.34027558106200745,0.17000677677786963,0.1425805612376021,0.14696999292362417,0.13753205569626195,0.06263503230263466
"TX-SD016, USA",0.5361214089370467,0.07306096963824457,0.5499467962151587,0.2590800794992821,0.4401191821543711,0.3008007383463468,0.07911205771227842,0.7766003430625242,0.14428759922519735,0.03734204927183985,0.6751097656612491,0.2875481850669109,0.35483578634788165,0.18805393201566678,0.17761285485303557,0.10780790745235713,0.08927844116700051,0.08241107816405822
"TX-SD023, USA",0.5234505084675267,0.07318894895340307,0.49962006311503854,0.2421025183625337,0.4100582502906639,0.34783923134680234,0.16942169654475808,0.6232444948543387,0.20733380860090309,0.1145791889757615,0.6432470666959479,0.24217374432829053,0.3235213662832068,0.13312949870432841,0.14686489557114746,0.1085372304775547,0.17665427249792134,0.11129273646584123
"TX-SD008, USA",0.5064180653311676,0.05975065149119095,0.31547880079869267,0.2846170527809355,0.42993040673602884,0.2854525404830357,0.05689637106632671,0.7510041563340435,0.19209947259962978,0.04648337595907928,0.4543158567774936,0.4992007672634271,0.0760722893719781,0.09051745383308371,0.14807122314847473,0.20948379786679688,0.2647429932679534,0.21111224251171312
"TX-SD003, USA",0.5695998620771399,0.15541409708297074,0.2937965281374803,0.279063269887633,0.38904590665969674,0.33189082345267035,0.5879165542172875,0.39704703783808526,0.015036407944627324,0.36383267826363686,0.6122582832193614,0.023909038517001824,0.26655431242387,0.18411155000235913,0.1595216227959159,0.14847412946315688,0.14382970609531176,0.0975086792193862
