longname,Population,Population [StatCan],Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (1km) [StatCan],PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,Area-weighted Density [StatCan],AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
"Jawa Timur, Indonesia",,,38938256.0,,,,,,,3168.3157,,,,,,,777.6519457427574,,,50071.572781585426,0.09843139340410857
"Shaanxi Sheng, China",,,38921320.0,,,,,,,6103.1187,,,,,,,188.44463988385417,,,206539.80937843994,0.15426207215746898
"Jhārkhand, India",,,38856784.0,,,,,,,4268.2173,,,,,,,488.0660828167833,,,79613.77642909592,0.1550337304887098
"Telangāna, India",,,38790560.0,,,,,,,5572.3853,,,,,,,338.3776646966067,,,114636.88076096884,0.2766098251848705
"Fujian Sheng, China",,,38671876.0,,,,,,,7385.831,,,,,,,311.2688743190036,,,124239.45723647,0.12210134695136339
"Khyber Pakhtunkhwa, Pakistan",,,35874428.0,,,,,,,4201.192,,,,,,,351.9149044758683,,,101940.63264649254,0.13283321695099629
"Assam, India",,,34709564.0,,,,,,,2827.425,,,,,,,451.1877547400043,,,76929.31298634487,0.13566104543271032
"Guizhou Sheng, China",,,34633436.0,,,,,,,5034.3315,,,,,,,196.32992006510673,,,176404.2688374492,0.1796696024016904
"Chattogram, Bangladesh",,,33731790.0,,,,,,,6839.638,,,,,,,1018.6677138589572,,,33113.636116154004,0.08013580804984036
"Jawa Tengah, Indonesia",,,32921898.0,,,,,,,3177.9553,,,,,,,934.3220908114727,,,35236.13358152202,0.1874201117981904
"Chongqing Shi, China",,,32667812.0,,,,,,,8574.311,,,,,,,387.42063799744824,,,84321.30040582703,0.14085711547651572
"Punjab, India",,,30837968.0,,,,,,,4734.8105,,,,,,,619.3825503140101,,,49788.24150658747,0.25360976093628895
"Shanghai Shi, China",,,30744590.0,,,,,,,19038.914,,,,,,,4225.196420340582,,,7276.487751431389,0.1766593538153592
"Haryāna, India",,,29447324.0,,,,,,,4532.1733,,,,,,,666.6973270402333,,,44168.954645025806,0.13801735477244642
"Texas, USA",29143938.0,,29760206.0,25144392.0,0.1590631421909108,20850822.0,0.3977356863916444,1391.4971139446893,,1402.0988,1318.0995248829906,0.055684405977017765,1313.6731370215507,0.05924150744193982,42.37990617390788,,43.2760575456951,36.56393222357116,30.320400764263713,687682.9288013645,0.15535333109607946
"Chhattīsgarh, India",,,29014682.0,,,,,,,2652.921,,,,,,,216.86046080054797,,,133794.24673770077,0.17607022283466076
"Jilin Sheng, China",,,27707362.0,,,,,,,7299.8184,,,,,,,145.33195049179625,,,190648.80025513752,0.138974885532577
"Nei Mongol Zizhiqu, China",,,25938510.0,,,,,,,5089.5527,,,,,,,22.590378761715897,,,1148210.495875271,0.0847083352355738
"Gansu Sheng, China",,,25700260.0,,,,,,,4236.4766,,,,,,,67.41210492974001,,,381241.0252844944,0.09788418260440139
"Xinjiang Uygur Zizhiqu, China",,,25139062.0,,,,,,,6181.1284,,,,,,,15.338198060790395,,,1638984.051474985,0.22742434134115683
"Āmara, Ethiopia",,,24944094.0,,,,,,,2880.4644,,,,,,,160.23855239293877,,,155668.4931777954,0.22605679099123124
"Taiwan, China",,,23902320.0,,,,,,,9609.088,,,,,,,635.5717916205538,,,37607.58472155425,0.27714800688875657
"Beijing Shi, China",,,23088320.0,,,,,,,13384.285,,,,,,,1384.4879933440843,,,16676.432089694477,0.24513426428908988
"Florida, USA",21535757.0,,21937708.0,18799046.0,0.14557712130711314,15978449.0,0.3478002151522967,1488.580895680274,,1279.5778,1374.3221806067825,0.0831382311118959,1386.7185787606052,0.07345565169445503,142.74752979730212,,145.41182027706353,124.60752501274291,105.9114905848061,150866.05723111448,0.0874622437109563
"Minas Gerais, Brazil",,,21418124.0,,,,,,,3217.3076,,,,,,,36.53083057667609,,,586302.6835659979,0.21998448993696773
"Delhi, India",,,20724442.0,,,,,,,27161.709,,,,,,,13929.230893887137,,,1487.838212883308,0.3818757930743035
"Rajshahi, Bangladesh",,,20607004.0,,,,,,,3679.7422,,,,,,,1154.1187306269549,,,17855.185478885352,0.36620332919659876
"New York, USA",20200470.0,,19744168.0,19376687.0,0.042514130511578166,18974046.0,0.0646369256193434,9190.162944329983,,7344.184,8406.21125878482,0.09325862286959559,8314.864038837144,0.10526917835390744,159.12943601277584,,155.53491173133577,152.64007590447576,149.46826677104372,126943.64101421303,0.15544790458576233
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,18835352.0,,,,,,,2430.523,,,,,,,178.17125929914,,,105714.8727246545,0.1868501578874314
"Rangpur, Bangladesh",,,18468660.0,,,,,,,3655.4277,,,,,,,1107.3296848410566,,,16678.555856335548,0.1934415930755315
"Nordrhein-Westfalen, Germany",,,18333030.0,,,,,,,2364.796,,,,,,,536.7501989164443,,,34155.60913998636,0.1517653344126132
"Buenos Aires, Argentina",,,17691958.0,,,,,,,5061.31,,,,,,,57.38498019946329,,,308302.93812953983,0.34421433304349486
"Rio de Janeiro, Brazil",,,17459814.0,,,,,,,7216.4126,,,,,,,390.5222825988718,,,44708.88033278754,0.12476188920444427
"Khulna, Bangladesh",,,17085144.0,,,,,,,3941.2964,,,,,,,761.5463790947773,,,22434.804325783145,0.1442730221271479
"México, Mexico",,,16425212.0,,,,,,,6563.936,,,,,,,739.7769417743633,,,22202.925060902744,0.20043719145758268
"Tianjin Shi, China",,,15960400.0,,,,,,,14152.198,,,,,,,1349.8725132626175,,,11823.635079007574,0.343607177363071
"Gauteng, South Africa",,,15486628.0,,,,,,,6456.848,,,,,,,852.0276994032447,,,18176.202500044008,0.17083903536613548
"Bahia, Brazil",,,15098491.0,,,,,,,4557.6694,,,,,,,26.88357314800472,,,561625.1573731224,0.22755780843262635
"Jammu and Kashmīr, India",,,14498580.0,,,,,,,4349.3135,,,,,,,344.81830401005175,,,42047.0138371116,0.2816834431910607
"İstanbul, Turkey",,,14467462.0,,,,,,,19956.541,,,,,,,2668.581772471759,,,5421.404788581612,0.1861828568987934
"Ontario, Canada",,14221217.0,14333171.0,,,,,,3117.9336564558,2665.696,,,,,,14.257860294844912,14.370102762662475,,,997429.958346684,0.11657579173643089
"Kano, Nigeria",,,14152136.0,,,,,,,7207.1665,,,,,,,661.345279560302,,,21399.01264496679,0.3626601352588638
"Sumatera Utara, Indonesia",,,14100495.0,,,,,,,4219.345,,,,,,,194.67791764838154,,,72429.86349108006,0.1689829787784079
"Banten, Indonesia",,,13945947.0,,,,,,,7075.798,,,,,,,1409.4934023503108,,,9894.297466554526,0.17650063923625428
"Gyeonggi-do, South Korea",,,13754030.0,,,,,,,8488.613,,,,,,,1310.2778014275902,,,10497.033518399332,0.16247495990627844
"Tehrān, Iran",,,13700320.0,,,,,,,14183.021,,,,,,,950.9746420736669,,,14406.609171118896,0.2489745218136818
"Mymensingh, Bangladesh",,,13580620.0,,,,,,,4412.98,,,,,,,1182.7923929127057,,,11481.829001754746,0.2824057276273471
"Tôkyô, Japan",,,13571135.0,,,,,,,11874.753,,,,,,,5068.833974605882,,,2677.3682207761008,0.03977634956133199
"Bayern, Germany",,,13223156.0,,,,,,,1893.0564,,,,,,,187.3942584421783,,,70563.29318691527,0.14611250124323058
"Pennsylvania, USA",13002739.0,,13063303.0,12702502.0,0.02363605217302859,12281128.0,0.058757713460848224,1833.2781389836139,,1525.0728,1729.8815407243721,0.05977091253077673,1755.174681750104,0.04449896528568436,110.81228485245968,,111.32842496876937,108.25359718155835,104.66255257800057,117340.23007749018,0.4519111324778775
"National Capital Region, Philippines",,,12912382.0,,,,,,,27365.492,,,,,,,21857.21335074887,,,590.7606698434683,0.4218173002040926
"Illinois, USA",12810530.0,,12889266.0,12829619.0,-0.0014878851819372034,12418014.0,0.03160859699465631,2508.586504837111,,2098.024,2417.7633671001354,0.03756494079315501,2661.6825138716204,-0.05751850877654805,87.79400282992607,,88.33360178538045,87.92482487398048,85.10398525728924,145915.77541824206,0.4036242567696052
"Moskva, Russia",,,12198660.0,,,,,,,15319.322,,,,,,,11335.708439041833,,,1076.1268310312248,0.07293609421459976
"Île-de-France, France",,,12084226.0,,,,,,,9307.842,,,,,,,1001.6592951363336,,,12064.207918477154,0.24890604421792675
"Ohio, USA",11798637.0,,11869405.0,11535004.0,0.022855041922828983,11350421.0,0.03948893173213575,1018.0435016833709,,880.13586,996.6025371090868,0.021514057787249206,1105.134610451805,-0.0788058829619219,110.41414260218139,,111.0764045264758,107.94700918188539,106.2196423950321,106858.02309320202,0.42018058282203163
"Uttarākhand, India",,,11746096.0,,,,,,,3921.064,,,,,,,217.7632931895854,,,53939.742680938485,0.28180903573342725
"Krung Thep Maha Nakhon, Thailand",,,11405138.0,,,,,,,10934.856,,,,,,,7073.731417783518,,,1612.3227369542517,0.33413868951786524
"Paraná, Brazil",,,11219260.0,,,,,,,2440.6433,,,,,,,56.53131464127358,,,198460.9781533155,0.28598970566556703
"Rio Grande do Sul, Brazil",,,11116155.0,,,,,,,2726.1353,,,,,,,40.73192922712728,,,272910.1029812428,0.16521316166157388
"Baden-Württemberg, Germany",,,10990028.0,,,,,,,1800.5763,,,,,,,304.5390309535782,,,36087.42027446473,0.2127558844248368
"Lagos, Nigeria",,,10840770.0,,,,,,,16869.025,,,,,,,3121.0074026701946,,,3473.484231637875,0.10208940471603913
"Kwazulu-Natal, South Africa",,,10782822.0,,,,,,,2219.4365,,,,,,,114.93305023688282,,,93818.28793176601,0.323095821845039
"Georgia, USA",10711705.0,,10870031.0,9687597.0,0.10571331569634863,8186390.0,0.30847724088395495,782.5993222552372,,696.4012,694.3908400178531,0.1270300199166168,691.1164231867688,0.13236973684786232,70.20814159253246,,71.24586380629574,63.495790993814026,53.65637200162735,152570.6956063245,0.39775204942264775
"Hồ Chí Minh, Vietnam",,,10631880.0,,,,,,,20828.86,,,,,,,6343.2595015407705,,,1676.090974587675,0.22510916096990444
"Kinshasa, Democratic Republic of the Congo",,,10489172.0,,,,,,,33868.08,,,,,,,996.4902923347915,,,10526.115588566061,0.4219451484531361
"Al Jīzah, Egypt",,,10455401.0,,,,,,,34580.336,,,,,,,277.55223027368424,,,37670.03057294948,0.24660569653461742
"North Carolina, USA",10438387.0,,10795395.0,9534709.0,0.09477772210982002,8048098.0,0.2970004838410268,619.3198631341129,,572.92944,539.5786064690866,0.14778431855710503,499.86716996516776,0.2389688708247612,81.20498291187711,,83.98231129981707,74.17485876071858,62.6098323968169,128543.67583978978,0.08571600482223596
"Al Qāhirah, Egypt",,,10403106.0,,,,,,,36081.355,,,,,,,3608.3824010191875,,,2883.0386704750704,0.7168791170249466
"Luanda, Angola",,,10234278.0,,,,,,,14780.043,,,,,,,3868.5444750333513,,,2645.5112681396195,0.3100679339096835
"Sylhet, Bangladesh",,,10220958.0,,,,,,,5318.533,,,,,,,959.9136512287009,,,10647.788982808039,0.2603707092804213
"Lombardia, Italy",,,10137215.0,,,,,,,3021.0825,,,,,,,423.50324279354714,,,23936.56996138226,0.14311913434804796
"Michigan, USA",10075930.0,,10150011.0,9882581.0,0.019564625880627743,9937255.0,0.013955061030435468,1002.5088743791639,,820.5641,991.3467920730346,0.011259513215136253,1147.490178282231,-0.12634644430691433,66.76743865153679,,67.25833116694177,65.48622515602462,65.84851855631959,150910.83623241674,0.056490105898526315
"Pernambuco, Brazil",,,9925687.0,,,,,,,4817.627,,,,,,,100.67309761939266,,,98593.24124032928,0.16776714764770828
"Ar Riyāḑ, Saudi Arabia",,,9921695.0,,,,,,,5866.2764,,,,,,,26.267549242287966,,,377716.81356657075,0.6161495653425414
"Municipalidad Metropolitana de Lima, Peru",,,9843240.0,,,,,,,12713.374,,,,,,,3030.8502267239815,,,3247.6827502754795,0.2339944781864242
"Khorāsān-e Raẕavī, Iran",,,9827905.0,,,,,,,14513.863,,,,,,,77.46458957268742,,,126869.64526905771,0.31409611265324605
"Seoul-teukbyeolsi, South Korea",,,9686023.0,,,,,,,20846.387,,,,,,,16875.28899281066,,,573.9767185099179,0.36696237637858187
"Makkah al Mukarramah, Saudi Arabia",,,9616759.0,,,,,,,6524.1177,,,,,,,69.26368263030506,,,138842.7330861031,0.2139540341394948
"Hainan Sheng, China",,,9599022.0,,,,,,,3963.9358,,,,,,,272.47146599606583,,,35229.457752242575,0.2945032236353107
"Kanagawa, Japan",,,9500325.0,,,,,,,7330.0396,,,,,,,3640.363610756144,,,2609.7187028047115,0.2288973330527756
"Ceará, Brazil",,,9429931.0,,,,,,,4036.7158,,,,,,,62.9650066159575,,,149764.63128982077,0.5238406183547999
"New Jersey, USA",9288463.0,,9035780.0,8791435.0,0.056535480271423265,8413639.0,0.10397688800292001,3041.6055468018126,,2442.3865,2734.2808244917937,0.11239691240095635,2745.5799856246704,0.10781895363714596,461.7960786548695,,449.23339540547204,437.0852539057509,418.3023065729688,20113.77625175089,0.3196821244753462
"Azerbaijan, Azerbaijan",,,9270730.0,,,,,,,3618.9202,,,,,,,119.45813121643299,,,77606.52126060292,0.11721767687949262
"Sulawesi Selatan, Indonesia",,,9148972.0,,,,,,,3395.996,,,,,,,186.74275049157376,,,48992.381101363404,0.12335541818088847
"Distrito Capital de Bogotá, Colombia",,,9130686.0,,,,,,,20321.033,,,,,,,5468.032538509651,,,1669.8302242525845,0.16518330464158906
"Fārs, Iran",,,9129499.0,,,,,,,29520.527,,,,,,,71.36397897941535,,,127928.67116663109,0.5524183101500564
"Rivers, Nigeria",,,8704202.0,,,,,,,9002.724,,,,,,,813.4476738428613,,,10700.383417263844,0.15668817381463837
"Kaduna, Nigeria",,,8660923.0,,,,,,,3220.0151,,,,,,,192.9916858620665,,,44877.181943423544,0.28521032945013736
"Virginia, USA",8631075.0,,8704235.0,8000910.0,0.07876166586050837,7078175.0,0.2193927106916684,1288.68176843045,,1125.7827,1184.0573145102676,0.08836097090743916,1099.354795836082,0.17221644305502004,82.35514714557206,,83.05321807708059,76.34230039114235,67.5378378298311,104803.10337790541,0.10530595453124546
"Katsina, Nigeria",,,8600015.0,,,,,,,3384.666,,,,,,,351.2555747720207,,,24483.639884097964,0.3142020905162875
"Veracruz de Ignacio de la Llave, Mexico",,,8594424.0,,,,,,,2425.6501,,,,,,,118.49802151312538,,,72527.99574419935,0.07728688665892475
"Pará, Brazil",,,8570342.0,,,,,,,3680.031,,,,,,,6.946682087069774,,,1233731.714303211,0.09723775123005075
"Quebec, Canada",,8482858.0,8673041.0,,,,,,2763.773518803363,2410.387,,,,,,5.593749246691027,5.719159339961884,,,1516488.7852307684,0.04389451108892724
"Lampung, Indonesia",,,8453155.0,,,,,,,2057.5142,,,,,,,240.1470108003628,,,35199.91763306691,0.20568938817882837
"Ôsaka, Japan",,,8360658.0,,,,,,,7737.616,,,,,,,4150.068467897597,,,2014.5831483680233,0.16970401675215077
"Moskovskaya oblast', Russia",,,8274007.0,,,,,,,3018.5303,,,,,,,180.29032133441157,,,45892.68541295101,0.08678946403900231
"Yangon, Myanmar",,,8271987.0,,,,,,,11168.51,,,,,,,812.3528048835453,,,10182.751817033277,0.21707492500304482
"Balochistan, Pakistan",,,8217341.0,,,,,,,2847.267,,,,,,,23.6733303301655,,,347113.85704482556,0.21695988272330996
"Oyo, Nigeria",,,8202785.0,,,,,,,6773.346,,,,,,,292.2122352750698,,,28071.3262820033,0.41571941438377163
"Catalunya, Spain",,,8194020.5,,,,,,,9851.725,,,,,,,251.69855190128703,,,32554.89726938751,0.23352260002427908
"Ash Sharqīyah, Egypt",,,8168847.5,,,,,,,7492.9697,,,,,,,1579.5535229022146,,,5171.618043680378,0.47020656467210675
"Andalucía, Spain",,,8154537.5,,,,,,,3634.2043,,,,,,,92.31756378197153,,,88331.3766734438,0.2946098250680305
"New South Wales, Australia",,,8091987.0,,,,,,,2300.1716,,,,,,,10.084760092926356,,,802397.5707340698,0.26288935924056783
"Jalisco, Mexico",,,8057940.0,,,,,,,5026.8013,,,,,,,102.13997909424799,,,78891.14596904967,0.0861600518906302
"Sumatera Selatan, Indonesia",,,8036474.0,,,,,,,3973.8286,,,,,,,90.8067145093837,,,88500.87841433284,0.373422630020619
"Auvergne-Rhône-Alpes, France",,,7968476.0,,,,,,,2174.795,,,,,,,112.1083896776219,,,71078.32003397867,0.1505156251449387
"Barishal, Bangladesh",,,7957853.0,,,,,,,3251.9697,,,,,,,764.6991939662429,,,10406.5141728805,0.11543923265473247
"Niedersachsen, Germany",,,7953676.5,,,,,,,1232.6698,,,,,,,166.28417961003893,,,47831.82933368978,0.08472373660208653
"Ciudad de México, Mexico",,,7936601.0,,,,,,,10585.348,,,,,,,5329.7299115119495,,,1489.1187980946913,0.46426976257173025
"Región Metropolitana de Santiago, Chile",,,7886854.0,,,,,,,8439.522,,,,,,,448.1431193457822,,,17598.962607109876,0.24603731891139585
"Aiti, Japan",,,7804667.0,,,,,,,4145.7656,,,,,,,1425.2166230269816,,,5476.12683847587,0.19323345498466596
"Riau, Indonesia",,,7748274.0,,,,,,,3282.7263,,,,,,,83.56306824608959,,,92723.66564116186,0.15498513678346348
"Washington, USA",7704256.0,,7740465.5,6723276.0,0.14590803649887346,5892396.0,0.3074912141003422,1598.8588840625123,,1331.073,1334.93548262707,0.1977049863983369,1242.8166003463768,0.2864801480901569,43.9411486284464,,44.147669157003826,38.34613880770143,33.6072228666419,175331.2382692804,0.09355970253892508
"Jakarta Raya, Indonesia",,,7684006.5,,,,,,,14586.433,,,,,,,11313.577650849742,,,679.1844929285361,0.06946399846174488
"Himāchal Pradesh, India",,,7672698.5,,,,,,,1428.161,,,,,,,136.16484394468083,,,56348.601281525785,0.2961621824439104
"Casablanca-Settat, Morocco",,,7594328.0,,,,,,,13731.23,,,,,,,371.08796282769947,,,20465.034602930886,0.36429906482927393
"Hà Nội, Vietnam",,,7594225.0,,,,,,,8854.083,,,,,,,2052.1783605422524,,,3700.567721605523,0.258994648347056
"Bauchi, Nigeria",,,7527137.5,,,,,,,2981.628,,,,,,,141.75274431001554,,,53100.471081801625,0.2587985322758357
"Al Kharţūm, Sudan",,,7488047.5,,,,,,,6304.1553,,,,,,,353.74561314698366,,,21167.887944630613,0.46233688177645055
"Nord-Kivu, Democratic Republic of the Congo",,,7383068.0,,,,,,,11266.6,,,,,,,125.09661075607151,,,59018.92909310228,0.3317889341392052
"Goiás, Brazil",,,7342266.5,,,,,,,2917.148,,,,,,,21.31268967750458,,,344502.10701231763,0.23201356584410465
"Ad Daqahlīyah, Egypt",,,7339664.5,,,,,,,7351.8525,,,,,,,1609.988058088122,,,4558.831640475601,0.19915543178474465
"Anambra, Nigeria",,,7328476.5,,,,,,,4983.4517,,,,,,,1321.0306149720004,,,5547.544785822643,0.340262438083031
"Maranhão, Brazil",,,7290810.0,,,,,,,2204.7778,,,,,,,22.048081649685777,,,330677.74856067385,0.14344214054050158
"Western Cape, South Africa",,,7288235.0,,,,,,,6268.111,,,,,,,55.57013958267098,,,131153.80048951265,0.12953638765442974
"Madrid, Comunidad de, Spain",,,7273684.0,,,,,,,10710.18,,,,,,,905.857088518026,,,8029.61536890955,0.21319599313924006
"Haut-Katanga, Democratic Republic of the Congo",,,7246850.5,,,,,,,6636.756,,,,,,,58.7748961650728,,,123298.39732335362,0.1445896506248607
"Hong Kong, China",,,7220668.5,,,,,,,29862.617,,,,,,,5008.21114212467,,,1441.7659909076283,0.1557461782401564
"Santa Catarina, Brazil",,,7204482.5,,,,,,,1901.1267,,,,,,,74.52606405931665,,,96670.64255890156,0.11486652840782043
"Selangor, Malaysia",,,7195001.0,,,,,,,4660.151,,,,,,,879.9255601780493,,,8176.829183759728,0.17709612694655616
"Saitama, Japan",,,7172364.0,,,,,,,4780.47,,,,,,,1888.4952161640247,,,3797.9254268743916,0.35637780351213466
"Arizona, USA",7151502.0,,7479380.0,6392017.0,0.11881773781264975,5130632.0,0.3938832486913893,1570.050231606039,,1495.7208,1455.938091148346,0.07837705541977334,1535.4851033757118,0.022510884771423025,24.22321600147248,,25.333788244356676,21.65072574629555,17.378224484879787,295233.3827005165,0.6146833638099249
"Ningxia Zizhiiqu, China",,,7056284.5,,,,,,,5566.703,,,,,,,140.24814049785394,,,50312.856020418854,0.19733553125104664
"Massachusetts, USA",7027821.0,,7015335.0,6545464.0,0.07369332410964295,6345504.0,0.10752762901102891,2432.8610697027493,,1918.0645,2197.7628644886827,0.10697159780646447,2155.862099124253,0.12848640490085989,331.3633703856278,,330.7746526247977,308.62012731653135,299.1919675010907,21208.8046781432,0.07690629894743975
"Ashanti, Ghana",,,7021030.5,,,,,,,7771.1313,,,,,,,285.61397372949835,,,24582.237375575805,0.2530643921246051
"Sumalē, Ethiopia",,,6968180.5,,,,,,,6310.357,,,,,,,22.213828889625564,,,313686.601919146,0.24119219190724178
"Al Buḩayrah, Egypt",,,6910883.0,,,,,,,5825.182,,,,,,,584.5767913052874,,,11822.027666491611,0.48084030291982527
"Tennessee, USA",6910843.0,,7022284.5,6346109.0,0.08898901673450614,5689222.0,0.2147254932220961,632.2266268407777,,556.85205,585.9618778453032,0.0789552200317179,589.7200473079093,0.07207925137853506,63.336886373895055,,64.35823176154696,58.16118014102661,52.14090486064637,109112.45240574969,0.23393874797632913
"Tigray, Ethiopia",,,6812741.5,,,,,,,3542.1409,,,,,,,138.01470813540138,,,49362.43094697023,0.18576581653250065
"Indiana, USA",6785528.0,,6854422.0,6483789.0,0.0465374490132236,6080683.0,0.11591543252624746,812.0111422116377,,721.6649,785.7689594743099,0.03339681775529049,825.4874912063888,-0.01632532187139071,72.39885674399352,,73.13392803638531,69.17942287899793,64.87844386208955,93724.24241440736,0.4132166059492239
"Akwa Ibom, Nigeria",,,6779839.0,,,,,,,4453.3164,,,,,,,803.6525647409169,,,8436.281171062645,0.3560791077758906
"Dar es Salaam, Tanzania",,,6754966.0,,,,,,,16140.877,,,,,,,5188.591143695451,,,1301.8882800599577,0.2846589149122701
"Eastern Cape, South Africa",,,6734804.5,,,,,,,1576.1516,,,,,,,39.68903339429789,,,169689.3051814053,0.2681483020158723
"Shan, Myanmar",,,6713709.0,,,,,,,3733.7246,,,,,,,43.12545021489113,,,155678.58344773337,0.1892508885014195
"Vlaamse Gewest, Belgium",,,6673713.5,,,,,,,1514.4093,,,,,,,488.15911125027486,,,13671.184960385684,0.12382271194078073
"Victoria, Australia",,,6657491.5,,,,,,,2178.5925,,,,,,,29.061775973512013,,,229080.68337144592,0.14915838061540587
