longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Guatemala City 50MPC, Guatemala-Mexico-Honduras",,,,,,,,,,,,2472.0388,,,,,,1748.1727,,,,
"Shanghai 50MPC, China",,,,,,,,,,,,15292.771,,,,,,13506.923,,,,
"Istanbul 50MPC, Turkey",,,,,,,,,,,,10845.926,,,,,,8109.963,,,,
"Ho Chi Minh City 50MPC, Vietnam-Cambodia",,,,,,,,,,,,6753.593,,,,,,6085.9165,,,,
"Kochi 50MPC, India",,,,,,,,,,,,4337.0884,,,,,,3315.5183,,,,
"Qingdao 50MPC, China",,,,,,,,,,,,4022.7798,,,,,,2889.3088,,,,
"Jinan 50MPC, China",,,,,,,,,,,,3623.2178,,,,,,2856.372,,,,
"Nagpur 50MPC, India",,,,,,,,,,,,3524.5361,,,,,,2355.3647,,,,
"Zhengzhou 50MPC, China",,,,,,,,,,,,4170.2627,,,,,,3380.5945,,,,
"Milan 50MPC, Italy-Germany-Switzerland",,,,,,,,,,,,1979.9084,,,,,,1541.756,,,,
"Recife 50MPC, Brazil",,,,,,,,,,,,3719.5642,,,,,,2848.0989,,,,
"Jakarta 50MPC, Indonesia",,,,,,,,,,,,10961.236,,,,,,10705.563,,,,
"Bengaluru 50MPC, India",,,,,,,,,,,,12815.516,,,,,,11230.007,,,,
"Tashkent 50MPC, Uzbekistan-Tajikistan-Afghanistan",,,,,,,,,,,,3412.5337,,,,,,2510.412,,,,
"Bangkok 50MPC, Thailand",,,,,,,,,,,,3992.1472,,,,,,3755.9688,,,,
"Sirajganj 50MPC, Bangladesh-India",,,,,,,,,,,,3416.18,,,,,,2252.1777,,,,
"Bucharest 50MPC, Romania-Ukraine-Hungary",,,,,,,,,,,,2087.7273,,,,,,1497.3041,,,,
"Osaka [Kyoto] 50MPC, Japan",,,,,,,,,,,,3584.7073,,,,,,3193.6711,,,,
"Kunming 50MPC, China",,,,,,,,,,,,4357.99,,,,,,2917.291,,,,
"London 50MPC, United Kingdom",,,,,,,,,,,,3385.6392,,,,,,2908.2651,,,,
"Multan 50MPC, Pakistan",,,,,,,,,,,,3798.8196,,,,,,2731.8154,,,,
"Makassar 50MPC, Indonesia",,,,,,,,,,,,2627.1648,,,,,,1966.5083,,,,
"Guangzhou 50MPC, China",,,,,,,,,,,,14574.203,,,,,,11478.379,,,,
"Surabaya 50MPC, Indonesia",,,,,,,,,,,,3567.2427,,,,,,3142.7886,,,,
"Addis Ababa 50MPC, Ethiopia",,,,,,,,,,,,4325.321,,,,,,3189.1328,,,,
"Bogota 50MPC, Colombia-Venezuela",,,,,,,,,,,,8758.273,,,,,,7184.899,,,,
"Johannesburg 50MPC, South Africa-Mozambique",,,,,,,,,,,,3260.5427,,,,,,2489.6345,,,,
"Kano 50MPC, Nigeria-Niger",,,,,,,,,,,,3741.4097,,,,,,2653.832,,,,
"Xuzhou 50MPC, China",,,,,,,,,,,,3160.8347,,,,,,2199.2202,,,,
"Lusaka 50MPC, Malawi-Mozambique-Zimbabwe",,,,,,,,,,,,1704.931,,,,,,1294.5704,,,,
"Dar es Salaam 50MPC, South Africa-Angola-Tanzania",,,,,,,,,,,,3916.6587,,,,,,3027.116,,,,
"Haikou 50MPC, Vietnam-China-Thailand",,,,,,,,,,,,1708.9661,,,,,,1162.8473,,,,
"Dortmund 50MPC, Germany-Netherlands-Belgium",,,,,,,,,,,,2138.5708,,,,,,1706.1716,,,,
"Colombo 50MPC, India-Sri Lanka",,,,,,,,,,,,2523.2783,,,,,,1684.152,,,,
"Mbuji-Mayi 50MPC, Democratic Republic of the Congo-Tanzania-Zambia",,,,,,,,,,,,5328.249,,,,,,3389.3142,,,,
"Shijiazhuang 50MPC, China",,,,,,,,,,,,2741.962,,,,,,2172.7788,,,,
"Chongqing 50MPC, China",,,,,,,,,,,,3658.4316,,,,,,2291.3901,,,,
"Singapore 50MPC, Indonesia-Thailand-Singapore",,,,,,,,,,,,4454.9434,,,,,,3179.527,,,,
"Mexico City 50MPC, Mexico",,,,,,,,,,,,5257.4355,,,,,,4563.9585,,,,
"Santo Domingo 50MPC, Venezuela-USA-Costa Rica",,,,,,,,,,,,3556.3335,,,,,,2709.5933,,,,
"Zhuzhou 50MPC, China",,,,,,,,,,,,3282.3977,,,,,,1972.0048,,,,
"Guadalajara 50MPC, Mexico",,,,,,,,,,,,3107.651,,,,,,2375.8994,,,,
"Moscow 50MPC, Russia-Ukraine-Belarus",,,,,,,,,,,,5908.434,,,,,,4868.7266,,,,
"Ürümqi 50MPC, China-Russia-Kazakhstan",,,,,,,,,,,,4447.309,,,,,,3241.1846,,,,
"Casablanca 50MPC, Morocco-Portugal-Spain",,,,,,,,,,,,6000.6577,,,,,,3962.2358,,,,
"Buenos Aires 50MPC, Argentina-Brazil-Paraguay",,,,,,,,,,,,4116.2812,,,,,,3520.058,,,,
"Rawalpindi [Islamabad] 50MPC, Pakistan-India",,,,,,,,,,,,4436.0854,,,,,,3366.7112,,,,
"Ludhiana 50MPC, India",,,,,,,,,,,,4041.045,,,,,,2983.2788,,,,
"Dhaka 50MPC, Bangladesh",,,,,,,,,,,,20966.191,,,,,,17557.83,,,,
"Hanoi 50MPC, Vietnam-China",,,,,,,,,,,,4415.063,,,,,,3562.525,,,,
"Kabul 50MPC, Pakistan-India-Afghanistan",,,,,,,,,,,,4389.118,,,,,,3349.5938,,,,
"Tasikmalaya 50MPC, Indonesia",,,,,,,,,,,,3350.7615,,,,,,2662.9312,,,,
"Nizhny Novgorod 50MPC, Russia",,,,,,,,,,,,2534.1057,,,,,,1718.3995,,,,
"N'Djamena 50MPC, Chad-Sudan-Nigeria",,,,,,,,,,,,3952.8413,,,,,,2104.114,,,,
"Lahore 50MPC, Pakistan",,,,,,,,,,,,12209.261,,,,,,9940.146,,,,
"Seattle 50MPC, USA-Canada",,,,,,,,,,,,1434.8844,,,,,,1161.7407,,,,
"Accra 50MPC, Ghana-Togo-Benin",,,,,,,,,,,,3747.6567,,,,,,2995.831,,,,
"Yangon 50MPC, Myanmar-Thailand",,,,,,,,,,,,3728.55,,,,,,2504.0078,,,,
"Paris 50MPC, France-Germany-Belgium",,,,,,,,,,,,3269.8237,,,,,,2827.2795,,,,
"Jaipur 50MPC, India",,,,,,,,,,,,3407.6267,,,,,,2447.704,,,,
"Delhi [New Delhi] 50MPC, India",,,,,,,,,,,,16455.105,,,,,,14441.651,,,,
"Cairo 50MPC, Egypt",,,,,,,,,,,,19647.705,,,,,,16816.209,,,,
"Lucknow 50MPC, India",,,,,,,,,,,,5250.2603,,,,,,3993.4873,,,,
"Cape Town 50MPC, USA-Somalia-South Africa",,,,,,,,,,,,5266.451,,,,,,3904.222,,,,
"Tokyo 50MPC, Japan",,,,,,,,,,,,7003.3154,,,,,,6815.731,,,,
"Xi'an 50MPC, China",,,,,,,,,,,,5034.759,,,,,,3777.9988,,,,
"Madrid 50MPC, Spain-Algeria",,,,,,,,,,,,5511.872,,,,,,4158.8804,,,,
"Jodhpur 50MPC, India",,,,,,,,,,,,2125.8645,,,,,,1403.3818,,,,
"Hefei 50MPC, China",,,,,,,,,,,,4693.261,,,,,,3415.6694,,,,
"Yichang 50MPC, China",,,,,,,,,,,,2966.6367,,,,,,1778.1273,,,,
"Mumbai 50MPC, India",,,,,,,,,,,,20724.785,,,,,,16195.872,,,,
"Ahmedabad 50MPC, India",,,,,,,,,,,,17989.822,,,,,,12950.644,,,,
"Jamshedpur 50MPC, India",,,,,,,,,,,,3002.4666,,,,,,2147.0972,,,,
"Varanasi 50MPC, India",,,,,,,,,,,,4153.644,,,,,,3127.78,,,,
"Agra 50MPC, India",,,,,,,,,,,,5736.073,,,,,,3876.7852,,,,
"Solapur 50MPC, India",,,,,,,,,,,,3395.073,,,,,,2079.614,,,,
"Dakar 50MPC, Senegal-Guinea-Sierra Leone",,,,,,,,,,,,3925.0706,,,,,,2806.344,,,,
"Onitsha 50MPC, Nigeria",,,,,,,,,,,,3922.5059,,,,,,2775.453,,,,
"Shenyang 50MPC, China-North Korea",,,,,,,,,,,,7528.345,,,,,,5507.767,,,,
"Lagos 50MPC, Nigeria",,,,,,,,,,,,7792.397,,,,,,6228.8916,,,,
"Niamey 50MPC, Nigeria-Niger",,,,,,,,,,,,2512.2124,,,,,,1285.5315,,,,
"Warsaw 50MPC, Poland-Sweden-Germany",,,,,,,,,,,,1911.6539,,,,,,1419.1404,,,,
"Patna 50MPC, India",,,,,,,,,,,,4711.9434,,,,,,3646.145,,,,
"Alexandria 50MPC, Egypt-Israel-State of Palestine",,,,,,,,,,,,10398.952,,,,,,7497.32,,,,
"Athens 50MPC, Tunisia-Italy-Algeria",,,,,,,,,,,,2954.151,,,,,,2075.928,,,,
"Cebu City 50MPC, Philippines",,,,,,,,,,,,1867.0352,,,,,,1341.0842,,,,
"Berlin 50MPC, Poland-Germany-Czech Republic",,,,,,,,,,,,2075.7717,,,,,,1648.9264,,,,
"Hyderabad 50MPC, India",,,,,,,,,,,,5012.8506,,,,,,3866.639,,,,
"Rostov-on-Don 50MPC, Russia-Ukraine-Turkey",,,,,,,,,,,,2457.041,,,,,,1575.5093,,,,
"Berhampore 50MPC, India-Bangladesh",,,,,,,,,,,,2872.9473,,,,,,1842.1775,,,,
"Gwalior 50MPC, India-Pakistan",,,,,,,,,,,,2775.5586,,,,,,1685.0388,,,,
"Nanjing (Jiangsu Sheng) 50MPC, China",,,,,,,,,,,,7594.93,,,,,,5823.8467,,,,
"Kathmandu 50MPC, India-Nepal",,,,,,,,,,,,2714.8015,,,,,,2168.0579,,,,
"Taiyuan 50MPC, China",,,,,,,,,,,,5177.417,,,,,,3683.5637,,,,
"Montreal 50MPC, USA-Canada",,,,,,,,,,,,1232.7234,,,,,,1009.81537,,,,
"Mashhad 50MPC, Afghanistan-Iran-Turkmenistan",,,,,,,,,,,,4986.814,,,,,,3016.9238,,,,
"Raipur 50MPC, India",,,,,,,,,,,,2064.7534,,,,,,1383.9121,,,,
"Ta'izz 50MPC, Ethiopia-Yemen",,,,,,,,,,,,3204.1726,,,,,,1605.8529,,,,
"Chengdu 50MPC, China",,,,,,,,,,,,6741.377,,,,,,4965.026,,,,
"Santiago 50MPC, Brazil-Argentina-Chile",,,,,,,,,,,,3286.2234,,,,,,2655.0593,,,,
"Douala 50MPC, Nigeria-Cameroon",,,,,,,,,,,,3508.8262,,,,,,2409.938,,,,
"Nairobi 50MPC, Tanzania-Kenya",,,,,,,,,,,,3770.3296,,,,,,2952.8457,,,,
"Jieyang 50MPC, China",,,,,,,,,,,,6012.938,,,,,,3848.1511,,,,
"Prayagraj 50MPC, India",,,,,,,,,,,,3065.3555,,,,,,1934.3047,,,,
"Toronto 50MPC, USA-Canada",,,,,,,,,,,,1662.1442,,,,,,1441.7218,,,,
"Sydney 50MPC, Australia-Papua New Guinea-Indonesia",,,,,,,,,,,,1710.7739,,,,,,1224.337,,,,
"Dallas 50MPC, USA",2103.985901937184,2001.2158360642716,0.05135381402689023,2098.4575029002217,0.0026345060737810876,1332.2787624511016,1254.2098417309205,0.062245501607959816,1269.1679175071934,0.0497261584328935,874.4264164008848,961.3637,801.1074871169307,0.09152196236215233,784.1705629797971,0.11509722206113092,731.6415173654221,831.26697,656.2966602802774,0.11480304814132085,626.6650412874402,0.16751608780077312
"Damascus 50MPC, Syria-Turkey-Lebanon",,,,,,,,,,,,6486.0547,,,,,,4429.8037,,,,
"Huizhou 50MPC, China",,,,,,,,,,,,2944.0269,,,,,,1838.3512,,,,
"Belo Horizonte 50MPC, Brazil",,,,,,,,,,,,2961.0496,,,,,,2244.0146,,,,
"Kampala (Outer) 50MPC, Uganda-Ethiopia-South Sudan",,,,,,,,,,,,1980.2318,,,,,,1129.9946,,,,
"Indore 50MPC, India",,,,,,,,,,,,4778.215,,,,,,3344.5913,,,,
"Lanzhou 50MPC, China",,,,,,,,,,,,3601.7847,,,,,,2316.7131,,,,
"Wuhan 50MPC, China",,,,,,,,,,,,7568.5044,,,,,,5939.018,,,,
"Miami 50MPC, USA-Haiti-Cuba",,,,,,,,,,,,2740.0276,,,,,,1833.7449,,,,
"Comilla 50MPC, Bangladesh",,,,,,,,,,,,3143.49,,,,,,2017.0763,,,,
"Liuzhou 50MPC, China",,,,,,,,,,,,2874.388,,,,,,1738.6334,,,,
"Los Angeles 50MPC, USA",4423.981261757871,4395.560757371497,0.006465728937704223,4749.628902385787,-0.06856275454790585,3485.103219478832,3428.3806240560457,0.016545011083302415,3573.0453406912357,-0.024612651905332468,2548.3105602121113,2603.2004,2477.6085729436,0.028536383043150235,2546.264355552707,0.0008036104558201607,2113.5224635249606,2244.399,2051.136514830545,0.030415307924821233,2096.610584194291,0.008066294932479724
"Mirzapur 50MPC, India",,,,,,,,,,,,2935.031,,,,,,2052.821,,,,
"Karachi (Center) 50MPC, Pakistan",,,,,,,,,,,,15450.978,,,,,,13103.0,,,,
"Karachi (Outer) 50MPC, Pakistan-India-China",,,,,,,,,,,,7437.266,,,,,,6311.832,,,,
"Lyon 50MPC, France-Spain",,,,,,,,,,,,1753.3627,,,,,,1193.5458,,,,
"Myitkyina 50MPC, India-China-Myanmar",,,,,,,,,,,,1609.0762,,,,,,899.33606,,,,
"Kampala (Center) 50MPC, Kenya-Uganda",,,,,,,,,,,,1402.3682,,,,,,1126.2914,,,,
"Bamako 50MPC, Ivory Coast-Burkina Faso-Mali",,,,,,,,,,,,2521.6536,,,,,,1848.0402,,,,
"Kinshasa 50MPC, Democratic Republic of the Congo-Angola",,,,,,,,,,,,14021.9,,,,,,11676.861,,,,
"Guayaquil 50MPC, Ecuador-Peru-Colombia",,,,,,,,,,,,4372.9443,,,,,,3229.4966,,,,
"Fuzhou (Fujian Sheng) 50MPC, China",,,,,,,,,,,,4276.263,,,,,,3043.21,,,,
"Kuala Lumpur 50MPC, Malaysia-Indonesia",,,,,,,,,,,,3773.1611,,,,,,3099.0486,,,,
"Jeddah 50MPC, Saudi Arabia-Yemen-Sudan",,,,,,,,,,,,5178.268,,,,,,3614.5522,,,,
"Asyut 50MPC, Egypt-Sudan-Democratic Republic of the Congo",,,,,,,,,,,,3323.378,,,,,,1848.8668,,,,
"Tehran 50MPC, Iran-Iraq",,,,,,,,,,,,6222.856,,,,,,4106.0713,,,,
"Amman 50MPC, Egypt-Saudi Arabia-Jordan",,,,,,,,,,,,7152.5186,,,,,,5351.67,,,,
"Manaus 50MPC, Brazil-Peru-Bolivia",,,,,,,,,,,,2917.1746,,,,,,2092.0427,,,,
"Luanda 50MPC, Democratic Republic of the Congo-Angola-Congo",,,,,,,,,,,,6834.2217,,,,,,5323.3525,,,,
