longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Historical Congressional District GA-2, 20th Congress, USA",0.007156847764083939,0.7446421660785396,7.108519294542488,0.7356290517223613,2.1497861666939024,0.7890299223489056,23.334532904885396,0.4702276406753424,15.331774621091744,0.15099552270632888,0.4377470655066187,0.9834190298972563,1.0
"Historical Congressional District PA-2, 98th-102nd Congress, USA",0.07360026644815752,1.0,1.5080320820776987,0.9985337008245642,0.4052315964504383,1.0,12.183285307575407,0.8600829833689598,8.035917353421123,0.8177836888362306,0.9992183552163842,1.0,1.0
"Historical Congressional District VA-6, 13th-17th Congress, USA",0.003963648636431891,0.5582336407030222,9.64215022894231,0.38223048599870696,3.580846717472524,0.18781953990838518,50.46144164311136,0.016371906624420528,48.02208337868602,0.10257935042394994,0.2465956077415996,0.9809201197485905,1.0
"Historical Congressional District IA-6, 98th-102nd Congress, USA",0.017815807458325415,0.6444929041666954,8.279755177115838,0.7081524692674404,2.7881009804649968,0.27200579682229575,59.89682972177421,0.06884872999603303,55.7653590213005,0.27363911478299197,0.5536075503844984,0.9288758420962637,1.0
"Historical Congressional District OH-4, 28th-29th Congress, USA",0.018267524150788864,0.6360539458018577,8.226693952668121,0.5783895631986676,2.595282317510566,0.3377714667174406,36.66734873564737,0.2458966000564325,27.059840541541462,0.16968874615508267,0.4288724854689999,0.9810919535135261,1.0
"Historical Congressional District HI-1, 92nd-97th Congress, USA",0.034747815882325686,0.9489773204487719,2.539348794731115,0.9766480711022175,0.5968565061511091,1.0,9.907355410643614,0.16817244077683716,17.30249809780734,0.5485857444071587,0.813354524593078,1.0,1.0
"Historical Congressional District WI-10, 58th-62nd Congress, USA",0.01898908479075809,0.5969039977393394,10.631874251985549,0.4928377953045344,3.9731197708124326,0.09433892908096335,74.79579155609582,0.2669693133702912,39.34143236825171,0.1474703059643495,0.32800634632527226,0.9006236150718521,0.99846791199284
"Historical Congressional District IL-9, 93rd-97th Congress, USA",0.10842146943881108,1.0,1.3989113521421948,1.0,0.39301170801689955,1.0,18.97558592138835,0.0,33.30309357600006,0.95354239669689,1.0,1.0,1.0
"Historical Congressional District SC-1, 13th-14th Congress, USA",0.011746715998621945,0.7692777937374318,8.756293851978457,0.7321459350761276,1.7986369664155173,0.8703636885952313,19.372584947301515,0.2620419419706981,20.719987332293606,0.2455341322852128,0.5922999111014386,0.9678626791649138,0.9979347741216339
"Historical Congressional District SC-1, 15th-17th Congress, USA",0.011746715998621945,0.7692777937374318,8.756293851978457,0.7321459350761276,1.7986369664155173,0.8703636885952313,19.372584947301515,0.2620419419706981,20.719987332293606,0.2455341322852128,0.5922999111014386,0.9678626791649138,0.9979347741216339
"Historical Congressional District SC-1, 18th-27th Congress, USA",0.011746715998621945,0.7692777937374318,8.756293851978457,0.7321459350761276,1.7986369664155173,0.8703636885952313,19.372584947301515,0.2620419419706981,20.719987332293606,0.2455341322852128,0.5922999111014386,0.9678626791649138,0.9979347741216339
"Historical Congressional District MS-2, 99th-102nd Congress, USA",0.0059530013426051685,0.6054927777420215,9.52286586764465,0.5163040979762966,3.7944302849726346,0.24665780932503378,55.637048139624866,0.04057750480411177,61.70638827918855,0.11239713684306862,0.3223156422971305,0.859273714228762,0.9999924922137234
"Historical Congressional District OK-6, 64th-72nd Congress, USA",0.011229359333485203,0.6414636725610822,9.026214787023157,0.6807728029278969,2.3038027233512683,0.33445750227592486,49.88021678766543,0.009814063836243758,39.81288595342947,0.17945202677667693,0.42706385391839596,0.9401770369268941,0.999905247154364
"Historical Congressional District OK-6, 73rd-77th Congress, USA",0.011231760672700448,0.6416008461812621,9.022656948172655,0.6809183825980983,2.3005493161937984,0.3345290242472321,49.87195124869368,0.009816162521988065,39.797486108944405,0.17948117322404655,0.4271332172706255,0.9402964068036305,0.9999052317646865
"Historical Congressional District OK-6, 78th-82nd Congress, USA",0.011231760672700448,0.6416008461812621,9.022656948172655,0.6809183825980983,2.3005493161937984,0.3345290242472321,49.87195124869368,0.009816162521988065,39.797486108944405,0.17948117322404655,0.4271332172706255,0.9402964068036305,0.9999052317646865
"Historical Congressional District TX-6, 66th-72nd Congress, USA",0.021924426360487227,0.729623826254622,8.76346878013828,0.668500482038043,3.066097214215004,0.541396598813197,36.15515720035123,0.0,66.89612355136276,0.16679769763425567,0.45643965303745493,0.9276553119058055,1.0
"Historical Congressional District TX-6, 73rd Congress, USA",0.021924426360487227,0.729623826254622,8.76346878013828,0.668500482038043,3.066097214215004,0.541396598813197,36.15515720035123,0.0,66.89612355136276,0.16679769763425567,0.45643965303745493,0.9276553119058055,1.0
"Historical Congressional District NY-9, 66th-67th Congress, USA",0.04873147869325336,1.0,2.5575734580359457,1.0,0.27361882384025116,1.0,8.636242758704054,0.9591022799713709,6.641211185353734,1.0,1.0,1.0,1.0
"Historical Congressional District NY-9, 68th-72nd Congress, USA",0.04873147869325336,1.0,2.5575734580359457,1.0,0.27361882384025116,1.0,8.636242758704054,0.9591022799713709,6.641211185353734,1.0,1.0,1.0,1.0
"Historical Congressional District NY-9, 73rd-78th Congress, USA",0.04873147869325336,1.0,2.5575734580359457,1.0,0.27361882384025116,1.0,8.636242758704054,0.9591022799713709,6.641211185353734,1.0,1.0,1.0,1.0
"Historical Congressional District OK-6, 83rd-90th Congress, USA",0.010924034855695569,0.6136615897608312,9.59384932694088,0.6495668433681671,2.7741970700703487,0.05631727053751952,83.18429362111227,0.009830652106831485,62.97573328307796,0.1951082281803328,0.4390933887675206,0.876107313299574,0.9944649611035655
"Historical Congressional District NY-23, 91st Congress, USA",0.14739229011558713,1.0,1.151591700531638,1.0,0.25205514403664386,1.0,10.491412585687451,0.53875828756974,9.543077270209496,0.9924335249804132,1.0,1.0,1.0
"Historical Congressional District OH-20, 98th-99th Congress, USA",0.03395480574069414,1.0,2.895114579648074,0.9731857851910622,0.7201988251060579,1.0,11.55381739752816,0.0,39.42154648895387,0.45513901705055404,0.8913832832254667,1.0,1.0
"Historical Congressional District OH-8, 91st-92nd Congress, USA",0.01689251866095874,0.7759709595405622,6.181423050780766,0.6290506199038912,2.3116920959465,0.0,75.05775995198195,0.0,63.70810598965392,0.1802863569345018,0.4496946042208264,0.9955165791962911,1.0
"Historical Congressional District IL-18, 90th-92nd Congress, USA",0.02060958558096375,0.61748867325873,9.363012737939679,0.7651265685400627,1.7481884974667081,0.7382310424296726,24.550961473492563,0.0319319425649931,62.93589855646132,0.15625313833489707,0.38148496131120035,0.9527805484372641,1.0
"Historical Congressional District NY-33, 98th-102nd Congress, USA",0.03728137622521856,0.9777644813868495,3.1315979396246716,0.9406883423507506,0.8137368086869926,1.0,9.330623416876513,0.03522337166698239,24.3195705057509,0.4148989905621432,0.797045170213539,1.0,1.0
"Historical Congressional District MO-6, 50th-52nd Congress, USA",0.020646437049618403,0.5692800880128691,12.20324956295109,0.5348885047057301,3.345073851684446,0.4046142040937078,48.146383752305354,0.0,85.51607213896153,0.15575002025056583,0.3857965798698385,0.9586346028608085,1.0
"Historical Congressional District OH-20, 100th-102nd Congress, USA",0.03367591896672623,1.0,2.898755461206771,0.9731233008451851,0.7191326280871522,1.0,11.550570833199892,0.0,39.399928172691894,0.45444266995936344,0.891259339208464,1.0,1.0
"Historical Congressional District PA-21, 93rd-97th Congress, USA",0.014354552670897976,0.8282334760691887,6.703445071791936,0.6650773711618051,1.9336762630738453,0.5911392727180191,25.386575668593206,0.08900286165726276,31.97021768529836,0.15768797070911078,0.43706454689702756,1.0,1.0
"Historical Congressional District MA-1, 88th-90th Congress, USA",0.022756655882304962,0.7136351751282485,6.836687820600919,0.6508703770978483,1.9396265949836398,0.16919769812272514,47.31154253517618,0.12080459264778362,26.027982779028026,0.20035746465113136,0.41589849364338805,0.9811635219083695,1.0
"Historical Congressional District MD-4, 3rd-7th Congress, USA",0.01888970869583886,0.691425702067791,7.750175247330144,0.698784224069309,1.9362933241228406,0.0,66.3873167479809,0.63442261056295,10.610541635805877,0.1804354486160059,0.4648951105950022,0.9967286113426125,1.0
"Historical Congressional District MD-4, 8th-22nd Congress, USA",0.01888970869583886,0.691425702067791,7.750175247330144,0.698784224069309,1.9362933241228406,0.0,66.3873167479809,0.63442261056295,10.610541635805877,0.1804354486160059,0.4648951105950022,0.9967286113426125,1.0
"Historical Congressional District MA-11, 48th-52nd Congress, USA",0.02003721162109648,0.7444638067533573,6.324201329562322,0.6925928754417268,1.7223907536256673,0.1087660346531331,42.57860059573022,0.006530729372776902,26.15881441649729,0.20320890749575093,0.44064566074800826,0.9918156330984652,1.0
"Historical Congressional District TX-17, 66th-72nd Congress, USA",0.008626747879053182,0.6245296293039208,10.156382005978758,0.5985568355912669,3.342915687623978,0.39370895104441966,51.95755078687532,0.0,149.92578933451762,0.1607958018679213,0.4133822968678038,0.8989561179621397,0.9970395792353298
"Historical Congressional District TX-17, 73rd Congress, USA",0.008626747879053182,0.6245296293039208,10.156382005978758,0.5985568355912669,3.342915687623978,0.39370895104441966,51.95755078687532,0.0,149.92578933451762,0.1607958018679213,0.4133822968678038,0.8989561179621397,0.9970395792353298
"Historical Congressional District OH-14, 90th Congress, USA",0.04223759602737454,0.8576450929020432,5.132963213774346,0.82382865660035,1.1511271788816608,0.8889665515613283,21.385571026367224,0.49796328355721786,10.485267493535561,0.2614439469061667,0.6789941015022916,1.0,1.0
"Historical Congressional District OH-18, 93rd-97th Congress, USA",0.009583936655811552,0.5312902859973107,10.2545365841459,0.5188246267361312,2.904872453896096,0.004096586871943472,53.59262343389896,0.3161685571913615,19.004036800900373,0.1490070411710267,0.3529554953840587,0.9746060386289779,1.0
"Historical Congressional District IN-3, 63rd-72nd Congress, USA",0.011927177032174826,0.680149441677006,7.476351664618859,0.5111618303364752,2.858681023617045,0.4153395307494306,43.76713526057023,0.029832780874428252,36.41039553804529,0.16050983143753783,0.3968511514836114,0.9696926408172074,1.0
"Historical Congressional District IL-21, 54th-57th Congress, USA",0.0161522923246943,0.7423304644210887,6.908705898900156,0.7532642849369372,1.8039957449005193,0.6426432893155595,30.082284375625512,0.07032887135278822,27.99042307198328,0.17146657690767475,0.41181863665150786,0.985915552434505,1.0
"Historical Congressional District MI-7, 93rd-97th Congress, USA",0.026435724919077728,0.5631359369567737,9.702373885059023,0.7126619538764631,1.742713634646606,0.959450689535288,14.059113482668907,0.030246842044269324,21.802329146266107,0.17689256516306862,0.47950589563292434,1.0,1.0
"Historical Congressional District NY-19, 93rd Congress, USA",0.1684163798139601,1.0,0.7696682420816934,1.0,0.19277046170105838,1.0,7.32284483608729,1.0,3.7775125819911675,0.9988295641902701,1.0,1.0,1.0
"Historical Congressional District NY-19, 94th-97th Congress, USA",0.1684163798139601,1.0,0.7696682420816934,1.0,0.19277046170105838,1.0,7.32284483608729,1.0,3.7775125819911675,0.9988295641902701,1.0,1.0,1.0
"Historical Congressional District MS-4, 45th Congress, USA",0.006593843080705851,0.5748190879854945,9.679113778935747,0.397874269338051,4.364719497939491,0.4559608798781322,36.51960204661581,0.04093098099409442,51.097244488806865,0.0950341095584013,0.2690897596915438,0.9202895993209204,0.999996963288937
"Historical Congressional District MS-4, 46th-47th Congress, USA",0.006593843080705851,0.5748190879854945,9.679113778935747,0.397874269338051,4.364719497939491,0.4559608798781322,36.51960204661581,0.04093098099409442,51.097244488806865,0.0950341095584013,0.2690897596915438,0.9202895993209204,0.999996963288937
