longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"Smithton Community Consolidated School District 130, Illinois, USA",0.9335693461057892,0.013744273219491879,0.007496876301541024,0.0058309037900874635,0.0014577259475218659,0.00020824656393169514,0.03769262807163682,0.8819601911891551,0.06625599817916933,0.028694275998370104
"Mechanicsburg Exempted Village School District, Ohio, USA",0.9373047281816288,0.011455946677775464,0.007081857946261196,0.0012497396375755051,0.002082899395959175,0.0,0.04082482816079983,0.8889077715681521,0.06817787768333851,0.011111964694020614
"Blacklick Valley School District, Pennsylvania, USA",0.9562408835173994,0.007293186080433424,0.0062513023546572205,0.0,0.000625130235465722,0.0,0.029589497812044178,0.9218610583673552,0.07325250519013883,0.0054940728129960915
"South Newton School Corporation, Indiana, USA",0.8636363636363636,0.09153461217681401,0.0025020850708924102,0.0022935779816513763,0.0025020850708924102,0.0,0.03753127606338615,0.7819879749565353,0.10190675915649058,0.02974677352968665
"Adair Public Schools, Oklahoma, USA",0.6579770594369134,0.03295099061522419,0.0020855057351407717,0.003962460896767466,0.181021897810219,0.0008342022940563086,0.12116788321167885,0.5535213907115285,0.1394099428774189,0.06804748913650308
"Loma Prieta Joint Union Elementary School District, California, USA",0.7795160617438465,0.09324155193992491,0.003337505214851898,0.04338756779307468,0.0010429703796412183,0.0012515644555694619,0.07822277847309136,0.6678880730669581,0.11589038457636648,0.03296017687569212
"Whitehall Central School District, New York, USA",0.9279899812147777,0.024003339595074096,0.0031308703819661866,0.0033395950740972655,0.0029221456898351076,0.0,0.03861406804424963,0.8808461817393505,0.13401875659576082,0.06882640784417036
"Barnwell School District 29, South Carolina, USA",0.4931106471816284,0.028392484342379957,0.43298538622129434,0.003131524008350731,0.004801670146137787,0.00020876826722338206,0.037369519832985386,0.6197294544734723,0.3298571298200082,0.19622304531161514
"Preston School District, Connecticut, USA",0.8577694235588973,0.042606516290726815,0.011278195488721804,0.02422723475355054,0.005639097744360902,0.0,0.05847953216374269,0.7777035081818416,0.1399186280105826,0.0786220507385001
"Central City Public Schools, Nebraska, USA",0.9055578771416631,0.040952778938570834,0.0058503969912244045,0.00459674049310489,0.0035520267446719597,0.0,0.03949017969076473,0.8455059386329337,0.12310904651754885,0.01776068752568798
"Amboy Community Unit School District 272, Illinois, USA",0.9180773249738767,0.0438871473354232,0.00522466039707419,0.003970741901776384,0.0008359456635318704,0.0002089864158829676,0.027795193312434692,0.8704913782556244,0.15574503185155109,0.02649756639464335
"Cossatot River School District, Arkansas, USA",0.7450365726227796,0.1588296760710554,0.0020898641588296763,0.0014629049111807733,0.0225705329153605,0.0006269592476489029,0.06938349007314525,0.7290949694772841,0.346876911165517,0.1177685998807363
"East Prairie School District 73, Illinois, USA",0.44346917450365725,0.11682340647857889,0.051201671891327065,0.3508881922675026,0.0,0.0,0.037617554858934164,0.35600197183055005,0.026590470346245135,0.09532873467274723
"Pocahontas Area Community School District, Iowa, USA",0.9381270903010034,0.026337792642140468,0.006270903010033445,0.002926421404682274,0.0016722408026755853,0.0,0.02466555183946488,0.902981330064147,0.1800048834322415,0.019957510027546334
"Duanesburg Central School District, New York, USA",0.9148891677122543,0.03262233375156838,0.004182350480970306,0.0027185278126306985,0.0012547051442910915,0.0,0.044332915098285235,0.8695790066255908,0.18496713892954,0.028430671676221028
"Dansville Schools, Michigan, USA",0.9058774314996862,0.03346580213344488,0.00418322526668061,0.003137418950010458,0.004601547793348672,0.0006274837900020916,0.04810709056682702,0.8465459797524181,0.1293704408956222,0.020693319396255454
"Eagle Grove Community School District, Iowa, USA",0.768103809125157,0.19317706153202177,0.007743825868564253,0.0023022185014650483,0.0008371703641691084,0.0004185851820845542,0.027417329426538302,0.674809184193468,0.131383718020188,0.04536545808292891
"Arcohe Union Elementary School District, California, USA",0.5888633033284488,0.26041448607912915,0.02323634079966506,0.04940339124973833,0.008582792547624032,0.0033493824576093785,0.06615030353778523,0.49759025637863935,0.13130468514748644,0.060491002074393334
"Avon School District, Massachusetts, USA",0.6355453213313795,0.06510362151978229,0.18568138999371991,0.041029935105714885,0.0010466820180029307,0.0,0.07159305003140046,0.46130075237424106,0.025033962054390426,0.11896026700758944
"Hazard Independent School District, Kentucky, USA",0.8699748743718593,0.01256281407035176,0.04376046901172529,0.019472361809045227,0.0016750418760469012,0.0,0.05255443886097152,0.7732852075914519,0.04385546199494518,0.014190628877944284
"Vandercook Lake Public Schools, Michigan, USA",0.8858877721943048,0.032244556113902846,0.019262981574539362,0.00628140703517588,0.0016750418760469012,0.00020938023450586265,0.05443886097152428,0.7957766039083819,0.039750021448089354,0.0542914499895503
"Eden Valley-Watkins School District, Minnesota, USA",0.9449214659685864,0.02429319371727749,0.002513089005235602,0.0014659685863874345,0.0035602094240837698,0.0002094240837696335,0.023036649214659685,0.9037220765396689,0.08103443585599175,0.010545655565424404
"Interstate 35 Community School District, Iowa, USA",0.9359028068705488,0.01717637201508169,0.0018852115626309175,0.003979891076665271,0.0006284038542103058,0.0,0.040427314620863006,0.8957772673885956,0.15186728359723628,0.01795689376843075
"New Diana Independent School District, Texas, USA",0.7749842866121935,0.0783574271946365,0.07291011942174733,0.004609260423213911,0.006285355122564425,0.0,0.06285355122564425,0.6694505327879912,0.13946041662505912,0.056164569064243
"Herman-Neosho-Rubicon School District, Wisconsin, USA",0.9394383906119028,0.0249371332774518,0.0016764459346186086,0.002514668901927913,0.0018860016764459346,0.0006286672254819782,0.028918692372170998,0.8974519072134038,0.10946586880313941,0.013659448916926251
"Westfield Central School District, New York, USA",0.9073375262054507,0.04591194968553459,0.0041928721174004195,0.007756813417190775,0.0018867924528301887,0.0006289308176100629,0.03228511530398323,0.8508700044998319,0.13747746304930922,0.027922050844256623
"Elba City School District, Alabama, USA",0.6197567114093959,0.01971476510067114,0.30956375838926176,0.00041946308724832214,0.010486577181208054,0.0,0.040058724832214766,0.6517323092864179,0.32865313276962493,0.16439179414758603
"St. Henry Consolidated Local School District, Ohio, USA",0.9658137583892618,0.01740771812080537,0.0014681208053691276,0.0025167785234899327,0.0,0.004404362416107382,0.008389261744966443,0.9375040831298478,0.07293460874408819,0.006418499856633955
"Cooper Independent School District, Texas, USA",0.7950492972519404,0.07803650094398994,0.06335221313194882,0.007551919446192574,0.008181246066708621,0.0010488777008600798,0.046779945458359555,0.7031887044990012,0.16615071962836367,0.061755042684332996
"Stockdale Independent School District, Texas, USA",0.6159009859450388,0.3327040067128173,0.008391021606880638,0.0035661841829242712,0.003775959723096287,0.0,0.03566184182924271,0.5794986798575101,0.1730238985778692,0.08484250177630305
