longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",9.271225085713093,0.21373258087924352,0.7520806965605182,0.010999460583983217,0.0004293335532600153,0.0155737469651107,0.007184181457884258
"Astoria Neighborhood, New York City, New York, USA",7.698213650749939,0.6423259565389507,0.13485682593352735,0.030375509602143722,0.15510573824609902,0.013231108386504204,0.024104861292774976
"Bedford Stuyvesant Neighborhood, New York City, New York, USA",7.5511138324576,0.7226967784540241,0.14474207909363743,0.02139288135550885,0.0771090578318894,0.010624677630689678,0.02343452563425035
"Enterprise Neighborhood, Las Vegas City, Nevada, USA",6.49563562010363,0.6932470794056572,0.27489925073645466,0.016536124868909957,0.00080959147939074,0.007988365091230312,0.006519588418357195
"Paradise Valley Neighborhood, Phoenix City, Arizona, USA",9.111794675712224,0.19268701551638104,0.7718064536199083,0.010708941260405858,0.0011767686978088531,0.01654603078252479,0.007074790122971301
"North Mountain Neighborhood, Phoenix City, Arizona, USA",9.614868881676431,0.23497839821311436,0.7330482515320873,0.009014049435515564,0.0,0.010603422786669163,0.012355878032613666
"Far North Neighborhood, Dallas City, Texas, USA",8.181359446426615,0.23969851411297258,0.7495210975665529,0.0035351712518339284,0.0013160126557921913,0.0015682997299292691,0.004360904682919223
"Williamsburg Neighborhood, New York City, New York, USA",7.664781558551751,0.6432542384212339,0.2393084000488785,0.0272724228659718,0.05773437444620319,0.010497000526921202,0.02193356369079156
"Washington Heights Neighborhood, New York City, New York, USA",7.405545308176019,0.5023630795178824,0.13559388793174718,0.015530945021878574,0.295388659404607,0.025644772822881502,0.025478655301003347
"Southeast Dallas Neighborhood, Dallas City, Texas, USA",7.840547781988733,0.4081244117755049,0.5765647579301938,0.008735766045529716,0.0008558355238899856,0.0017841851244066438,0.003935043600475088
"Alhambra Neighborhood, Phoenix City, Arizona, USA",9.544765915544101,0.27627696643340155,0.6945831874067915,0.011128715419028939,0.00032491716281671566,0.005221936630672934,0.012464276947288376
"Camelback East Neighborhood, Phoenix City, Arizona, USA",9.595178644546335,0.23657752093456505,0.7402488061785552,0.00975183071241275,0.0002574241026568584,0.005724812726361792,0.007439605345448237
"Hollywood Neighborhood, Los Angeles City, California, USA",11.40378267853589,0.4951034068546924,0.4178760850391867,0.022406907417763123,0.0005632730520030298,0.005972535112839969,0.05807779252351462
"East Side Neighborhood, El Paso City, Texas, USA",7.589105604924475,0.7606472225290914,0.2177097523644385,0.012446309193191457,0.00027482198513035144,0.0058519533914409465,0.003069940536707186
"Jamaica Neighborhood, New York City, New York, USA",7.785189199610401,0.8322532487340359,0.05102855687143534,0.01490739717209107,0.07182968247847037,0.009316619240920984,0.020664495503046377
"Roosevelt Neighborhood, Fresno City, California, USA",14.422814567967889,0.5777261268703044,0.3629551159202201,0.021430736045891286,0.001039727670806454,0.02680552618780143,0.01004276730497623
"Crown Heights Neighborhood, New York City, New York, USA",7.659579843651387,0.6864388126543586,0.11873647898122651,0.026287140665686052,0.1265116776902101,0.019199786159235826,0.022826103849282818
"Flatbush Neighborhood, New York City, New York, USA",7.485480932275204,0.8223211128429361,0.058778436581800306,0.023358720690242137,0.068419385382012,0.011502774796503069,0.015619569706506286
"North Scottsdale Neighborhood, Scottsdale City, Arizona, USA",8.901967358996142,0.3179243584854392,0.6634526313662737,0.008865207888438071,0.0005126350125914859,0.006436444559920692,0.002808722687336755
"Harlem Neighborhood, New York City, New York, USA",7.4487226569246,0.5788199752726519,0.15722060367454807,0.03243396539069886,0.18473027587139995,0.02159813087829623,0.025197048912404808
"South Mountain Neighborhood, Phoenix City, Arizona, USA",9.435589451308662,0.18231716616200958,0.7921211181802851,0.010160211731035386,0.0,0.00423634699493459,0.011165156931735467
"East Harlem Neighborhood, New York City, New York, USA",7.712061083195919,0.6427262248927686,0.14764847041928844,0.017553804584018288,0.14286794021502947,0.01734595544470268,0.031857604444192514
"Williamsbridge Neighborhood, New York City, New York, USA",7.289589083108579,0.47406355370103664,0.11237574673268458,0.028135455838484376,0.3384663006829811,0.01659821123159653,0.0303607318132168
"South Side Neighborhood, Corpus Christi City, Texas, USA",7.328484058550501,0.11073340759509026,0.8817260820008576,0.0014388909674589543,0.00019753444219186653,0.000548706783866296,0.005355378210535046
"Bushwick Neighborhood, New York City, New York, USA",7.69736876362679,0.7359612756003255,0.1415566668753339,0.03758793480103764,0.05751310066087143,0.007366213890282119,0.020014808172149262
