longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Nez Perce Reservation, USA",0.9169352186780664,0.16731338375534383,0.041894113778362434,0.08017099638276895,0.0689904636632688,0.018151923709306184,0.0051537005963067095,0.024836941035015825,-0.0076393037742244
"Fort Apache Reservation, USA",0.7133264733639554,0.08414615343048673,0.028523270347661438,0.03320713152093036,0.04557826958286361,0.0053607523266926745,-0.000611028161878413,0.060035938956059146,-0.006061967055899498
"Gila River Indian Reservation, USA",0.7197077655498474,0.05387332640042965,0.008205264980244816,0.014287602281758571,0.017311428706407485,0.022274295412263608,-0.01612040210783805,-0.006785198243906838,0.014394875920846005
"Southern Ute Reservation, USA",0.9322276054022165,0.29034688036284223,0.09532571340147829,0.1487992830418882,0.10177523960860219,0.03977235771235173,0.0439496570344059,0.0820425254870138,0.047459581805688364
"Leech Lake Reservation and Off-Reservation Trust Land, USA",0.9216614795301573,0.2004047702586291,0.06234825843546628,0.07545391499531927,0.09287207433138682,0.032078780931922915,0.06111504787781641,0.057968380626998384,0.0011711007996715872
"Santa Clara Pueblo and Off-Reservation Trust Land, USA",0.8539353264185479,0.20939597315436242,0.08700427089688835,0.09957291031116534,0.07053081147040882,0.039292251372788266,-0.0105423885472411,0.033071495717294064,0.005708130051413407
"Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.8941219621862697,0.16067618536902398,0.04161864845044285,0.06484030664391373,0.07359417418591509,0.022241704539195065,0.0035662245007220816,0.031616389390971694,-0.007820212214779625
"Tulalip Reservation and Off-Reservation Trust Land, USA",0.905022250476796,0.199745708836618,0.0690400508582327,0.0887476160203433,0.08391608391608397,0.027082008900190715,0.009048589489739856,0.004443365386330611,-0.02066579055335796
"Blackfeet Indian Reservation and Off-Reservation Trust Land, USA",0.8795023359458305,0.2020840984242467,0.058519599622360065,0.06765164051733588,0.10272751942366133,0.031704938483249706,0.05284545301760002,0.08635553571864579,0.046251062746419436
"Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.8048252241393448,0.12966452088225172,0.0586256351597034,0.043370944375023854,0.0693078294616128,0.016985747045615052,0.027371153009393745,0.03471063531129359,0.0476156746365095
"San Carlos Reservation, USA",0.7716708542713568,0.03768844221105528,0.008636934673366835,0.011620603015075379,0.021356783919597992,0.00471105527638191,0.10707179652285914,0.029053674914911218,0.01567036151228038
"Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.8929756886247356,0.1706785491988792,0.05276384620034877,0.06898418462483213,0.07335474184792772,0.028339622726119104,0.004161394640731397,0.04568340290666936,0.02050454164360538
"White Earth Reservation and Off-Reservation Trust Land, USA",0.884843295543139,0.1385553012793785,0.04158269179614222,0.05222010998128861,0.06742311930423146,0.018912071993858366,0.031152280797927534,0.0611264870091103,0.011197456066649167
"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.7755668849720043,0.06679879573228654,0.022280249320496437,0.01840724599366059,0.038617413751684815,0.009774135986941145,0.03963752527780828,0.024234261622897935,0.033513483086381426
"Eastern Cherokee Reservation, USA",0.8681923721474654,0.15575337206528642,0.053914731077579284,0.05292140605763776,0.07770170573087794,0.025130260276770733,-0.017543056838526527,0.12329501473328733,0.03866166430531727
"Colorado River Indian Reservation, USA",0.8177134792809304,0.09256133753998981,0.029702732837645025,0.02237462913907595,0.05436754133961851,0.01581916706129542,0.0684656574420075,0.04983463981145447,0.01685305607897391
