longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Deer Valley Unified District, Arizona, USA",0.7290030301451045,1.0
"San Jose Unified School District, California, USA",1.0,1.0
"Paradise Valley Unified District, Arizona, USA",1.0,1.0
"Cherokee County School District, Georgia, USA",0.33640012002100367,1.0
"Mount Diablo Unified School District, California, USA",0.9790990450102254,1.0
"St. Tammany Parish School District, Louisiana, USA",0.8956722228521752,1.0
"Fullerton Joint Union High School District, California, USA",1.0,1.0
"Harford County Public Schools, Maryland, USA",0.6852570097039751,1.0
"Sequoia Union High School District, California, USA",0.999489147260024,1.0
"West Contra Costa Unified School District, California, USA",0.9990020882939948,1.0
"Township High School District 214, Illinois, USA",0.9987181423520345,1.0
"Riverside Unified School District, California, USA",0.9289511088611538,1.0
"Pasadena Independent School District, Texas, USA",1.0,1.0
"Peoria Unified School District, Arizona, USA",0.9322215902989616,1.0
"Forsyth County School District, Georgia, USA",0.7166023965011561,1.0
"Meridian Joint School District 2, Idaho, USA",0.9280708196302564,1.0
"San Mateo Union High School District, California, USA",1.0,1.0
"Chesapeake City Public Schools, Virginia, USA",0.9253193383101731,1.0
"Anoka-Hennepin Public School District, Minnesota, USA",0.8251406024319985,1.0
"Washington Elementary District, Arizona, USA",1.0,1.0
"Clear Creek Independent School District, Texas, USA",0.9957448873932178,1.0
"Corpus Christi Independent School District, Texas, USA",1.0,1.0
"Santa Ana Unified School District, California, USA",1.0,1.0
"Socorro Independent School District, Texas, USA",0.906617021100743,1.0
"Lafayette Parish School District, Louisiana, USA",0.979392189548837,1.0
"Colorado Springs School District 11, Colorado, USA",1.0,1.0
"Henry County School District, Georgia, USA",0.5274631242704816,1.0
"Adams 12 Five Star Schools, Colorado, USA",1.0,1.0
"Township High School District 211, Illinois, USA",0.9939590981469856,1.0
"Spokane Public Schools, Washington, USA",0.9996755852981912,1.0
"Richardson Independent School District, Texas, USA",1.0,1.0
"Fremont Union High School District, California, USA",0.999750359897814,1.0
"Jefferson County School District, Alabama, USA",0.49138849579622074,1.0
"Boulder Valley School District RE-2, Colorado, USA",0.9614629869316521,1.0
