longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Prince George CMA, BC, Canada",2116.8213390236615,1329.379349652976,719.9878535016842,457.9603225288246
"Kawartha Lakes CMA, ON, Canada",1105.4698661290697,683.4753635751368,347.1240434205665,163.4499326946503
"Charlottetown CMA, PE, Canada",1849.680544023645,1087.8764660606425,553.3061396425865,375.001644402103
"Sault Ste. Marie CMA, ON, Canada",2219.7122350868217,1516.8863460833004,987.3075456271563,638.1135043876757
"Medicine Hat CMA, AB, Canada",2188.897625222215,1568.8027937344325,926.496823640067,597.0918886518883
"Wood Buffalo CMA, AB, Canada",3313.511754731558,2170.788583672145,1245.727699716244,699.7515358839522
"North Bay CMA, ON, Canada",2008.3429120747792,1379.2127402376154,691.3856325728276,407.77622829000666
"Vernon CMA, BC, Canada",2453.490810475616,1387.0027749492006,774.4844845133479,494.6338155540821
"Norfolk CMA, ON, Canada",1184.9771289656514,726.6926702975517,345.0541342253664,138.73016221662579
"Grande Prairie CMA, AB, Canada",2802.0559287074275,2038.4166113457356,1233.353955235341,828.8723991165435
"Courtenay CMA, BC, Canada",1791.2861531970432,1175.543066847215,661.336426632767,425.6564104367855
"Cornwall CMA, ON, Canada",2640.629732013212,1883.696970903643,1055.819823547866,589.7062275214793
"Saint-Hyacinthe CMA, QC, Canada",2901.4232912352245,2320.1635412269347,1278.7467223604428,706.2368974478586
"Brandon CMA, MB, Canada",2616.1265219797265,1970.709177708101,1275.2227420799156,782.152040450498
"Rimouski CMA, QC, Canada",2103.4312287099797,1429.586906510097,800.4800394807176,401.6151190835915
"Victoriaville CMA, QC, Canada",2115.8328002924527,1630.9586674185264,1048.255360471087,645.1076144552233
"Joliette CMA, QC, Canada",2429.514598064542,1733.8155058737086,1041.38860802902,666.6583118822782
"Shawinigan CMA, QC, Canada",2133.5996825087022,1447.38458691373,548.1705706429802,298.7657746412305
"Duncan CMA, BC, Canada",2154.714771805003,1095.8394016789289,471.430872763863,275.75286095184043
"Penticton CMA, BC, Canada",2692.1381233549487,1885.59665997322,954.6366780836851,533.2342333574323
"Woodstock CMA, ON, Canada",2801.103117508651,2203.1651012916614,1367.609709184365,778.317253655272
"Truro CMA, NS, Canada",1459.7041340527476,697.0326536973995,329.17704273003443,208.95431039839661
"Prince Albert CMA, SK, Canada",2192.882883500676,1671.621543690542,908.98615068924,530.5807928705535
"Salaberry-de-Valleyfield CMA, QC, Canada",2542.661874162629,1813.2317483090485,1069.907284912928,591.4592201357186
"Rouyn-Noranda CMA, QC, Canada",2064.482167751391,1148.8098307818468,507.93370652700855,240.91255252829004
"Sorel-Tracy CMA, QC, Canada",2218.046563296546,1528.8524486555054,832.6215593648968,512.2031040746641
"Timmins CMA, ON, Canada",2774.4662380992763,1997.8095184404208,858.8802054746284,430.6306712592645
"Campbell River CMA, BC, Canada",2014.6215569312587,1459.3268949992746,738.2028722665444,390.23487358002967
"Moose Jaw CMA, SK, Canada",2186.5770035862697,1696.420599057393,924.1229902704492,559.170580581757
"Saint-Georges CMA, QC, Canada",1848.5090045313375,1298.9721205724425,681.8691406016587,402.8747363446696
"New Glasgow CMA, NS, Canada",1006.5381879155543,619.6726234742272,285.7743048392545,165.9358079913409
"Val-d'Or CMA, QC, Canada",2044.5832259417887,1438.4655776749405,643.1177357203918,305.64862813770014
"Orillia CMA, ON, Canada",2573.6804036530007,1954.692622921651,1035.4053830472146,590.5312683511785
"Stratford CMA, ON, Canada",2791.0636857710533,2039.4888726861386,1285.353028504818,641.9545621770523
"Owen Sound CMA, ON, Canada",1702.9870052670487,1167.8054084947937,682.4923313659679,332.446319711624
"Winkler CMA, MB, Canada",2059.4760954385583,1261.1044469936965,536.7460880268494,210.45351590575268
"Whitehorse CMA, YT, Canada",1812.013174122672,1069.9584510614072,312.05723341567654,168.93852729390716
"Brockville CMA, ON, Canada",1863.154858952138,1362.8393993138063,643.6563250211715,333.1595146463626
"Bathurst CMA, NB, Canada",1124.1664666603947,475.7007838160257,175.21839110578856,97.2926876900756
"Centre Wellington CMA, ON, Canada",1815.842454096128,1270.0044196667332,621.0374141849725,283.3335687621304
"Parksville CMA, BC, Canada",1639.1633581870854,1089.2456883054115,528.0242069502658,277.94625161111895
"Okotoks CMA, AB, Canada",3296.370740843918,2229.2992269377337,1108.9679809114486,595.1029053433637
"Alma CMA, QC, Canada",1998.23039441345,1247.310601334899,719.1873088342192,352.43126875546966
"Rivière-du-Loup CMA, QC, Canada",1778.1294957435814,1123.5693455776454,543.2632628123149,254.11001282151432
"Corner Brook CMA, NL, Canada",1830.1205495641848,1061.6765415671548,397.50716773725395,224.6934268670914
"Fort St. John CMA, BC, Canada",2086.7628976925625,1425.9412033372084,739.0967035390358,334.45667009143773
"Thetford Mines CMA, QC, Canada",1617.070846247046,1117.1289076272399,531.9882874453211,248.77332512793691
"Midland CMA, ON, Canada",1926.252675640578,1360.2327442568876,663.8718811470802,352.0911176748211
"Sept-Îles CMA, QC, Canada",1987.8982043776184,1492.7230618489539,656.0846617673596,282.379617764389
"Miramichi CMA, NB, Canada",965.4691269475164,421.60683728024935,147.29089754470414,85.82795273034503
"Cranbrook CMA, BC, Canada",1890.8684595854997,1311.2870877609,696.7553022051382,322.8326625088004
"Kentville CMA, NS, Canada",1350.86663684481,608.1266581188456,252.53101640713993,159.49919049384746
"Baie-Comeau CMA, QC, Canada",1818.9723108513376,1077.7903366350765,401.9877476910567,162.223088243944
"Port Alberni CMA, BC, Canada",1349.0007046712049,1011.9072516211801,533.564490201682,282.8664712083375
"Wasaga Beach CMA, ON, Canada",1864.6229013381576,874.6238460511486,362.30123875638816,222.99594963483736
"Collingwood CMA, ON, Canada",2343.439180223359,1534.3124099919303,855.0630493019091,416.5517700130032
"Squamish CMA, BC, Canada",2788.0570620804647,1288.8985205787942,492.35469634430683,252.86126548610224
"Pembroke CMA, ON, Canada",1455.7280166602757,987.7897609161633,521.5099071643103,254.83150871664347
"Williams Lake CMA, BC, Canada",1517.3404049966484,639.0423144664636,238.81161795235144,122.90640957870426
"Quesnel CMA, BC, Canada",1123.6857631979042,532.1709961137177,211.28599906382078,114.26656976928896
"Essa CMA, ON, Canada",2084.6535441141305,1163.937944033432,423.6837514474264,209.50438969711252
"Edmundston CMA, NB, Canada",1368.9855025518616,657.441010804156,220.80903740735266,125.90841683290076
"Cobourg CMA, ON, Canada",2362.3698551052757,1552.4874295500952,778.0117587306796,400.65782612950034
"Yellowknife CMA, NT, Canada",2799.67172442837,2086.0772976372646,781.6166547893454,372.5091004887054
"Sainte-Agathe-des-Monts CMA, QC, Canada",1186.6618159979073,640.7197803626552,285.7885433974176,153.6360942221856
"Yorkton CMA, SK, Canada",1645.2429664207061,1263.436837640535,575.3889331688299,258.2271510659657
"Lloydminster (Alberta part / partie de l'Alberta) CMA, AB, Canada",2606.396881965521,1757.004455389555,1181.094384039043,600.3650570282113
"Salmon Arm CMA, BC, Canada",1944.3927009243434,1003.4028992449603,522.2841091285013,252.2233322055628
"Terrace CMA, BC, Canada",1404.672466487802,852.7786486747913,420.12718696338266,194.96626646730027
"North Battleford CMA, SK, Canada",1787.1908952682827,1349.6027666221116,661.498682650958,236.39026612999038
"Nelson CMA, BC, Canada",1751.841492334315,1092.0779823620908,379.46027205357984,149.6162580845867
"Amos CMA, QC, Canada",1378.1229642516325,785.7380284701622,283.03493824513384,124.80064911284464
"Camrose CMA, AB, Canada",1968.67359687832,1376.5774622322747,831.6254346587092,368.50559132138466
"Swift Current CMA, SK, Canada",1689.5691099149076,1311.693280864386,652.9390422155105,293.18357336267826
"Tillsonburg CMA, ON, Canada",2254.6406844643116,1380.426684009742,782.0975475425281,365.8684215727676
"Matane CMA, QC, Canada",1607.7846479870477,1042.8628593754972,388.78468399578765,137.5982173750286
"Petawawa CMA, ON, Canada",1507.5273998344676,1006.0468608816216,549.8251675228165,261.6060802388444
"Summerside CMA, PE, Canada",2114.4802790249146,1158.765723727151,559.060690013049,264.4949504911067
"Dawson Creek CMA, BC, Canada",1212.056246831381,830.8120913014303,401.9277549568687,175.29087451969284
"Powell River CMA, BC, Canada",1288.0566958264212,755.750064292036,311.56484612306474,161.01268976802433
"Steinbach CMA, MB, Canada",2363.7492645687184,1433.3881380973964,827.1812655711618,362.52604950950007
"Port Hope CMA, ON, Canada",1588.713170931595,1006.0463905039984,511.3036880903129,215.3261374950617
"Lloydminster (Saskatchewan part / partie de la Saskatchewan) CMA, SK, Canada",2113.3009619954164,1433.578056198658,807.0931717107194,422.43729005955925
"Sylvan Lake CMA, AB, Canada",2564.499045047139,1727.8147436341399,815.0553769124119,325.8932472116553
"Canmore CMA, AB, Canada",3105.089011737686,1444.7723828082958,593.4237323124686,255.78936292358298
"Ladysmith CMA, BC, Canada",1737.8204691576163,817.5470622154473,298.8946987356705,145.1021082418798
"Dolbeau-Mistassini CMA, QC, Canada",1453.8628737689212,934.7316838421758,302.71486458766066,165.19178933424848
"Cowansville CMA, QC, Canada",1902.2061729099976,1231.4690300817244,636.4654232058879,277.8177968788743
"Kenora CMA, ON, Canada",1411.9506009992897,778.322052582532,324.8131100714729,151.66437396808138
"Brooks CMA, AB, Canada",2583.159035658027,1625.7513205657563,737.5651653941726,300.59279583060874
"Strathmore CMA, AB, Canada",2730.2152188324976,1600.8968507972384,777.661270186248,285.66459371381126
"High River CMA, AB, Canada",2498.113764479753,1384.6764492344744,576.2321880857857,264.9448359888312
"Trail CMA, BC, Canada",1281.0738765343922,752.0271399105646,234.3916777348257,119.81365212152242
"Lachute CMA, QC, Canada",1846.8359462532467,1228.1831189733857,579.2961689584191,239.54516023677346
"Grand Falls-Windsor CMA, NL, Canada",1936.6788723726297,1240.339358425027,459.6156420444386,232.5344365544438
"Ingersoll CMA, ON, Canada",2173.000820804345,1561.1514295658858,805.0480857489613,288.1587984463813
"Prince Rupert CMA, BC, Canada",2337.0161237240145,1510.6194383598186,524.7152939001045,210.1519129454743
"Gander CMA, NL, Canada",2428.123054497821,1440.2313560074303,501.75940301799545,183.4348726573365
"Lacombe CMA, AB, Canada",2253.5359064527993,1433.103627887022,611.6080728798074,267.5951267371369
"Portage la Prairie CMA, MB, Canada",1899.2266634938997,1327.5419160103665,634.0356274078185,273.7899414028761
"Sainte-Marie CMA, QC, Canada",1955.2158826786804,1246.4683600453588,437.269420753347,200.94139209832764
"Thompson CMA, MB, Canada",2678.42753592742,1704.4557423912008,738.55397136663,247.73489311666404
"Estevan CMA, SK, Canada",1554.6614985547621,1208.0092483717287,556.5623861155187,187.96040065685014
"Wetaskiwin CMA, AB, Canada",2089.9391038925924,1412.9141452101903,694.9966403288679,255.02652116763744
"Weyburn CMA, SK, Canada",1633.364958823428,1237.516167078253,616.7192706415302,201.94018457279057
"Campbellton (New Brunswick part / partie du Nouveau-Brunswick) CMA, NB, Canada",1524.0573247797283,934.4843165944145,280.08665425347664,112.14300650193164
"Elliot Lake CMA, ON, Canada",2025.365387261637,1204.5636549683018,486.77600924127654,196.60842785905604
"Hawkesbury (Ontario part / partie de l'Ontario) CMA, ON, Canada",2200.356775499263,1659.9725047032648,651.0928176683092,285.45179276387944
"Hawkesbury (partie du Québec / Quebec part) CMA, QC, Canada",1156.300625579167,629.0238047312042,223.32264918278995,264.7422191902295
"Campbellton (partie du Québec / Quebec part) CMA, QC, Canada",766.8691462712629,217.10439469267652,53.91728953807354,83.590805010477
