longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Kelowna Population Center, BC, Canada",0.04539146546058705,0.25214563878109697,0.3435931030857599,0.4042612581331431,0.5999248574857677,0.29693239975030283,0.10314274276392953
"Barrie Population Center, ON, Canada",0.03787274845673984,0.18472604716033725,0.3326563066616901,0.48261764617797265,0.5954233777137247,0.2996906351287835,0.10488598715749192
"Sherbrooke Population Center, QC, Canada",0.06018301395497184,0.4049273690042534,0.3461702768446342,0.24890235415111242,0.6654145268629307,0.27888977178752017,0.05569570134954928
"Guelph Population Center, ON, Canada",0.043189802406462884,0.19946689055237976,0.3300564576193491,0.4704766518282712,0.5619596132305975,0.3229950303563864,0.11504535641301618
"Kanata Population Center, ON, Canada",0.02318755159645673,0.08016607753725181,0.2487024803773324,0.6711314420854158,0.4547251425138247,0.329232287729173,0.21604256975700234
"Abbotsford Population Center, BC, Canada",0.03575318239723907,0.22813498729458553,0.33700595523599736,0.4348590574694171,0.6458493067977996,0.28053944129523933,0.07361125190696097
"Trois-Rivières Population Center, QC, Canada",0.05457879580601409,0.40578228580400233,0.34062601339474463,0.253591700801253,0.6591384963359375,0.27721766329734016,0.06364384036672244
"Kingston Population Center, ON, Canada",0.06295470262739776,0.28067000484317445,0.35420006174968494,0.36512993340714067,0.5972915189578729,0.302435173573072,0.10027330746905515
"Milton Population Center, ON, Canada",0.024476392037879765,0.08321673881809614,0.2525096234565435,0.6642736377253604,0.5205076247878804,0.317177951488121,0.1623144237239987
"Moncton Population Center, NB, Canada",0.056067774109410363,0.30021245609587355,0.3774679715546312,0.32231957234949515,0.644100483045794,0.2890009451915028,0.06689857176270307
"White Rock Population Center, BC, Canada",0.053573305866285795,0.22110186367271475,0.3055537208128545,0.47334441551443074,0.5555542432139123,0.2861086747402377,0.1583370820458501
"Nanaimo Population Center, BC, Canada",0.046279896217627854,0.2786460865613232,0.35950523779335725,0.3618486756453194,0.6245135646650012,0.29227698024847054,0.08320945508652827
"Brantford Population Center, ON, Canada",0.04041526501856325,0.26242623832096906,0.36101773554599265,0.37655602613303835,0.6328684422648773,0.29975946840562306,0.06737208932949962
"Chicoutimi - Jonquière Population Center, QC, Canada",0.04696730637346581,0.35617317503370277,0.353873153216343,0.28995367174995423,0.6272844142548625,0.29728693639200954,0.07542864935312804
"Saint-Jérôme Population Center, QC, Canada",0.03905750783951198,0.3435678807652597,0.3586729689644185,0.29775915027032174,0.6397670936007837,0.3020189724042298,0.058213933994986554
"Red Deer Population Center, AB, Canada",0.03557722289562436,0.23695678703636938,0.34655345864711584,0.4164897543165147,0.5837228439872392,0.30470084616666354,0.11157630984609733
"Thunder Bay Population Center, ON, Canada",0.058412143931165755,0.2986537675737339,0.36372579205829175,0.3376204403679745,0.6059988341480466,0.3139453975167566,0.08005576833519684
"Lethbridge Population Center, AB, Canada",0.04064486184069095,0.25178553724110087,0.3585787013846773,0.38963576137422185,0.5989939236841962,0.30716845912988167,0.09383761718592196
"Kamloops Population Center, BC, Canada",0.03888317768314752,0.23456516219739978,0.3321878611726534,0.4332469766299468,0.5780565871791818,0.3088483634577043,0.11309504936311385
