longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"Almaty Urban Center, Kazakhstan",,,,,,,,,,
"San José Urban Center, Costa Rica",,,,,,,,,,
"Barranquilla Urban Center, Colombia",,,,,,,,,,
"Lisbon Urban Center, Portugal",,,,,,,,,,
"Minsk Urban Center, Belarus",,,,,,,,,,
"Tampa Urban Center, USA",0.5786938194823942,0.2079214354049817,0.1274638110888652,0.03715603381268417,0.002010373839343685,0.0007370400954660882,0.04601748627626494,0.5252681512581067,0.2118898875885788,0.08435026790941728
"Belém Urban Center, Brazil",,,,,,,,,,
"Meerut Urban Center, India",,,,,,,,,,
"Vienna Urban Center, Austria",,,,,,,,,,
"Zhuhai Urban Center, China",,,,,,,,,,
"Sapporo Urban Center, Japan",,,,,,,,,,
"Rabat Urban Center, Morocco",,,,,,,,,,
"Rotterdam [The Hague] Urban Center, Netherlands",,,,,,,,,,
"Hohhot Urban Center, China",,,,,,,,,,
"Maracaibo Urban Center, Venezuela",,,,,,,,,,
"Lubumbashi Urban Center, Democratic Republic of the Congo",,,,,,,,,,
"Puebla Urban Center, Mexico",,,,,,,,,,
"Phnom Penh Urban Center, Cambodia",,,,,,,,,,
"Brahmanbaria Urban Center, Bangladesh",,,,,,,,,,
"Doha Urban Center, Qatar",,,,,,,,,,
"Bucharest Urban Center, Romania",,,,,,,,,,
"Baku Urban Center, Azerbaijan",,,,,,,,,,
"Denpasar Urban Center, Indonesia",,,,,,,,,,
"Las Vegas Urban Center, USA",0.3749280820057619,0.335440291057594,0.12977249391828216,0.0891150302938895,0.003693064811362595,0.008275776964831245,0.05877526094827864,0.37705413105130486,0.1332076844426284,0.07014238838571484
"Warsaw Urban Center, Poland",,,,,,,,,,
"Jerusalem Urban Center, Israel-State of Palestine",,,,,,,,,,
"Minneapolis [Saint Paul] Urban Center, USA",0.6131130381975813,0.08678250568521395,0.14160432621527796,0.09811444413201457,0.006521825127416149,0.00035335462370672744,0.05351050601878927,0.5138307126342851,0.16755302414275478,0.09352766091372625
"Cotonou Urban Center, Benin",,,,,,,,,,
"El Alto [La Paz] Urban Center, Bolivia",,,,,,,,,,
"Wuhu (Northern Anhui Sheng) Urban Center, China",,,,,,,,,,
"Port-au-Prince Urban Center, Haiti",,,,,,,,,,
"Nashik Urban Center, India",,,,,,,,,,
"Mandalay Urban Center, Myanmar",,,,,,,,,,
"Beirut Urban Center, Lebanon",,,,,,,,,,
"Madurai Urban Center, India",,,,,,,,,,
"Dhanbad Urban Center, India",,,,,,,,,,
"Sirajganj Urban Center, Bangladesh",,,,,,,,,,
"Dammam Urban Center, Saudi Arabia",,,,,,,,,,
"Jamshedpur Urban Center, India",,,,,,,,,,
"Havana Urban Center, Cuba",,,,,,,,,,
"Santa Cruz de la Sierra Urban Center, Bolivia",,,,,,,,,,
"Putian Urban Center, China",,,,,,,,,,
"Basra Urban Center, Iraq",,,,,,,,,,
"Gaza Urban Center, State of Palestine",,,,,,,,,,
"Munich Urban Center, Germany",,,,,,,,,,
"Hamburg Urban Center, Germany",,,,,,,,,,
"Cirebon Urban Center, Indonesia",,,,,,,,,,
"Budapest Urban Center, Hungary",,,,,,,,,,
"Luoyang Urban Center, China",,,,,,,,,,
"Isfahan Urban Center, Iran",,,,,,,,,,
"Yinchuan Urban Center, China",,,,,,,,,,
"Portland (Oregon-Washington) Urban Center, USA",0.6500678721811709,0.1429704141875348,0.038163541393957355,0.0835612077903655,0.005729634597397445,0.007588190586468697,0.07191913926310532,0.49836644223493254,0.07750576428182691,0.03858083818848725
"Porto Alegre Urban Center, Brazil",,,,,,,,,,
"Zibo Urban Center, China",,,,,,,,,,
"Mecca Urban Center, Saudi Arabia",,,,,,,,,,
"Pretoria Urban Center, South Africa",,,,,,,,,,
"Ciudad Juárez Urban Center, Mexico-USA",,,,,,,,,,
"Pati Urban Center, Indonesia",,,,,,,,,,
"Handan Urban Center, China",,,,,,,,,,
"San Salvador Urban Center, El Salvador",,,,,,,,,,
"Sao Goncalo Urban Center, Brazil",,,,,,,,,,
"Monrovia Urban Center, Liberia",,,,,,,,,,
"Aligarh Urban Center, India",,,,,,,,,,
"Nantong Urban Center, China",,,,,,,,,,
"Freetown Urban Center, Sierra Leone",,,,,,,,,,
"Amaigbo Urban Center, Nigeria",,,,,,,,,,
"Beni Urban Center, Democratic Republic of the Congo",,,,,,,,,,
"Cologne Urban Center, Germany",,,,,,,,,,
"N'Djamena Urban Center, Cameroon-Chad",,,,,,,,,,
"Visakhapatnam Urban Center, India",,,,,,,,,,
"Atlanta Urban Center, USA",0.3346648492772168,0.19260866474419008,0.33178422518320705,0.09615411957062629,0.0016949938338572236,0.00038202268027854274,0.042711124710624,0.4731895336224417,0.27820647303767115,0.1576622709207727
"Guruvayur Urban Center, India",,,,,,,,,,
"Ranchi Urban Center, India",,,,,,,,,,
"Anyang (Henan Sheng) Urban Center, China",,,,,,,,,,
"Sacramento Urban Center, USA",0.41998761216548874,0.2361718414992456,0.08967648693718733,0.16609926149448107,0.004695942190105614,0.011363773524974191,0.07200508218851744,0.36123770417127,0.12140436083737187,0.05963478599677955
"Gorakhpur Urban Center, India",,,,,,,,,,
"Faiyum Urban Center, Egypt",,,,,,,,,,
"Gaziantep Urban Center, Turkey",,,,,,,,,,
"Datong Urban Center, China",,,,,,,,,,
"Katowice Urban Center, Poland",,,,,,,,,,
"Benin City Urban Center, Nigeria",,,,,,,,,,
"Raipur Urban Center, India",,,,,,,,,,
"Jilin Urban Center, China",,,,,,,,,,
"Daejeon Urban Center, South Korea",,,,,,,,,,
"Xuzhou Urban Center, China",,,,,,,,,,
"Stockholm Urban Center, Sweden",,,,,,,,,,
"Valencia Urban Center, Spain",,,,,,,,,,
"Vasai-Virar Urban Center, India",,,,,,,,,,
"Rajkot Urban Center, India",,,,,,,,,,
"Moradabad Urban Center, India",,,,,,,,,,
"Huizhou Urban Center, China",,,,,,,,,,
"Kaduna Urban Center, Nigeria",,,,,,,,,,
"Anshan Urban Center, China",,,,,,,,,,
"Kharkiv Urban Center, Ukraine",,,,,,,,,,
"Mosul Urban Center, Iraq",,,,,,,,,,
"Harare Urban Center, Zimbabwe",,,,,,,,,,
"Tegucigalpa Urban Center, Honduras",,,,,,,,,,
"Toluca Urban Center, Mexico",,,,,,,,,,
"Aurangabad (Mahārāshtra) Urban Center, India",,,,,,,,,,
"Brussels Urban Center, Belgium",,,,,,,,,,
"Valencia Urban Center, Venezuela",,,,,,,,,,
"Campinas Urban Center, Brazil",,,,,,,,,,
