longname,Population,PW Density (r=1km),AW Density,Area,Compactness
"Denver city, Colorado, USA",715478.0,3086.26240677843,1785.6742425108307,400.6766648512378,0.06859792444520826
"Nashville-Davidson metropolitan government (balance), Tennessee, USA",689520.0,1311.6439376471553,535.5849787745947,1287.4147471006465,0.19598836037236456
"Washington city, District of Columbia, USA",689482.0,6569.571121790082,3896.9233401173087,176.92983408271115,0.5262571019289503
"Oklahoma City city, Oklahoma, USA",681058.0,1331.3351328824406,423.5956998749531,1607.8019682472004,0.08912192266875119
"El Paso city, Texas, USA",678784.0,1881.8433417610504,1010.52992723299,671.7109327564706,0.13017569142906885
"Boston city, Massachusetts, USA",675485.0,7446.15688547241,5034.411684735221,134.17357226627493,0.08695693095798661
"Portland city, Oregon, USA",652106.0,3019.9242114772323,1736.4259994319134,375.5449412836148,0.13230997660252974
"Las Vegas city, Nevada, USA",641726.0,2716.0298433894013,1745.6773932576168,367.60858706113623,0.039464757975656954
"Detroit city, Michigan, USA",639111.0,2229.265831448917,1739.6078153785597,367.387979261821,0.20803646058588837
"Memphis city, Tennessee, USA",631523.0,1372.0516168259912,805.5762683742993,783.9394291920378,0.1857847169610562
"Baltimore city, Maryland, USA",585719.0,3791.3621725052453,2617.101274877887,223.80448384724028,0.45601360449196615
"Milwaukee city, Wisconsin, USA",576771.0,3236.4298509901396,2309.5557335980666,249.7324449068159,0.10615200557263989
"Albuquerque city, New Mexico, USA",564498.0,1908.5430703285515,1153.630828422,489.32291517569064,0.048139774984848734
"Tucson city, Arizona, USA",542784.0,1795.9537748067328,865.5128921219441,627.1241074980151,0.05730463342616051
"Fresno city, California, USA",542439.0,2350.7509114829695,1789.4582245989363,303.1302952722322,0.03013164598055773
"Sacramento city, California, USA",524963.0,2562.1799871698763,2011.671230943704,260.95864568969967,0.12854691328089818
"Kansas City city, Missouri, USA",508042.0,1405.99815234471,615.2745748489172,825.7159011076502,0.08911956577087038
"Mesa city, Arizona, USA",504078.0,2076.1543787370797,1375.7935930234692,366.3907162790524,0.06788611514567248
"Atlanta city, Georgia, USA",498744.0,2303.9844575366446,1413.228402916325,352.9111069171809,0.14498669104687426
"Omaha city, Nebraska, USA",491266.0,1744.8669999182555,1293.8813030267468,379.683977850822,0.06259364742295538
"Colorado Springs city, Colorado, USA",479109.0,1682.760216645975,914.5173195585809,523.8927571445627,0.060371975282674954
"Raleigh city, North Carolina, USA",467207.0,1407.1466029293813,1204.5860645229473,387.856886078977,0.014256595896672209
"Long Beach city, California, USA",463955.0,5637.986101212467,3277.719620657721,141.54810468715468,0.16978110387556297
"Virginia Beach city, Virginia, USA",459494.0,1719.8514407913572,578.4718541660745,794.323866737487,0.46381668080440863
"Miami city, Florida, USA",441251.0,5777.885687054516,3607.647848952134,122.30988679456736,0.24454283256701193
"Oakland city, California, USA",440701.0,5402.308074582925,2930.7567817678173,150.37105867726473,0.16978675332711995
"Minneapolis city, Minnesota, USA",429954.0,3703.955481374463,2886.5845767362316,148.9490394513696,0.5373952555643844
"Tulsa city, Oklahoma, USA",413124.0,1380.833913959173,790.2256942081854,522.7924161766907,0.049252901958570836
"Bakersfield city, California, USA",404706.0,2116.103819302677,1029.6111251741295,393.0668483516585,0.025100769187796697
"Wichita city, Kansas, USA",397013.0,1261.5579055253343,915.6117406109121,433.60409482637914,0.0331205139954429
"Arlington city, Texas, USA",394350.0,2059.8040469788402,1530.758565919035,257.61737270647944,0.21581506134935036
"Louisville/Jefferson County metro government (balance), Kentucky, USA",386464.0,1147.4398049089482,542.9689659917259,711.7607528344248,0.03943426685391923
"Aurora city, Colorado, USA",386300.0,2416.212958732569,914.3750854232136,422.4743282689107,0.027002906874393866
