longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"Manning [Urban Area], SC, USA",0.6212121212121212,0.125234521575985,0.46194093607509623,0.09953112697512881,0.6250473425810309,0.27542153044384027,1.0,0.0,0.0,0.7173866147883474,0.2826133852116526,0.0,0.2834975873571965,0.1579479741503985,0.22731048562522,0.17673061029102635,0.12872088806927262,0.025792454506886057
"Landrum-Tryon [Urban Area], SC-NC, USA",0.6906033101975441,0.1658291457286432,0.2845324964652372,0.1970051351910743,0.4137433044626022,0.38925156034632347,0.48706483658226973,0.5129351634177303,0.0,0.5769451881003944,0.29411157168474605,0.1289432402148596,0.44005906466210354,0.16142828664507758,0.16723656817982657,0.10850648644947332,0.09356478776840113,0.029204806295117833
"Buffalo [Urban Area], WY, USA",0.652014652014652,0.11884183232497839,0.31603877836716265,0.2214724641584761,0.5662881716943946,0.21223936414712938,0.634264766627461,0.365735233372539,0.0,0.15527742041942363,0.8447225795805763,0.0,0.39721450344684434,0.11164751022525483,0.16353675308806795,0.10571708329253941,0.1535129462883137,0.06837120365897979
"Childress [Urban Area], TX, USA",0.6731334509112287,0.18427947598253275,0.4602172900813041,0.32346219323575015,0.4678575892684238,0.20868021749582613,0.4403407702865366,0.5596592297134633,0.0,0.4649688336107906,0.5350311663892094,0.0,0.574431273285438,0.19903230025490243,0.06832204572902535,0.06599474279625221,0.07445320006453007,0.01776643786985197
"Eldon [Urban Area], MO, USA",0.6191294387170676,0.11655874190564293,0.30574102185168356,0.2750228812287531,0.6278214168893693,0.09715570188187755,1.0,0.0,0.0,0.4438092291861554,0.5561907708138446,0.0,0.3228778562434396,0.3135966683099062,0.1174897855725634,0.08072721644548829,0.14521573968537432,0.020092733743228272
"Etowah [Urban Area], TN, USA",0.6194995685936152,0.15506035283194058,0.22336344548354659,0.30359687930010115,0.42854514492981804,0.26785797577008086,1.0,0.0,0.0,0.18917581107,0.8108241889300001,0.0,0.4723115930378232,0.17344448644464847,0.06160930567198532,0.10784387746377791,0.14185722074502427,0.04293351663674075
"Reedsport [Urban Area], OR, USA",0.6210182412197114,0.11003945637878124,0.35912920383262636,0.31441043830421844,0.4082596502608458,0.27732991143493585,0.785458323820862,0.21454167617913802,0.0,0.6763073320203514,0.3236926679796486,0.0,0.4469436514454151,0.3056584351707253,0.1255989905598622,0.07217735147479161,0.04452155255091057,0.0051000187982951205
"New Boston [Urban Area], TX, USA",0.6451418225709112,0.1145930776426567,0.40408943934443126,0.4167974323627475,0.3375959285244487,0.24560663911280384,0.721685200365003,0.17990318140340567,0.09841161823159132,0.7278518795273017,0.2721481204726984,0.0,0.3505105759447537,0.1383531968025367,0.191605706224634,0.17716289466737803,0.07533584253218326,0.06703178382851434
"Falfurrias [Urban Area], TX, USA",0.6211562115621156,0.1613861386138614,0.3738896546208063,0.3026484167325703,0.263514562787919,0.4338370204795107,0.35714285714285715,0.6428571428571429,0.0,0.7726437196539927,0.22735628034600736,0.0,0.5939851440890372,0.17734854787272936,0.15140611979440702,0.0035303757592743115,0.03497325843873693,0.0387565540458152
"Palmyra [Urban Area], NY, USA",0.6048991354466858,0.06241067174845164,0.4150097013580168,0.35076785980460107,0.39410341795268033,0.2551287222427187,0.7232126466152324,0.27678735338476756,0.0,0.24289577373524024,0.7571042262647598,0.0,0.7472627106321281,0.0839331168859791,0.05935599267622427,0.05525736181584081,0.048100693766445705,0.006090124223382063
