longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Kwinhagak ANVSA, USA",1135.6115382759033,351.1187752772499,61.75211791965539,15.438029479913848
"Isle de Jean Charles SDTSA, USA",829.7660503903604,241.81065847834975,184.65385347766664,151.16471480594083
"King Cove ANVSA, USA",1583.76198165591,422.451461998014,26.403216374875875,14.52039190594758
"Alakanuk ANVSA, USA",1767.2564880924053,455.11240171255747,30.482592572739392,13.77648134717207
"Eastern Shawnee OTSA, USA",240.80849769093408,60.20212442273352,18.977352662561746,18.91627722090754
"Kipnuk ANVSA, USA",1534.8323966534779,449.203975403482,56.022539968347154,14.005634992086788
"Noorvik ANVSA, USA",978.2002210663878,374.328756873911,55.014864435284046,13.80669131322192
"Akiachak ANVSA, USA",2072.8190653349093,526.3326205285229,53.40487224766955,13.552375462538295
"Toksook Bay ANVSA, USA",924.3486893036602,534.2536349882811,52.117680695891906,13.090494069308392
"Yakutat ANVSA, USA",294.14352831035467,92.07052896624482,30.13539497428207,10.127626162780103
"Kotlik ANVSA, USA",2489.476835409541,622.3692088523852,51.59791105806949,13.03081096564893
"Lenape Indian Tribe of Delaware SDTSA, USA",362.6701768252079,330.3822280021232,238.1116615392499,240.8609594375262
"Gambell ANVSA, USA",3259.493234522017,814.8733086305042,50.92958178940651,12.732395447351628
"Stebbins ANVSA, USA",1100.9947351565422,373.677732001375,26.600715370240838,6.6501788425602095
"Wainwright ANVSA, USA",821.4422515046156,290.6797770824359,29.074921729646018,12.493663032713785
"Kasigluk ANVSA, USA",1860.646462789385,465.16161569734624,29.07260098108414,10.720381904135126
"Mountain Village ANVSA, USA",884.132619131557,293.3802249528167,49.4176098300335,12.354402457508375
"Pilot Station ANVSA, USA",1048.097668294741,314.2789961128974,48.940145000757816,12.235036250189454
"Scammon Bay ANVSA, USA",1070.4549265770092,605.0137227354389,47.7464829275686,11.93662073189215
"Nunapitchuk ANVSA, USA",1528.0417857482234,382.01044643705586,47.26901809829291,15.438029479913844
"Shishmaref ANVSA, USA",2502.1455958779497,627.7468842902083,39.23418026813802,11.459155902616466
"Noatak ANVSA, USA",1111.8195755057911,277.9548938764478,22.697449419293125,5.674362354823281
"Buckland ANVSA, USA",1252.034318862846,355.4931108520382,43.76760935027122,10.941902337567806
"Kake ANVSA, USA",541.6270924415672,149.91743607832325,26.87895814044437,9.999013032020358
"Sand Point ANVSA, USA",1089.2849358838737,277.3904376807908,41.17926300898007,11.316554855191312
"New Stuyahok ANVSA, USA",1150.31224556456,329.7093589827477,20.651597264166327,5.162899316041582
"Nuiqsut ANVSA, USA",665.7451269533982,368.9261316789851,40.7436654315252,10.1859163578813
"Aniak ANVSA, USA",498.4907576007046,197.17237796881113,36.14502378171703,10.028633825884608
"Napaskiak ANVSA, USA",2501.7831283989544,625.4457820997386,40.500555474248294,11.518018217031099
"Chefornak ANVSA, USA",1868.3909619698677,474.4956145270941,40.26620060224951,10.066550150562378
"Algaaciq ANVSA, USA",1335.0006291304853,362.0893440911935,42.211445475110125,11.822178080408316
"Marshall ANVSA, USA",850.358391226863,223.94006252868408,39.15211600060626,9.788029000151566
"Manokotak ANVSA, USA",839.9616180171133,212.5682570527565,13.285516065797282,5.934199899446658
"Kongiganak ANVSA, USA",776.1416760597949,220.77344945438716,38.67465117133057,9.668662792832642
"Galena ANVSA, USA",333.9987870146799,111.72677005051051,25.212570773023725,8.726546455970873
"Naknek ANVSA, USA",658.3569513185494,164.58923782963734,11.625760651555215,3.5075040437145786
"Tuntutuliak ANVSA, USA",982.3979692414154,357.2319231835093,37.32183415504946,9.330458538762365
"Klawock ANVSA, USA",865.2418950265499,417.18807424102073,57.97364894672643,14.70193786811383
"Akiak ANVSA, USA",1233.7305358318656,532.1534992447869,36.76479185422782,9.191197963556956
"St. Michael ANVSA, USA",468.842540428883,134.96897612589538,16.73779484849766,4.790354372667244
"Santee SDTSA, USA",384.202849525483,102.40282559680833,37.03010877816531,46.64855149631105
"Copper Center ANVSA, USA",267.99849196844264,71.30992167361946,12.17287188906531,5.913323928201911
"Kiana ANVSA, USA",746.5550745285899,432.5866799772925,35.73028472413051,8.932571181032628
"Kivalina ANVSA, USA",2261.273431449649,565.3183578624122,35.33239736640076,8.83309934160019
"Tuluksak ANVSA, USA",1094.137182109083,408.47474601613965,35.33239736640076,8.83309934160019
"Seldovia ANVSA, USA",256.78441067742716,117.87715222777149,14.666615214927619,6.059481607439476
"Brevig Mission ANVSA, USA",847.9299390536282,211.98248476340706,34.03461523698321,8.5147894554164
"Fort Yukon ANVSA, USA",271.11672698360695,153.48486231557473,31.657703096227614,8.505307093152746
"Anaktuvuk Pass ANVSA, USA",886.7139775310904,290.25367833333235,33.74627792765789,8.455106351756939
"Russian Mission ANVSA, USA",1436.5892223841784,359.1473055960446,33.24353599335025,8.375528880210991
"St. Paul ANVSA, USA",425.84775979021185,203.80773138715946,25.750922965516164,6.437730741379041
"Tununak ANVSA, USA",2093.2058115446075,523.3014528861519,32.70634080538449,8.176585201346123
"Chilkoot ANVSA, USA",367.52525278126103,266.83063756653496,69.57361291565199,25.795231493012952
"Eek ANVSA, USA",747.3790064274143,288.3887568825144,32.14929850456286,8.037324626140714
"False Pass ANVSA, USA",1738.2757463736623,434.5689365934156,27.21387948248982,6.821950425562695
"Atmautluak ANVSA, USA",1152.3543560422763,354.21788018375696,30.7169040167358,7.67922600418395
"Saxman ANVSA, USA",926.3878720902254,404.02808595070064,108.94466704138462,61.01167441488021
"Hydaburg ANVSA, USA",499.0562914500897,366.76670275210626,30.239439187460118,7.559859796865029
"Kwigillingok ANVSA, USA",696.6630687929869,200.38780055902933,29.689098147400248,7.559859796865029
"Elim ANVSA, USA",591.5345688163035,183.40215518698847,27.96082743390402,7.281338646454212
"Napakiak ANVSA, USA",808.2723795941116,218.38547766736852,28.488734813449266,7.138688248787698
"Nenana ANVSA, USA",239.96653229712538,165.69896756762915,20.112205657757944,6.005765125598288
"Angoon ANVSA, USA",645.4932177101614,202.54494953796814,12.659059346123009,3.5743547636054833
"Clifton Choctaw SDTSA, USA",193.02165568151287,48.25541392037822,5.928863653689775,3.302408065237383
"Point Lay ANVSA, USA",649.9849292856499,216.7362369271304,15.105733250246224,3.776433312561556
"Koyuk ANVSA, USA",597.5737596623696,262.31999338325727,24.82817112233567,6.207042780583918
"Newtok ANVSA, USA",877.4770088430669,219.36925221076672,13.818059523442772,3.454514880860693
"Nightmute ANVSA, USA",1558.445202755839,389.6113006889598,24.350706293059986,6.0876765732649964
"Huslia ANVSA, USA",417.65607697694213,123.47910611145419,20.029963709713236,6.019355125654824
"McGrath ANVSA, USA",182.8896510171744,81.71152254368486,11.557239762894026,3.1770842855001313
"Kaktovik ANVSA, USA",704.1419599555154,284.83223440861633,22.520424447503196,5.630106111875799
"Lower Kalskag ANVSA, USA",319.20756586281254,140.77082966539555,22.15660082759348,8.272049542211496
"Atqasuk ANVSA, USA",552.6228679091109,212.75094682643564,15.96912260523137,5.490845536670389
"Ambler ANVSA, USA",475.5782042568449,178.21636138570423,21.80422720358966,5.451056800897415
"Shungnak ANVSA, USA",701.0681622643231,175.26704056608077,21.645072260497763,5.411268065124441
"Tazlina ANVSA, USA",337.5876043097809,84.39690107744522,10.660658003720053,4.7726815491635195
"Goodnews Bay ANVSA, USA",594.9680601289583,162.83648069023812,18.70995900766351,5.132746914713625
