longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"Marion Center Area School District, Pennsylvania, USA",0.2487071842209578,0.15780245528352538,0.19707780935094066,0.6451197353655339,0.25319136639650197,0.6539581118341155,0.09285052176938251
"Regional School Unit 34, Maine, USA",0.11046710834065449,0.0888540393892997,0.2410946418534421,0.6700513187572582,0.35148232862369316,0.4973845050485043,0.15113316632780247
"Elwood Community School Corporation, Indiana, USA",0.15910173732472307,0.16895858427702345,0.22180025334818423,0.6092411623747924,0.269928235235719,0.5397423205863544,0.1903294441779265
"Morrisville Borough School District, Pennsylvania, USA",0.06368700545674856,0.058655711408240545,0.2010136477175698,0.7403306408741896,0.37167541734842235,0.5201479285306402,0.10817665412093741
"Solvay Union Free School District, New York, USA",0.1249921339106266,0.08255086229773449,0.2411673061675199,0.6762818315347456,0.3640850052061222,0.5159576811551783,0.11995731363869956
"Belle Plaine Public School District, Minnesota, USA",0.12888773990113772,0.030221968279124052,0.11868675094563591,0.8510912807752401,0.26030131616520924,0.648181416448923,0.09151726738586768
"Gladstone Area Schools, Michigan, USA",0.12427172186680405,0.09368140551954869,0.2580842147441151,0.6482343797363364,0.2725104764957902,0.6346227600410727,0.09286676346313714
"Platte Canyon School District 1, Colorado, USA",0.060478133209193354,0.07288540102044723,0.12543430833150504,0.8016802906480478,0.19295889097143257,0.715246419952607,0.09179468907596036
"Tunica County School District, Mississippi, USA",0.15955983493810177,0.2822868810617662,0.19550791220010208,0.5222052067381318,0.5126775521040754,0.39015000663746185,0.09717244125846276
"Dobbs Ferry Union Free School District, New York, USA",0.01854778641890226,0.05071257651778484,0.12845021108324858,0.8208372123989665,0.3479495143353048,0.582696202235548,0.06935428342914728
"Dansville Central School District, New York, USA",0.14469380944725393,0.06001471224813827,0.2658386831229342,0.6741466046289276,0.30264887574158217,0.5811860721396961,0.1161650521187218
"Middleton School District, Massachusetts, USA",0.03843689942344651,0.015035081857667892,0.13230872034747745,0.8526561977948547,0.2762562514884496,0.6602762562514884,0.06346749226006192
"Mark Twain Union Elementary School District, California, USA",0.07571733295233093,0.07830955433574573,0.22425590640784973,0.6974345392564045,0.2140855796028462,0.6518526036114256,0.1340618167857281
"Otsego Local School District, Ohio, USA",0.07939158488373133,0.04939250593097034,0.1320761483698975,0.8185313456991322,0.22689688760528356,0.6715075285437788,0.10159558385093767
"Arthur Community Unit School District 305, Illinois, USA",0.2815530095379878,0.2597377182600905,0.13719996977004598,0.6030623119698635,0.23632639489335136,0.6836110172346688,0.08006258787197985
"Bayfield School District 10 JT-R, Colorado, USA",0.1237604325261508,0.13031289344370986,0.1673334985259928,0.7023536080302973,0.20425954981882563,0.6633835933694353,0.1323568568117391
"Lake Bluff Elementary School District 65, Illinois, USA",0.03854476591067676,0.026812175460148253,0.05965127261838874,0.9135365519214631,0.2553932549383204,0.6753071773870047,0.06929956767467493
"Paulding Exempted Village School District, Ohio, USA",0.20442284662500312,0.09766159583764378,0.23904562982883745,0.6632927743335187,0.27480527173019204,0.5903611010505845,0.13483362721922346
"Tecumseh Public Schools, Oklahoma, USA",0.13672564727713074,0.21976795004780236,0.18219228485911704,0.5980397650930807,0.30118350435566804,0.5285607229420202,0.1702557727023118
"Tuttle Public Schools, Oklahoma, USA",0.07334032087559342,0.12102159965555859,0.08462637336521163,0.7943520269792297,0.18079439317197252,0.7385280073006102,0.08067759952741735
"West Jasper School District, Mississippi, USA",0.4343636177362783,0.1834204548442521,0.2553038535100287,0.5612756916457193,0.29684633559836565,0.5864074032771462,0.11674626112448806
"West Carroll Parish School District, Louisiana, USA",0.3381081081081081,0.09604261796042618,0.38995433789954337,0.5140030441400304,0.25786007207655026,0.580464769479309,0.16167515844414068
"Brookville Local School District, Ohio, USA",0.11668895390496008,0.03336353840035457,0.1516525740431266,0.8149838875565188,0.19287855914491223,0.693470877261994,0.11365056359309383
"Allegheny Valley School District, Pennsylvania, USA",0.12910189982728842,0.05163453478625314,0.14719195305951382,0.801173512154233,0.267390289449113,0.5943043884220355,0.13830532212885155
"Burlington City School District, New Jersey, USA",0.0931386056764949,0.10467528322961545,0.2077549066539014,0.6875698101164832,0.39997441800972117,0.47544128933231006,0.12458429265796879
"Switzerland County School Corporation, Indiana, USA",0.23226888763448222,0.14328654457375825,0.2579394818376786,0.5987739735885631,0.2695848946285073,0.5745078335595618,0.15590727181193084
"West Las Vegas Public Schools, New Mexico, USA",0.24082929020008834,0.08674840658364992,0.4576724174037479,0.45557917601260217,0.45736921199508807,0.4094211000013527,0.1332096880035592
"Converse County School District 1, Wyoming, USA",0.09228035919927634,0.13336445305874525,0.055364600925763514,0.8112709460154912,0.18307733141652752,0.6696516507281616,0.14727101785531097
"Pojoaque Valley Public Schools, New Mexico, USA",0.2850847213753716,0.16228008579990502,0.28878118932403785,0.5489387248760572,0.3636843000446666,0.4980944645139199,0.13822123544141354
"Lodi School District, Wisconsin, USA",0.04585861701890334,0.021490251172987442,0.06217118554937799,0.9163385632776345,0.2544714293261043,0.6642252396422189,0.08130333103167678
"Cairo-Durham Central School District, New York, USA",0.16973519099126633,0.08654174576450399,0.2154187843387742,0.6980394698967218,0.2959983750392261,0.5620531536805929,0.141948471280181
"Clinton Public Schools, Oklahoma, USA",0.14300054831387748,0.16151357228405233,0.08229767352593259,0.7561887541900152,0.2560878518041377,0.6179848814878719,0.12592726670799045
"Gorham-Middlesex Central School District (Marcus Whitman), New York, USA",0.1374657755401151,0.07670685092627005,0.207536802051103,0.7157563470226269,0.2778858252262506,0.6011656310527428,0.12094854372100666
"Holbrook Unified District, Arizona, USA",0.3952769678859488,0.13061361357617685,0.477617576044684,0.39176881037913924,0.43905020145720647,0.43782669654769846,0.12312310199509517
"Lisbon, Maine, USA",0.04986522911051213,0.09679962163014347,0.213148352514583,0.6900520258552735,0.24735176778098775,0.6161782913743293,0.1364699408446829
"Minnewaska School District, Minnesota, USA",0.14147654850979494,0.043900039357479395,0.15379842915725972,0.8023015314852608,0.20805102284995644,0.6848406252573371,0.10710835189270643
"Cayuga Independent School District, Texas, USA",0.09542689597961894,0.2379979159494677,0.07572392889999184,0.6862781551505405,0.4345666022122887,0.35285040934522444,0.21258298844248685
"Waverly Central School District, New York, USA",0.12936223725320672,0.06277830646748016,0.2875084814317745,0.6497132121007454,0.28405560456476286,0.6043854367475374,0.11155895868769983
"Shaker Regional School District, New Hampshire, USA",0.08911890936632164,0.08441230872708928,0.20749957961997645,0.7080881116529343,0.2463732480944185,0.653184165232358,0.1004425866732235
"Seneca Falls Central School District, New York, USA",0.09995643857335072,0.09067023423759475,0.22453391448184695,0.6847958512805583,0.30935245955615803,0.5372907710139444,0.15335676942989762
"Audubon Borough School District, New Jersey, USA",0.07796610169491526,0.06041766300015941,0.11956001912960305,0.8200223178702375,0.32189119170984454,0.5259067357512953,0.15220207253886012
"Woodlake Unified School District, California, USA",0.15035661461831576,0.15847791339285358,0.4790444919358227,0.36247759467132373,0.333873121652651,0.581659274001579,0.0844676043457699
"Rhinebeck Central School District, New York, USA",0.03943872760048536,0.044033546880149745,0.177483036413734,0.7784834167061161,0.25493493810060236,0.6402584924143554,0.10480656948504233
"Libby K-12 Schools, Montana, USA",0.15826243390074624,0.1508805119021685,0.3333971282170143,0.5157223598808172,0.2228621970854005,0.6098711954379823,0.16726660747661717
"Itasca School District 10, Illinois, USA",0.0335387068646792,0.05522028132697873,0.06583658869943171,0.8789431299735896,0.21245357564091313,0.666008574224169,0.12153785013491776
"Sinton Independent School District, Texas, USA",0.31509099328182244,0.3087686632205327,0.2048383354773951,0.48639300130207214,0.389822921680984,0.5187243586671157,0.09145271965190034
"Fruitland School District 373, Idaho, USA",0.11529774202567401,0.1620418508646778,0.14447849717173486,0.6934796519635875,0.24297279252257054,0.6122781031195537,0.14474910435787564
"North Posey County Schools Metropolitan School District, Indiana, USA",0.14520488028517606,0.06631716681508991,0.12023853138980087,0.8134443017951092,0.23537397737694443,0.6487259788487094,0.11590004377434605
"Fairfield Community High School District 225, Illinois, USA",0.1776331632076273,0.09276985717731488,0.2573290041323622,0.649901138690323,0.21341835395850015,0.647127453077935,0.13945419296356487
"East Washington School Corporation, Indiana, USA",0.2081265945206532,0.07153733598201689,0.20218362566445686,0.7262790383535263,0.24246389146760164,0.6066183192199823,0.15091778931241603
"Brewer, Maine, USA",0.09646539027982327,0.13032089063523247,0.2454158480681074,0.6242632612966601,0.3216616465863454,0.4828062248995984,0.1955321285140562
"Oologah-Talala Public Schools, Oklahoma, USA",0.13151850876208435,0.16606707035508791,0.10223676263469367,0.7316961670102184,0.25276674943497734,0.640695628202772,0.10653762236225055
"Croton-Harmon Union Free School District, New York, USA",0.02841991655455923,0.03302156473739972,0.07718537947476029,0.8897930557878401,0.25161140819092725,0.6606884655874886,0.08770012622158412
"Irwin County School District, Georgia, USA",0.21170921198668147,0.23890136465710832,0.18103299360856798,0.5800656417343237,0.3432537201450544,0.5313242465924721,0.12542203326247342
"Mill Creek Community School Corporation, Indiana, USA",0.09245810055865922,0.06017969147313104,0.1629089676216308,0.7769113409052382,0.20886889460154243,0.7203084832904885,0.07082262210796915
"Cumberland County Public Schools, Virginia, USA",0.21781894661033127,0.11290883470220762,0.12394606811758781,0.7631450971802046,0.3211012519887727,0.576355165562265,0.10254358244896233
"Louisburg Unified School District 416, Kansas, USA",0.0816517057537854,0.06600469745077076,0.07355573711740719,0.860439565431822,0.21551687277452014,0.6918392339270224,0.09264389329845746
"Irvington Union Free School District, New York, USA",0.005754583960874017,0.034634359268623044,0.038969102527122816,0.9263965382042542,0.2609559288861348,0.6842219732427547,0.054822097871110566
