longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Jamshedpur 50MPC, India",,,,,,,,,,,,,,,,
"Varanasi 50MPC, India",,,,,,,,,,,,,,,,
"Agra 50MPC, India",,,,,,,,,,,,,,,,
"Solapur 50MPC, India",,,,,,,,,,,,,,,,
"Dakar 50MPC, Senegal-Guinea-Sierra Leone",,,,,,,,,,,,,,,,
"Onitsha 50MPC, Nigeria",,,,,,,,,,,,,,,,
"Shenyang 50MPC, China-North Korea",,,,,,,,,,,,,,,,
"Lagos 50MPC, Nigeria",,,,,,,,,,,,,,,,
"Niamey 50MPC, Nigeria-Niger",,,,,,,,,,,,,,,,
"Warsaw 50MPC, Poland-Sweden-Germany",,,,,,,,,,,,,,,,
"Patna 50MPC, India",,,,,,,,,,,,,,,,
"Alexandria 50MPC, Egypt-Israel-State of Palestine",,,,,,,,,,,,,,,,
"Athens 50MPC, Tunisia-Italy-Algeria",,,,,,,,,,,,,,,,
"Cebu City 50MPC, Philippines",,,,,,,,,,,,,,,,
"Berlin 50MPC, Poland-Germany-Czech Republic",,,,,,,,,,,,,,,,
"Hyderabad 50MPC, India",,,,,,,,,,,,,,,,
"Rostov-on-Don 50MPC, Russia-Ukraine-Turkey",,,,,,,,,,,,,,,,
"Berhampore 50MPC, India-Bangladesh",,,,,,,,,,,,,,,,
"Gwalior 50MPC, India-Pakistan",,,,,,,,,,,,,,,,
"Nanjing (Jiangsu Sheng) 50MPC, China",,,,,,,,,,,,,,,,
"Kathmandu 50MPC, India-Nepal",,,,,,,,,,,,,,,,
"Taiyuan 50MPC, China",,,,,,,,,,,,,,,,
"Montreal 50MPC, USA-Canada",,,,,,,,,,,,,,,,
"Mashhad 50MPC, Afghanistan-Iran-Turkmenistan",,,,,,,,,,,,,,,,
"Raipur 50MPC, India",,,,,,,,,,,,,,,,
"Ta'izz 50MPC, Ethiopia-Yemen",,,,,,,,,,,,,,,,
"Chengdu 50MPC, China",,,,,,,,,,,,,,,,
"Santiago 50MPC, Brazil-Argentina-Chile",,,,,,,,,,,,,,,,
"Douala 50MPC, Nigeria-Cameroon",,,,,,,,,,,,,,,,
"Nairobi 50MPC, Tanzania-Kenya",,,,,,,,,,,,,,,,
"Jieyang 50MPC, China",,,,,,,,,,,,,,,,
"Prayagraj 50MPC, India",,,,,,,,,,,,,,,,
"Toronto 50MPC, USA-Canada",,,,,,,,,,,,,,,,
"Sydney 50MPC, Australia-Papua New Guinea-Indonesia",,,,,,,,,,,,,,,,
"Dallas 50MPC, USA",0.8801157700318271,0.0032656626234920036,0.015465703042804977,0.009019028781468545,0.08198964172669197,0.2718679043759653,0.36872694627071895,0.28654144132047255,0.07286370803284334,0.05690503933436915,0.9430949606656308,0.6209981546950262,0.00014951620981304152,2.3498752914370015e-05,68253.0,10727.0
"Damascus 50MPC, Syria-Turkey-Lebanon",,,,,,,,,,,,,,,,
"Huizhou 50MPC, China",,,,,,,,,,,,,,,,
"Belo Horizonte 50MPC, Brazil",,,,,,,,,,,,,,,,
"Kampala (Outer) 50MPC, Uganda-Ethiopia-South Sudan",,,,,,,,,,,,,,,,
"Indore 50MPC, India",,,,,,,,,,,,,,,,
"Lanzhou 50MPC, China",,,,,,,,,,,,,,,,
"Wuhan 50MPC, China",,,,,,,,,,,,,,,,
"Miami 50MPC, USA-Haiti-Cuba",,,,,,,,,,,,,,,,
"Comilla 50MPC, Bangladesh",,,,,,,,,,,,,,,,
"Liuzhou 50MPC, China",,,,,,,,,,,,,,,,
"Los Angeles 50MPC, USA",0.8056210662160345,0.009788603111400482,0.022892389122884632,0.03833494433723373,0.11116008191090153,0.21302335700892905,0.361904802331486,0.31004666129293124,0.11502517936665377,0.06828812960306742,0.9317118703969325,0.6246773645499504,9.74029160025983e-05,2.940727471363753e-05,43476.0,13126.0
"Mirzapur 50MPC, India",,,,,,,,,,,,,,,,
"Karachi (Center) 50MPC, Pakistan",,,,,,,,,,,,,,,,
"Karachi (Outer) 50MPC, Pakistan-India-China",,,,,,,,,,,,,,,,
"Lyon 50MPC, France-Spain",,,,,,,,,,,,,,,,
"Myitkyina 50MPC, India-China-Myanmar",,,,,,,,,,,,,,,,
"Kampala (Center) 50MPC, Kenya-Uganda",,,,,,,,,,,,,,,,
"Bamako 50MPC, Ivory Coast-Burkina Faso-Mali",,,,,,,,,,,,,,,,
"Kinshasa 50MPC, Democratic Republic of the Congo-Angola",,,,,,,,,,,,,,,,
"Guayaquil 50MPC, Ecuador-Peru-Colombia",,,,,,,,,,,,,,,,
"Fuzhou (Fujian Sheng) 50MPC, China",,,,,,,,,,,,,,,,
"Kuala Lumpur 50MPC, Malaysia-Indonesia",,,,,,,,,,,,,,,,
"Jeddah 50MPC, Saudi Arabia-Yemen-Sudan",,,,,,,,,,,,,,,,
"Asyut 50MPC, Egypt-Sudan-Democratic Republic of the Congo",,,,,,,,,,,,,,,,
"Tehran 50MPC, Iran-Iraq",,,,,,,,,,,,,,,,
"Amman 50MPC, Egypt-Saudi Arabia-Jordan",,,,,,,,,,,,,,,,
"Manaus 50MPC, Brazil-Peru-Bolivia",,,,,,,,,,,,,,,,
"Luanda 50MPC, Democratic Republic of the Congo-Angola-Congo",,,,,,,,,,,,,,,,
