longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Historical Congressional District FL-4, 69th-72nd Congress, USA",12029332.0,1932.4603872846371,258.6082834575187,,,,46515.6484516709,0.010540751503124052
"Historical Congressional District FL-4, 73rd-74th Congress, USA",12029332.0,1932.4603872846371,258.6082834575187,,,,46515.6484516709,0.010540751503124052
"Historical Congressional District CA-11, 63rd-72nd Congress, USA",11293583.0,2483.6568619673744,86.71403693478105,,,,130239.38683069358,0.272558366438165
"Historical Congressional District IL-3, 23rd-27th Congress, USA",10936119.0,2828.354081992885,135.56643748730272,,,,80669.81181108551,0.40854832387118106
"Historical Congressional District CA-7, 58th-62nd Congress, USA",10013177.0,4567.88124768772,945.3985700619132,,,,10591.487354739966,0.2010764363522535
"Historical Congressional District TX-2, 41st-42nd Congress, USA",9872603.0,1439.7829342508721,41.68943052357168,,,,236813.0932951439,0.23121601303307424
"Historical Congressional District TX-2, 43rd Congress, USA",9872603.0,1439.7829342508721,41.68943052357168,,,,236813.0932951439,0.23121601303307424
"Historical Congressional District TX-4, 41st-42nd Congress, USA",9726256.0,1277.895813437459,29.023880782240727,,,,335112.1813438315,0.04931960777079876
"Historical Congressional District TX-4, 43rd Congress, USA",9726256.0,1277.895813437459,29.023880782240727,,,,335112.1813438315,0.04931960777079876
"Historical Congressional District IL-4, 28th-32nd Congress, USA",9561668.0,3152.441801491811,266.40891086217425,,,,35890.946624329306,0.38233676570787456
"Historical Congressional District TX-3, 47th Congress, USA",9366297.0,1498.1794281312457,42.28591544322496,,,,221499.21319725542,0.35101673179478077
"Historical Congressional District TX-3, 44th-46th Congress, USA",9330361.0,1501.4583519136006,43.2071263501279,,,,215944.9560332165,0.34231981980780385
"Historical Congressional District NY-1, 13th-16th Congress, USA",8597740.0,11070.989876212187,2267.4199094059254,,,,3791.8605037973084,0.008248373749111889
"Historical Congressional District NY-1, 17th Congress, USA",8597740.0,11070.989876212187,2267.4199094059254,,,,3791.8605037973084,0.008248373749111889
"Historical Congressional District NY-1, 1st-2nd Congress, USA",8551509.0,11029.20890493104,2256.6295859137163,,,,3789.504956143464,0.008356395932244314
"Historical Congressional District NY-1, 6th-7th Congress, USA",8551509.0,11029.20890493104,2256.6295859137163,,,,3789.504956143464,0.008356395932244314
"Historical Congressional District FL-1, 44th-47th Congress, USA",8469958.0,964.322053365442,102.97442161373895,,,,82253.02815267214,0.005253229417275388
"Historical Congressional District FL-1, 48th-57th Congress, USA",8065556.0,978.4523795864214,102.13124095025373,,,,78972.46645547551,0.005028042121342408
"Historical Congressional District NY-1, 11th-12th Congress, USA",8055775.0,11419.600411726518,2214.8308222419364,,,,3637.1965384903015,0.008602026332608865
"Historical Congressional District NY-2, 3rd-5th Congress, USA",8055775.0,11419.600411726518,2214.830822241904,,,,3637.1965384903547,0.008602026332610124
"Historical Congressional District TX-3, 41st-42nd Congress, USA",7969857.0,1662.0740921025135,131.57542071695994,,,,60572.53669851039,0.08854445770502313
"Historical Congressional District TX-3, 43rd Congress, USA",7969857.0,1662.0740921025135,131.57542071695994,,,,60572.53669851039,0.08854445770502313
"Historical Congressional District CA-19, 73rd-77th Congress, USA",7786557.0,2426.2630329444332,106.60555821814046,,,,73040.81635281007,0.5593118312003462
"Historical Congressional District NY-1, 33rd Congress, USA",7698410.0,9871.96633807115,2056.6440274023757,,,,3743.1903126781754,0.008306503959327598
