longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness
"Santa Clara Pueblo and Off-Reservation Trust Land, USA",11322.0,11005.0,0.028805088596092685,10669.0,0.061205361327209676,442.03026461319007,451.42783261284336,-0.020817431537751233,486.90767449050884,-0.09216821222684086,48.343086769728416,46.98954865755708,45.55488365538178,234.20101521298875,0.21851895665040066
"Lake Traverse Reservation and Off-Reservation Trust Land, USA",11045.0,10922.0,0.01126167368613807,10408.0,0.061202920830130667,146.24049571597618,144.58924940334302,0.011420256481357628,158.01198795484086,-0.07449746308000961,2.8266919084075663,2.795213130251466,2.663667667062558,3907.3943527939223,0.5240706792096336
"Tulalip Reservation and Off-Reservation Trust Land, USA",10969.0,10631.0,0.03179381055404007,9358.0,0.17215216926693738,229.77031839392188,223.63235174999963,0.027446684685335402,198.73469233562008,0.15616612124212975,115.81853378271325,112.24968845327966,98.80844554094544,94.70850339531066,0.3757602393824889
"Blackfeet Indian Reservation and Off-Reservation Trust Land, USA",10764.0,10405.0,0.03450264296011533,10100.0,0.06574257425742575,313.8545827870669,293.0258023047231,0.07108172836153029,302.9969745502281,0.03583404835297747,1.731310197494861,1.673567689049984,1.6245106832681249,6217.256743231278,0.4266232570767292
"Rosebud Indian Reservation and Off-Reservation Trust Land, USA",10599.0,10990.0,-0.035577797998180165,10562.0,0.003503124408256012,103.56933967738219,108.49869072886877,-0.045432355159056324,106.15541278680554,-0.024361198751278235,1.952723242154574,2.024759735001299,1.9459064896345513,5427.804499477045,0.0026368914922426452
"San Carlos Reservation, USA",10251.0,10068.0,0.018176400476758045,9385.0,0.09227490676611615,173.0762730073077,205.31281687652816,-0.157011843486649,200.08979795638996,-0.13500700797833745,1.3524756338391672,1.3283313512333172,1.2382190833655822,7579.434145442817,0.2679564761600921
"Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",9988.0,10004.0,-0.001599360255897641,10321.0,-0.03226431547330685,334.93249500586035,352.34794849820423,-0.04942686218714466,335.78103100833687,-0.002527051632215203,1.1676849036562713,1.1695554441507146,1.2066155276968737,8553.67742507027,0.1849909767434022
"White Earth Reservation and Off-Reservation Trust Land, USA",9726.0,9562.0,0.017151223593390504,9192.0,0.058093994778067884,67.45332093046189,69.77481200877686,-0.03327119072743558,63.60601675198086,0.060486481860400565,3.2175851915025975,3.1633302078087433,3.0409256714262676,3022.76378747815,0.3549045777214832
"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",9561.0,10204.0,-0.06301450411603293,10743.0,-0.1100251326445127,148.9515814479183,167.15764169160875,-0.10891551268280654,140.75498426940433,0.05823308653017731,0.8289033104124366,0.8846490303784649,0.9313783352955555,11534.517813956785,0.27412820235093005
"Eastern Cherokee Reservation, USA",9233.0,9016.0,0.02406832298136646,8036.0,0.1489547038327526,109.38307431970296,108.72097290211701,0.006089914391973325,96.9246869646585,0.12853678196130913,43.68915864761212,42.662347489101144,38.0251358055032,211.33389348308359,0.026426796127647815
"Colorado River Indian Reservation, USA",8431.0,8764.0,-0.0379963486992241,9204.0,-0.08398522381573229,363.92171830305307,319.74620324894653,0.1381580597525112,312.31546500036677,0.1652375853453997,7.01684583691548,7.293990856924121,7.6601884809595635,1201.5370147716064,0.446040940316102
"Fort Berthold Reservation, USA",8350.0,6341.0,0.3168269988960732,5915.0,0.41166525781910396,249.97630156713268,211.90658669155462,0.17965328718635482,184.5601618743406,0.3544434455867634,2.0367969869838425,1.5467460711933587,1.4428328356897517,4099.574014180452,0.4838371028051977
"Mississippi Choctaw Reservation and Off-Reservation Trust Land, USA",8080.0,7532.0,0.07275624004248539,5999.0,0.3468911485247541,82.97373560508025,88.45519850834053,-0.061968804498736464,70.16947504826649,0.1824762198663489,58.89365713075811,54.89938434515719,43.72562489200717,137.19643835431128,0.00906493965675306
"Port Madison Reservation, USA",7929.0,7642.0,0.03755561371368751,6515.0,0.2170376055257099,383.34723190341634,379.1441036897021,0.011085832992814158,321.312161578435,0.19306791881214888,255.70366758022882,246.44815583908547,210.10334144093716,31.008550151171455,0.21330498276115542
"Standing Rock Reservation, USA",7819.0,8217.0,-0.04843616891809663,8250.0,-0.05224242424242424,97.40070826290619,112.69374721722836,-0.13570441423731633,196.36301522277353,-0.503976305556292,0.8242169224918451,0.8661709236622959,0.869649521749293,9486.58027593138,0.2731728642814706
"Colville Reservation and Off-Reservation Trust Land, USA",7807.0,7687.0,0.015610771432288279,7587.0,0.028996968498747857,108.7872045497814,111.37181332560264,-0.023207027870372984,105.53308982413108,0.03083501801258019,1.3795115891556606,1.3583073633712774,1.340637175217625,5659.249303427981,0.2898451514110262
"Cheyenne River Reservation and Off-Reservation Trust Land, USA",7639.0,8090.0,-0.05574783683559951,8470.0,-0.09811097992916175,204.02009443027166,196.19031802242526,0.03990908668057424,168.1170011553892,0.21356015767672126,0.6674442464544497,0.7068495815966093,0.7400514160844599,11445.15072319427,0.35320946486802285
"Turtle Mountain Reservation and Off-Reservation Trust Land, USA",7619.0,8669.0,-0.12112123659014881,8335.0,-0.08590281943611278,58.50204822863355,79.79410879689752,-0.26683750077915314,105.203460524584,-0.4439151722108727,12.398917293481398,14.107653762592236,13.564112828608408,614.4891380157532,0.0026316511729004314
"Coeur d'Alene Reservation, USA",7567.0,6765.0,0.11855136733185513,6555.0,0.1543859649122807,80.49311199692727,92.59481668594212,-0.13069527131373598,108.69017628808014,-0.259426060883528,5.442839440812778,4.86597182728934,4.714921704047542,1390.2669888182522,0.39226474029841596
"Zuni Reservation and Off-Reservation Trust Land, USA",7461.0,7891.0,-0.05449245976428843,7758.0,-0.0382830626450116,405.3615605538135,513.990999645727,-0.21134502192993138,490.0771712650622,-0.1728617770392524,3.9788892527633375,4.208204676793391,4.137276882849212,1875.1464356084648,0.11257017748611821
"Crow Reservation and Off-Reservation Trust Land, USA",6974.0,6863.0,0.016173684977415125,6888.0,0.01248548199767712,86.41839555671814,87.49528502547263,-0.012307971434586113,90.13645929046696,-0.04124927651936348,0.74640040108175,0.7345204979386364,0.737196151799698,9343.510520482918,0.12313710505016408
"Allegany Reservation, USA",6664.0,6492.0,0.02649414664202095,6807.0,-0.0210077861025415,482.47305129945124,489.7377052755155,-0.014833764886404519,481.69315548818935,0.001619071814444781,53.04759385037249,51.678418258796256,54.185920068950416,125.62303992140835,0.10379239941816158
"Yankton Reservation, USA",6588.0,6465.0,0.019025522041763342,6500.0,0.01353846153846154,143.24650300908468,160.90995560435027,-0.10977227934048388,164.85484476766104,-0.13107495742105837,3.7161119156135105,3.6467309554403986,3.6664735050831543,1772.8206656855639,0.4600560693704517
"Ohkay Owingeh, USA",6580.0,6313.0,0.04229367970853794,6748.0,-0.024896265560165973,231.9093599893771,228.1198833667664,0.01661177695991564,228.90976212606435,0.013103844219893147,95.20364456351474,91.34051795280678,97.63437591407258,69.11500111332585,0.7483064839503117
"Hopi Reservation and Off-Reservation Trust Land, USA",6377.0,7185.0,-0.11245650661099513,6946.0,-0.08191765044630003,104.15317106653997,119.65784739974941,-0.12957508989286662,104.02510058724822,0.0012311497760517404,0.9719692899312485,1.0951229964177547,1.058695105513949,6560.9068784992905,0.1772544759155794
"Salt River Reservation, USA",6321.0,6289.0,0.005088249324216886,6405.0,-0.013114754098360656,287.55100917383635,266.31397386773125,0.0797443521181986,273.4032939878515,0.05174668885523192,28.631177411206078,28.486232358657656,29.011658174145694,220.77331676642808,0.3179918738577212
"Fort Hall Reservation and Off-Reservation Trust Land, USA",5977.0,5767.0,0.036414080110976244,5762.0,0.03731343283582089,61.49079173402652,66.88972889865197,-0.0807139938151887,75.20742262952024,-0.1823840043430726,2.6968954494888315,2.6021408829182016,2.5998848218093773,2216.2520245762134,0.23881600345357895
"Lummi Reservation, USA",5742.0,4706.0,0.22014449638759032,4193.0,0.3694252325304078,229.10140631909428,196.3750817701328,0.16665212436305613,158.84612252976905,0.4422851667415352,103.62018409215064,84.92451869342753,75.66691603942661,55.41391429003419,0.17654154854236653
"Red Lake Reservation, USA",5506.0,5903.0,-0.06725393867524987,5164.0,0.06622773044151821,77.18014601738436,76.79081759063581,0.005069986737529211,61.928655393325116,0.24627517789935904,1.6881041960961771,1.8098218433628286,1.583249195176291,3261.6470077693616,0.007028513153067221
"Nanakuli Hawaiian Home Land, USA",5135.0,5415.0,-0.05170821791320406,4627.0,0.10979036092500541,1063.355366017862,1151.6250644306692,-0.07664794831158458,1027.135989469522,0.03526249388559156,555.632470599721,585.9298594542337,500.6643508208198,9.241720510785745,0.23112964222807997
