longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %,geoid
"York County, Maine, USA",0.12850038053222904,0.10886871638094477,0.2920362795557453,0.11438225429872377,0.31282085961585704,0.07494270732556824,0.02877560852908166,0.07280960489145125,0.06148110883221766,0.09652659210814825,0.3201819976007103,0.02867552855281667,0.2821530191040097,0.06985657159810678,0.0398519407143686,0.13258707738348616,0.12125914889774603,0.031201456341988752,0.06582896688724657,0.17414784644557152,0.15075519523238248,0.24497207925390077,0.3195856455503511,0.7707417282612874,0.6983484836758154,0.6326895308489067,23031
"Okaloosa County, Florida, USA",0.17895230729346762,0.12323489349511128,0.26826403942411425,0.10427776663481121,0.33952163909325755,0.0695706763656683,0.031609705201852,0.07570033914847711,0.06344030106626593,0.11329064190900286,0.35925843432693655,0.03319856531070312,0.308298693888966,0.07226797181784368,0.054784103052382654,0.1436927235547786,0.14800279890634624,0.04237865245257501,0.08501597775377975,0.16555453666054393,0.17630184278568342,0.261075420378004,0.3468479499266559,0.7343522688377673,0.6092933121608735,0.8355309634740604,12091
"Butte County, California, USA",0.1732318100234711,0.12401036633071033,0.23909134106493696,0.10620840236550215,0.30413609116848445,0.06916016613741985,0.031244851350729425,0.0738477495512911,0.06156142712504022,0.10176242003773756,0.2994295296608224,0.032228438952551855,0.3021053833586448,0.07234915320539397,0.05451992153343476,0.15373945533618696,0.13645637742187852,0.042053551705094706,0.08803598877076683,0.1578556882507252,0.1416510826545173,0.20308322978507987,0.32424787726080334,0.6278939723411104,0.6240713620046942,0.8158654735606815,06007
"Washington County, Pennsylvania, USA",0.15773459092836017,0.11809058317689068,0.27825562889844485,0.10444246956943032,0.3469265851147602,0.07874185793011565,0.030933991400714407,0.07377541331072483,0.06584248168110007,0.09890978017319646,0.34390150790286467,0.032567038091200894,0.2888040331859738,0.07553190819354415,0.044553412462907935,0.1282695875976496,0.13500393023678434,0.035114897353600225,0.07583902985526556,0.16780695209834706,0.17303398534487963,0.24148038515109257,0.3318533458487254,0.765495585296428,0.6559689214558264,0.8554149881911205,42125
"Clermont County, Ohio, USA",0.15660376776115661,0.11734012925758543,0.2662855961270462,0.10211116296419302,0.3341878040519825,0.0683644638743024,0.027643529469741968,0.07857269791951871,0.060257104490726916,0.10550671382661571,0.3667695501621205,0.02858057010951398,0.2743239334913257,0.05943759041793422,0.04036306847841962,0.1311787151099844,0.1307055246168874,0.03324146305200527,0.07461145870820043,0.19386451519024342,0.20672819639069587,0.2555822558673822,0.3540637113654208,0.7384147286735998,0.6153996638227861,0.8387587371092066,39025
"Harrison County, Mississippi, USA",0.213475542747087,0.12283294152634798,0.254327758344781,0.10078868621925106,0.389667136362994,0.06187466897030276,0.03007463923073651,0.07580592808689593,0.06278083355756055,0.12206421622080897,0.35548984606233863,0.033676695509325436,0.37652411737215363,0.07475817484032701,0.0647469092093524,0.17404599011513341,0.17256217693625792,0.04769218132638452,0.09999569484372552,0.15214265786753164,0.20900900684010076,0.2955271125713392,0.3535620707235202,0.7614210556129912,0.5857132256100148,0.8159260830158765,28047
"Elkhart County, Indiana, USA",0.19392919283653115,0.1274625841679401,0.2575702201097715,0.10739623295422372,0.3247487622361803,0.06648724042324457,0.030546384315056678,0.0873693345781701,0.06173163865783964,0.11260178662366277,0.3824897866802464,0.032230924291291894,0.3154408419623173,0.06516801052452864,0.05493731256719239,0.15373284105697868,0.14768537458269707,0.04119616081027526,0.09165583800147069,0.144506181746167,0.20121605697957493,0.3031357650087701,0.3485404006111009,0.7534207265320005,0.6085765433146624,0.8114104778475647,18039
"Muscogee County, Georgia, USA",0.20711510613149167,0.13237636159023844,0.26755499090503776,0.10754995151712463,0.39066681294103506,0.05597541175055034,0.034648672560108285,0.06972299645402626,0.05787913254581093,0.14307818129056427,0.40291168331127364,0.03760626243037212,0.33982518561509545,0.05908614380657804,0.074902765293339,0.1668048581964367,0.16692587428425876,0.054314905122198366,0.10275442185055954,0.14444993523820335,0.19359408862811173,0.28029230573230396,0.41448712195743337,0.7724712181587828,0.5596634226786611,0.8455470920891492,13215
"Benton County, Washington, USA",0.15638265984792343,0.1182542130202579,0.24671382007386,0.11063895402657538,0.28512502910864795,0.06554263124930766,0.028303680886702577,0.060467008096470015,0.050577684058163624,0.09053386216103916,0.3287321012472858,0.02815737013859021,0.26478407612739335,0.0628490912019517,0.04715460434652392,0.1394027604044816,0.11641847123056553,0.03636450167135771,0.07689877468618195,0.17336207594992153,0.14269314004228179,0.2042994447495554,0.3023853763261902,0.6528595560171254,0.6482220730623852,0.805465810691596,53005
"Richmond County, Georgia, USA",0.2225320475522998,0.1379479053714525,0.2526503596836901,0.1125928962471239,0.39808263468303096,0.05608098833672735,0.03491550739202872,0.07556974822141717,0.06030787998201569,0.1432583970273199,0.3956168575282326,0.03960149824125264,0.35718995794874536,0.058533872418079246,0.08001992806326222,0.17897965539128752,0.17508560339583723,0.05820629578694045,0.11169455317235731,0.15048466716034997,0.1992363862368091,0.30404231572822693,0.42187975060167715,0.7838194573007846,0.5560068432466738,0.8341720993890666,13245
