longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Tanana ANVSA, USA",246.0,44.89722126343565,6.33197467631763,,,,38.850439645640165,0.27181615832604206
"Nulato ANVSA, USA",239.0,46.60775927615798,2.1079311649584023,,,,113.38131148353527,0.19431811988177913
"Modoc OTSA, USA",233.0,28.788601852150308,14.501542334139593,,,,16.067256477365888,0.7493475997571841
"Northway ANVSA, USA",227.0,13.544295994049492,2.31020022975823,,,,98.25988114621403,0.048875425931360246
"Nunam Iqua ANVSA, USA",217.0,69.07324530188258,7.096192210257715,,,,30.57978047526973,0.29900710653771023
"Old Harbor ANVSA, USA",216.0,30.6638523690385,4.492686715487004,,,,48.078135351706976,0.2008237381887899
"Kalskag ANVSA, USA",212.0,41.89979096153237,20.464797309494458,,,,10.359252368536508,0.4753101875856545
"Shaktoolik ANVSA, USA",212.0,67.48169587096362,81.72372789457592,,,,2.594105842473085,0.047173222736847716
"Aleknagik ANVSA, USA",211.0,16.30319876771671,4.139139691988138,,,,50.97677674624485,0.32329830772993684
"Grayling ANVSA, USA",210.0,32.73741391332148,7.290500615259928,,,,28.804606306519442,0.5246479506039702
"Mekoryuk ANVSA, USA",206.0,32.65921239990583,11.23289033901346,,,,18.339002143066605,0.10983254439235339
"Venetie ANVSA, USA",205.0,37.21741298506965,6.7536649809513785,,,,30.353889418293587,0.13082462733145114
"Cantwell ANVSA, USA",197.0,10.97280424910722,0.7520402743025825,,,,261.9540558285809,0.1449227506608545
"Eastern Chickahominy TDSA, USA",193.0,37.37419860523772,33.43354233158185,,,,5.7726458682091,0.4160304192132908
"Kobuk ANVSA, USA",191.0,54.764299318772494,4.60337173930858,,,,41.49132653551197,0.3642800794216656
"Port Alsworth ANVSA, USA",186.0,36.5714100416538,3.1630371381141535,,,,58.8042415812088,0.36806031723222665
"White Mountain ANVSA, USA",185.0,57.93756106738802,34.937272599746684,,,,5.29520441161573,0.24705157494167168
"New Koliganek ANVSA, USA",183.0,29.35582485860019,4.143557415223507,,,,44.16494853616716,0.16331397364671155
"Deering ANVSA, USA",182.0,57.9323992854499,14.06086464330634,,,,12.94372747458606,0.19858149913161746
"Allakaket ANVSA, USA",177.0,19.18311613515534,7.502418450220451,,,,23.59239239645438,0.13821402060566473
"Holy Cross ANVSA, USA",176.0,28.217447978633537,1.8847818021445741,,,,93.37950939453083,0.4439277629185806
"Golovin ANVSA, USA",175.0,35.42698087543824,16.408418884888473,,,,10.665256733613031,0.23767852514918356
