longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Trail CMA, BC, Canada",0.10803226937916517,0.3181339880743598,0.16450368291827436,0.1778323395299894,0.14345843563661873,0.08803928446159244
"Lachute CMA, QC, Canada",0.13770959686050657,0.31180877631109527,0.15982875490545848,0.16089903674634318,0.13770959686050663,0.09204423831608989
"Grand Falls-Windsor CMA, NL, Canada",0.10679611650485445,0.30816253146350225,0.19777058612010068,0.14491190219345562,0.1553398058252427,0.08701905789284432
"Ingersoll CMA, ON, Canada",0.07195301027900147,0.24779735682819384,0.18759177679882524,0.19713656387665204,0.17988252569750368,0.11563876651982376
"Prince Rupert CMA, BC, Canada",0.06436011904761899,0.24739583333333334,0.18898809523809523,0.2079613095238097,0.1804315476190475,0.11086309523809527
"Gander CMA, NL, Canada",0.09543413173652697,0.2638473053892216,0.21332335329341323,0.16841317365269454,0.1665419161676647,0.09244011976047904
"Lacombe CMA, AB, Canada",0.0837383177570093,0.23028037383177566,0.17682242990654207,0.1887850467289719,0.19551401869158885,0.12485981308411212
"Portage la Prairie CMA, MB, Canada",0.09480812641083523,0.24266365688487582,0.16328066215199397,0.1933784800601957,0.181339352896915,0.12452972159518437
"Sainte-Marie CMA, QC, Canada",0.10201751046821463,0.26760563380281693,0.18309859154929575,0.16977540921202894,0.16292348686714883,0.11457936810049489
"Thompson CMA, MB, Canada",0.022179732313575534,0.1575525812619503,0.18546845124282976,0.23403441682600387,0.22868068833652008,0.17208413001912046
"Estevan CMA, SK, Canada",0.06695379796397803,0.22474549725920143,0.19342208300704755,0.21221613155833996,0.17932654659357872,0.12333594361785437
"Wetaskiwin CMA, AB, Canada",0.10951812027080847,0.2401433691756273,0.17960971724412578,0.1720430107526881,0.18080446037435294,0.11788132218239748
"Weyburn CMA, SK, Canada",0.10789902280130297,0.21457654723127023,0.17752442996742696,0.19218241042345263,0.1836319218241041,0.12418566775244307
"Campbellton (New Brunswick part / partie du Nouveau-Brunswick) CMA, NB, Canada",0.11784232365145225,0.35477178423236516,0.17219917012448138,0.14647302904564313,0.1369294605809128,0.07178423236514522
"Elliot Lake CMA, ON, Canada",0.16893972723273204,0.41575010998680173,0.12846458424988996,0.1201055873295204,0.10030796304443466,0.06643202815662122
"Hawkesbury (Ontario part / partie de l'Ontario) CMA, ON, Canada",0.14264633546483024,0.35317265125430414,0.16330545991146084,0.14264633546483027,0.12739793408755534,0.07083128381701921
"Hawkesbury (partie du Québec / Quebec part) CMA, QC, Canada",0.11813186813186814,0.2912087912087912,0.1703296703296703,0.17307692307692307,0.1538461538461539,0.09340659340659344
"Campbellton (partie du Québec / Quebec part) CMA, QC, Canada",0.09338521400778209,0.36964980544747084,0.17898832684824903,0.14785992217898833,0.12062256809338522,0.08949416342412451
