longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Pembroke CMA, ON, Canada",0.34174709230388517,0.5332838406335069,0.1249690670626081
"Williams Lake CMA, BC, Canada",0.3575803981623277,0.5165900969882592,0.1258295048494131
"Quesnel CMA, BC, Canada",0.33161423414130936,0.5265600825167617,0.14182568334192883
"Essa CMA, ON, Canada",0.34117647058823525,0.5518467852257183,0.10697674418604648
"Edmundston CMA, NB, Canada",0.3856192425793244,0.4889969293756399,0.12538382804503573
"Cobourg CMA, ON, Canada",0.28002229033156867,0.573697408748955,0.14628030091947633
"Yellowknife CMA, NT, Canada",0.46977174583590375,0.4342998149290561,0.09592843923504009
"Sainte-Agathe-des-Monts CMA, QC, Canada",0.4791969741053245,0.3535059645039277,0.16729706139074782
"Yorkton CMA, SK, Canada",0.3306600863664402,0.565083281924738,0.10425663170882181
"Lloydminster (Alberta part / partie de l'Alberta) CMA, AB, Canada",0.3412443874278383,0.5532392559332906,0.10551635663887102
"Salmon Arm CMA, BC, Canada",0.2672619047619047,0.600297619047619,0.13244047619047622
"Terrace CMA, BC, Canada",0.4063571205983172,0.47896540978497987,0.11467746961670294
"North Battleford CMA, SK, Canada",0.36950904392764844,0.5229328165374677,0.1075581395348838
"Nelson CMA, BC, Canada",0.4010972264553491,0.45900640048765606,0.1398963730569947
"Amos CMA, QC, Canada",0.5621586893671697,0.3286219081272086,0.1092194025056217
"Camrose CMA, AB, Canada",0.3073202192841021,0.567236375362786,0.12544340535311196
"Swift Current CMA, SK, Canada",0.30019243104554166,0.6042334830019245,0.09557408595253376
"Tillsonburg CMA, ON, Canada",0.27437500000000015,0.595625,0.1300000000000001
"Matane CMA, QC, Canada",0.5130597014925375,0.36100746268656697,0.12593283582089554
"Petawawa CMA, ON, Canada",0.38986629134412387,0.5070372976776917,0.10309641097818441
"Summerside CMA, PE, Canada",0.3397269180754225,0.5344603381014305,0.12581274382314703
"Dawson Creek CMA, BC, Canada",0.3889081455805892,0.49428076256499137,0.1168110918544195
"Powell River CMA, BC, Canada",0.30006418485237474,0.5526315789473684,0.14730423620025684
"Steinbach CMA, MB, Canada",0.30317064481653005,0.6163163519771998,0.08051300320627004
"Port Hope CMA, ON, Canada",0.3079470198675497,0.5619205298013245,0.13013245033112578
"Lloydminster (Saskatchewan part / partie de la Saskatchewan) CMA, SK, Canada",0.3974158183241975,0.504306969459671,0.09827721221613156
"Sylvan Lake CMA, AB, Canada",0.36401994629842727,0.49520521672420414,0.1407748369773686
"Canmore CMA, AB, Canada",0.3839253677789738,0.5105848582705419,0.10548977395048435
"Ladysmith CMA, BC, Canada",0.29026021603009844,0.5765616782562965,0.13317810571360514
"Dolbeau-Mistassini CMA, QC, Canada",0.4456018518518518,0.4170524691358025,0.13734567901234565
"Cowansville CMA, QC, Canada",0.4683641975308643,0.38117283950617287,0.150462962962963
"Kenora CMA, ON, Canada",0.36727416798732165,0.5091125198098256,0.12361331220285263
"Brooks CMA, AB, Canada",0.3581375108790252,0.5443864229765014,0.09747606614447347
"Strathmore CMA, AB, Canada",0.3143478260869565,0.561304347826087,0.12434782608695658
"High River CMA, AB, Canada",0.27176669484361804,0.5955198647506339,0.1327134404057481
"Trail CMA, BC, Canada",0.32218597063621535,0.5354812398042416,0.14233278955954326
"Lachute CMA, QC, Canada",0.4677486475239285,0.3741156887224303,0.1581356637536413
"Grand Falls-Windsor CMA, NL, Canada",0.3110831234256925,0.5793450881612092,0.10957178841309824
"Ingersoll CMA, ON, Canada",0.31736794986571193,0.5528200537153087,0.12981199641897942
"Prince Rupert CMA, BC, Canada",0.4538496172895092,0.4394416929311121,0.10670868977937874
"Gander CMA, NL, Canada",0.3167838312829526,0.5821616871704746,0.10105448154657296
"Lacombe CMA, AB, Canada",0.29859813084112147,0.5850467289719626,0.11635514018691587
"Portage la Prairie CMA, MB, Canada",0.38937644341801386,0.5016166281755197,0.10900692840646645
"Sainte-Marie CMA, QC, Canada",0.4916434540389973,0.4062209842154131,0.10213556174558958
"Thompson CMA, MB, Canada",0.5041322314049587,0.4121900826446281,0.08367768595041324
"Estevan CMA, SK, Canada",0.3333333333333337,0.5652173913043474,0.10144927536231894
"Wetaskiwin CMA, AB, Canada",0.3552952659834065,0.5036603221083455,0.14104441190824796
"Weyburn CMA, SK, Canada",0.31288032454361026,0.5775862068965519,0.10953346855983771
"Campbellton (New Brunswick part / partie du Nouveau-Brunswick) CMA, NB, Canada",0.40573577809120825,0.4706158909261872,0.12364833098260454
"Elliot Lake CMA, ON, Canada",0.27625122669283586,0.5510304219823359,0.17271835132482824
"Hawkesbury (Ontario part / partie de l'Ontario) CMA, ON, Canada",0.39388888888888884,0.445,0.1611111111111111
"Hawkesbury (partie du Québec / Quebec part) CMA, QC, Canada",0.4563106796116505,0.3851132686084142,0.15857605177993528
"Campbellton (partie du Québec / Quebec part) CMA, QC, Canada",0.48444444444444446,0.38222222222222224,0.13333333333333333
