longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Kampala 100MPC, Uganda-Tanzania-Kenya",,,,,,,,,,,,1943.6001,,,,,,1498.6199,,,,
"Shanghai 100MPC, China",,,,,,,,,,,,11300.039,,,,,,9517.109,,,,
"Kano 100MPC, Nigeria-Niger",,,,,,,,,,,,2949.0732,,,,,,1885.411,,,,
"Delhi [New Delhi] 100MPC, India",,,,,,,,,,,,10999.47,,,,,,9131.349,,,,
"Moscow 100MPC, Ukraine-Russia-Belarus",,,,,,,,,,,,4109.6274,,,,,,3242.5754,,,,
"Barcelona 100MPC, Italy-Algeria-France",,,,,,,,,,,,3262.3306,,,,,,2406.3713,,,,
"Lagos 100MPC, Nigeria",,,,,,,,,,,,5802.897,,,,,,4353.147,,,,
"Beijing 100MPC, China",,,,,,,,,,,,7062.6987,,,,,,6028.3584,,,,
"Jakarta 100MPC, Indonesia",,,,,,,,,,,,7303.848,,,,,,6847.5645,,,,
"Berlin 100MPC, Poland-Germany-Czech Republic",,,,,,,,,,,,1819.0242,,,,,,1408.0734,,,,
"Madrid 100MPC, Spain-Morocco-Algeria",,,,,,,,,,,,4886.4316,,,,,,3319.884,,,,
"Bangkok 100MPC, Thailand-Vietnam-Cambodia",,,,,,,,,,,,5414.4546,,,,,,4964.792,,,,
"Bogura 100MPC, India-Bangladesh",,,,,,,,,,,,2871.0447,,,,,,1908.8905,,,,
"Cairo 100MPC, Egypt-Israel-Jordan",,,,,,,,,,,,14971.715,,,,,,12278.215,,,,
"Hyderabad 100MPC, India",,,,,,,,,,,,5100.04,,,,,,3877.2744,,,,
"New York 100MPC, USA-Canada",,,,,,,,,,,,2845.7593,,,,,,2453.3765,,,,
"Zhengzhou 100MPC, China",,,,,,,,,,,,3593.0186,,,,,,2795.4236,,,,
"Surabaya 100MPC, Indonesia",,,,,,,,,,,,2783.8826,,,,,,2200.1257,,,,
"Patna 100MPC, India",,,,,,,,,,,,3910.8152,,,,,,2890.3716,,,,
"São Paulo 100MPC, Brazil",,,,,,,,,,,,5418.2656,,,,,,4571.2246,,,,
"Kinshasa 100MPC, Democratic Republic of the Congo-Angola",,,,,,,,,,,,10476.032,,,,,,8199.993,,,,
"Xiamen 100MPC, China-Vietnam-Thailand",,,,,,,,,,,,3657.7922,,,,,,2292.7092,,,,
"Mumbai 100MPC, India",,,,,,,,,,,,17723.633,,,,,,13025.693,,,,
"Rawalpindi [Islamabad] 100MPC, Pakistan-India",,,,,,,,,,,,3473.3208,,,,,,2604.1704,,,,
"Kolkata 100MPC, India",,,,,,,,,,,,4758.4985,,,,,,3298.226,,,,
"Tehran 100MPC, Iran-Iraq-Azerbaijan",,,,,,,,,,,,6675.0,,,,,,4732.344,,,,
"London 100MPC, United Kingdom-France-Germany",,,,,,,,,,,,3148.402,,,,,,2672.6606,,,,
"Guangzhou 100MPC, China",,,,,,,,,,,,10261.355,,,,,,7872.464,,,,
"Dortmund 100MPC, Germany-France-Netherlands",,,,,,,,,,,,2084.7234,,,,,,1675.8054,,,,
"Bamako 100MPC, Mali-Senegal-Guinea",,,,,,,,,,,,2753.2283,,,,,,1861.2026,,,,
"Lima 100MPC, Peru-Brazil-Ecuador",,,,,,,,,,,,4649.016,,,,,,3639.1587,,,,
"Miami 100MPC, USA-Guatemala-Mexico",,,,,,,,,,,,1803.9452,,,,,,1356.3176,,,,
"Lanzhou 100MPC, China",,,,,,,,,,,,3515.0798,,,,,,2202.972,,,,
"Lucknow 100MPC, India",,,,,,,,,,,,4297.159,,,,,,3226.0256,,,,
"Hanoi 100MPC, China-Vietnam",,,,,,,,,,,,3971.4028,,,,,,2892.8403,,,,
"Xi'an 100MPC, China",,,,,,,,,,,,4464.455,,,,,,3282.664,,,,
"Yaounde 100MPC, Cameroon-Sudan-Chad",,,,,,,,,,,,4580.4517,,,,,,3074.3086,,,,
"Guiyang (Guizhou Sheng) 100MPC, China",,,,,,,,,,,,3219.4185,,,,,,1997.1407,,,,
"Saint Petersburg 100MPC, Romania-Russia-Germany",,,,,,,,,,,,2410.138,,,,,,1766.1158,,,,
"Kabul 100MPC, Afghanistan-Uzbekistan-Pakistan",,,,,,,,,,,,3831.142,,,,,,2829.114,,,,
"Bogota 100MPC, Colombia-Venezuela-Haiti",,,,,,,,,,,,6571.031,,,,,,5195.9385,,,,
"Jaipur 100MPC, India",,,,,,,,,,,,3761.8157,,,,,,2491.8733,,,,
"Johannesburg 100MPC, South Africa-Mozambique-Malawi",,,,,,,,,,,,2189.663,,,,,,1640.5385,,,,
"Indore 100MPC, India-Nepal",,,,,,,,,,,,3774.7554,,,,,,2921.248,,,,
"Nairobi 100MPC, Kenya-Tanzania-Democratic Republic of the Congo",,,,,,,,,,,,3148.628,,,,,,2148.2031,,,,
"Abidjan 100MPC, Ghana-Burkina Faso-Ivory Coast",,,,,,,,,,,,3902.4036,,,,,,3056.6145,,,,
"Khartoum 100MPC, Saudi Arabia-Sudan-Yemen",,,,,,,,,,,,5352.4253,,,,,,3787.0017,,,,
"Kuala Lumpur 100MPC, Indonesia-Malaysia",,,,,,,,,,,,4182.4556,,,,,,3188.9797,,,,
"Kuwait City 100MPC, Egypt-Russia-Iran",,,,,,,,,,,,4749.365,,,,,,3366.2117,,,,
"Chicago 100MPC, USA",1961.9211613568814,1943.9582832421502,0.009240361930386989,2092.2163074112227,-0.062276135403781636,1266.9168787409546,1238.0740227429826,0.023296552118967813,1326.472060816807,-0.04489742666662714,834.3132255985374,820.41876,803.4790576713209,0.038375820294036654,857.6976725030752,-0.027264207020981406,691.3764906432508,702.97516,662.5273435068397,0.043544085265536395,702.5638286113013,-0.015923589448326152
"Wenzhou 100MPC, China",,,,,,,,,,,,4626.965,,,,,,3281.4084,,,,
"Athens 100MPC, Russia-United Kingdom-Greece",,,,,,,,,,,,2362.133,,,,,,1623.257,,,,
"Yangon 100MPC, Myanmar-China-Thailand",,,,,,,,,,,,2735.5452,,,,,,1839.9735,,,,
"Seoul (Center) 100MPC, China-North Korea-South Korea",,,,,,,,,,,,8182.0415,,,,,,6061.456,,,,
"Nagpur 100MPC, India",,,,,,,,,,,,3303.4734,,,,,,2266.2505,,,,
"Fortaleza 100MPC, Brazil-Ecuador-Nicaragua",,,,,,,,,,,,3116.3938,,,,,,2270.6074,,,,
"Handan 100MPC, China",,,,,,,,,,,,2682.638,,,,,,1954.1653,,,,
"Karachi 100MPC, Pakistan-Iran-Afghanistan",,,,,,,,,,,,13819.31,,,,,,10769.568,,,,
"Vijayawada 100MPC, India",,,,,,,,,,,,3033.7205,,,,,,1756.1528,,,,
"Los Angeles 100MPC, USA",3382.877555661067,3302.881365316702,0.024220122219465318,3532.7401430512646,-0.04242106164671357,2610.1804861264113,2525.124263701259,0.03368397494247629,2593.3517430936795,0.006489186465950189,1871.7580019381392,1852.6072,1789.1182998277047,0.046190183241875495,1807.6128015672061,0.0354861396839627,1534.45048450105,1566.0198,1463.680118210603,0.04835097874866673,1471.1114545494104,0.04305522178877994
"Ahmedabad 100MPC, India-Pakistan",,,,,,,,,,,,5157.8145,,,,,,3598.0398,,,,
