longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Cibao Nordeste, Dominican Republic",,,,,,,,,,,,,,,1633.9723,,,,,,,898.6087,,,,
"Žilinský kraj, Slovakia",,,,,,,,,,,,,,,813.6098,,,,,,,450.9637,,,,
"Cluj, Romania",,,,,,,,,,,,,,,3315.483,,,,,,,2275.3079,,,,
"El Oro, Ecuador",,,,,,,,,,,,,,,3220.9875,,,,,,,1876.067,,,,
"Laghmān, Afghanistan",,,,,,,,,,,,,,,2134.1958,,,,,,,1076.6438,,,,
"Hòa Bình, Vietnam",,,,,,,,,,,,,,,723.99927,,,,,,,438.48962,,,,
"Niamey, Niger",,,,,,,,,,,,,,,7856.373,,,,,,,7050.9053,,,,
"Kouilou, Congo",,,,,,,,,,,,,,,3563.15,,,,,,,3105.6807,,,,
"Aargau, Switzerland",,,,,,,,,,,,,,,1012.2965,,,,,,,754.5476,,,,
"Kohgīlūyeh va Bowyer Aḩmad, Iran",,,,,,,,,,,,,,,3426.3982,,,,,,,1392.647,,,,
"Banjul, The Gambia",,,,,,,,,,,,,,,9920.609,,,,,,,7771.8687,,,,
"Trujillo, Venezuela",,,,,,,,,,,,,,,1627.5409,,,,,,,841.0689,,,,
"Agadez, Niger",,,,,,,,,,,,,,,5966.2627,,,,,,,2830.358,,,,
"Lào Cai, Vietnam",,,,,,,,,,,,,,,1401.0431,,,,,,,614.24756,,,,
"Vihiga, Kenya",,,,,,,,,,,,,,,1211.1536,,,,,,,1196.2672,,,,
"Itapúa, Paraguay",,,,,,,,,,,,,,,1020.4346,,,,,,,652.84875,,,,
"Yuma, Dominican Republic",,,,,,,,,,,,,,,3403.1726,,,,,,,1925.029,,,,
"Plovdiv, Bulgaria",,,,,,,,,,,,,,,3677.7646,,,,,,,2592.6606,,,,
"Nyamira, Kenya",,,,,,,,,,,,,,,846.3895,,,,,,,844.5627,,,,
"Ziguinchor, Senegal",,,,,,,,,,,,,,,3483.7244,,,,,,,1978.1221,,,,
"Nitriansky kraj, Slovakia",,,,,,,,,,,,,,,708.08215,,,,,,,357.71063,,,,
"Bioko Norte, Equatorial Guinea",,,,,,,,,,,,,,,11168.956,,,,,,,7544.677,,,,
"Adıyaman, Turkey",,,,,,,,,,,,,,,3523.2095,,,,,,,1701.7743,,,,
"Aklan, Philippines",,,,,,,,,,,,,,,1068.1383,,,,,,,738.73785,,,,
"Severnaya Osetiya-Alaniya, Respublika, Russia",,,,,,,,,,,,,,,2745.731,,,,,,,1927.825,,,,
"Camarines Norte, Philippines",,,,,,,,,,,,,,,1153.1163,,,,,,,757.9344,,,,
"Fryslân, Netherlands",,,,,,,,,,,,,,,971.5719,,,,,,,543.79767,,,,
"As Suways, Egypt",,,,,,,,,,,,,,,6427.7593,,,,,,,4494.5093,,,,
"Oslo, Norway",,,,,,,,,,,,,,,4732.955,,,,,,,3890.425,,,,
"Antique, Philippines",,,,,,,,,,,,,,,621.09106,,,,,,,408.14423,,,,
"Higuamo, Dominican Republic",,,,,,,,,,,,,,,3073.8284,,,,,,,1645.3436,,,,
"Ilocos Norte, Philippines",,,,,,,,,,,,,,,892.0713,,,,,,,644.7739,,,,
"Ordu, Turkey",,,,,,,,,,,,,,,2906.9478,,,,,,,1338.0226,,,,
"Banskobystrický kraj, Slovakia",,,,,,,,,,,,,,,714.34863,,,,,,,360.89127,,,,
"Bari, Somalia",,,,,,,,,,,,,,,4764.1255,,,,,,,1874.0878,,,,
"Enga, Papua New Guinea",,,,,,,,,,,,,,,741.28064,,,,,,,452.48056,,,,
"Simane, Japan",,,,,,,,,,,,,,,1031.6711,,,,,,,687.4162,,,,
"Tororo, Uganda",,,,,,,,,,,,,,,670.51074,,,,,,,613.5147,,,,
"Cibitoke, Burundi",,,,,,,,,,,,,,,1151.4989,,,,,,,630.11017,,,,
"Neuquén, Argentina",,,,,,,,,,,,,,,2251.6455,,,,,,,1426.2087,,,,
"Davao Oriental, Philippines",,,,,,,,,,,,,,,703.56616,,,,,,,414.8925,,,,
"Isingiro, Uganda",,,,,,,,,,,,,,,493.80737,,,,,,,409.0715,,,,
"Constanţa, Romania",,,,,,,,,,,,,,,2415.0513,,,,,,,1565.7944,,,,
"Harjumaa, Estonia",,,,,,,,,,,,,,,3173.9722,,,,,,,2208.5142,,,,
"Borsod-Abaúj-Zemplén, Hungary",,,,,,,,,,,,,,,800.2086,,,,,,,487.8678,,,,
"Surigao del Sur, Philippines",,,,,,,,,,,,,,,701.0643,,,,,,,347.90353,,,,
"Mbarara, Uganda",,,,,,,,,,,,,,,1777.7458,,,,,,,1244.4785,,,,
"Al Aḩmadī, Kuwait",,,,,,,,,,,,,,,2720.4329,,,,,,,1998.216,,,,
"Ruyigi, Burundi",,,,,,,,,,,,,,,536.7772,,,,,,,375.09213,,,,
"Mudug, Somalia",,,,,,,,,,,,,,,3253.6838,,,,,,,1232.2756,,,,
"Kampong Thum [Kâmpóng Thum], Cambodia",,,,,,,,,,,,,,,383.9137,,,,,,,249.35135,,,,
"Chubut, Argentina",,,,,,,,,,,,,,,2614.387,,,,,,,1453.3026,,,,
"Batman, Turkey",,,,,,,,,,,,,,,8687.336,,,,,,,5221.219,,,,
"Prachin Buri, Thailand",,,,,,,,,,,,,,,633.1472,,,,,,,411.24847,,,,
"Sikkim, India",,,,,,,,,,,,,,,1669.6552,,,,,,,946.733,,,,
"Mariy El, Respublika, Russia",,,,,,,,,,,,,,,2582.0754,,,,,,,1663.1813,,,,
"Maţrūḩ, Egypt",,,,,,,,,,,,,,,1355.795,,,,,,,813.69904,,,,
"Bongolava, Madagascar",,,,,,,,,,,,,,,365.63,,,,,,,169.38268,,,,
"Elazığ, Turkey",,,,,,,,,,,,,,,5477.1357,,,,,,,3158.8594,,,,
"Vermont, USA",1173.6025850656792,,1234.7819043020156,-0.04954666004027583,1219.4149051311342,-0.03756909963350692,636.6066963403158,,635.6201502252153,0.0015521001257605704,622.2470962638502,0.023077006164729102,304.1773341305683,,289.2575,286.9002913993267,0.06021967648403066,267.04611901537936,0.13904420424492486,181.40186099668603,,174.0239,168.04097886957732,0.07950966613613084,154.73062077886962,0.17237208823671113
"Yaracuy, Venezuela",,,,,,,,,,,,,,,1859.5936,,,,,,,797.10834,,,,
"Aveiro, Portugal",,,,,,,,,,,,,,,633.09515,,,,,,,483.80765,,,,
"Iganga, Uganda",,,,,,,,,,,,,,,1521.8418,,,,,,,1070.54,,,,
"Wasaţ Dārfūr, Sudan",,,,,,,,,,,,,,,3103.9563,,,,,,,1142.4573,,,,
"Jowzjān, Afghanistan",,,,,,,,,,,,,,,2222.096,,,,,,,1158.8799,,,,
"Chuquisaca, Bolivia",,,,,,,,,,,,,,,3533.9463,,,,,,,2202.8184,,,,
"Dolj, Romania",,,,,,,,,,,,,,,2637.877,,,,,,,1742.1355,,,,
"Rīga, Latvia",,,,,,,,,,,,,,,4093.97,,,,,,,3180.844,,,,
"Caaguazú, Paraguay",,,,,,,,,,,,,,,1384.3806,,,,,,,746.6245,,,,
"Madang, Papua New Guinea",,,,,,,,,,,,,,,661.60895,,,,,,,330.03677,,,,
"Makamba, Burundi",,,,,,,,,,,,,,,932.377,,,,,,,505.0365,,,,
"Kríti, Greece",,,,,,,,,,,,,,,1764.0049,,,,,,,1000.015,,,,
"Conakry, Guinea",,,,,,,,,,,,,,,13668.658,,,,,,,9656.477,,,,
"Al Buḩayrah, Chad",,,,,,,,,,,,,,,418.35907,,,,,,,180.86847,,,,
"Casanare, Colombia",,,,,,,,,,,,,,,2861.6946,,,,,,,1295.4872,,,,
"Hela, Papua New Guinea",,,,,,,,,,,,,,,930.3093,,,,,,,511.26804,,,,
"Unity, South Sudan",,,,,,,,,,,,,,,612.9709,,,,,,,247.30464,,,,
"Kunaṟ, Afghanistan",,,,,,,,,,,,,,,771.18634,,,,,,,467.00208,,,,
"Quảng Trị, Vietnam",,,,,,,,,,,,,,,904.2214,,,,,,,535.2037,,,,
"Raymah, Yemen",,,,,,,,,,,,,,,2421.2422,,,,,,,1032.1926,,,,
"Sukhothai, Thailand",,,,,,,,,,,,,,,516.9038,,,,,,,280.89597,,,,
"Ağrı, Turkey",,,,,,,,,,,,,,,4102.2104,,,,,,,1626.1425,,,,
"Bratislavský kraj, Slovakia",,,,,,,,,,,,,,,2084.6335,,,,,,,1401.5862,,,,
"Kostromskaya oblast', Russia",,,,,,,,,,,,,,,2050.4783,,,,,,,1315.2559,,,,
"Savannah, Ghana",,,,,,,,,,,,,,,1128.33,,,,,,,397.3948,,,,
"Mbale, Uganda",,,,,,,,,,,,,,,2085.2034,,,,,,,1745.277,,,,
"Bizerte, Tunisia",,,,,,,,,,,,,,,1820.1761,,,,,,,1068.0702,,,,
"Antofagasta, Chile",,,,,,,,,,,,,,,4802.2314,,,,,,,2564.7695,,,,
"Kairouan, Tunisia",,,,,,,,,,,,,,,718.64435,,,,,,,381.55737,,,,
"Monastir, Tunisia",,,,,,,,,,,,,,,2401.294,,,,,,,1354.2589,,,,
"Jihočeský kraj, Czech Republic",,,,,,,,,,,,,,,725.1998,,,,,,,420.56805,,,,
"Oruro, Bolivia",,,,,,,,,,,,,,,2841.153,,,,,,,2024.1095,,,,
"Suchitepéquez, Guatemala",,,,,,,,,,,,,,,1795.499,,,,,,,918.81903,,,,
"Yoro, Honduras",,,,,,,,,,,,,,,1442.7654,,,,,,,740.3828,,,,
"North East, Ghana",,,,,,,,,,,,,,,1144.4772,,,,,,,408.80142,,,,
"Chanthaburi, Thailand",,,,,,,,,,,,,,,951.47217,,,,,,,668.6888,,,,
"Navarra, Comunidad Foral de, Spain",,,,,,,,,,,,,,,3665.7463,,,,,,,2376.107,,,,
"Vestland, Norway",,,,,,,,,,,,,,,900.908,,,,,,,584.8413,,,,
"Asunción, Paraguay",,,,,,,,,,,,,,,3854.8958,,,,,,,3581.8445,,,,
"Narathiwat, Thailand",,,,,,,,,,,,,,,754.3448,,,,,,,408.06293,,,,
"Al Mafraq, Jordan",,,,,,,,,,,,,,,1495.7955,,,,,,,828.01166,,,,
"Tarija, Bolivia",,,,,,,,,,,,,,,2582.2634,,,,,,,1624.4285,,,,
"Mayuge, Uganda",,,,,,,,,,,,,,,667.29425,,,,,,,535.9447,,,,
"Kampot [Kâmpôt], Cambodia",,,,,,,,,,,,,,,384.32132,,,,,,,297.05765,,,,
"Nimba, Liberia",,,,,,,,,,,,,,,709.1278,,,,,,,335.91998,,,,
"Kāpīsā, Afghanistan",,,,,,,,,,,,,,,1528.3538,,,,,,,1003.10754,,,,
"Western Equatoria, South Sudan",,,,,,,,,,,,,,,1967.157,,,,,,,930.8339,,,,
"Şırnak, Turkey",,,,,,,,,,,,,,,5343.3936,,,,,,,1776.0323,,,,
"Kütahya, Turkey",,,,,,,,,,,,,,,2395.9458,,,,,,,1196.5287,,,,
"Olomoucký kraj, Czech Republic",,,,,,,,,,,,,,,910.81354,,,,,,,497.37854,,,,
"Canterbury, New Zealand",,,,,,,,,,,,,,,1211.3146,,,,,,,982.84015,,,,
"Suceava, Romania",,,,,,,,,,,,,,,734.73804,,,,,,,406.71902,,,,
"Guelma, Algeria",,,,,,,,,,,,,,,2127.217,,,,,,,1018.39734,,,,
"Gambēla Hizboch, Ethiopia",,,,,,,,,,,,,,,1731.4655,,,,,,,683.60944,,,,
"Gaza, State of Palestine",,,,,,,,,,,,,,,14879.728,,,,,,,10903.886,,,,
"Paktīkā, Afghanistan",,,,,,,,,,,,,,,561.158,,,,,,,276.86206,,,,
"Kamuli, Uganda",,,,,,,,,,,,,,,535.7605,,,,,,,475.37814,,,,
"Ninh Thuận, Vietnam",,,,,,,,,,,,,,,1532.2974,,,,,,,1082.0063,,,,
"Mindoro Occidental, Philippines",,,,,,,,,,,,,,,676.7537,,,,,,,392.78613,,,,
"Lunda-Sul, Angola",,,,,,,,,,,,,,,5617.164,,,,,,,4037.2375,,,,
"Panamá Oest, Panama",,,,,,,,,,,,,,,2149.4102,,,,,,,1521.442,,,,
"Quindío, Colombia",,,,,,,,,,,,,,,5066.489,,,,,,,3032.785,,,,
"Chimbu, Papua New Guinea",,,,,,,,,,,,,,,1385.7399,,,,,,,721.9621,,,,
"Karuzi, Burundi",,,,,,,,,,,,,,,526.28864,,,,,,,470.6101,,,,
"Jiwaka, Papua New Guinea",,,,,,,,,,,,,,,698.86255,,,,,,,492.70306,,,,
"Ḩā'il, Saudi Arabia",,,,,,,,,,,,,,,1182.1849,,,,,,,911.3107,,,,
"Anatolikí Makedonía kai Thráki, Greece",,,,,,,,,,,,,,,1166.0059,,,,,,,475.8736,,,,
"Kirinyaga, Kenya",,,,,,,,,,,,,,,742.8397,,,,,,,642.1581,,,,
"Pskovskaya oblast', Russia",,,,,,,,,,,,,,,1613.0548,,,,,,,1050.4337,,,,
"Argeş, Romania",,,,,,,,,,,,,,,1445.5052,,,,,,,872.1694,,,,
"Formosa, Argentina",,,,,,,,,,,,,,,1821.868,,,,,,,1179.9465,,,,
"Lakes, South Sudan",,,,,,,,,,,,,,,1296.6207,,,,,,,627.82245,,,,
"Ntungamo, Uganda",,,,,,,,,,,,,,,360.3915,,,,,,,342.60938,,,,
"Sīlā, Chad",,,,,,,,,,,,,,,1314.2493,,,,,,,447.9508,,,,
"Salima, Malawi",,,,,,,,,,,,,,,487.55612,,,,,,,368.15488,,,,
"Dāykundī, Afghanistan",,,,,,,,,,,,,,,1963.536,,,,,,,640.14374,,,,
"Trenčiansky kraj, Slovakia",,,,,,,,,,,,,,,796.4302,,,,,,,424.19797,,,,
"Nordjylland, Denmark",,,,,,,,,,,,,,,702.9799,,,,,,,457.69635,,,,
"Batys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,,1416.7618,,,,,,,869.01,,,,
"Sa Kaeo, Thailand",,,,,,,,,,,,,,,419.9566,,,,,,,255.25787,,,,
"Loei, Thailand",,,,,,,,,,,,,,,576.99506,,,,,,,314.74277,,,,
"Kon Tum, Vietnam",,,,,,,,,,,,,,,1587.8143,,,,,,,882.95544,,,,
"Saint Andrew, Jamaica",,,,,,,,,,,,,,,4472.2563,,,,,,,3984.8118,,,,
"Çorum, Turkey",,,,,,,,,,,,,,,3371.8735,,,,,,,1800.2233,,,,
"Chişinău, Moldova",,,,,,,,,,,,,,,3189.4785,,,,,,,2635.3147,,,,
"Ouham-Pendé, Central African Republic",,,,,,,,,,,,,,,673.95056,,,,,,,223.16498,,,,
"Comayagua, Honduras",,,,,,,,,,,,,,,1358.3239,,,,,,,713.4437,,,,
"Totonicapán, Guatemala",,,,,,,,,,,,,,,1346.5729,,,,,,,970.9756,,,,
"Matagalpa, Nicaragua",,,,,,,,,,,,,,,2285.912,,,,,,,885.2811,,,,
"Çanakkale, Turkey",,,,,,,,,,,,,,,1486.499,,,,,,,644.50116,,,,
"Roraima, Brazil",,,,,,,,,,,,,,,2166.0706,,,,,,,1677.0792,,,,
"Olancho, Honduras",,,,,,,,,,,,,,,750.29193,,,,,,,333.94305,,,,
"Lōgar, Afghanistan",,,,,,,,,,,,,,,1196.0873,,,,,,,681.71735,,,,
"Adrar, Algeria",,,,,,,,,,,,,,,1196.236,,,,,,,560.8603,,,,
"Hodh ech Chargui, Mauritania",,,,,,,,,,,,,,,1463.4292,,,,,,,434.11545,,,,
"Tungurahua, Ecuador",,,,,,,,,,,,,,,2220.2551,,,,,,,1679.5151,,,,
"Bacău, Romania",,,,,,,,,,,,,,,1247.0366,,,,,,,715.6903,,,,
"Osmaniye, Turkey",,,,,,,,,,,,,,,6402.009,,,,,,,3191.5266,,,,
"Hajdú-Bihar, Hungary",,,,,,,,,,,,,,,1169.9319,,,,,,,745.3853,,,,
"Kareliya, Respublika, Russia",,,,,,,,,,,,,,,2008.6909,,,,,,,1287.754,,,,
"Wyoming, USA",1226.2494080476797,,1262.6524537235177,-0.02883061413177215,1364.303141195202,-0.10118992544910502,851.9270026938747,,864.3864697373264,-0.014414231920171001,873.0365187153295,-0.02417941926703987,434.54902227070176,,427.4558,429.3001282435763,0.01222663046619763,412.42300477075713,0.05364884413332675,271.2914511908639,,270.01727,260.9050031157962,0.039809309714378724,246.6658839771215,0.09983369737513613
"Pinar del Río, Cuba",,,,,,,,,,,,,,,2122.9639,,,,,,,1054.2089,,,,
"Novgorodskaya oblast', Russia",,,,,,,,,,,,,,,1609.6732,,,,,,,1004.21704,,,,
"Plzeňský kraj, Czech Republic",,,,,,,,,,,,,,,934.7064,,,,,,,634.73737,,,,
"Tottori, Japan",,,,,,,,,,,,,,,1448.6835,,,,,,,975.8916,,,,
"Canelones, Uruguay",,,,,,,,,,,,,,,1333.7887,,,,,,,819.2884,,,,
"Ihorombe, Madagascar",,,,,,,,,,,,,,,529.1624,,,,,,,186.54672,,,,
"Connaught, Ireland",,,,,,,,,,,,,,,353.34555,,,,,,,206.66492,,,,
"Atlántida, Honduras",,,,,,,,,,,,,,,2817.5854,,,,,,,1697.4131,,,,
"Szabolcs-Szatmár-Bereg, Hungary",,,,,,,,,,,,,,,541.0111,,,,,,,320.70804,,,,
"Rutana, Burundi",,,,,,,,,,,,,,,550.7422,,,,,,,376.63052,,,,
"Bihor, Romania",,,,,,,,,,,,,,,1540.2614,,,,,,,965.2692,,,,
"Bulawayo, Zimbabwe",,,,,,,,,,,,,,,2524.7603,,,,,,,2072.9116,,,,
"Pattani, Thailand",,,,,,,,,,,,,,,793.27405,,,,,,,520.98724,,,,
"Groningen, Netherlands",,,,,,,,,,,,,,,1621.7723,,,,,,,1074.6062,,,,
"Macao, China",,,,,,,,,,,,,,,35825.06,,,,,,,13406.769,,,,
"Chikwawa, Malawi",,,,,,,,,,,,,,,386.07718,,,,,,,268.88074,,,,
"Kärnten, Austria",,,,,,,,,,,,,,,748.5071,,,,,,,457.0726,,,,
"East Sepik, Papua New Guinea",,,,,,,,,,,,,,,255.02913,,,,,,,155.21776,,,,
"Kyenjojo, Uganda",,,,,,,,,,,,,,,285.1277,,,,,,,272.1687,,,,
"Sédhiou, Senegal",,,,,,,,,,,,,,,851.77747,,,,,,,304.95572,,,,
"Luwero, Uganda",,,,,,,,,,,,,,,772.3531,,,,,,,516.16956,,,,
"Zlínský kraj, Czech Republic",,,,,,,,,,,,,,,666.199,,,,,,,356.9683,,,,
"Trnavský kraj, Slovakia",,,,,,,,,,,,,,,743.57025,,,,,,,362.89264,,,,
"Nueva Esparta, Venezuela",,,,,,,,,,,,,,,2048.3508,,,,,,,1273.8131,,,,
"Kamwenge, Uganda",,,,,,,,,,,,,,,337.5081,,,,,,,323.59366,,,,
"Hiiraan, Somalia",,,,,,,,,,,,,,,4618.2656,,,,,,,2088.2852,,,,
"Saint Catherine, Jamaica",,,,,,,,,,,,,,,2479.7012,,,,,,,1713.8763,,,,
"Nabatîyé, Lebanon",,,,,,,,,,,,,,,1124.2916,,,,,,,823.5274,,,,
"Ahafo, Ghana",,,,,,,,,,,,,,,1015.16156,,,,,,,393.7886,,,,
"Santa Ana, El Salvador",,,,,,,,,,,,,,,2830.2256,,,,,,,1787.171,,,,
"Hậu Giang, Vietnam",,,,,,,,,,,,,,,664.6483,,,,,,,501.0688,,,,
"Salzburg, Austria",,,,,,,,,,,,,,,1296.3552,,,,,,,895.5509,,,,
"Cartago, Costa Rica",,,,,,,,,,,,,,,2339.021,,,,,,,1804.7208,,,,
"Wellington, New Zealand",,,,,,,,,,,,,,,1425.5233,,,,,,,957.7097,,,,
"Kauno apskritis, Lithuania",,,,,,,,,,,,,,,1609.1256,,,,,,,1274.4089,,,,
"Sololá, Guatemala",,,,,,,,,,,,,,,1363.6241,,,,,,,818.7605,,,,
"Tasmania, Australia",,,,,,,,,,,,,,,548.4223,,,,,,,360.4973,,,,
"Nakhon Phanom, Thailand",,,,,,,,,,,,,,,590.4388,,,,,,,362.71515,,,,
"Cantabria, Spain",,,,,,,,,,,,,,,2258.9158,,,,,,,1289.6935,,,,
"Khakasiya, Respublika, Russia",,,,,,,,,,,,,,,1604.9098,,,,,,,1003.6391,,,,
"Pelopónnisos, Greece",,,,,,,,,,,,,,,645.40857,,,,,,,264.1872,,,,
"Tokat, Turkey",,,,,,,,,,,,,,,2496.125,,,,,,,1094.3965,,,,
"Grande'Anse, Haiti",,,,,,,,,,,,,,,879.6956,,,,,,,452.77145,,,,
"Costa Caribe Norte, Nicaragua",,,,,,,,,,,,,,,1186.0701,,,,,,,498.4162,,,,
"Nong Bua Lam Phu, Thailand",,,,,,,,,,,,,,,333.93192,,,,,,,210.63945,,,,
"Souk Ahras, Algeria",,,,,,,,,,,,,,,3802.0142,,,,,,,1798.7725,,,,
"Trang, Thailand",,,,,,,,,,,,,,,698.9715,,,,,,,441.98865,,,,
"Az Zāwiyah, Libya",,,,,,,,,,,,,,,1149.266,,,,,,,965.3086,,,,
"Jinotega, Nicaragua",,,,,,,,,,,,,,,1030.7052,,,,,,,385.45554,,,,
"Mureş, Romania",,,,,,,,,,,,,,,1360.1082,,,,,,,752.9039,,,,
"Las Tunas, Cuba",,,,,,,,,,,,,,,3405.7585,,,,,,,1557.6904,,,,
"Braşov, Romania",,,,,,,,,,,,,,,2724.4944,,,,,,,1738.4355,,,,
"Samangān, Afghanistan",,,,,,,,,,,,,,,2650.8848,,,,,,,1037.73,,,,
"Cao Bằng, Vietnam",,,,,,,,,,,,,,,634.4033,,,,,,,272.0118,,,,
"Laikipia, Kenya",,,,,,,,,,,,,,,452.5349,,,,,,,303.89453,,,,
"Jinja, Uganda",,,,,,,,,,,,,,,1755.4935,,,,,,,1317.0522,,,,
"Kānim, Chad",,,,,,,,,,,,,,,587.27484,,,,,,,236.7961,,,,
"Eastern Samar, Philippines",,,,,,,,,,,,,,,450.66998,,,,,,,264.2536,,,,
"Maseru, Lesotho",,,,,,,,,,,,,,,1023.1964,,,,,,,821.06085,,,,
"Královéhradecký kraj, Czech Republic",,,,,,,,,,,,,,,633.04987,,,,,,,377.44888,,,,
"Yamalo-Nenentskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,1623.4397,,,,,,,698.9978,,,,
"Uruzgān, Afghanistan",,,,,,,,,,,,,,,2208.5293,,,,,,,954.26776,,,,
"Santa Bárbara, Honduras",,,,,,,,,,,,,,,696.56067,,,,,,,359.69244,,,,
"Caquetá, Colombia",,,,,,,,,,,,,,,3668.924,,,,,,,1612.616,,,,
"Phatthalung, Thailand",,,,,,,,,,,,,,,681.7821,,,,,,,440.30118,,,,
"Tak, Thailand",,,,,,,,,,,,,,,636.30316,,,,,,,380.33337,,,,
"Skopje, North Macedonia",,,,,,,,,,,,,,,3815.1064,,,,,,,2804.9053,,,,
"Haut-Ogooué, Gabon",,,,,,,,,,,,,,,3558.5452,,,,,,,2052.8557,,,,
"Karachayevo-Cherkesskaya Respublika, Russia",,,,,,,,,,,,,,,1667.5787,,,,,,,922.1903,,,,
"San Luis, Argentina",,,,,,,,,,,,,,,2124.2117,,,,,,,1443.7133,,,,
"Buikwe, Uganda",,,,,,,,,,,,,,,1217.6051,,,,,,,794.74896,,,,
"Atyraū oblysy, Kazakhstan",,,,,,,,,,,,,,,1142.4976,,,,,,,775.9477,,,,
"Al Jawf, Saudi Arabia",,,,,,,,,,,,,,,1683.3973,,,,,,,1036.8282,,,,
"Huancavelica, Peru",,,,,,,,,,,,,,,487.9134,,,,,,,206.25551,,,,
"Stereá Elláda, Greece",,,,,,,,,,,,,,,662.34436,,,,,,,300.18576,,,,
"Heredia, Costa Rica",,,,,,,,,,,,,,,3309.8103,,,,,,,3146.0408,,,,
"Balkan, Turkmenistan",,,,,,,,,,,,,,,1510.4738,,,,,,,767.14514,,,,
"Basilicata, Italy",,,,,,,,,,,,,,,746.98145,,,,,,,306.73672,,,,
"Galguduud, Somalia",,,,,,,,,,,,,,,2321.9446,,,,,,,678.38257,,,,
"Dirē Dawa, Ethiopia",,,,,,,,,,,,,,,9293.725,,,,,,,5926.846,,,,
"Médenine, Tunisia",,,,,,,,,,,,,,,1096.1997,,,,,,,712.8417,,,,
"Ramallah, State of Palestine",,,,,,,,,,,,,,,3534.2795,,,,,,,2501.04,,,,
"Kagadi, Uganda",,,,,,,,,,,,,,,440.31125,,,,,,,410.24042,,,,
"Gedo, Somalia",,,,,,,,,,,,,,,3307.3025,,,,,,,1173.8463,,,,
"Guantánamo, Cuba",,,,,,,,,,,,,,,3733.5454,,,,,,,1810.5918,,,,
"Khorāsān-e Jonūbī, Iran",,,,,,,,,,,,,,,1615.0386,,,,,,,920.4799,,,,
"Malta, Malta",,,,,,,,,,,,,,,2933.9663,,,,,,,2332.4072,,,,
"Galaţi, Romania",,,,,,,,,,,,,,,2256.1094,,,,,,,1498.5607,,,,
"Sankt Gallen, Switzerland",,,,,,,,,,,,,,,1039.9144,,,,,,,660.08765,,,,
"Chiriquí, Panama",,,,,,,,,,,,,,,909.6278,,,,,,,616.13983,,,,
"Pirkanmaa, Finland",,,,,,,,,,,,,,,966.41504,,,,,,,691.07117,,,,
"Louangphabang, Laos",,,,,,,,,,,,,,,410.95905,,,,,,,219.39633,,,,
"Ysyk-Köl, Kyrgyzstan",,,,,,,,,,,,,,,1294.8517,,,,,,,474.1548,,,,
"Newfoundland and Labrador, Canada",,1835.2119223721415,,,,,,1020.9478146673283,,,,,,501.66135804977995,515.16815,,,,,,326.2508221751997,326.84702,,,,
"Sanaag, Somalia",,,,,,,,,,,,,,,4732.9507,,,,,,,1234.4215,,,,
"Waikato, New Zealand",,,,,,,,,,,,,,,848.9728,,,,,,,592.1154,,,,
"Chimborazo, Ecuador",,,,,,,,,,,,,,,1862.255,,,,,,,1218.9528,,,,
"Drenthe, Netherlands",,,,,,,,,,,,,,,788.8253,,,,,,,483.05383,,,,
"Izabal, Guatemala",,,,,,,,,,,,,,,1396.032,,,,,,,614.3383,,,,
"Elgeyo/Marakwet, Kenya",,,,,,,,,,,,,,,321.15207,,,,,,,252.06067,,,,
"Ouham, Central African Republic",,,,,,,,,,,,,,,667.61597,,,,,,,237.54105,,,,
"Jutiapa, Guatemala",,,,,,,,,,,,,,,679.54584,,,,,,,372.70596,,,,
"Artemisa, Cuba",,,,,,,,,,,,,,,1366.9332,,,,,,,529.95667,,,,
"Apure, Venezuela",,,,,,,,,,,,,,,2794.2258,,,,,,,976.08545,,,,
"Pardubický kraj, Czech Republic",,,,,,,,,,,,,,,637.30524,,,,,,,379.18912,,,,
"Sonsonate, El Salvador",,,,,,,,,,,,,,,2326.5864,,,,,,,1293.5929,,,,
"Bururi, Burundi",,,,,,,,,,,,,,,398.14328,,,,,,,341.615,,,,
"Khenchela, Algeria",,,,,,,,,,,,,,,2713.6956,,,,,,,1145.2297,,,,
"Jeju-teukbyeoljachido, South Korea",,,,,,,,,,,,,,,899.8536,,,,,,,645.806,,,,
"Salavan, Laos",,,,,,,,,,,,,,,201.72426,,,,,,,137.47508,,,,
"National Capital District (Port Moresby), Papua New Guinea",,,,,,,,,,,,,,,4931.8726,,,,,,,3729.2322,,,,
"Bugiri, Uganda",,,,,,,,,,,,,,,731.9118,,,,,,,572.823,,,,
