longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Chattogram, Bangladesh",,,,,,,,,,,,,,,6455.2393,,,,,,,4968.6367,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,3053.1497,,,,,,,2499.6794,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,6933.3833,,,,,,,5186.555,,,,
"Punjab, India",,,,,,,,,,,,,,,4279.121,,,,,,,3092.709,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,,18918.422,,,,,,,17333.375,,,,
"Haryāna, India",,,,,,,,,,,,,,,3891.2617,,,,,,,2841.6199,,,,
"Texas, USA",2730.9145887452937,,2627.7680613733287,0.03925252342022089,2759.193728607688,-0.010249059197689734,1751.2788147019035,,1680.2234477161235,0.042289236638355085,1699.7742546723696,0.030300823705240405,1167.4718188099678,,1345.1335,1090.2263382466151,0.0708527008140206,1061.2336735637507,0.10010815515253729,992.7685874609189,,1186.5242,908.0274437784325,0.09332443007434481,860.2021319799613,0.15411081948358354
"Chhattīsgarh, India",,,,,,,,,,,,,,,2215.5183,,,,,,,1591.0134,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,,6372.9243,,,,,,,4608.573,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,,4169.5874,,,,,,,2855.9543,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,,3242.0098,,,,,,,2044.7465,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,,5243.3984,,,,,,,3653.847,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,,1927.5146,,,,,,,877.6498,,,,
"Taiwan, China",,,,,,,,,,,,,,,9529.53,,,,,,,8131.126,,,,
"Beijing Shi, China",,,,,,,,,,,,,,,12536.04,,,,,,,11133.303,,,,
