longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"NY-14, USA",7.757694507128807,0.6007625486661373,0.11429683582931527,0.026434991051645713,0.21570569235946585,0.014596420336392855,0.028203511757042936
"NY-01, USA",6.043887163459165,0.3922150121918937,0.07194590591708204,0.0380299355781508,0.4814040661981477,0.013092153225624372,0.003312926889101331
"NY-02, USA",6.23432759152264,0.4187664544680783,0.08502146006512906,0.026175046105788642,0.4529518098958858,0.013259098552653706,0.0038261309124645025
"NY-03, USA",7.116162986476119,0.606285144006881,0.0678086584876208,0.023889614524268823,0.2906735021268285,0.008119262926001247,0.0032238179283993577
"NY-04, USA",7.332599524986258,0.6394617897852136,0.056273087677046016,0.017179631745291253,0.27467313081938294,0.0078079935705249225,0.004604366402541285
"NY-05, USA",7.7440181474483945,0.8083094890231698,0.05799645709454712,0.021991233343374557,0.08877672421049684,0.009054527831873965,0.013871568496537742
"NY-06, USA",7.680411453089217,0.7351041048749813,0.07908502907115955,0.02692096297098426,0.13058394626546327,0.012285195250614826,0.016020761566796715
"NY-07, USA",7.777742318816709,0.7078776849993066,0.15590456577617917,0.029398085951745694,0.07466643019784773,0.011893864706423405,0.020259368368497628
"NY-10, USA",7.851199090676972,0.5456247729912622,0.2670783076342231,0.024663829221541513,0.11520011213036564,0.019867688876343128,0.027565289146264386
"NY-11, USA",7.60211937464533,0.8332334299594154,0.05326652813093467,0.026885550735333424,0.0636149249609126,0.010191274493114067,0.01280829172028987
"NY-12, USA",7.676263710921873,0.46676843939956303,0.27719803922121783,0.01881099230025322,0.15980667737418144,0.039250807148454955,0.03816504455632938
"NY-13, USA",7.479885237692801,0.5086914865218716,0.12805418960853882,0.022962752565014,0.2903807430194538,0.021819434501092985,0.02809139378402886
"NY-15, USA",7.444784963805195,0.49406168301097086,0.12930696140178727,0.026905129030198784,0.2920125635883122,0.015998235023821444,0.041715427944909435
"NY-16, USA",7.3703491343342185,0.5850765967406714,0.11187606475342372,0.022409827474680444,0.2555490602969345,0.013003760858016172,0.012084689876273938
"NY-17, USA",6.88508725183812,0.49599364421058334,0.12649238449698463,0.029717054098101325,0.3271760954512942,0.015814735483712625,0.004806086259323964
"NY-18, USA",6.544801860123499,0.3739077178841332,0.13951376134593813,0.07212095967331747,0.37708925325656323,0.032738453115734,0.004629854724314004
"NY-19, USA",5.699508531688264,0.3342093428341915,0.16206227422173886,0.12078570032046423,0.2805051728845129,0.0969080323252618,0.00552947741383083
"NY-20, USA",6.899450904431227,0.6503142135691627,0.17231675046736,0.0568996861503946,0.08880748588341904,0.026308313463666987,0.005353550465996772
"NY-21, USA",5.50473837501527,0.27497501536281826,0.1484493128088878,0.12139696274707977,0.3296316897383363,0.12058381485924745,0.004963204483630339
"NY-22, USA",5.754827620919041,0.6449606306928168,0.1722512996834557,0.05144834519708334,0.0851701203647804,0.039450309593148554,0.006719294468715084
"NY-23, USA",5.9611296130816775,0.7060790407313672,0.11106884657410503,0.07485726514617455,0.037823626316663146,0.06696550924494143,0.003205711986748704
"NY-24, USA",5.7636645550867875,0.5023270493135739,0.15119805083969806,0.15033260389799008,0.10673206043520145,0.08491246654529455,0.00449776896824218
"NY-25, USA",6.066335403146459,0.7595950399430693,0.1717057205641598,0.028481873817010214,0.020985654166964282,0.013492647766768373,0.005739063742028078
"NY-26, USA",6.588713074284608,0.8702331452788583,0.08326848609572576,0.020248360527090534,0.013905031370422377,0.008562491716503112,0.0037824850113999963
"LA-04, USA",7.446750398813066,0.3389738088082266,0.6174696828196827,0.028609718987593166,0.0007770644803571907,0.009829447447110283,0.004340277457029987
"LA-02, USA",8.234474040800631,0.34759011435791487,0.6371974198863722,0.007142689491624825,0.00031519690012302853,0.0028829652377628336,0.004871614126202247
"LA-06, USA",8.2079817222403,0.3358618159014808,0.6455981499022834,0.008184622413171356,0.0007387937196320652,0.004050495491486898,0.005566122571945591
"LA-05, USA",7.3976558831664,0.28509687984586857,0.6506462751149419,0.04642863462091962,0.0016991424125213774,0.011936736103233312,0.004192331902515344
"LA-03, USA",7.646682776689294,0.24321573180033176,0.7375729558093138,0.012429032998259664,0.0002675861368656507,0.003447744455768965,0.003066948799460151
"LA-01, USA",7.934217029392692,0.41052433275775607,0.568330088661016,0.01381657787796483,0.0004140532913376036,0.003180925126016895,0.0037340222859084606
