longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Roxbury Neighborhood, Boston City, Massachusetts, USA",8991.707390509579,8369.37606020614,7885.701329964433,6659.67055489462
"Lake View Neighborhood, Chicago City, Illinois, USA",12482.331139816968,11265.299048970332,9862.330347791356,7178.738247698975
"Parkway Neighborhood, Sacramento City, California, USA",3874.600519687778,3649.56519252387,3061.3519871520375,2679.8545868778774
"Encanto Neighborhood, Phoenix City, Arizona, USA",3277.828058666768,2627.1191444377205,2308.9857727006743,2281.851881020592
"Greater Uptown Neighborhood, Houston City, Texas, USA",4390.916232434217,3416.369619502154,2846.826147821227,2565.078570016684
"Westwood Neighborhood, Los Angeles City, California, USA",24914.049226113773,11903.859863334252,4429.49935521032,3284.378280086819
"Fairgrounds Neighborhood, San Jose City, California, USA",5689.408399224805,4350.086854065609,3575.436736100555,3571.9824662959923
"Bay Ridge Neighborhood, New York City, New York, USA",20068.3345226823,19177.20346402526,13270.685108291385,9393.395853510372
"Mission Neighborhood, San Francisco City, California, USA",15405.613011984226,13519.412731442982,10405.876490358538,8831.715089411115
"Tremont Neighborhood, New York City, New York, USA",46925.776332116155,42277.9685689478,27702.80696129417,21527.384900429337
"Kensington Neighborhood, New York City, New York, USA",23456.903393158707,23632.771865737577,20653.558991303395,18576.08363320793
"Northside-Northline Neighborhood, Houston City, Texas, USA",3107.397932643733,2542.5802661517396,2022.6993977228142,1805.524703384092
"Northwest Neighborhood, Chula Vista City, California, USA",5159.012777019057,4511.673364575032,3085.6193490621245,2365.7899256851742
"Santa Teresa Neighborhood, San Jose City, California, USA",4751.096830923789,3457.15553673159,2427.9184658906174,1755.1616141312732
"Maspeth Neighborhood, New York City, New York, USA",12373.1732894545,11426.823418965114,12389.378081540546,14466.485572780039
"Casas Adobes Neighborhood, Tucson City, Arizona, USA",2351.1191102679295,1351.6189666325397,1013.3415647706452,908.1343658715188
