longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Gainesville FL Media Market, USA",0.6680817468701535,1.0
"Sherman TX-Ada OK Media Market, USA",0.6083867833126817,1.0
"Bangor ME Media Market, USA",0.415837426439924,1.0
"Binghamton NY Media Market, USA",0.6078023775637353,1.0
"Wheeling WV-Steubenville OH Media Market, USA",0.6544617224135462,1.0
"Missoula MT Media Market, USA",0.6415610812035327,1.0
"Abilene-Sweetwater TX Media Market, USA",0.7173709068507432,1.0
"Bluefield-Beckley-Oak Hill WV Media Market, USA",0.586382065118419,1.0
"Hattiesburg-Laurel MS Media Market, USA",0.5716813746400767,1.0
"Billings MT Media Market, USA",0.7293118444614991,1.0
"Lake Charles LA Media Market, USA",0.7249142443202398,1.0
"Laredo TX Media Market, USA",0.8515282754988381,1.0
"Harrisonburg VA Media Market, USA",0.6018005877178205,1.0
"Utica NY Media Market, USA",0.6375531456612538,1.0
"Rapid City SD Media Market, USA",0.6458846657434694,1.0
"Dothan AL Media Market, USA",0.6243859861251757,1.0
"Clarksburg-Weston WV Media Market, USA",0.645666344622693,1.0
"QuincyIl-Hannibal MO-Keokuk IA Media Market, USA",0.5389018568261528,1.0
"Watertown NY Media Market, USA",0.4686749045729515,1.0
"Jackson TN Media Market, USA",0.6610974506019078,1.0
"Alexandria LA Media Market, USA",0.5856840181130821,1.0
"Elmira (Corning) NY Media Market, USA",0.6367043413964297,1.0
"Bowling Green KY Media Market, USA",0.6323495345545022,1.0
"Jonesboro AR Media Market, USA",0.6949266254880825,1.0
"Charlottesville VA Media Market, USA",0.525794928055271,1.0
"Marquette MI Media Market, USA",0.6570172991071429,1.0
"Twin Falls ID Media Market, USA",0.666053671161967,1.0
"Butte-Bozeman MT Media Market, USA",0.657061783436314,1.0
"Grand Junction-Montrose CO Media Market, USA",0.87843151092337,1.0
"Bend OR Media Market, USA",0.7810928460098965,1.0
"Lafayette IN Media Market, USA",0.8921680258501308,1.0
"Lima OH Media Market, USA",0.5683393507720711,1.0
"Greenwood-Greenville MS Media Market, USA",0.6618965507364273,1.0
"Great Falls MT Media Market, USA",0.708107702865579,1.0
"Meridian MS Media Market, USA",0.5650585344702992,1.0
"Eureka CA Media Market, USA",0.8280612431332903,1.0
"San Angelo TX Media Market, USA",0.8000065670661632,1.0
"Parkersburg WV Media Market, USA",0.7081287362988644,1.0
"Cheyenne WY-Scottsbluff NE Media Market, USA",0.8310998430520343,1.0
"Casper-Riverton WY Media Market, USA",0.8106247332112416,1.0
"Mankato MN Media Market, USA",0.7646578448706463,1.0
"OttumwaIa-Kirksville MO Media Market, USA",0.6838886941208123,1.0
"St. Joseph MO Media Market, USA",0.7065889462461201,1.0
"Fairbanks AK Media Market, USA",0.612328352673648,1.0
"Victoria TX Media Market, USA",0.8386316100701935,1.0
"Zanesville OH Media Market, USA",0.6385069444444444,1.0
"Helena MT Media Market, USA",0.7503953509301997,1.0
"Presque Isle ME Media Market, USA",0.5389464272408911,1.0
"Juneau AK Media Market, USA",0.7466650323793181,1.0
"Alpena MI Media Market, USA",0.46911365150971446,1.0
"North Platte NE Media Market, USA",0.731815688425672,1.0
"Glendive MT Media Market, USA",0.836158755484643,1.0
