longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Spring Hill [Urban Area], TN, USA",0.004279971116621644,0.0,17.65905740859047,0.906332388200766,1.2188932247527295,0.0,45.779141767463805,0.0,43.75992123162503
"Mankato [Urban Area], MN, USA",0.05058833437301382,1.0,2.81553696749163,0.9287280337507889,0.9286745567220929,0.0,100.96371574979837,1.0,4.125113034394096
"Hot Springs [Urban Area], AR, USA",0.003498925290003336,0.9703549625420662,3.6476541514032674,0.4616880591209646,2.6555132973708373,1.0,5.3118583272554885,0.0,59.96626320997513
"Ithaca [Urban Area], NY, USA",0.012825926777029513,1.0,5.162946845234135,0.8558932015837027,1.142184882538669,1.0,5.76674377768617,0.0,30.365950593342514
"Bozeman [Urban Area], MT, USA",0.055189542660542996,1.0,4.1266010421397805,0.8998815165876777,1.020169721051649,1.0,13.282080707526918,1.0,4.232791897472177
"Staunton-Waynesboro [Urban Area], VA, USA",0.02899393086424704,0.9135528654871752,5.944884790093668,0.8497756708710742,1.1908930114011222,1.0,20.436782914100856,0.16202488783543553,19.808383834925877
"Lake Havasu City [Urban Area], AZ, USA",0.0022805093960611327,0.999745835945575,4.314979114847479,0.8935899825474016,1.1571230228916634,1.0,10.367245371136262,0.0,189.493904091192
"Twin Falls [Urban Area], ID, USA",0.013599013416851033,0.9353999455856347,3.6218271833259927,0.9709563324717726,0.7276305266414442,1.0,9.882066115878697,0.0,126.79066194707886
"Gadsden [Urban Area], AL, USA",0.006731677065967013,0.8873652436394998,5.139901469588163,0.808141440275981,1.3903128572897858,0.0,82.85217762991907,0.0,37.0063454720508
"Kahului-Wailuku [Urban Area], HI, USA",0.038988189725627544,1.0,2.1855553877674168,0.9100595803471203,0.9709773521661552,1.0,6.447833777209058,0.0,164.82602334853797
"Maricopa [Urban Area], AZ, USA",0.011494910799039663,0.0,24.660605073618754,0.950251856467778,0.9476219632163849,0.0,41.556583355036146,0.0,43.85646004005207
"Wheeling [Urban Area], WV-OH, USA",0.004444124312614966,0.892001039951469,3.5249607021029656,0.9538434873039258,0.9374904291450121,0.0,64.70599129474066,0.39512956062050436,10.939548920853943
"Beckley [Urban Area], WV, USA",0.009278069334855539,0.938122085334447,3.8149015268052207,0.8091633604788752,1.3190712513944114,0.9813287394724021,11.28265214635712,0.0,88.75454656249143
"Monroe [Urban Area], MI, USA",0.01883744653941255,0.8926825008732099,4.503212086268691,0.777471184072651,1.4804572416676673,0.22029339853300733,31.513947010641022,0.0,66.18370881463095
