longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"Knoxville TN HRR, USA",0.1466109670631507,0.4602911137902261,0.3090245418943454,0.2306843443154285,0.7376075521929185,0.19117816899425133,0.07121427881283023
"Durham NC HRR, USA",0.15734648663710693,0.4474603192451294,0.29239425144091213,0.2601454293139585,0.7015695671445626,0.20893597754123575,0.08949445531420162
"Tulsa OK HRR, USA",0.15327111034195343,0.44320450630071084,0.30820424619209613,0.24859124750719316,0.7044539163760593,0.21371902036641552,0.08182706325752512
"Honolulu HI HRR, USA",0.09446163866515725,0.2758839796088476,0.287734796245167,0.4363812241459854,0.6108672931883203,0.26736149139411314,0.12177121541756648
"Fort Myers FL HRR, USA",0.11630829998657533,0.3843276901262181,0.3193925130949,0.29627979677888183,0.6864267622907841,0.20988514877759015,0.10368808893162576
"Omaha NE HRR, USA",0.09917158248454964,0.3582804830101523,0.32799010632425735,0.3137294106655903,0.6445673401772727,0.260500326999814,0.09493233282291332
"Buffalo NY HRR, USA",0.13715359319835602,0.41284637134023333,0.30735754567331786,0.27979608298644876,0.6667533250213351,0.250406567854199,0.08284010712446585
"Hackensack NJ HRR, USA",0.097807482621213,0.27884095090138383,0.2400313166032611,0.4811277324953551,0.5441753673058226,0.2556978699067993,0.20012676278737812
"Melrose Park IL HRR, USA",0.07680461017525246,0.2776846077570123,0.2950456760073299,0.4272697162356578,0.5862942553200247,0.2579735546041621,0.15573219007581318
"Norfolk VA HRR, USA",0.10784373169320155,0.3394891270616638,0.3241413447033543,0.3363695282349819,0.6361167541075514,0.2556609611359753,0.10822228475647316
"Fresno CA HRR, USA",0.20065808765972346,0.4160156751302759,0.29850090156758907,0.2854834233021351,0.7138933283238106,0.20266134650510298,0.08344532517108641
"Rochester NY HRR, USA",0.13156492157357988,0.3893658891392069,0.31134643133415685,0.2992876795266363,0.6621783084293589,0.24540310666626725,0.09241858490437392
"Allentown PA HRR, USA",0.10255362214919443,0.3400596457362222,0.30657297978868836,0.35336737447508937,0.6461327261950731,0.24858642152686306,0.10528085227806394
"Grand Rapids MI HRR, USA",0.10549808472516714,0.3610751342458129,0.33889197211038924,0.300032893643798,0.6856119299090474,0.23479898030607896,0.07958908978487361
"Providence RI HRR, USA",0.10485129220035735,0.33521279687690625,0.28467683552022033,0.3801103676028735,0.6181458610895642,0.2618967697753812,0.11995736913505473
"Columbia SC HRR, USA",0.16504759955358553,0.4666249220741354,0.3027782978554481,0.23059678007041653,0.7227962198245942,0.20702499623547363,0.07017878393993224
"Tucson AZ HRR, USA",0.15183104412318077,0.4334124725039338,0.30862021990113253,0.2579673075949337,0.7052146833767406,0.20614104060968527,0.08864427601357416
"Wichita KS HRR, USA",0.12515177460778001,0.4275536837974747,0.3335293693665317,0.23891694683599363,0.710598203541827,0.2231178161715599,0.06628398028661303
"Bakersfield CA HRR, USA",0.19408513781251602,0.43561547692222985,0.304959451725076,0.2594250713526942,0.7345164412713904,0.18796156839507822,0.07752199033353122
"Charleston SC HRR, USA",0.13069969297420073,0.39798705294813674,0.30982324254869775,0.29218970450316556,0.6756620175823308,0.224007861383986,0.1003301210336832
"White Plains NY HRR, USA",0.08582743039945714,0.26238310475618193,0.23910673803694701,0.4985101572068711,0.53684353503199,0.24539094581997328,0.21776551914803666
"Des Moines IA HRR, USA",0.10541836624401349,0.35782087388632916,0.32738098248908926,0.31479814362458164,0.6432160422888641,0.2622919850316937,0.09449197267944208
"El Paso TX HRR, USA",0.20190159721377338,0.5068915409486223,0.29236016085509015,0.2007482981962876,0.7646876267512175,0.17716971252018246,0.05814266072859996
"Winston-Salem NC HRR, USA",0.1488084615026251,0.46968766459591216,0.3078589342634108,0.22245340114067705,0.7365000235458387,0.19464347211155678,0.06885650434260454
